体育教師,今日の体育はサッカーだ！
サッカー部員A,よーし、シュート練習しようぜ！シュート練！
サッカー部員B,おう！
サッカー部員A,だけど、やっぱキーパーがいなきゃ格好がつかねえな。おいデブ、お前太ってるからキーパーやれよ、キーパー！
デブ,ううっ……分かったよ……
サッカー部員A,んじゃ、俺から蹴るか。せめてボールが来た方向に手を出すくらいしろよ、デブ！
デブ,う、うん
サッカー部員A,そりゃ！
デブ,よっ
サッカー部員A,……な！？。バ、バカな……結構いいコースだったのに……
サッカー部員B,どうせマグレだろ。次は俺だ！。フェイントをかけてから――。シュート！
デブ,えいっ
サッカー部員B,ウソォ！？
サッカー部員A,でりゃあっ！
デブ,そりゃっ
サッカー部員B,うりゃ！
デブ,とうっ
サッカー部員A,マ、マジかよ……！？ことごとく止められちまう！
サッカー部員B,サッカー部の俺たちが、シュートを一発も決められねえ……！
サッカー部員A,おいデブ！
デブ,な、なに……
サッカー部員A,お前すげえな！キーパーの才能あるぜ！
サッカー部員B,なぁ、サッカー部入れよ！お前がいれば、大会で結構上を狙えるぜ！
デブ,えぇ～、でも……
サッカー部員A,いいから入れって！
サッカー部員B,歓迎するぜ！
デブ,あうぅ……強引だなぁ……
サッカー部員A,やべえ、抜かれた！
サッカー部員B,一対一だ！うわぁ、ダメだ！
敵校エース,もらったァ！
デブ,ほいっ
敵校エース,なにィ！
実況,試合終了！全く無名だった○△高校、なんと全試合無失点で優勝です！
デブ,やったぁ！
サッカー部員A,すげえや、デブ！
サッカー部員B,お前のおかげだ、デブ！
デブ,二人とも、ボクを誘ってくれてありがとう！
母,ねえ、あんたにJリーグからスカウトが来てるわよ！
デブ,ええっ！？
スカウト,ぜひうちのチームに！契約金はこれぐらいでいかがでしょう？
デブ,ええっ、こんなに！？。入ります入ります！。これだけお金があれば、好きなだけお肉を食べれるぞぉ！。よっ。ほっ。はっ
実況,なんとデブ、Jリーグでも一切得点を許しません！
監督,日本がワールドカップを制するには、君の力が必要だ。日本代表になってくれ！
デブ,はいっ！。いよいよ世界が相手か……だけど、絶対にゴールネットは揺らさせないぞ！
チームメイト10人,いよいよワールドカップ予選……作戦はどうしよう？
デブ,君たち10人で攻めてくれ
チームメイト10人,10人で！？それじゃ守りはどうするんだ！？
デブ,ゴールはボク一人で大丈夫さ！
チームメイト10人,無茶だ！いくらなんでも……
監督,いや、その作戦でいこう。守備は彼に任せ、DFも全員攻めて攻めて攻めまくれ！
デブ,ありがとうございます、監督！
チームメイト10人,しまった、ボールを奪われた！
敵FW,カウンターだ！。もらった！
デブ,ほいっ
敵FW,そんな……あっさりキャッチされるなんて……。頼むっ！
チームメイト10人,敵がボールをゴール前に上げたぞ！
敵ノッポ,大したキーパーだが……。この高さからのヘディングはどうしようもあるまい！
デブ,よっ
敵ノッポ,バカな……！“急降下爆撃”といわれる俺のヘディングシュートを……！
チームメイト10人,やったーっ！
デブ,ワールドカップ出場だーっ！
