俺,すみません、やめてもらえませんか？
美少女,……あ
男,……！！！
美少女,……
男,……。……ふひひ
客A,……
客B,……
男,……！
美少女,おつかれさまでーす
先輩,おつかれー
上司,お疲れ。今回も問題なかったかな？
美少女,あ、はい。問題ないと思います
上司,そうかそうか、それは良かった
美少女,……あのー
上司,ん？何だい？
美少女,お金もらっておいてこんなこと言うのもなんなんですけど
上司,なんでも言いたまえ
美少女,このバイト、なんで存在するんですか？
上司,えっ
先輩,えっ
上司,まだ説明していなかったか
先輩,すみませんすでに理解しているとばかり
美少女,ああ、いや、理念とかは聞いたんです。世界幸福論がどうとか
上司,なんだ知ってるんじゃないか
先輩,もう驚かせないでくれる。寿命縮んじゃったじゃない
美少女,いやでも意味分かんないんですけど
上司,えっ
先輩,えっ
美少女,誰が払ってるんですか、この時給2000円
上司,私の上司だ
先輩,オーナーさんだよ
美少女,……なぜ
上司,えっ
先輩,えっ
上司,どうしようこの子全然理解せずこの仕事をやっているようだ
先輩,ええそれってなんか法律に反するんじゃないんですか？仕事内容云々とかで
美少女,いや訴える気はないんで安心してください。割のいいバイトなので
上司,ならよかった
先輩,びっくりしちゃった
美少女,でもいまだに理解できないんです。このどこに需要があるんですか？サービス対象からお金をもらってないんですよね？ならなんでお金が入ってくるんですか？
上司,うーむ、お金の話か
先輩,話していいんでしたっけ？
上司,基本的にはな。しかし、あまりほいほい話すようなものでもない
美少女,はぁ……
上司,また今度にしてくれないか。オーナーを呼ぶよ。君もきっと理解してくれるだろうから
美少女,……はぁ。……
キモオタ,……
美少女,……
キモオタ,……
美少女,……
キモオタ,！？。（なｗｗｗｗｗなんですとｗｗｗｗ）。（我の肩にｗｗｗｗ美少女がｗｗｗｗ）。（こｗｗｗれｗｗｗｗはｗｗｗｗｗｗ）。……。……（Oh、ﾌﾛｰﾗﾙ……）
オーナー,君か
美少女,……
オーナー,……どうかしたかね？
美少女,……いえ
オーナー,……？まぁいい、話を聞きたいのだったな
美少女,……（ガント局長だ）
オーナー,確かに君のような年端もいかぬ少女であれば、このアルバイトに意味を見いだせないかもしれない
美少女,……（逆転裁判の、ガント局長だ！！）
オーナー,だがわかってほしい。このアルバイトには意味があり、需要がある。それゆえ私は行っている。ただ理解してほしいことは、このアルバイトは利益がすべてというわけではない
美少女,……（本物だ!生ガントだ！髪の毛までガントだ！）
オーナー,……君？
美少女,あっ大丈夫です聞いてます局長
上司,局長？
美少女,間違えました店長
オーナー,いや私はオーナーで……まぁいい、続けよう。君、こういう理論を聞いたことあるかい？
美少女,はあ
オーナー,それは、幸せスパイラルという理論なのだが
美少女,……（こまりちゃんだ……！！）
オーナー,一方が幸せになれば、その人間を幸せにした人間も幸せになり、その相乗効果で人々がどんどん幸せになっていくという理論だ
美少女,……（リトルバスターズの、神北小毬ちゃんだ……！！）
オーナー,とある科学者が提唱した理論らしいが詳しいことは私もしらない
美少女,……（科学者じゃないよ……！！こまりちゃんだよ……！）
オーナー,しかし、この理論には非常に賛同できる。そこで私は、どうにかしてこの幸せスパイラルを生み出せないかと考えたのだ
美少女,……（このガント、発想はこまりちゃんだ！見た目ガントなのに中身こまりちゃんだ！……なんかいやだ！！）
友,これあげる
美少女,どうしたの？
友,お兄ちゃんにもらった
美少女,へー……。おいしい
友,お兄ちゃん最近機嫌いいよね
男,そうか？
友,何かあった？
男,いや？何もないぞﾌｯﾌｰﾝ
