少女＆女友人,ん？
男子生徒Ａ,頼むっ！野球部に助っ人に来てくれ！
男子生徒Ｂ,いや、我がサッカー部に！今度の試合は絶対勝ちたいんだ！
男子生徒Ｃ,いやいや、バスケ部に！
少年,う～ん、参ったなぁ……
女友人,ハハ……。アイツ、今日もモテモテだね～。さっすがスポーツ万能。アイツがチームに加わったら、それだけで勝てちゃうっていわれてるほどだし。もちろん、男だけじゃなく女にもモテモテなんだけど
少女,うん……。少年君……かっこいいなぁ。私……少年君が好き。だけど、スポーツ万能でみんなのヒーローな少年君と。私みたいな指先の器用さだけが取り柄の女が釣り合うわけない……。でも、いいんだ。片思いだって、十分幸せなんだから……
女友人,──ねえ、なにボンヤリしてるの？
少女,うひゃっ！？
女友人,近頃、物騒だしさ。あんまりボヤっとしてちゃダメだよ～！
少女,物騒……？
女友人,なんでも最近、この辺りの名のある不良や格闘家たちが。次々に勝負を挑まれては倒されてるらしいよ？。そいつがいつ、あたしらみたいな一般人に矛先を向けるか分からないしさ
少女,う、うん……気をつける
小動物,うむむ……ッッ。このままでは人間界も闇格闘組織に征服されてしまう……！。我の故郷はすでに滅ぼされてしまったが……。せめてこれ以上、奴らを好きにはさせんぞ……ッ！。故郷に伝わっていた世界を闇が覆う時、魔法少女現るという伝説……。もはや、これにすがるしかあるまいッ！。早く“魔法少女”となる素質を持つ女を探し出さねばッッッ！
少女,今日は女友人ちゃんは部活だし……最近物騒だっていうし、早く帰ろっと。！。…………。なんだろう、この感覚……？。いつも寄り道なんかしないのに……。なんだか今日は寄り道しないといけないような気がする……
小動物,…………
怪人Ａ,…………
少女,！？。な、なんなの！？なんなのこれ！？。可愛らしいけどやたらムキムキなちっちゃな生き物と。特撮番組とかに出てきそうな強くて悪そうな怪物が向き合ってる！。なんなのこれ！？これは夢なの！？
怪人Ａ,きええぁっ！！！
小動物,鈍速（おそ）いわッ！
怪人Ａ,なっ！？。ぐああああっ……！ひ、膝を……ッ！
小動物,咽喉ッ！水月ッ！──金的ィッ！
怪人Ａ,ぐ、はぁ……
小動物,未熟者め……
少女,す、すごい！子犬ぐらいの大きさなのに、勝っちゃった！
怪人Ａ,ぐう……。や、やるな……。だ、だが……。いくらキサマでも闇格闘組織全てを相手するのは不可能……。特に……大魔神様や四天王には……絶対勝てぬ……
小動物,たしかにな……。我一人では心もとない……。なんとしても、魔法少女となる素質を持つ女を見つけねばッッッ！。！。誰だッ！そこにいるのはッ！？
少女,あっ……
小動物,ぬうう……あのような小娘に目撃されるとは不覚の極みッ！。我はこの世界の住民ではないゆえ、なるべく関わりたくないというに……。オイ、小娘ッ！
少女,は、はいっ！
小動物,このことを他言したら、命はないと思えッッッ！
少女,い、いいません！絶対っ！
小動物,よし、ならばとっとと立ち去──。待てよ……。この小娘、なんというキレイな指をしているのだ！。まさに“魔法”を身につけるのにうってつけではないかッ！。いや待て……
少女,へ！？
小動物,小娘……。命が惜しくば、魔法少女になるのだッッッ！
少女,！？。魔法……少女？
小動物,うむ。キサマには素質がある。魔法少女となる素質がな
少女,魔法ってつまり……変身したり、テレポートしたりできるってこと？
小動物,否、魔法とは極限まで鍛え抜いた拳足で敵を打ち砕くことだ
少女,それは魔法というより、格闘技とか拳法とかいうんじゃ……
小動物,断じて否ッ！
少女,！
小動物,もちろん、ただの格闘技や拳法ならば、魔法とは呼べん。だがッ！それ以上の領域にたどり着いたなら、話はちがう！。人智を超えた拳法、それすなわち“魔法”なりッ！
少女,！？
小動物,どうだ、魔法少女になってみんか！？──いや、なれッ！
少女,い、いえ私は……
小動物,なぜ躊躇する！？
少女,私、運動とか苦手だし……とても拳法なんか……
小動物,フン……そんなものは修業でどうとでもなるわい。それにな、修業を積めば、肉体と精神が鍛えられ女としての魅力も上がる。フェロモン分泌も促され、男どもを誘惑することも容易くなるぞ
少女,！。もし、魔法少女になったら少年君に振り向いてもらえるかも……
小動物,どうだッ！？
少女,……やってみる！。私、魔法少女になる！
小動物,うむッ！。よし、さっそく修業を開始するゆえ、キサマの家まで案内しろ
少女,え、いきなりなの！？
小動物,コラァッッッ！！！
少女,！
小動物,今から我はキサマの師なのだ。ちゃんと敬語を使わんかァ！
少女,は、はいっ！。えぇ～と師匠、いきなりやるんですか？
小動物,当然だ。拳法において、迅速（はや）さとは最重要といってもいい要素だ。早いに越したことはないッッッ！
少女,はぁ……
小動物,はぁ、ではないッ！くびり殺されたいのかッッッ！？
少女,もっ、申し訳ありませんっ！
小動物,ほう、なかなかよい家だな
少女,ありがとうございます
小動物,よし、今日からここは道場と呼ぶ
少女,えええええ！？
小動物,では入るぞ
少女,なんだかとんでもないことになっちゃったなぁ……
小動物,なんだこの部屋は。ぬいぐるみと裁縫道具だらけではないか
少女,ご、ごめんなさいっ！私……こういうのが好きなので……
小動物,よいよい、責めておるのではない。これらで培った手先の器用さは、拳法を魔法まで極める上で必ず生きるッ！
少女,とてもそうは思えない……
小動物,さっそく修業開始といくか。まずは腕立て伏せからだ！
少女,は、はいっ！。うんしょっ……
小動物,一回もできぬのか！？ええい、根性だ、ガッツだッ！
少女,は、はいいっ……
小動物,よし……よくやった！。一回できれば、あとはそれを繰り返すだけだ。つまり何百回、何千回でもできるということだ！さぁ、続きだッ！
少女,そ、そんな無茶な……
小動物,次は腹筋だ！足を押さえててやる！
少女,んしょっ……
小動物,丹田に力を込めいッ！肉だけでなく、内臓をも駆動させるのだッ！。背筋ッ！。最大の死角である背中を徹底的に鍛えることは、自信に繋がるッ！
少女,うぐぐ……
小動物,スクワァァァァァット！下半身を強化せよッ！
少女,太もも、痛い……！
小動物,その痛みを乗り越えた先に、進歩という報酬があるのだッ！
少女,体中が痛い……。これじゃ明日、動けない……ですよ……
小動物,心配するな。我の整体術にかかれば──
少女,ちょっ、なにを──。お、お、お……。あれ、だいぶ楽になった……
小動物,さらに我が調合したこの漢方薬を飲めば──
少女,うわっ、すごく苦いです……
小動物,これを飲めば回復が早くなる。むろん副作用なしでな。つまり……常人より遥かに少ないインターバルで鍛錬可能ということだ
少女,ひええ……。ねえお父さん、お母さん
父,なんだ？
母,どうしたの？
少女,今日から師匠を家に住まわせてもいい？
父,師匠ってどこにいるんだ？
小動物,ここだ
父,うわっ
母,あらっ
少女,お願いっ……！ムリだとは思うけど──
父,かまわないよ
母,いいわよ
少女,早っ！
小動物,迅速（はや）さとは、拳法における最重要要素の一つ！。魔法少女の父母、やはり只者ではなかったかッ！。突きだッ！
少女,えいっ！
小動物,もっと気合を入れて突かんかァ！突いて突いて突きまくれいッ！。蹴りィィィッ！
少女,たあっ！
小動物,なにを恥じらっておる！富士にも届くよう、高く高く足を上げんかァ！。さァ、この漢方薬を飲めば回復が早まるぞ！一気に飲み干せッ！。キサマのいいとこ見てみたいッ！イッキッ！イッキッ！
少女,うえぇ～……。どうです？
小動物,ふむ、見違えたぞ。童女の持つ柔和さと、武術家の持つ頑強さを兼ね備えた、理想的な肉体だ
少女,よく分からないけど……ありがとうございますッ！
小動物,そろそろこれを授ける時が来たようだな……
少女,これって？
小動物,拳法家──否、魔法家には欠かせぬ衣装……。道着だッッッ！
少女,これが道着ですか……？。なんだかずいぶん可愛らしいんですけど……。まるで、テレビに出てくる魔女っ子や魔法少女みたいです！
小動物,当然だ。それが古より伝わる、魔法少女の戦闘服なのだからな
少女,戦闘服……ですか
小動物,よいか。これからキサマには闇格闘組織と戦ってもらうことになるッッッ！
少女,は……？。闇格闘組織……？。闇格闘組織っていったいなんなんですか？
小動物,大魔神率いる、暗黒格闘技を用いる軍団のことだ。奴らを倒さねば、この世は暗黒格闘技に支配されてしまうであろう……
少女,ちょ、ちょっと待って！私、そんなの聞いてませんよ！
小動物,当たり前だ。話してなかったからな
少女,だいたいなんで私が戦わなきゃいけないんです！？
小動物,決まっているだろう……。魔法少女だからだッッッ！
少女,ダ、ダメだ……話にならない
小動物,この期に及んで、もし戦わないというのなら──。我の手で、キサマには絶命してもらうことになるッッッ！
少女,ぜ、絶命ですかァ～！？
小動物,まぁ、そう悲観するな。キサマもすぐ、戦いの楽しさに目覚めることになるであろう
少女,絶対ならない……！。でも、戦いはともかく鍛錬が楽しくなってきたってのはあるかも……。自分の体が、前よりもずっと充実してるのは分かるし……
怪人Ｂ,この学校はオレサマが占拠したァ～！
少女,な、なにあれ！
小動物,闇格闘組織の怪人だ。ついに本格的な活動を始めたか……ッ！
体育教師,高校と大学でレスリングをやっていたこの俺が相手だ！。動かない……！ビクともしない……ッ！
怪人Ｂ,なんだこりゃ？こんなタックルではカカシも倒せんわァ～！
体育教師,ぐがっ……！
怪人Ｂ,よォ～し、オマエはオレサマのガールフレンドにしてやろう
女友人,や、やめてえっ！
少女,ああっ、女友人ちゃんが！
小動物,待ていッ！キサマが助けてはならん！
少女,なんでです！？私が戦わなきゃいけないっていったのは、師匠でしょう！
小動物,キサマは魔法少女だ。正体がバレぬよう、変身してから戦え
少女,変身って……どうやって？杖を振ったり、呪文を唱えたりするんですか？
小動物,なにをいっておる。手動に決まっているだろう。０．０１秒以内で道着に着替えろ。今のキサマならできる
少女,いやいやいや……意味が分からない。でも、やるしかないッ！
魔法少女,できたッ！
小動物,よくやったッ！ついでに知人にバレぬよう顔を少々いじってやるッ！
魔法少女,あだだっ……！（化粧とかじゃなく、骨を直接いじるなんて……）
小動物,心配するな、あとで戻してやる。さァ……ブチのめしてこいッッッ！
魔法少女,そこまでよ、闇格闘組織の人！
怪人Ｂ,むっ……！
女友人,あ……あなたはだれ？
魔法少女,私は魔法少女……すぐ助けるからね！
怪人Ｂ,魔法少女……？。そうかオマエが、暗黒格闘が世にはびこる時、現れるという“魔法少女”か！。おもしれえ、魔法とやらを見せてもらおうかァ～！
魔法少女,いくわよっ！
怪人Ｂ,ぬああああっ！
魔法少女,でやあああっ！
女友人,体育の先生を一発で倒したあの化け物と、あんなに戦えるなんて……！
小動物,う～む、動きが固い。怪人如きに手こずられては困るのだが……
怪人Ｂ,だりゃああッ！
魔法少女,くっ……！。あっちの方が腕が長いから、リーチでは不利！だったら──。足の長さで補えばいいッ！。恥ずかしがらずに──思いっきり足を上げて、蹴るッ！
怪人Ｂ,がっ……！？
小動物,今だ、決めろッ！
怪人Ｂ,うげぇ……
魔法少女,や、やった……！
怪人Ｂ,ぐ……強い……！オレサマがやられちまう、とは……！。だが、いったいどこらへんが魔法なんだ……！？
魔法少女,実に……的確なツッコミッ！
小動物,オイ、なにをボサッとしておる！決め台詞をいうのだッッッ！
魔法少女,決め台詞……！？。人智を超えた拳法、それすなわち“魔法”なりッ！
怪人Ｂ,そういうこと……か……
男子生徒Ａ,あっちの奴は女の子がやっつけたが、こっちにもいるぞ！
男子生徒Ｂ,本当だ！
男子生徒Ｃ,ひいっ！こっちの奴もとんでもない強さだ！
怪人Ｃ,ぐふふっ、この学校はオレたちのものだよ～ん
小動物,オイ、出番だぞ
魔法少女,ウソ……。もうヘトヘトなのに……
貴公子,ここは通りすがった“格闘貴公子”である、このボクに任せてもらおうか！
怪人Ｃ,むうっ！
魔法少女,あれはだれですか！？
小動物,知るかッッッ！
貴公子,それ、シュートだッ！
怪人Ｃ,ぐげえっ！
魔法少女＆小動物,つ、強い……！
怪人Ｃ,ぐぞっ……
貴公子,トドメだ！ダァーンク、シュゥートッ！。やぁ
魔法少女,ど、どうも
貴公子,魔法少女……だっけ？さっきの戦いぶりは見せてもらっていたよ
魔法少女,！
貴公子,どうにか勝利は収めていたが──。ハッキリいってまだまだスキだらけだ。それに君自身の性質と拳法の性質が、イマイチ合致していないように感じた。つまり……君はボクの敵じゃない
魔法少女,なっ！
貴公子,おっと怒ったかな？それじゃ失敬させてもらうよ、さらば！
魔法少女,なんなのあの人！？
小動物,たしかによく分からない奴だったが……。奴の指摘は全て的を射ていた……。このままでは怪人は倒せても、その上には到底通用せぬ……
守衛,うぅぅ……
体育教師,いだい……いだいよぉ……
救急隊員,急げっ！
男子生徒Ａ,よかった、無事だったか！どこにもいないから心配したぞ！
少年,たまたまトイレに行っててよかったよ
女友人,なんだったんだろ、さっきの化け物……
少女,さぁ……。闇格闘組織だっけ……。こんなひどいことするなんて……。私が……戦わなきゃ！。あ～……それにしても、あの格闘貴公子とかいう奴！。思い出しても腹が立ってくる！。しかも、スポーツの技術を暴力に使うなんて……。私が好きな男の子まで侮辱されてるような気分ですよ！
小動物,だが……奴は強い。今のキサマでは奴の相手にはならんだろう
少女,むむっ……
小動物,ところでどうだった……初めての実戦は
少女,最初は少し戸惑いましたけど──。練習通りに突きも蹴りも出せたし。戦うのも悪くないな……って思いました！
小動物,フフ……そうか。こやつが魔法少女として大成するか、不安要素は多々あるが──。戦うことの楽しさを学んでくれたのは大きな収穫といえよう。あとは、我やあの貴公子がこやつに抱いている違和感を払拭させるためにも。とにかく実戦経験を積ませまくるしかあるまい！
少年,前からずっと思ってたけど、君ってとても器用だよね！
少女,あ、少年君……！
女友人,あなたもなにか縫ってもらったら？
