―≪斧組合,アックス・ギルド
斧使い,時間になった。今月の会合を始める
斧戦士,おう！
斧ファイター,はい！
斧使い,さっそくだが、本日の議題に入る。これは武器専門誌月刊ウェポンの今月号だ
斧戦士,そういや今月号はまだ買ってなかったな
斧ファイター,ボクも毎号愛読してますよ！
斧使い,人気投票のページを見て欲しい
斧戦士,人気投票？やってるのは知ってたけど、あまり見たことねえな
斧ファイター,どれどれ……
斧戦士,すげえ、トップは剣か！さすがだな……！
斧ファイター,２位と３位も納得の顔ぶれですね
斧戦士,んじゃあ、斧は４位あたりか
斧使い,…………
斧戦士,あれ！？４位は斧じゃねえのか！
斧ファイター,たしか前見た時はベスト５には入ってたはずなのに！
斧戦士,だけどベスト１０にはさすがに入ってるだろ！
斧使い,…………
斧戦士,１５位！？マジかよ！？棍棒以下なのかよ！
斧ファイター,いつの間にか、斧の人気がこんなに低くなってたなんて……
斧使い,……こういうことだ。どうやら近頃、斧はゴツくてダサい、という風潮が広まってきているらしくてな。少しずつ斧の人気が落ちてきてしまってるのだ。私も人気投票のページなどあまり気にもしていなかったのだが。久々に見たらこの有様だったというわけだ。というわけで、今日の議題についてはもう分かってもらえたと思う。どうすれば斧の人気が上がるのか本気出して考えよう
斧戦士,おう！
斧ファイター,分かりました！
斧使い,――なにかいい案はないか？
斧戦士,っていわれてもなぁ……う～ん……
斧ファイター,うーん……
斧使い,たとえば他の武器になくて斧にあるもの、をアピールできれば……
斧戦士,なんかあるかなぁ……
斧ファイター,…………！。あっ、そうだ！
斧使い,なにか思いついたのか？
斧ファイター,斧は武器の他に道具という側面が強く、剣や槍に比べて実用的です
斧使い,まあ、たしかに
斧戦士,俺の愛用の斧も、戦いがない時は木を切り倒すのに使ったりするしな
斧ファイター,そこですよ！そこを生かすんです！。斧の実用性を、街頭でアピールするんです！
斧戦士,なるほど、そりゃいいな！
斧使い,うむ、明日にでもやってみよう！。通行中の皆さま、本日は斧の実用性についてご紹介させていただきます！。斧は武器としてだけでなく、道具としても万能です！
斧戦士,木を伐採する！木材を作る！薪を割る！料理を作る！散髪に使う！。建築には欠かせないし、日常生活でも使ってる人は多いだろう！？
