日の丸弁当専門店,まるひの
女店長,はい、日の丸弁当一丁！
客,どうも！。いやー、最初は日の丸弁当専門店なんてふざけた店だなんて思ってたけど、最高だね！。今ではここの弁当なしじゃ仕事やってらんないよ！
女店長,なにしろうちはご飯と梅干しにはとことんこだわってますから
客,それに店長さんも美人だしねえ。その梅干しのペンダントもよく似合ってるよ～
女店長,ふふっ、お上手なんだから
イケメン,……
女店長,イケメン君もだいぶ仕事を覚えてきたわね
イケメン,ありがとうございます！
女店長,そろそろワンオペで任せちゃっても大丈夫かな？
イケメン,――ええ、ぜひ！ぜひやらせて下さい！
女店長,じゃあ、明日は君一人にお任せしちゃおうかな
イケメン,ついに来た……！この時が……！。……。今日この店は俺以外誰もいない……さっそく始めるか。弁当に乗せるための梅干しを――つまみ食い！。すっぱぁ～～～～～！でもうんめぇ～～～～～！。もう一個！。もう一個！。しかもこの様子を――動画で撮影する！。そしてこれをネット上にアップ！。……。……できた。弁当のおかずに使う梅干しをつまみ食いだなんて、ネット民に大バッシングされるに決まってる！。よーし、どんどん拡散されろ、俺のバイトテロ動画よ……。バカな、バッシングどころか、いいね！がつきまくってるだと……！
女店長,今月、ずいぶん売り上げが伸びたわねえ。イケメン君、なにか心当たりある？
イケメン,いえ、それがさっぱり……。くそっ、逆効果になっちまった！俺の動画がかえって宣伝になっちまったよ！
女店長,イケメン君、これから閉店までワンオペ頼める？
イケメン,任せて下さい！。再びチャンス到来！今度こそ……！。やっぱ食うだけじゃ生ぬるかったな。こうなったら……梅干しをゴミ箱に全部捨てる！。これでよし。きっとネット上では食べ物を粗末にすんじゃねえって義憤の声で一杯になるに違いない。もちろん、捨てた梅干しはちゃんと拾って食うけどね。おかしい……食い物を粗末にする動画がなんでこんなに好評なんだよぉ！？。また売上が伸びちまった……
女店長,今日もよく売れたわねー
イケメン,え、ええ！しかし、やりがいがありますよ！
女店長,イケメン君ならカフェだとか洋服屋だとか、もっと似合いそうなバイト先がありそうだけど。よくやってくれて助かるわ
イケメン,日の丸弁当は……俺にとって思い出の料理ですから……
女店長,ふうん、そうなんだ……
イケメン,またワンオペの機会が来た！今日こそ……！。今日はもう容赦しない！。まず、一度梅干しを口に頬張る。これを吐き出す。しかもこれをご飯に乗せて、商品にしちゃう。これは飲食物を扱う店として、最もやっちゃいけない行為だろ！。下手すりゃ刑事事件になるかもしれないけど、かまうもんか！。客が押し寄せてきたぁぁぁぁぁ！！！
職員,保健所の者です
イケメン,保健所キター！。唾液つき弁当出したなんて、こりゃ最低でも営業停止だろ！
職員,あの……
イケメン,はい？なんでしょう？
職員,ぜひ、あなたの唾液のついた梅干しの日の丸弁当を売って欲しいのですが……
イケメン,お前もかよ！。くそっ！。どんなにバイトテロしても、この店の評判を落とすことができない！。なぜだ！？俺がイケメンだからか！？イケメンすぎるからか！？。どうすればいいんだ……！？。昔、こんな格言を聞いたことがある……口でダメならケツでやれ。こうなったら――。梅干しをケツの穴につめて……
女店長,なにやってるの？
イケメン,わっ！？
女店長,……
イケメン,て、店長……
女店長,とりあえず、ズボンとパンツはきなさい
イケメン,は、はい……
女店長,今まで黙ってたけど、あなたがおかしな動画を上げてることは知ってたわ。どうしてこんなことするの？
イケメン,……
女店長,答えなさい
イケメン,そ、それは……
女店長,それは？
イケメン,あんたが俺の母親だからだよぉ！！！
女店長,！
イケメン,子供の頃、俺は母子で貧乏暮らしをしていた。毎日毎日ご飯は日の丸弁当……。だけど、俺はそれでも幸せだった。それなのに、それなのに……。あんたは俺を施設に預け、行方をくらませたんだ！
女店長,……！
イケメン,俺は俺を捨てたあんたを恨んだ……。そして、施設を出る年齢になったらすぐにあんたを捜し始めた！。もちろん、復讐するためにな……！。日の丸弁当専門店をやってるって知った時にゃ、思わず苦笑しちまったよ！
女店長,ごめんなさい、当時の私にはとても女手一つであなたを育てられなかった……。毎日日の丸弁当じゃ、栄養失調になるのは明らかだったし……。児童相談所からも虐待じゃないかっていわれて、もう施設に預けるしかなかったのよ……
イケメン,勝手なことを！どうせ俺を育てるのが面倒になっただけだろう！
女店長,違うわ！私はあなたのことを一時だって忘れたことはなかった！
イケメン,ウソつけ！俺が実の息子って今まで気づかなかったくせに！
女店長,それはあなたがイケメンに育ちすぎたから……
イケメン,うるせえ！梅干しのペンダントなんて、ふざけたもん付けやがって！
女店長,あっ、それはっ！
イケメン,オシャレして、男遊びに夢中だったんだろ――。ん、このペンダント……ロケットになってるのか。……！。これは……子供の頃の俺の写真……！
女店長,そう、私はずっとそれをペンダントに入れていたの。辛い時はいつも、それを見て頑張ったわ……。いつか、あなたを迎えに行けるようにって……
イケメン,母さん……！
女店長,だけど、それでも私があなたを捨てたという事実は変わらないわ……。ごめんなさい、ごめんなさい……
イケメン,もういいんだよ、母さん。それに俺こそ悪かった。バイトテロで店の評判を落とそうとして……。これからは俺、真面目に頑張るよ！。親子でまるひのをもっとすごい弁当屋にしよう！
女店長,ありがとう……
イケメン,それじゃさっそく真面目な動画撮影をしよう。母と子でやってる日の丸弁当屋まるひのをよろしく！
女店長,よろしくね！
イケメン,……これでよし
女店長,こんなんで、売り上げがもっと伸びるかしら？
イケメン,どうだろう……。でも効果がなくても、母さんと動画を撮ることができて嬉しいよ
女店長,うん、そうね。もっといっぱい母子の動画を撮りましょ！。動画がアップされるや否や、毎日空前の大繁盛で大忙しだわ！予約もいっぱい！。もうてんてこ舞いだわ！どうしましょ！
イケメン,うーむ、もしかしたらバイトテロよりもひどいことになってしまったのかもしれない……
