雪歩＝白子,しろこ
千早,それでは今回も>>2の順番で考えていきましょうか
真美,そういえばマミーポコだったね、真美……
律子,メカネちゃんだったわね、私……
千早,すってんリボン。あなたからよ
春香,よ、よろしくお願いします
千早,春香はやっぱりリボンね。トレードマーク
貴音,戒名…なのでは……？
千早,相変わらずよく転ぶわ。すててん…てんてん…リボン……
真,あ、今回もダメだ……
千早,転転すて転すててて転居士リボン
春香,えっ！？
伊織,そうじゃないわよ…絶対違うわよ……
春香,えっ、あの…か、戒名？
千早,戒名
春香,と、とわの……？
千早,安らぎ
美希,さすがのミキでも寝ていられないの……
貴音,あ、あの、如月千早
千早,何でしょう？
貴音,こ、居士とは男性に付けるものであって、女性には大姉と……
千早,！？…！？！？
律子,どうせ知らないんだろうとは思ってたわよ……
千早,…！？……！…？…！？
響,テンパり過ぎだぞ……
あずさ,考えていたことが根底から崩れたちゃったのね、きっと……
千早,……
貴音,い、いえ、あの……
千早,……
貴音,…ささいなことです……
雪歩,絶対ささいじゃないですぅ……
千早,月麺にそう言ってもらえて、安心したわ
小鳥,そう言えばそんな名前だったわね、貴音ちゃん……
千早,それでは気を取り直して、次に行きましょう。もやしちゃん？
やよい,は、はい！
千早,期待してね？
やよい,う、うぅ……
響,期待できないってことが一人目で分かったぞ……
千早,もやしちゃんは漢字が苦手だから、平仮名を多目にしたいわ
律子,その前提がおかしいっての……
伊織,つーか、余計なお世話よ……
千早,もやしちゃん…もやしちゃんの…お墓……
雪歩,は、はわわ……
千早,ここはもやしちゃんのお墓
やよい,えっ！？
亜美,誰に案内してんのさ……
春香,二人目で居士とかどうでもよくなったね……
千早,どうかしら？みんなから愛される、もやしちゃんらしく愛らしい戒名だと思うのだけれど？
真美,愛らしいとか必要なのかい……？
やよい,え、えっと…うぅ……
伊織,やよい。もう分かるでしょ？
千早,……
やよい,う、うっうー！とーっても可愛いかいみょうですー！
千早,ふふ…あなたも負けないくらい可愛いわ……
小鳥,不安しかない……
千早,ピンク嬢
伊織,う、うん
千早,何も心配はいらないわ
貴音,説得力が皆無ですね……
千早,ピンク嬢はお嬢様。そうね？
伊織,ま、まぁ……
千早,例え入るのがお墓であったとしても、小粋な感じは忘れてほしくないわ。だから……
あずさ,だから……？
千早,ピンク嬢の小部屋
伊織,えっ！？
春香,いかがわしい……
響,今回もいかがわしいぞ……
千早,ふふ
伊織,ぐ…ぐぐ……
真,やよい。言ってやりな
やよい,はい。伊織ちゃん。もう分かるでしょ？
千早,……
伊織,な、なかなか洒落てるじゃない……
真美,えらいよ、いおりん……
千早,さぁ、気分が乗ってきたわ
美希,乗らないでくれたら嬉しいって思うな、ミキ……
千早,凛太郎。あなたの番よ
真,よ、よろしく……
