店員,大特価セール、開催です！
奥様方,うおおおおおおおおおおおお！！
おばさん,どけどけどけえええええ！！
女,おどりゃああああああ！！。（今日のセール品は、卵と鶏肉！）。（2つの陳列されている場所は離れている為、片方は諦めざるを得ない）。（そして！、昨日の夜、旦那と約束したわ）。今夜のおかずは鶏の唐揚げにするのよおおおおお！！。ちんたらトロいんじゃあああ！、どけえええ！。（鶏肉コーナーへ向かうにはあそこの角を曲がる必要がある）。（最短距離で行くにはあそこをインぎりぎりでドリフトしなきゃいけない）
婆さん,……
女,！！
婆さん,まだまだ若いもんには負けんよ
女,（くそっ！、インを取られた！）
婆さん,フェッフェッ
女,（インを取られた以上、最速で曲がることは出来ない）。（……だったら！、あの技を使うしかない！）。とおっ！
婆さん,！？
女,（この僅かな出っ張りの上を走ることで商品を踏みつけることなく）。（さらに！、インの更に内側を突ける！）。お先に失礼しますね！
婆さん,あやつめ……やりおるわい
女,（ここを曲がったら後は真っ直ぐ突き進むだけ）。（しかし！、今使った技の最大の欠点がネックになる！）。（それは、今走っている商品棚からは鶏肉のある商品棚は通路を挟んで向こう側なこと！）。（つまり、鶏肉の置いてある商品棚に行くには飛び移らなければならない！）。（しかし！、飛び移るにしても通路に降りるにしても少なからず失速してしまう）。（すぐ後ろは後を追いかける人の波）。（失速した状態で人波に飲まれること、それは大型トラックに轢かれると同義！）。（この欠点を解消するため、私は新たな技を開発した！）。とりゃあっ！。（商品の更に奥！、そこの壁を蹴る！）。（これにより、減速することなく、むしろスピードアップして通路に着地する！）。（後は、鶏肉に向かって走るのみ！）
夫人,ぶほおおおおお！！
女,！！。（もう一つのルートを使ったのね）。（あっちはこっちの道と比べて数秒のロスがある）。（それゆえ、人が少なく、競争率は低くなり、環境はこっちよりもいい）。（そして、その数秒のロスを補うためにローラースケートを履いてきたみたいだけど）
夫人,止まんねえええええ！！
女,（どうやらブレーキの仕方をご存知ない様子！）。（あの体型では端に寄ってもぶつかってしまう！）。（だけどこれくらいは簡単に対処できるわ）。（だって、今まで使った技を習得するために身体能力、特にバランス感覚を鍛えたんですもの！）。（後はタイミングね）
夫人,ぶはああああああ！！
女,（今！）。てやあっ！。（そして、商品棚の端に着地、）。（更に飛ぶ！）。ふっ
夫人,ぬごおおおおおお！！
女,取っったぁぁ！！。……ってことがあったの！
夫,へぇー、やっぱりとんでもないんだなぁ、それって
女,……で、どう？、頑張って作ったんだけど
夫,……うーん。揚げる時間が長いんじゃないかな、肉が固くなってるよ
女,えっ、嘘！？。……ほんとだ
夫,味付けは僕の好みでいいんだけどね。週末戦争に備えて身体能力を鍛えるのはいいんだけども。少しは料理の腕も鍛えた方がいいんじゃないかなぁ
女,……そうね
夫,そうだ。僕の知り合いがお料理教室に通ってるんだけど。よかったら君も行ってみるかい？
女,むむむ……仕方ないわね。いいわ！、料理の腕も鍛えていつか腰が抜けるくらい美味しい料理を作ってあげる！
夫,はは、楽しみにしてるよ
女,週末戦争
