コナンドイル,苦労して書いた歴史小説がちっとも売れへん・・・
ドイル,なんでや・・・壮大な世界観に重厚な人間描写、時代考証も完璧やのに・・・英国文学史に残る傑作やんけ・・・。あかん・・・金がない・・・どないしよ。しゃーない、とりあえず、もっと大衆的で金になるもん書くか・・・。売れる小説ゆーたら、そらキモオタ向けのラノベやろな。ほんまはそんなもん書くのはワイのプライドが許さんのやが・・・。クールイケメン天才の完璧超人を主人公にして俺TUEEEEやらしてっと・・・。主人公の引き立て役に間抜けな刑事と、お人よしの友人キャラを配置してマンセーマンセーっと・・・。・・・さすがにやりすぎやろか・・・書いてて死にたくなったで・・・。まあええか。アホな中学生くらいにはこんなもんでちょうどええやろ。。主人公の名前は・・・シャーロックホームズな。小遣い稼ぎになったら儲けもんや。
読者,ホームズかっけー！すげー！超おもしれーーー！！！
出版社,コナンドイル先生！もっと続き書いてください！
ドイル,なんやと・・・。中坊向けに書いたラノベでおっさんどもがよろこんどるで・・・ほんま大衆はアホやな・・・
出版社,先生、うちの雑誌にホームズの小説書いてくれませんか？
ドイル,マジか・・・いつもは出版社に土下座して原稿買ってもらっとるのに、向こうからお願いなんて初めてやで・・・
出版社,うちのストランドマガジンで短編連載を６話くらいどうでしょうか。原稿料は３５ポンドで。
ドイル,短編６話で３５ポンドね・・・。足下見すぎちゃうか・・・相場なら１００ポンドくらいやろ・・・けど所詮ラノベやしなあ
出版社,いえ、１話につき３５ポンドです。
ドイル,ファッ！？
出版社,ではそういうことで、傑作をお待ちしております！
ドイル,ワイの傑作はもう何度も送っとるのに毎回没にしとったやんけ・・・せやのにあんな落書きが３５ポンドか・・・。さて、ラノベの月刊連載が始まったわけやが・・・どないしょ・・・。ま、とりあえず美少女やな。豚は美少女キャラだしときゃブヒブヒ喜ぶやろ・・・。
読者,ぶひいいいいーーーアイリーンたん萌え～～～
ドイル,けどクールなホームズは恋愛になんて興味ないねっと・・・
読者,きゃああああーーーホームズ様素敵ーーー！
ドイル,天才ホームズは某国の国王様にも頼りにされて、秘密結社と戦ったりもしちゃうよっと・・・
読者,うおおおーーーかっけーーー！
ドイル,ホームズはチョイ悪だから危ないクスリもキメちゃうよっと・・・
読者,そこにしびれる憧れるうっ！！！
ドイル,ホームズは落し物の帽子から持ち主を推理します・・・
信者,ごくり・・・
ドイル,この帽子はとても大きい・・・
信者,おう・・・
ドイル,つまり持ち主は頭が大きい・・・つまり・・・
信者,つまり・・・？
ドイル,持ち主はとても頭がいい人なんだよ！
信者,うおおおおおお！！！すげええええええ！！！。ホームズ最高！ホームズマンセー！
ドイル,よくこんな低俗なラノベで喜べるなあいつら・・・読者がいつの間にか信者になっとるし・・・。まあラノベが売れたおかげで生活に余裕ができたわ。これで心置きなく本命の歴史小説が書けるで。
出版社,せんせー！今月のホームズはー？
ドイル,ほれ、今回のは特別力いれた傑作やで。
出版社,ありがとうございます～～！
ドイル,ほんまは酒飲みながら適当に書き散らかした駄文やがな・・・まあアホはこれで喜ぶんやからええがな
出版社,ホームズのおかげで我がストランドマガジンの部数は爆裂的に上がりました。実に喜ばしいことです！
ドイル,むしろ嘆かわしいわ。
出版社,で、ドイル先生。来月からのことなんですが。
ドイル,おう、ホームズは今月で終わりやもんな。次回作の構想もあるで。
