俺,なにあれ、かわいい♪
やよい,だーれだ♪
Ｐ,……。（やよいが、だーれだ…）。（何か意図があるのだろうか？）。（やよいと答えるのは簡単だ）。（しかし、やよいが俺にかまってもらいたいとかそういうかわいいことを考えてたら）。（間違えてあげる方が良いのだろうか？）
やよい,……。…プロデューサー？
Ｐ,（いや、やよいの場合は本気で自分の名前を当てて欲しいという期待も…）
小鳥,（かわいいなぁ♪）
やよい,私のこと、わかりませんかぁ…？
Ｐ,あ、あぁ、すまん…ちょっと待ってくれ…
やよい,あっ、はいっ！
Ｐ,（もうやよいが踏ん張り疲れて、軽くおんぶ状態だ…）。（多分、傍目から見たら…）。（凄いかわいい姿なんだろうなぁ…）
小鳥,それはもう♪）
Ｐ,（まぁ、やよいがかわいいのはわかりきってるからともかくだ）
やよい,……
Ｐ,（そろそろ答えてあげないと、やよいが待ちくたびれちゃうな）。……。（…一回、間違えてみようかな）。…よし！
やよい,う？
Ｐ,お前の声がわかったぞ！
やよい,あっ♪ホントですかぁ？
Ｐ,（かわいい）
小鳥,（良い笑顔♪）
おれ,(ピヨちゃんもかわいいよ)
Ｐ,あぁ、もし正解だったらその手を離してくれ
やよい,え？。じゃあじゃあ間違えちゃってたら、どうすれば？
Ｐ,そうだな…そんなことは無いと思うが…。ちゃんと自分の耳で、お前の声を理解したいからな。悪いけど、そのまま目隠ししたままの状態でいてくれ
やよい,う～…間違えられちゃったらショックかもぉ…。あっ、でもでも！間違えてるなんてことはないんですよね！？
Ｐ,……。（すまん…今から1回間違える…）
小鳥,（間違えましょう♪）
Ｐ,よし、じゃあ答えるぞ？
やよい,あっ！はいっ！。……
Ｐ,お前は…
やよい,……
Ｐ,亜美だ！
やよい,…！。ぶー！ぶっぶーです！
Ｐ,（かわいい）
小鳥,（膨れた顔で寄りかかってる、やよいちゃんかわいい♪）
やよい,間違いですっ！私は亜美じゃありませんっ！
Ｐ,なっ…！？あ、亜美じゃなかったのか…？
やよい,違いますよぉ！。うぅ～…。間違えないって言ったのに～…
Ｐ,……。（俺はこの反応を期待してた）
小鳥,（期待通りの反応です♪）
Ｐ,…すまん
やよい,…う？
Ｐ,冷静に考えたら、お前の声は亜美じゃなかったな
やよい,あっ…。こ、今度こそ、わかってもらえましたか！？
小鳥,（背伸びを維持しようとするたびに、もたれかかっちゃうやよいちゃんかわいい♪）
Ｐ,ああ、もちろんだ。ごめんな…お前の声を間違えちゃうなんて…。俺、どうかしてたよ…
やよい,そ、そんな…。わ、わかってもらえたのならそれで大丈夫ですっ！。私の方こそ…。さっき、ちょっと…あっ！？…むーってしちゃって、ごめんなさい…
Ｐ,（かわいい…）
小鳥,（ずれた目隠しをとっさに修正する、やよいちゃんかわいい♪）
やよい,そ、それで…その…。呼んでもらっても大丈夫ですか…？。私の名前…
Ｐ,……。（答えてじゃなくて…）。（呼んで…）。（やよいは本当に俺にかまってほしかったのか…）。（ちょっとかわいすぎないか？）
小鳥,（ええ、とっても♪）
Ｐ,…よし。じゃあ…呼ぼうか？
やよい,あ…は、はいっ！
Ｐ,……
やよい,……
Ｐ,お前の名前は…
やよい,……
Ｐ,…やよい、手を離してもらっていいか？
やよい,あっ…♪。はぁい♪
Ｐ,……
やよい,うっうー♪正解ですっ♪
Ｐ,うわっ、かわいい
小鳥,かわいいですねぇ♪
やよい,えへへー♪
Ｐ,やよい、いきなりどうしたんだ？
やよい,う？
Ｐ,あぁ、いや。ちょっとびっくりしちゃってさ
やよい,びっくり？
Ｐ,うん。いきなりやよいが、だーれだ？なんて、茶目っ気のある遊びをしてくるなんて思わなかったからさ
やよい,あっ…も、もしかしてご迷惑でしたかぁ…？
Ｐ,いやいや、そんなことはないぞ！
小鳥,むしろ喜んでたわよ♪
やよい,ほ、ホントですかぁ？
Ｐ,あぁ
やよい,そ、それなら安心ですっ！。え、えーっとぉ…
Ｐ,…？
やよい,…えへへ♪。プロ…お兄ちゃんに私の声、当てて欲しいなぁって思ったの…。それだけ…♪
Ｐ,……。うわやよいかわいい
小鳥,本当にかわいいです♪
やよい,お兄ちゃん、もう私の声、間違えたりしないでね？
Ｐ,あぁ、間違えるものか
やよい,…えへへー♪
Ｐ,（しかし本当にかまってほしいだけだったとは…）。（ここまで懐かれていると…なんだ…）。本当に兄になっても…良いな…
やよい,えっ？そ、それはダメっ！
Ｐ,えっ？
やよい,あっ…！。あ、う、うぅ…
小鳥,がんばれやよいちゃん♪
やよい,お、お兄ちゃんはお兄ちゃんなんだけど…。ほ、ホントのお兄ちゃんじゃダメで…そのっ…
Ｐ,……
やよい,う、うぅ…。お…。お、おっきくなったらお兄ちゃんと結婚したいからお兄ちゃんはお兄ちゃんじゃダメー！
Ｐ,うわあああああああああああ
小鳥,きゃあああああああああ♪
Ｐ,やよい！！
やよい,は、はいっ！？
Ｐ,おいでっ！
やよい,えっ？。……。…お、おじゃまします…？
Ｐ,やよいっ！
やよい,はわっ！？
Ｐ,お前の気持ちが大人になっても変わらなかった、その時は…。結婚しよう！俺、ずっと待ってるから！
やよい,あ…。…うんっ♪。私をお兄ちゃんのお嫁さんにしてくださいっ…♪
小鳥,あれが大人の「だーれだ？」よ
亜美,亜美、まだまだ大人になれそうにないや…
やよい,亜美ってまたまたお子様ですねー
亜美,！？
やよい,だーれだ？」Ｐ「おっ？
