王1,近頃魔物たちが行商などを襲撃しており相当の被害を受けておる。そしてその魔物はすべて魔王と呼ばれる存在が人間を生贄にして生み出したものだという。。さらに奴はわしの娘をも攫っていった。勇者よ、魔王を倒してまいれ！
勇者,はっ！
魔王,人間を使って創ったのは5体だけなんだがな…
側近,それはさておきとうとう勇者が来ますね
魔王,そうだな。あまり強くはなさそうだからとりあえずスライムたちに向かわせよう。あの勇者だ。今後どうするかのために念のため観察しておこう
勇者,どこに魔物がいるんだ？
スライム,(ゆーしゃみつけた)
勇者,魔物っ！
スライム,ゆーしゃかくごー！
勇者,半透明の女の子！？
スライム,うりゃ！
勇者,よわっ！？(俺Lv1だぜ？)。とぉ！！
スライム,あぅ
勇者,初戦闘は勝った…がいくらなんでも弱すぎないか？
側近,案の定の惨敗でしたね
魔王,うむ
スライム,うきゅー…
魔王,ふんっ
スライム,まおーさまごめんなさい…
魔王,大丈夫だ、問題ない。下がれ
スライム,うぅ
側近,進撃どころか勇者の妨害すら危ういというこの現状。しかし勇者を止めねば姫が危ない。無論魔王様も
魔王,我と姫の優先順位が逆ではないか？
側近,実際そうでしょう
魔王,確かにな。では水の四天王を勇者のところに向かわせろ。我は引き続き研究を続ける
側近,魔王様
魔王,どうした？
側近,勇者の元に水さんを向かわせるのは少々まずいかと
魔王,そうかもしれぬな、では土の四天王を向かわせろ。承知しました。男性型の魔物を確実に創る方法の見当はある程度付いている。が実際に実行するにはリスクが大きすぎるのだ
側近,もしかして…
魔王,聞いていたのか側近。ああ、そのもしかして、だ
側近,しかしあの材料だとどうしても問題が
魔王,そう。だから問題なのだ
王2,近頃近くの森に見知らぬ女がうろついているとの情報があった。しかしそこには人は住んでおらず行くものも限られている。この謎の女を見つけてくれ
勇者,はっ！。森に謎の女ねぇ…まあ魔物だろうな
コボルト,あ、勇者だ！四天王様に言わなきゃ！
勇者,魔物っ！？まてぇえええ！！。ぜぇ、はぁ、案外、はやい…
コボルト,四天王様ー！
？？,お疲れ様、コボルト。お城に帰ってなさい
コボルト,はーい
？？,あら勇者お久しぶり、いやはじめましてかしら？
勇者,誰だお前は！！
土の四天王,私は土の四天王。あなたには魔王討伐を諦めてもらうわ
勇者,それはできない！だって魔王は…
土,姉の敵、かしら？
勇者,そうだ！姉さんは5年前に魔王の手で…！！
土,安心しなさい、あの子は生きているわ。そしていずれ出会うはずよ
勇者,そんなこと言われて信じると思うか！
土,信じるも信じないも貴方の勝手
勇者,ふざけるな！！
土,ちょっと落ち着きなさい
勇者,うがっ！
土,魔王は貴方を待っているわ…じゃあまた会いましょう
勇者,ま…て…！！
王2,…起きろ勇者！！
勇者,…ここは城？俺は森にいたはずなのに…
王2,土の四天王を名乗る女が瀕死のお主を抱えてこの城に来たのだ
勇者,なんだと…
王2,そしてそやつはまだ勇者にはあの子、そして魔王に会う資格はないと言い残し去っていった
勇者,くそ…っ！
魔王,おお、土の四天王ではないか、よく戻ってきた
土,勇者はまだまだ脅威にはならないわね
魔王,それは良かった
土,けど魔王？
魔王,なんだ？
土,あの勇者ってまさか…
魔王,そのまさかだ
土,だから勇者を倒せじゃなくて勇者を止めろなのよね？
魔王,ああ
土,まあいいわ。いずれ勇者がすべてを知った時の反応が楽しみね
魔王,同感だ
王2,…して勇者よ、森の女は土の四天王とその配下、ということでよいな？
勇者,はい。おそらく俺を待ちぶせしていたのかと
王2,協力感謝する。これは礼だ。装備でも整えてゆけ
勇者,ありがとうございます
王2,どうした、不満でもあるのか？
勇者,い、いえ
王2,ならよい。下がれ
勇者,はっ！。土の四天王のあの発言…
土,安心しなさい、あの子は生きているわ。そしていずれ出会うはずよ
勇者,どういうことなんだ…あっ！
魔王,ようやく勇者が土の四天王の正体に気がついてきたようだな
側近,しかしまだ彼は弱すぎます
魔王,だからそれなりに遠回りさせるつもりだ。風の四天王を人間の国3付近に向かわせろ
側近,承知しました
勇者,うーむ、謎を知るためには土の四天王を見つけるのが最優先だ。だけどどこにいるのだろう…
？？,勇者、聞こえてるかしら？
勇者,空から声！？
風の四天王,私は風の四天王。人間の国3の近くの塔で待っているわ
勇者,塔だな！今から行くぞ、風の四天王！。せっかくだからここで装備を整えていこうかな
武器屋,へいらっしゃ～い！！
勇者,(女の武器屋とは珍しいな…ってえええ！？)
武器屋,どうしたんだい突然固まって
勇者,その蛇の尾…お前魔物か！
武器屋(ラミア),そうだけど何さ
勇者,なぜ魔物が町中にいる！
武器屋,だって武器屋だもん
勇者,は？
通行人A,魔物が商売してて驚くなんて、おまえよそものか？
通行人B,その蛇の嬢ちゃんいい仕事するぜ？
勇者,へ？
通行人1,よそものなら仕方ねぇな、ちょっと来い、説明してやる
勇者,あーれぇーー
武器屋,後で買いに来てね～！
勇者,…ふむ、つまりここ数年魔物が魔王の元から抜けだして町に定住するようになった、と
通行人B,そうそうそういうこと
マスター(ケンタウロス),へいビール2丁とオレンジジュースおまち！
勇者,けど魔王はなぜ魔物の脱走を止めなかったのだろう？
マスター,魔王様は去るものは追わないし来るものも拒まないよ
勇者,そ、そうなのか。そういえば今魔王様といったってことは魔王に対して忠誠心がないわけではないんだな
マスター,ま、私を創ってくれたのは魔王様だしね
勇者,じゃあなんで魔王の元を離れたんだ？
マスター,新しい世界を見たかったのさ。魔王様にそう言ったらあっさり出してくれたよ
勇者,ふむふむ、面白い話を聞かせてくれて有難う。お題はここに置いていく
マスター,またいらっしゃいね！
勇者,魔物ってのはなんなのだろうな…。そして魔王ってどんなやつなんだろうな…。その答えは本人に聞くしかなさそうだな
姫,貴女に髪飾りを作ってみたの♪
ハーピー,えへへ、ありがとう♪
魔王,元気そうだな、姫よ
姫,あ、魔王！ちょっとこっちに来て♪
魔王,な、なんだ姫…
姫,これあげる♪
魔王,く、首飾り…？
姫,わたしを大事にしてくれるお礼！
魔王,は、はぁ。(彼女は正妻の子ではないとかで人間の国1では酷い生活を強いられていたらしい)
姫,大事にしてね♪ハーちゃんあそぼ！
ハーピー,わかった♪
魔王,(…いつかの来る日のためにも姫を守らねばな)
勇者,風の四天王が言ってた塔はここだな…
インプ,ようこそ勇者様、風の四天王様がお待ちです。私が案内いたしますのでついてきてください
勇者,わかった
風の四天王,ようこそ勇者。私が風の四天王よ
勇者,はじめまして、か。俺が勇者だ
風,土ちゃんの時は名乗らなかったのに今回は名乗るのね
勇者,敵とはいえ少々気になることがあったからな
風,そう、それはいいとして…。私は戦う気はないわ
勇者,は！？
風,そもそもの目的が勇者の旅を長くさせるためだし
勇者,
風,まあ戦ってもいいけどあなたに私は倒せないでしょうし
勇者,倒せるかどうかなんて知ったことか！
風,戦いたいのならいいわ、手加減してあげるから本気で来なさい！
勇者,手加減などいらん！！
風,手も足も出せなかった土ちゃんの時よりは強くなったみたいね
勇者,回復魔法だとっ！？
風,だから言ったでしょ？倒せないって
勇者,うぁあああ！
風,体力も前よりは強くなってるのね
勇者,…え？
風,最初に言ったでしょ？戦う気はないって
