若者,よーし、運動するぞー！。その前に準備体操、いっちにー、いっちにー。うっ！？。ぐわああああああああああああああああああ！！！
キャスター,今日も多くの若者が肉離れを起こし、病院に搬送されました。若者の肉離れが進んでいます。本日は専門家の方にお越し頂いております。なぜこうも、若者の間で肉離れが多発しているのでしょうか？
専門家,肉離れというのは、えー、肉が離れることですので。運動不足ですな
キャスター,はあ
専門家,つまりやはり、原因は運動不足、ということになるわけです
キャスター,なるほど
専門家,とにかく運動不足！肉離れといったら運動不足なのです！
キャスター,不足してるのはてめーのアタマだよ
女,肉離れだって。あなたは大丈夫？
男,もちろん！いつもアルバイトで忙しく働いてるし、今日もウォーキングしたし。見ろよ、今日の万歩計
女,15000歩……結構歩いてるじゃない
男,だろ？今の専門家もいってたけど、みんな運動不足なんだよ。もっと歩かなきゃ
女,だけど、それだけでこんなに肉離れが多発するかなって気もするのよね
男,お？理系女としての勘か？
女,まあね
男,やっとゼミ終わった
友人,次の課題はめんどくさいな。大学でやる講演に出席してレポート書かなきゃいけないなんて
男,ああ、たしか製薬会社だか勤めてた爺さんが来て、高齢社会について話すんだっけか
友人,一時間もだぜ？あー、かったりい
男,若者の問題の次は、高齢者の問題とはめまぐるしいな
友人,？
男,いや、こっちのことだ
老紳士,……でありまして、この間も醤油とソースを間違えてしまいまして。だけどこれはこれでおいしそーっす、なんつって。老化というのはどうしようもない現象でありますが、我々年寄りにもまだまだ意地が……。なんとか若い人たちに負けないよう、冷や水と言われつつ研鑽を続けているのであります
男,ふうん、なかなか話し上手で面白いな。ふー、終わった終わった
友人,だけど、結構楽しめたな。退屈しなかったよ
男,ああ、なかなか話の上手い爺さんだった
友人,しっかし、会場は暑かったな。会場でもらったお茶飲もうぜ
男,そうだな。うめえ！……ってこの辺ゴミ箱ないのか。ま、いいや。カバン入れとこ
友人,じゃ、しっかりレポート書けよー！
男,お前もなー！
店長,そのミネラルウォーターの入った箱、こっちに並べてくれるー？
男,はーい！
店長,さすがだね、やっぱ若い人は力があるよ
男,いやー、どうも。うっ！？
店長,どうしたね？
男,あがっ……！
店長,お、おいどうした！？
男,足がっ……ぐわあああああ……っ！
店長,しっかりしろ！
男,あぐぅぅぅぅぅ……！
店長,大丈夫か！？救急車呼ぶか！？
男,いや、そこまでは……
店長,とにかく横になろう！さ、早く！
男,ううう、みっともない……。……肉離れだって
女,ウォーキングしてたんじゃなかったの？
男,してたはずなんだけど……
女,さいわい重傷じゃなかったし安静にしてることね
男,そうするよ。ったく情けねえ……。……ん、友人からだ。もしもし。え！？……お前もかよ！うん……うん……そう、俺もなんだよ。お互い、体大事にしような……
女,どうしたの？
男,友人も肉離れ起こしたって……フットサルやってる最中に
女,えっ
男,あいつも運動不足だったのかなぁ
女,いや、こんなのどう考えてもおかしいわよ。偶然とは思えない。最近、友人君と何か変わったことしなかった？
男,そんなんするわけないだろ
女,同じ講義に出たとか
男,ゼミは一緒だけど、別になんかしたってわけじゃ……あ。そういや高齢社会がどうのって講演を聞いたっけなぁ。だけどそのくらいで……
女,なにか一緒に飲み食いしたりしなかった？
男,別に何も……いや
女,なに？
男,お茶を……飲んだ。会場でもらったやつ
女,どんなお茶？
男,いや、普通のペットボトルのお茶だよ。変な味もしなかったし
女,メーカーとか分からない？
男,そういや、ペットボトル捨ててなかったな。俺、まだ持ってるぜ
女,どこにあるの？
男,カバンの中入ってると思う
女,見せて
男,おい、人のカバンを勝手に……
女,……
男,ペットボトルなんか見てどうすんだよ
女,ここ……小さく穴あいてる。で、塞いだ跡があるわ
男,え！？そりゃどういう……
女,決まってるわ。なにかを混入させたってことでしょうよ。注射器とかで。たとえば、筋肉を弱らせる薬品みたいなものを……
男,まさか……
女,私の学部にこういうのを調べられる機械があるの。ちょっと調べてくる
男,どうだった？
女,わずかに残ってたお茶を分析にかけてみたけど、お茶ではない何かが混入してるのは確かよ。きっと講演で渡すお茶に、こういう細工を施してたに違いないわ
男,で、それを飲んだ俺と友人は肉離れに……
女,おそらくね
男,マジか……
女,もっと詳しい検査をすれば犯行を立証できると思うし、このまま警察に……
男,いや、ちょっと待ってくれ
女,？
男,あの爺さん、もしかしたら今日もどこかで講演してるんじゃないか？
女,調べてみる。えっと……。あ、やるね。うちとは違う大学で、14時から
男,警察に行ったんじゃ、当然それに出る学生を助けることはできない。今からその大学に向かおう！若者の肉離れを食い止めるために！
女,だけど安静にしてないと
男,んなこといってる場合かよ！俺は行くぜ！
女,ふうん、少し見直しちゃった
老紳士,ノドが渇いたら、今渡したお茶をどんどん飲んでくれてかまわないので。ちなみに私、こないだウイスキーと間違えて麦茶を飲んでしまいましてね。かえって健康的なので、ま、いいかとそのまま……
学生A,結構面白いな
学生B,この爺さん、このところ各地で講演してるらしいぜ
学生A,どうりで話が上手いわけだ……
学生B,にしても暑くね？このお茶飲もっかな
老紳士,なんだね、君は？
男,みんな、今渡されたお茶は絶対飲んだらダメだぞ！
老紳士,なにをいっとるんだ――
男,なぜなら……飲んだら肉離れを起こす！俺みたいにな……。みんな、ペットボトルを見ろ！
女,底に小さな穴を開けた跡があるはずよ
男,爺さん、あんたは各地で若者に向けた講演会を開き。肉離れを引き起こす薬品かなにかを混ぜた、あのお茶を渡し――。今話題になってる若者の肉離れを引き起こしていたんだ！。部屋が妙に暑いのも、お茶を飲むよう仕向けるため、空調をいじってるんだろう。違うか、爺さん
老紳士,……。フッ、よくぞ見抜いたものだ
男,見抜いたのは、俺じゃなくこいつなんだけどな
女,あなたがペットボトル捨ててなかったおかげよ
老紳士,推理通り、私はかつて製薬会社勤務だった経験を生かし、筋肉を弱らせ裂けやすくする薬……。すなわち、肉離れを引き起こす薬を作った。そして、それを市販の飲料に混入させ、このような講演の場などを使って若者に飲ませた。ただし、安心せい。原液をだいぶ薄めたのを使用したから、効果は一時的なものだ。君も肉離れしたそうだが、それが治る頃には筋肉も以前の状態になっているだろう
男,んなことより、なぜこんなことを？。あなたの話は面白かったし、楽しそうに年取ってて、こんなことする人には見えなかったのに！
老紳士,楽しそうに年取ってて……か。笑わせるなァ！！！
男,！
老紳士,年取ることに楽しいことなんざあるものか！。体は日に日に弱っていき、若い頃は当たり前のようにできたことができなくなる！。髪は抜けるわ、腰は痛いわ、歯は脆くなるわ、老眼になるわ、ろくなことがない！。君は肉離れした時、自分を情けないと思わなかったか？
男,思った……
老紳士,我々年寄りはそんな気持ちを毎日のように味わっているんだッ！。そのうち私は若い連中が憎くなっていった……。いずれ私のようになるとはいえ、羨ましくてたまらず、憎悪を抑えきれなくなっていった。だから、“だったら肉離れさせてやる”と思い立ったのだ！
男,老いるのが嫌だって気持ちは分からないでもないけど……いくらなんでも身勝手すぎる！
女,そうね。老いを受け入れてるお年寄りも一杯いるわ
老紳士,ふん……なんとでもいえ
男,とにかく、これであんたは終わりだ。動かぬ証拠になるペットボトルのお茶もみんな持ってるんだからな
老紳士,私がなんの考えもなく、ただ逮捕されるために全てを暴露したと思ってるのかね？
男,……？
老紳士,こうなれば最後に大暴れさせてもらう。大勢の若者をこの手で直接叩きのめすのも悪くない
女,大暴れって……あなたじゃ肉離れしてるこいつ一人にも取り押さえられちゃうでしょ
老紳士,筋肉を弱くする薬を作れるということは当然……筋肉を強くする薬も作れるということだ
男,？
老紳士,この青い液体が“筋肉を弱める薬”の原液……君も飲んだものだ。そして、こっちの赤い液体は……“筋肉を強める薬”！
男,な！ま、まさか……！
老紳士,そのまさかだァ！これを飲んで最後の一暴れをするとしよう！。っぷはぁっ！。うをおおおおおお！見るがいい、私の体がパワーアップしていく瞬間をッ！。もはやお前らどころか、警察にだって負けないィィィィィッ！
男,あの……
老紳士,なんだ？
男,飲む薬間違えてない？思いっきり青い方を飲んじゃったけど……
女,ホントだ
老紳士,あ゛っ！！？
男,薄めたのをほんのちょっと混ぜたお茶でも、肉離れが起きるのにそんなの飲んじゃったら……
老紳士,また間違えた……。すぐ赤い薬を……！。うぎゃあああああっ！か、体がっ……！。おふううううううううっ！！！。あぎゃあああああああああああああああああああああああああああああああああ！！！！！
男,うわ……
女,ひえ……
男,一命は取り留めたけど……あの爺さん、後の人生はずっと寝たきりだろうな
女,自業自得とはいえ……哀れね
男,とりあえず、これで若者の肉離れ事件はめでたく解決したわけだけど――。当分肉は食えそうにないや……。全身肉離れした爺さんの姿が目に焼き付いちゃって……
女,私たちの肉離れはもうしばらく続きそうね
