TV,こちらの工場では工程管理をAIに任せることで、人員を50人削減……
殺し屋,ここんとこ、こういうニュース多いなー
相棒,AIの発達はめざましいからな
殺し屋,50人削減ってことはようするに50人クビってこったろ？恐ろしいねえ
相棒,人の仕事がAIに奪われる……というのがいよいよ現実化してきてるな
殺し屋,その点、俺らみたいな稼業はよかったなぁ。AIに奪われようがない仕事だもん
相棒,まぁな
殺し屋,話は変わるが、仕事の話あったろ？あれどうなった？
相棒,それが先方からキャンセルが来てな。キャンセル料は振り込まれたが……
殺し屋,ちっ、またかよ。最近こういうこと多くないか？。それになんだか仕事が減ってきた気がするし……
相棒,たしかに……去年の今頃と比べるとだいぶ依頼が減っている
殺し屋,くそっ、このままじゃ商売あがったりだぜ
相棒,なにか原因があるのか……ちょっと調べてみるか
殺し屋,頼むぜ、相棒！
相棒,どうやら、俺たちの仕事が減っている理由が分かったぞ
殺し屋,なんだったんだ？
相棒,“新参者”が現れたんだ。俺たちよりも格安で殺しを引き受ける、新参者がな
殺し屋,ハッ！俺たちの世界じゃよくある話だ！。てっとり早く名を上げようとして、無茶な仕事を安く引き受けちまう大馬鹿が出てくるのはな！。そういう奴は大抵とっととくたばっちまうもんさ！
相棒,くたばってくれればいいんだがな……
殺し屋,？どういう意味だ？
相棒,その新参者は……“AI”なんだ
殺し屋,なんだとォ！？。AIが殺しをやるってどういうことなんだよ。ボードゲームのAIみたいに、的確な指示をしてくれる、みたいなことか？
相棒,いや、そのAIは人を必要としていない
殺し屋,するとなにか？そのAIはロボットをウイーンウイーンと動かして殺しをやるってことか？。SFじゃあるまいし……
相棒,どうもそうらしい
殺し屋,え
相棒,AIがさまざまな遠隔装置を操作して標的を殺害する……。今のところ成功率は100％を誇っているそうだ。しかも、俺たちより遥かに安い値段でな
殺し屋,マジかよ……！。いったいどんな奴がんなもんを造ったんだ！？
相棒,AIの技術者は、国内有数の工学系大学を卒業後、しばらくは普通の企業で働いていたが。その後退職、AIやロボットの軍事利用について研究していたらしい。そして今、AI殺し屋をひっさげて、裏社会に名乗りを上げたというわけだ
殺し屋,ちっ、大人しく軍や企業に飼われてりゃよかったのによ
相棒,どうする？
