商人,今日は店じまいして、そろそろ帰るとするか。ん？後ろに何か――
兵士A,まーた犠牲者が出たか。これで五人目だ
兵士B,この爪跡……今までと同じく魔物の仕業に違いないな
兵士A,やっぱり市長の言う通り、魔物との完全な共存なんざ不可能ってことだな
兵士B,ああ……市長の政策が一刻も早く実施されることを願うばかりだ
キャスター,この都市で、またも殺人事件が発生しました。遺体には大きな爪跡が残っており、魔物の犯行である線が濃厚で……
剣士,…………
少女,ねえねえ、おじさん。人形劇見たい。チャンネル替えていい？
剣士,ニュース見てるからちょっと待ってろ
少女,ぶうう……
市長,またこのような事件が起こってしまったことを、大変遺憾に思っています。やはり、人間居住区と魔物居住区の間には壁を設けるべきだと改めて感じました
副市長,今回の事件が、この都市の魔物の仕業とは限りません。壁を作るなど早計です。人と魔物は融和すべきである。これこそが勇者様の信念だったのですから……
剣士,都市のNo1とNo2が真っ向対立か、面白いことになってきたな
少女,どういうことー？
剣士,今、この都市には人間のが圧倒的に多いが人と魔物が暮らしていて、居住区はくっきり分かれてる。ここにさらに壁を作ろうとしてるのが市長で、融和路線を推進してるのが副市長だ
少女,ふーん。今のとこどっちが優勢なの？
剣士,魔物による殺人事件がこれだけ横行してちゃな……圧倒的に市長だ。このままいけば、市長が再選するだろうな。お前はどっち派だ？
少女,うーん、魔物とは仲良くしたいけど、殺されるのはゴメンだなぁ
剣士,正直でよろしい
少女,おじさんは？
剣士,俺か？俺は……どっちだろうな
少女,どっちつかずー！
剣士,客か
少女,はーい！あたしが出る！
剣士,どのようなご用件で？
婦人,あなたは……剣を振るう依頼であれば、何でもやって下さると聞きました
剣士,ええ、まあ。用心棒、護衛、剣の稽古、儀式剣舞、何でもござれです
婦人,誰かを斬って欲しい、という依頼でも？
剣士,……内容次第ですが
婦人,私が依頼したいのは、今この都市を騒がせてる連続殺人の犯人を斬って頂くことなのです
剣士,なぜ？
婦人,先日の被害者である商人……あれは私の夫なのです
剣士,なるほど、仇討ちですか。例の事件、魔物による犯行が濃厚といわれてますね
婦人,はい
剣士,奥さんもご存じのように、この事件は人と魔物の今後の関係に直結する事柄……。一介の剣士である俺がおいそれと引き受けることはできません
婦人,そう、ですよね……
剣士,しかし
婦人,！
剣士,一連の事件、なんとか真相を突き止めてみせます。場合によっては犯人を斬ります。これでいかがですか？
婦人,それでかまいません！このままなぜ主人が殺されたのか分からないままいるのは嫌です！
剣士,では、料金についてですが……。じゃ、行ってくる
少女,真相を突き止めるって、おじさんにそんなことできるの？
剣士,分からん。が、ここで断ったらあの奥さん何しでかすか分からないしな
少女,たしかに、自力で何とかしようとしちゃうかも
剣士,それに俺自身、この事件には興味がある。ってわけで出かけてくる。留守番して、しっかり勉強しろよ
少女,行ってらっしゃーい！
剣士,まずは、この事件を捜査してる都市常駐兵の駐屯地に向かうか。こうして街を歩いていると……。やっぱり話題は連続殺人の件で持ちきりだな。中には、数百年前魔王を倒したという救世主、勇者の再来を望む声もある……
兵士A,あ、剣士さん！お久しぶりです！いつぞやはお世話に――
剣士,よせよ、お互い様だ。兵士長はいるか？
兵士A,ええ、ちょっとお待ち下さい
兵士B,今日はどうされたんですか？
剣士,こっちの仕事の都合で、例の連続殺人について調べててな。なにか情報あるか？
兵士B,それが……犯人は魔物ってことぐらいしか。魔物居住区に捜査に乗り込むには、それなりに手続きもいりますから
剣士,まあ、死体には魔物の爪跡がありました、だけじゃな
兵士B,だけど、近いうち奴らの犯行を立証してやりますよ。そして、居住区間に壁を設けるんだ！
剣士,…………。今回の事件、捜査は難航してるらしいな
兵士長,ああ、知っての通り、魔物相手の捜査ってのは厄介なんだ。人間なら聞き込みにもきちんと応じてくれるけど、魔物はそうもいかないしな。魔物居住区の奴らも、自分たちが悪者にされてるってことで相当ピリピリしてるよ
剣士,お前はどうなんだ？今回の事件は魔物の仕業だと？
兵士長,被害者の爪の跡、金品には手をつけられてない。現状、そう考えるしかないだろうな。それともう一つ懸念していることがある
剣士,なんだ？
兵士長,この事件が長引くと、≪勇者教≫の連中が動く可能性もある
剣士,≪勇者教≫……この都市にもいるのか！
兵士長,ああ、隠れ支部があるらしい
しかし、,勇者は本当は魔物の根絶を望んでいた
兵士長,≪勇者教≫は暗殺者の養成みたいなこともやってると聞く。そんなのが“やはり魔物は根絶すべき”と暴れてみろ……都市は大パニックだ
剣士,想像したくもないな
兵士長,だから我々としてもこの事件は早く解決したいんだ。できるかぎり情報は提供するから、お前もなにか分かったらすぐ教えてくれ
剣士,ああ、そうさせてもらうよ。≪勇者教≫のことは驚いたが、結局ここでもめぼしい情報は無し、か。次に向かうべきは……やはり魔物のことは魔物に聞くのが一番だろうな
見張り,……ん
剣士,長老に会いたいんだが
見張り,あぁ？ナメてんのか、てめえ！今オレらがピリピリしてるの知らねえわけじゃ――
鳥人,よせ、そいつは特別だ。お前の敵う相手じゃない
見張り,あ……鳥人さん
鳥人,長老に会いたいんだろう？ついてこい
剣士,ありがとう
長老,久しぶりじゃのう
剣士,長老こそ、お元気そうで
子,じいじ、なんで人間を家に招くのさ！今あいつらがオレらをどう思ってんのか知ってんだろ！
長老,こやつは特別じゃよ。特に昔は金さえ貰えば人も魔物も斬る冷血漢で、魔物ですらこやつを恐れた。ただし、自分で殺してしまった敵兵の娘を引き取って育てる、奇怪なところもあるがのう
剣士,喋りすぎだ、長老
長老,ほっほっほ、こりゃ失礼。で、なんの用じゃ？
剣士,単刀直入に聞く。今この都市で起こってる、連続殺人事件――。この居住区に住む連中の仕業なのか？あんたは関与してるのか？
長老,知らん。わしが今さらそんな命令を下すはずもないし、この居住区の管理ははっきりいって大雑把じゃ。ここに住む魔物がどこで誰を殺そうと、どこでくたばろうと、わしの知ったことではないよ
剣士,そうか……。とりあえず、あんたの差し金じゃないって分かってよかったよ
長老,ほっほっほ、そうかそうか。ただし、これだけは言っておこうかの
剣士,ん
長老,今の市長がこの居住区に壁を設けようという話、わしゃ一向にかまわんが。人間どもがわしらに牙をむくようならばわしらも容赦せん。全力でわしらの恐ろしさを思い知ってもらうつもりじゃ
剣士,……肝に銘じとくよ
子,ベーッだ！
剣士,ただいま。しっかり勉強してたか？
少女,もっちろん！で、どうだったの？犯人分かった？
剣士,分からないということが分かった
少女,なにそれー！
剣士,街の兵士たちが解決できないでいるんだ。俺なんかが易々と真相にたどり着けるとは思ってない。しばらくは気長に情報収集するさ
市長,何度でも繰り返しますが、壁政策は必要なのです！
副市長,しかし、事件の真相も明らかになっていないのに、壁を作るなど……
市長,では、真相が明らかになるまで、人は魔物に大人しく殺され続けなければならないのですか？
副市長,それは……兵士たちはきちんと捜査してくれてますので……
少女,今日はこの二人、口喧嘩やってる！
剣士,せめて論戦っていってやれよ
少女,だって、最近この二人水晶に出すぎなんだもん。飽きちゃったよ
剣士,市長選がもう間近だからな。しばらく我慢しろ。そういえば、もうすぐ大勢の市民を集めた大演説会が開かれる。二人の雌雄はそこで決することになるだろうな。現場近くで聞き込みしても、有力な情報は無し、か。果たして魔物に、こんなろくに目撃もされないスマートな殺しができるもんだろうか？
少女,おじさん、おじさん！
剣士,どした？
少女,また事件起きたよ！ニュースやってる！
剣士,ホントか
キャスター,スラムの一角で、男性が殺害されました。やはり、駐屯所は魔物の仕業と見ており……。市民からは捜査の遅れや魔物に対する不満の声が高まっています……
剣士,…………
少女,怖いねー
剣士,スラムか……。スラムの連中も兵士たちのことは嫌っている。もしかしたら、彼らが聞き込めなかった目撃者なんかがいるかもしれないな。よし、ちょっと出かけてくる
少女,行ってらっしゃーい！
チンピラ,ゲ！
剣士,ゲとはなんだ、ご挨拶だな
チンピラ,ちっす……
剣士,悪さはしてないだろうな
チンピラ,するわけねえでしょう
剣士,なんだよ、してたら一枚噛ませてもらおうと思ったのによ
チンピラ,冗談はやめてくれよ……
剣士,ところで、ここらで魔物による殺人事件があったろう。なにか知らないか？
チンピラ,ああ、あれか？さぁねえ、俺はなんも見てないぜ
剣士,見てそうな奴はいるか？
チンピラ,うーん、どうだろ。あ、だけど、あっちにいる爺さんなら、なにか見てるかもな。ちょっと頭いかれてて、あちこちぶらぶらしてるからよ
剣士,ありがとよ。あんたか
浮浪者,ほえ？
剣士,あんた、ここらで起こった殺人事件、何か見てないか？
浮浪者,いいや、見とらんよ
剣士,…………。いや……見てるはずだ
浮浪者,へ？
剣士,…………
浮浪者,だから言えんのじゃ！しつこいのう！
剣士,どうしても言えないのか
浮浪者,わしはまだ死にたくないからのう。あんなの見たって口に出したら殺されちまうよ
剣士,なら仕方ない。日が沈んだら、あっちの人のいない区画で落ち合おう。二人きりでなら話してくれるだろ？
浮浪者,仕方ないのう……ただし礼は弾めよ
剣士,分かってる
浮浪者,…………。遅いのう……。なんじゃね？
覆面,お前……“例の事件”を見てしまったらしいな？
浮浪者,だったらなんじゃ？
覆面,氏んでもらう
浮浪者,おやおや物騒じゃのう……
覆面,冴えない最後の言葉になったな。な……！？
浮浪者,この爪……魔物の爪を加工したものだな。こんなもんよく作ったもんだ。だいぶ話が見えてきた
覆面,剣だと！？ジジイ、お前何者だ！？
浮浪者,……俺は
剣士,まだジジイなんて年じゃねえよ
覆面,……あのジジイはどうした！？
剣士,さぁ……今頃女の子と遊んでるんじゃないか。ちなみにあの爺さん、事件のことなんかなにひとつ見ちゃいないぜ。スラム街をこそこそ嗅ぎ回ってる気配があったから、一芝居してもらったのさ。ノリのいい爺さんで助かったよ。万一目撃者がいたら消そうとしてたんだろうが、逆に尻尾つかまれる結果になったな
覆面,ちっ……！
剣士,大人しく全てを話してくれる……
覆面,…………
剣士,気なんてなさそうだな
覆面,シャッ！。ぐおあぁっ……！
剣士,さぁ、もう動けないだろ。洗いざらい吐いてもらおうか
覆面,ぐ……！。ぐふっ……！
剣士,こいつ……！。氏んでる……。なんて奴だ、自害しやがった。くそっ、犯人をおびき寄せる作戦は上手くいったが、結局黒幕は分からず仕舞いか。他に……気配はない。単独で動いてたようだ。仲間はいないのか、それとも浮浪者程度の始末なら一人でできると思ったのか。前者だとありがたいが、後者の可能性が高いだろうな。とりあえず、この死体を――
兵士長,こいつが……殺人事件の犯人？――人間だったのか！
剣士,ああ、魔物の爪を加工した武器を使っていたし、間違いないだろう
兵士長,さすがだな……我々でも手をこまねいていたのに
剣士,だが、死なれてしまった。俺ではこれ以上のことは分からんから、あんたに相談に来たわけだ
兵士長,なるほど、ちょっと調べてみるか。……これは！
剣士,どうした？
兵士長,この刺青……≪勇者教≫の信者である証だ
剣士,なに……？
兵士長,どうやらこの男、≪勇者教≫の暗殺者だったようだな
剣士,≪勇者教≫がなぜこんな殺人（こと）を……？奴らが狙ってるのは魔物だろう？
兵士長,さあ……まさか宗旨を変えたわけでもないだろうが……。この死体は……ひとまず預かっておこう。感謝する
剣士,よろしく頼む
兵士長,それと、借りを返すわけじゃないが……こちらからも一つ話しておきたいことがある
剣士,なんだ？
兵士長,実は我々には、圧力を掛けられている。連続殺人の捜査にあまり力を入れるな、と
剣士,どういうことだ？
兵士長,市長選が近いからとか、非常にデリケートな事件だからとか、もっともらしい理由をつけているが。ようするに、都市の上層部にこの事件を解決して欲しくない奴がいるってことだろう。この話はトップシークレットだ。くれぐれも内密に頼む
剣士,殺人事件は≪勇者教≫の仕業だった……。狙いはおそらく、魔物の仕業に見せかけて殺人を繰り返すことで、市民の魔物への不信感を強めることだ。そして、もう一つ。都市の兵士にかけられた圧力。これはつまり、上層部に≪勇者教≫と繋がってる人間がいるってことだ。人と魔物の対立が深まり、得をする人間というと誰か。これは一人しかいない……魔物居住区に壁を作る政策を推し進め、再選を狙っている市長だ！。市長をマークする必要があるようだな。ただいま
少女,お帰りなさーい！
浮浪者,お帰りなさーい
剣士,悪いな、爺さん。あんな芝居やってもらった上、ガキの面倒まで見てもらって
浮浪者,いやいや、メシおごってくれるっていうんじゃから安いもんじゃよ
少女,犯人分かったー？
剣士,だいたいな。あと必要なのは、決定的な場面や証拠ってところか
少女,あ、そうだ！このおじいちゃんすっごい頭いいの！。あたしいっぱい勉強教えてもらっちゃったー！
浮浪者,これでも国立の大学を出ておるからのう。色々あって落ちぶれちまったが
剣士,へえ、人は見かけによらないもんだな
少女,学校の先生やおじさんに勉強教えてもらうより、集中できて頭に入ったかも！
剣士,ギャップってやつだな
少女,ギャップ？
剣士,たとえば、お前がぬいぐるみ好きだったとしても誰も驚かないけど。もしも俺がぬいぐるみ好きだったら、多分みんな驚いて話題にするだろ？
少女,ああ、そういうことかー！おじさんぬいぐるみ好きなの？
剣士,だから“もしも”って言っただろ
少女,なんだ、つまらない
剣士,ギャップか……。…………
少女,どうしたの、おじさん？
剣士,…………！。もし、奴の狙いが“ギャップ”による効果だとしたら……。奴の狙いは“市長”や“居住区間に壁を築く”なんていう生易しいもんじゃない！。おい
少女,んー？
剣士,これからしばらく俺は夜、市庁舎辺りを張り込むから、戸締まりしっかりするんだぞ
少女,市庁舎って市長さんがいるとこでしょ？どうして？
剣士,もちろん、事件を解決するためだ
少女,それはいいけど、おじさん気をつけてよ？あたし、なんだか嫌な予感するの
剣士,お前なんかにいわれなくてもいつも気をつけてるよ。これでも修羅場はくぐってるんだ
少女,あたしの予感って当たるんだからね！お父さんが戦死した時も、こんな感じだったもん！
剣士,……分かった。いつも“より”気をつけるよ
秘書,お疲れ様です、市長。いよいよ明日は大演説会ですね
市長,うむ、市民たちに壁の必要性を説かねばならん
秘書,しかし、副市長は相変わらず魔物との融和路線を主張してくるようで……
市長,彼の主張はいささか理想論に過ぎる。人と魔物では、食べる物も習慣も生活時間も違う。足並み揃えるというのが土台無理な話なのだ。ならばいっそ、両者の間にきっちり壁を設けた方がかえって共存しやすくなるというもの。天におられる勇者様とて、きっとこの政策を分かって下さるはずだ
秘書,おっしゃる通りで
市長,……ん
暗殺者A,お命頂戴いたします。市長殿
市長,な、なんだ君たちは！？何者だ！？
秘書,ひいい……！
市長,き、君は……！。副市長！
副市長,あなたにはここで氏んでもらいます
市長,な、なぜ……！？今のままでは市長になれないからと、こんな手段に出たのか！？
副市長,“市長”ですか……。そんなもの、どうでもいいんですよ
市長,…………？
副市長,私が望むことはただ一つ。この世界からの“魔物の根絶”です
市長,なにをいってるんだ？君は魔物との融和を望んでいたじゃないか！
副市長,無駄話はここまでです。さぁ、やれ
暗殺者A,はっ
市長,うわっ――
暗殺者A,……む
剣士,やっぱりこういうことだったか
副市長,誰だ？
剣士,一連の魔物による殺人事件騒動、黒幕は副市長、あんただったんだな
副市長,暗殺者が一人連絡を取れなくなったが、そうか、君の仕業か
剣士,ああ、自害されてしまった
市長,黒幕が副市長？暗殺者……？いったい何がどうなっておるんだ！
剣士,市長さん、こいつらは≪勇者教≫のメンバーだよ。もちろん副市長もな
市長,な……！？。何がなんだかさっぱりだ！副市長は魔物との融和を望んでいたのに、≪勇者教≫だなんて……。全くあべこべじゃないか！
剣士,そう、そのギャップこそがこいつらの狙いだったんだよ。まず、魔物の仕業に見せかけた殺人を繰り返して、人々の魔物に対する敵対心を蓄積させる。兵士長らには圧力をかけて捜査を進ませず、市民の苛立ちは募っていく。トドメに、壁政策を推していて人気もあるあんたを、魔物の仕業に見せかけて殺害する。そこで本来、融和路線だった副市長が主張を翻して、たとえば明日の大演説会で――
副市長,私は間違っておりました！魔物との融和など最初から不可能だったのです！。怒れる市民達よ！今こそ魔物に鉄槌を！市長の仇を討つのだ！
剣士,――だなんて煽ったらどうなる？。おそらく……前代未聞の大暴動が起こる。いくら魔物たちが強くても多勢に無勢、ひとたまりもないだろうな
市長,…………！
剣士,違うか、副市長？
副市長,その通り……その怒れる市民たちこそが“勇者様の再来”なのだ。怒れる市民は汚らわしい魔物どもを跡形もなく粉砕し、その炎は他の都市にも飛び交う。あらゆる都市で魔物どもが虐殺され、断末魔の叫びのオーケストラが奏でられる。我ら≪勇者教≫の望む……いや勇者様が望んだ“魔物の根絶”が現実のものとなるのだ！
市長,狂ってる……狂ってるぞ、副市長！
副市長,私から言わせれば、壁なんか作ってまで魔物と共存しようとするあなたの方がよっぽど狂ってますよ。あんな奴らは断固として、地上から抹消すべきなんだ。ですから市長……あなたにはここで氏んで頂き、導火線の火となってもらう。さあ、やれっ！
暗殺者A,キエエッ！。ぐはっ……！
暗殺者B,このっ！
暗殺者C,剣士風情がっ！
副市長,な、なんだと……！？
剣士,暗殺者ってのは奇襲が命だ。正面から戦えば、そこまで怖くはない
副市長,くっ……！
剣士,あんたの勇者再来計画もこれでご破算だな
副市長,…………
剣士,！。ぐおっ……！？。くっ……
副市長,予定外のことが起こったが、市長を殺せば全て予定通りだ。すぐにまとめて始末しろ
暗殺者D,はい
剣士,俺としたことが……まだいたとは！勘が鈍ったもんだ……！
暗殺者D,がはぁっ……！
副市長,なんだと……！？
剣士,…………ッ！？
兵士長,間一髪だったな
剣士,なんでお前がここに……？
兵士長,あの子に感謝しろよ。こんな夜中なのに“すごく嫌な予感がするの！”って俺んとこ駆け込んできたんだ
剣士,そうだったのか……。本当に……感謝しないとな……
副市長,く、くそっ……！
兵士長,副市長、残念です。あなたを逮捕しなくてはならないなんて
副市長,う、うぐ……。≪勇者教≫は不滅だァァァァァッ！
兵士長,む！？
副市長,う、ぐ……っ！
剣士,まだ死なれちゃ……困るんでな。ったく、依頼は“犯人を斬ってくれ”なのに、命助けるはめになっちまった。――報告は以上です。ニュースや新聞でも報道されたので、ご存じのことも多いでしょうが
婦人,いえ……真相を知ることが出来て感謝しています。あなたに依頼してよかった……
剣士,そうおっしゃって頂けると光栄です
婦人,ではお約束通り、成功報酬を満額お支払いいたします
剣士,よろしいんですか？
婦人,はい、真犯人が逮捕されて、死罪は免れませんし、主人も浮かばれたと思いますので……
剣士,では、ありがたく頂戴いたします
市長,一連の事件では、魔物の方々にあらぬ疑いをかけてしまい、大変申し訳なく思っています。これを受け、壁政策は撤回とさせて頂くと同時に、二度とこのような事件が起きないよう……
少女,犯人は捕まって、壁政策はひとまずなくなって……。これにて一件落着だね、おじさん！
剣士,一件落着か。そいつはどうかな
少女,え、どうして？
剣士,≪勇者教≫は滅んだわけじゃないし、人と魔物のわだかまりは残ったままだ。またいつ、同じようなことが起こってもおかしくない
少女,…………
剣士,それに、この事件の反動で“魔物はいい奴らなんだ”と思ってしまう連中が出てしまうのも怖い
長老,人間どもがわしらに牙をむくようならばわしらも容赦せん。全力でわしらの恐ろしさを思い知ってもらうつもりじゃ
剣士,あの時……久々に“命を握られてる感覚”を味わった……。奴らだって、いざとなれば平気で人を頃す。人と違う存在であることは間違いないんだからな。一番恐ろしいのは人間、でしめくくれるわけじゃないってことだ
少女,人も魔物も恐ろしいってことだね
