私の扱う商品は,心
カミーユ・ビダン,17
カミーユ,俺の名前はカミーユ・ビダン。女じゃないぞ。。しかし道に迷ったけどこんなところにこんな店あったかな？。酒場かな？俺は未成年だから入れないし
ヤザン,はっ！ガキが飲み屋の前にいるってのが気に食わないんだよ、消えな！
カミーユ,くっ、なんて奴だ。よぉし、入るだけ入ってやる！どうせ見るだけだ！
喪黒福造,おや、どうしたんですか？
カミーユ,え、あぁ見た事ない店があるなぁと思って・・・
喪黒福造,なるほど、女性のような名前だからそれが気になるんですか。。それで空手やMSの操縦とか、貴方が思う男性が好きそうなことをしているわけですか。
カミーユ,カミーユが！男の名前で何が悪いんだ！！くそっ
喪黒福造,別にカミーユって名前は男でもいらっしゃいますけどね
カミーユ,え！？
喪黒福造,ではこれをどうぞ
カミーユ,なんだこれ？名札じゃないか・・・今どき小学生でもつけないぞ
喪黒福造,それは貴方の心に安らぎを与えてくれる名札です。。それに、その名札をつけていると貴方はきっと、名前のことでバカにされたりしませんよ。ただし、外に出かけている間は絶っっ体に服から外さないでくださいねぇ
カミーユ,なんだろうこの感じ。こう、心のモヤモヤがスッキリした感じがする。でも、なんか恥ずかしいなこれ・・・
ファ,ねぇカミーユ、知ってる？最近カミーユって名前を男の子に付けるのが人気になってるのよ
カミーユ,え！？
ファ,華美癒って書いてカミーユって読むみたい
カミーユ,（なんか女の名前みたいだな・・・）
カツ,いいなぁ、僕もカミーユって名前が良かったなぁ～
カミーユ,（でもあんまり嬉しくないぞ）
ジェリド,おいカタクリコ、見ろよあいつ、カミーユだって
カクリコン,いい名前じゃないか。最近流行の奴だろ？
ヤザン,俺も子供が出来たら華魅威遊って名前にするか
ラムサス,ははっ
ダンゲル,族じゃないんですから・・・
ヤザン,あぁ！？
シンタ,おいでカミーユ！
カミーユ,子犬）「ワンワン！
クム,よしよし、やっぱり名前つけるならカミーユだな！
カミーユ,（あいつら、子犬に俺の名前を・・・）。なんか少し自分のこと言われてるみたいで嫌だなぁ・・・どこか店にでも入らないか？
ファ,あそこなんてどう？
ゲーツ,いらっしゃいませ。お名前はカミーユ様でしょうか？
カミーユ,はいそうです（これじゃ名札でバレバレだな）
ゲーツ,ではカミーユ様、もうしばらくお待ちください。
ファ,ところでカミーユ、その名札はなに？
カミーユ,これか？黒いスーツのおっさんに貰ったんだ
ファ,フフッ！なんか幼稚園の子供みたい、外したら？
カミーユ,そ・・・、そうだな
ファ,そろそろ帰りましょう
カミーユ,その前にちょっとお手洗いに行ってくるよ。。ん？なんか変だぞ？あの名札を外したら頭が痛くなってきた・・・
喪黒福造,ホーッホッホッホッ
カミーユ,うわっ！？あ、貴方は
喪黒福造,おやぁカミーユさん、外に出かけてる間は絶対に名札を外さないよう言ったのに、約束を破りましたねえ
カミーユ,ちっ違うんです、ちょっと邪魔だと思って・・・。そもそも名札なんてダサいじゃないですか！こんな物子供じゃあるまいし、だってそうでしょう！？
喪黒福造,おやおや、折角貴方の為を思って渡したのにそんな言い方はないでしょう。
カミーユ,どいつもこいつも！人の名前をなんだと思ってるんだ！我慢の限界だ！
喪黒福造,なら我慢するのはやめたらどうです？もう貴方の感情を止められる者は誰もいないのです。ドーーーン！
カミーユ,！？！？！？！？！？
ファ,長かったわね。・・・カミーユ？
カミーユ,（ん？なんだ？この感じ・・・）。（誰かが俺を見てる？）
シロッコ,あの席に座っている小僧・・・なんだこの感覚は？。名はカミーユと言うのか・・・、フンッ。最近流行の名か。あのような名を付けるとは、俗人の考えは理解できんな。。くだらん名だ。女の名前のようだが女々しい小僧にはお似合いの名だな。
カミーユ,（なんだと！？聞こえたぞ、あの部屋の奴か！？今俺の事を話していたぞ！？）
ファ,カミーユ？どうかしたの？
カミーユ,今の聞こえなかったか？今誰かが俺の悪口を言ってたぞ
ファ,え？何も聞こえなかったけど
カミーユ,ちょっと行ってくる！
ファ,え？ちょ、カミーユ！
カミーユ,この先の部屋だな！？舐めるなッ！
ゲーツ,お客様？この先は関係者以外立ち入り禁止ですが
カミーユ,あの部屋の鍵を寄越せー！
ゲーツ,ぐおぉっ！？
カミーユ,見つけたぞ！
シロッコ,なんだこいつは！
カミーユ,許せないんだ！俺の命に代えても身体に代えてもこいつだけは！
シロッコ,どこから入ってきた！？
カミーユ,カミーユが男の名前で何が悪いんだ！俺は男だ！！ここからいなくなれー！
シロッコ,ウ、ウォオオー！
警察では、○人未遂の疑いで現場近くにいた少年,17
喪黒福造,名は体を表すのです。本人が自分の名を邪険にしていては道を誤ってしまうかも知れませんよ。。もっとも貴方の場合、名前が引き金にならなくとも別の事で狂ってしまう可能性もありますが。。感受性が高すぎるというのも考え物ですね。。まぁ、そんなところも人間らしくていいと私は思いますが。。子供はみんなニュータイプ。ホーッホッホッホッ
