阿笠,かまわん、続けるんじゃ
ジン,教えるのは構わんが、具体的に何を作るのかは決めてるのか？。…。
ウォッカ,全くです！
ジン,一概に"お菓子"と言っても、種類は様々だ。。オーソドックスなもので挙げるならケーキ、タルト、マフィン、クッキー等か
ウォッカ,兄貴、バレンタインはチョコ系じゃなきゃダメなんじゃないんですかい？
ジン,ああ、主流はチョコレート類だが、最近はもはやジャンルを問わなくなってきているな。だがやはりチョコレート類は基本的に簡単なものが多いな
ウォッカ,溶かして固めるだけですもんね！
ジン,馬鹿、それじゃ形の変わった板チョコだ！
ウォッカ,え、チョコのお菓子ってみんなそうじゃないんですか？
ジン,…。。まぁ確かに今時の若い女は市販のチョコレートを湯煎して冷やしたものを手作りお菓子と呼ぶようなやつも多いからな…。俺の個人的な意見だが手作りお菓子を名乗るからには粉から自分で作るべきだと思う。まさか。粉から作ると言っても基本的な工程は計量と混ぜる、焼く、冷す。これだけだ
ウォッカ,粉から…それってプロみたいなやつですかい？
ジン,フッ(喜怒哀楽の激しいやつだ)
ウォッカ,ほんとですかい？それなら俺にも出来る気がしてきやしたぜ！
ジン,よし、今回はチョコレート菓子の中でも簡単な部類の、ブラウニーを作ろうと思う。簡単に言えばチョコレートのケーキだ。ガトーショコラとかと似てるかも知れん
ウォッカ,ブラウニー？何ですかいそりゃ？。あ、俺そっちは聞いたことありますぜ！
ジン,確かにガトーショコラはチョコレート菓子の中では王道だ。だが王道であるが故に難易度も中級者から上級者向けだ。ガトーショコラにはメレンゲを使うからな
ウォッカ,メレンゲってのは卵の白身のことですよね！
ジン,お、博識じゃないか。まぁ正確には白身を泡立てたもののことだがな。このメレンゲが意外に大変で、しかも素早く作業しないと泡が戻っちまう。まぁメレンゲの有無以外はブラウニーもガトーショコラもほとんど変わらんからな。あぁ、そうだな
ウォッカ,そうと決まれば早く材料を買いに行きやしょうぜ！。着きやしたぜ兄貴！まずは何から買いやしょう？
ジン,そうだな…まずはレジの近くにあるお菓子売り場でチョコレートの調達か
ウォッカ,了解ですぜ！｣ｽﾀｺﾗｻｯｻ。兄貴～！
ジン,やれやれ…
ウォッカ,チョコレートたんまり持ってきやした！こんだけあれば十分ですよね？
ジン,…。
ウォッカ,…兄貴？
ジン,ウォッカ、これはミルクチョコレートじゃないか？。お菓子作りではな、基本的に使うチョコレートはビターと相場が決まってるんだ
ウォッカ,そうですぜ？。え、そうなんですか？
ジン,あぁ、お菓子のレシピはチョコレートとは別に砂糖も入れることが多い。だからミルクチョコレートだと完成したときに変に甘ったるい味になっちまうんだ
ウォッカ,な、なるほどですぜ
ジン,そして数も闇雲に買うんじゃなくきちんと事前に必要や量を把握しておく。基本お菓子作りは材料は前日か当日調達だ
ウォッカ,勉強になりやす！
ジン,さて次は…粉類か。ウォッカ、ケーキは何の粉で作ってるか分かるか？
ウォッカ,兄貴、さすがの俺でもそんくらい分かりますぜ。小麦粉ですよね？
ジン,まぁ半分正解だな。小麦粉の中でも使うのは薄力粉だ。。ちなみに中力粉はうどんやピザに、強力粉はパン等に使う。っと、この辺だな。ついでにウォッカ、そこのベーキングパウダーをとってくれ。あとは…ウォッカ、砂糖と胡桃をとってきてくれないか。俺は牛乳売り場らへんにいる
ウォッカ,へい兄貴
ジン,さて、卵は家にあるからいいとして、生クリームとバターか
ウォッカ,お安い御用です！
ジン,たいていバターも生クリームも同じゾーンにあることが多いから探す手間が省けるな。お、あったあったここだ。生クリームと、バター…。ここでバターについても一つ豆知識。普通のバターはなかなかの値段だから手を出さない。それにバターには塩分が含まれているからな。買うのは無塩と記載されているものだ。。だがそれよりもリーズナブルなケーキマーガリンというのもある。頻繁に作るようならこっちのほうが手頃だな。
幼女,まま～、あのひとさっきからひとりでぶつぶついってる～
母,しっ見ちゃいけません！
ウォッカ,へへっ、兄貴におつかい頼まれちゃったぜ！。さて、砂糖砂糖～っと…お、あったあった。あとは胡桃か、胡桃って…何コーナーにあるんだ？。兄貴～、胡桃探したけどどこにも何です～；；。胡桃って確か木の実だよな？だから…野菜コーナー！
ジン,胡桃は難しかったな、一緒に探すか
ウォッカ,へい兄貴！
ジン,胡桃はお菓子売り場にもあるが、あれはつまみ用に加工されてるからあまりお勧めできん。それとは別に製菓材料コーナーというところには何も味付けされていないものがあるからそっちを買うのがいい
ウォッカ,げ、こんな少ないのに意外にしますね
ジン,あぁ、胡桃に限らず製菓材料は量の割に値段の張るものが多い。こればかりは目をつぶるしかないな。何はともあれ、これで材料は全て揃った。
ウォッカ,早く帰って作りましょうぜ兄貴！
ジン,やはり年末年始は混むな。まぁ以前から貯めてたポイントカードも満タンになったしいいか。まぁもう少しの辛抱だ
ウォッカ,兄貴～、手洗って来ましたぜ！
ジン,よし、そしたら早速作業に取り掛かるか
ウォッカ,おぉ、いよいよ…
ジン,っと、その前にウォッカ、適当に大きめのをとってくれ
ウォッカ,へい兄貴、でもなんて何に使うんですぜ？
ジン,粉類は広範囲に散らばる上に掃除が面倒だからな、作業は全てチラシの上でやると楽なんだ
ウォッカ,なるほどですぜ！
ジン,ウォッカ、俺が最初に言ったお菓子作りの手順を覚えているか？
ウォッカ,えっと、計量と、混ぜて、焼いて、冷やしますぜ！
ジン,その通りだ。まずはその"計量"の作業だ。お菓子作りは少しの分量ミスが命取りだ。レシピ本に忠実につくるのが大切だ
ウォッカ,なるほどですぜ！。量り終わりましたぜ！
ジン,まず最初に、薄力粉は一度ふるいにかけておく。一見意味のない作業のようだが、これをやるのとやらないのとじゃ大違いなんだ。。調子に乗ってこぼさんようにな。ふるいおわったら次はチョコレートとバターを湯煎で溶かす。
ウォッカ,兄貴、これ楽しいですね！
ジン,時々チョコレートを溶かすと言うとお湯にチョコレートそのものを入れると勘違いするやつがいるが、決してそんなことはないので注意
ウォッカ,(違うんだ…)｣
ジン,溶け切ったらお湯からボウルを出して、生クリームを少しずつ加える｣ﾀﾗｰ56:2014/01/01(水)04:15:3992ID:Iaml6i9iiこれは勉強になる57:2014/01/01(水)04:23:2693ID:+mCmE5ux0。次に砂糖を3回ぐらいに入れてその都度よくかき混ぜる。1度に全部入れるとなかなか混ざらないことがあるからな｣ｻﾞｯｻﾞｯ。砂糖を入れたら次は…っと、その前にウォッカ、オーブンを170℃30分に余熱してくれ
ウォッカ,なるほどですぜ～。予熱、ですかい？
ジン,あぁ、いきなり加熱すると最初はオーブン内が低いから十分に熱が行き渡らないんだ。。オーブンの機種にもよるが、これで生地を入れて扉を閉めてスタートを押せばすぐ加熱が始まるから楽っていうのもメリットだな
ウォッカ,えっと予熱予熱っと
ジン,言い忘れていたが、お菓子作りはスピードが命だ。手早く、かつ正確に作ることが大切だ。だからオーブンの予熱と作業は同時にやるのが効率良いんだ
ウォッカ,なるほどなるほど
ジン,っと、無駄口を叩いていると予熱が終わっちまう。砂糖を混ぜ終わったら次は溶き卵を少しずつ入れてかき混ぜる。そしたら次にさっきウォッカがふるっておいてくれた薄力粉とベーキングパウダーを入れて、ゴムベラで切るように混ぜる
ウォッカ,～～♪。切るように、ですかい？
ジン,これがなかなか難しいところだが、なるべくぐるぐるかき回さないように、ザッザッと線を入れるイメージだ。あまり混ぜ過ぎるとかえって膨らまなくなるからな、粉っぽさがなくなったらやめていいぞ
ウォッカ,こいつは難しいですぜ～。こんなもんですかね？。へい兄貴！
ジン,十分だ。あとは胡桃を適当な大きさに砕いたものを混ぜて焼くだけだ
ウォッカ,え、もう終わりですか？
ジン,あぁ、まぁ焼けた後仕上げが少しだけあるがな。胡桃を砕く時だが、ジプロックに入れてから砕くと飛び散ることがないから楽だぞ。よし、あとはそいつを生地に入れて
ウォッカ,おぉ、ほんとだ！
ジン,軽くかき混ぜる
ウォッカ,へい
ジン,よし、生地を型にいれるか
ウォッカ,軽くですね！。型はどんな形でもいいんですぜ？
ジン,まぁ必ずこの形というのは無いが、ブラウニーはセルクル型(正方形)が一般的だな｣ﾅｶﾞｼｲﾚｰ。ウォッカ、オーブンの扉を開けてくれ。型に入れたら型を少し持ち上げて落とすのを2回ほどする。こうすることで生地の中の空気が抜けるんだ
ウォッカ,うおぉ、中めっちゃ暑そうですぜ！。へい兄貴！
ジン,予熱がちゃんとできてる証拠さ｣ｲﾚｰ。焼き上がるまでしばらくかかる。少し休憩してていいぞ
ウォッカ,あとは扉を閉めてスタートっと。兄貴は休憩しなくていいんですかい？
