道具屋,全部で２万ゴールドになります
盗賊,ま、こんな所か。じゃあ、また来るね～。あ、ごめ……
酔っ払い,ん？ねーちゃん可愛いなぁ。いくらだ？
盗賊,うわ。ごめんな、私は商売女とは違うの。他をあたって、じゃあな
酔っ払い,でも貧しい身なりしてるじゃねぇか。サービスしてくれたら、礼ははずむぜぇ？
盗賊,はぁ……。結構だよ。それじゃ
酔っ払い,待てよ
盗賊,！！。あー、厄介なのに捕まったわー。喧嘩は好きじゃないけど。！
酔っ払い,あー？何だテメェ？
男,しつこくするのはやめておけ。お前のやっていることは条例違反だぞ
酔っ払い,条例違反だぁ～？ハンッ、憲兵だって一々全部取り締まってねーよ！
男,あぁそうだな。なら、俺のすることも取り締まらないだろうな
酔っ払い,あ？何を――
盗賊,うわぁ～。なんか、いいシチュエーション…って、バカ。あの、ありが……
憲兵,喧嘩があっただと！？
男,面倒だな…それではな！
盗賊,あっ。お礼、言いそびれちゃったな。あーあ…やっぱ私みたいな底辺はラブコメと縁がないみたい。運のいいことに、私には盗賊としての才能があった。久々にベッドで寝れる…。あぁ、ふかふかで気持ちいい～。はーい？
使者,失礼。中央国の使者と申します。盗賊様、ですね？
盗賊,あぁ、そうさ。どでかい中央国の使者サマが、私みたいな底辺に用事？
使者,ご謙遜を。トレジャーハントを生業としている方々の中でも、腕が良いと評判の盗賊様ではありませんか
盗賊,……ふぅん。で、何の用？
使者,実は…貴方様に、トレジャーハントのご依頼をしたく
盗賊,へぇ？
使者,我が国の末姫様のことはご存じでしょうか？
盗賊,えーと…神託で勇者に選ばれたとかいう？
使者,そう。末姫様は勇者に相応しい、勇敢で優秀な剣の使い手でいらっしゃいます。しかし…
盗賊,しかし？
使者,ダンジョンを探索するということが苦手な方でして
盗賊,ま、強ければいいってもんじゃないからね、探索は
使者,神託によれば、魔王を倒すには５つの神器を集める必要があるのですが…その神器の１つが、難易度の高いダンジョンにあるそうで。そこで、貴方にご依頼をかけることになったのです
盗賊,餅は餅屋だね。で、そのダンジョンてどこ？
使者,はい…黒霧の森にある、廃城です
盗賊,あぁ、あそこ。魔物が強いっていうから敬遠してたけど…
使者,依頼を受けて下さるのでしたら、前払いでこれだけ……
盗賊,！！！……ゼロひとつ多くない？
使者,もし神器を獲得して下されば、この倍の……
盗賊,やる！！。あぁ、でも、黒霧の森の魔物って強いじゃない？廃城に行くまでの間の護衛がいるといいんだけど……。とお願いして、護衛をつけてもらうことになった。待ち合わせ場所に来たけど…。あ、武装集団。あれかな？おーい
兵士,盗賊様ですね。本日は、王子の率いる白兎（はくと）騎士団が貴方を護衛します
盗賊,王子が？
兵士,はい、今席を外しておりますが…あ、戻ってこられた。王子ーっ
盗賊,……！
王子,む
盗賊,あ、あんた……王子だったの？
王子,そうか、君が盗賊殿だったか
盗賊,あ、き、昨日はありがとうございました！！お礼言いそびれちゃって……
王子,いや、気にすることはない。改めて自己紹介する。俺は中央国王家第三子、王子。白兎騎士団を率いている
盗賊,宜しく。まさか王子様率いる騎士団に護衛して頂けるなんてね
王子,これは、それだけ重要な仕事だからな。それに、俺も少しでも妹の力になりたい
盗賊,なるほど、こっちも失敗できないねぇ
王子,せやあぁっ！
盗賊,さっすが。頼もしい～
王子,我々にとっては本業だからな。逆にダンジョンに入った後は、足手まといになってしまうかもしれんが……
盗賊,あはは。ダンジョンに着いたら私１人で大丈夫！ダンジョンで魔物を避ける方法は心得てるんでね
王子,頼もしいものだな、酔っ払い１人はねのけるのに苦戦していた娘が
盗賊,苦戦？苦戦ってほどじゃないっすねー、割と慣れてるもんで！
王子,……慣れている、か
盗賊,あれ？しんみりして、どうしたのかな？
王子,もう少し、異性に対して危機感を持った方がいい。せめて、夜の街を歩く時の格好に気をつけるのだな。挑発的な格好は、品のない男を引き寄せるぞ
盗賊,あははー…服を買うお金が勿体無いもんで
王子,……なぁ
盗賊,はい？
王子,正式に、中央国のトレジャーハンターとして雇われる気はないか
盗賊,！。う～ん
王子,どうした
盗賊,あ、いや～…。雇われのトレジャーハンターって、今より自由がきかないって聞いたことあるもんで
王子,返答を急ぎはしない。だが、君の望む条件は叶うよう善処する
盗賊,王子様、見た目に反して軽率っすね～。よく知らない人間をそう簡単にスカウトしちゃ駄目っすよ～
王子,…軽率か。そう思うならそれで構わない。だが……
盗賊,？
王子,…若い娘が、服も買えぬような貧しい暮らしをしているのは、どうも心が痛いものでな
盗賊,……！。何、キュンときた～！！こんなことサラッと言えるなんて、高貴な男ってヤッベェ！！
王子,どうかしたか
盗賊,あ、いえいえ。なんてねー、浮かれるのも程々にしないとね。身分違いの恋に焦がれる程、私はバカじゃないよ～
王子,着いたな
盗賊,さて、ちょっくら行ってきます！
王子,本当に１人で大丈夫か
盗賊,大丈夫っすよ。そんじゃ、期待して待ててくっさい！。探す神器は星神の冠だったね。よし、捜索開始！。あっちの道は魔物が多いね。こっちから探ってみるかな。よし、ここにするかな
魔物,ガルル…
盗賊,来た来た。退散～。あ。匂い袋の代金、王子に請求できるかな。後で聞いてみよっと
魔物,グオオォォ！！
盗賊,やば、見つかった。とはいえ、走り続けてればスタミナ切れを起こす。この廃城は、旧帝時代の建築物。その時代の罠のパターンは……
魔物,ガアアァ！！
盗賊,ここをポチっとぉ！！
魔物,ガハァッ！！
