江戸の奴ら,ひっとらえろ！
僕,ふうん？では、そこのカカオの実を取ってください
江戸,…？
僕,カカオをこねて、柔らかくします。そして形を整えて銀紙で包むと…
江戸ら,なんだあれは！？菓子のようなものが出来たぞ！
僕,食べてみてくださいｗ
江戸の奴,！甘い！！何だこれは！口の中で溶けてゆく！！
僕,チョコレート、とでも名付けましょうか
江戸,と、殿を呼べー！この客人を城にお迎えしろ！！
僕,ん？僕、それほどの事をやっちゃいました？。！このカカオ、甘い！？
商人,へい、あまりにとろけるので、ちょっとこれ冷凍して！ちょっとこれ冷凍して！皆が言う事からちょこれいとと呼ばれています
僕,そういう由来だったんですねぇ
殿,こやつが、奇異なる菓子を生み出せし者か！よくぞ来た、ここは江戸と呼ばれておる都じゃ！
僕,へえ、殿様、ね
家臣ら,貴様！態度が悪いぞ！！
僕,ふうん、だったらどうするの？
家臣の中の大男,こいつ！この俺が叩き潰してやります！
殿,面白い！やれ！
大男,うおおおお！
僕,やれやれ、仕方ないね…
家臣ら,！！！なんだあの技は！？
僕,これ、ジャブっていうんだよね
家臣ら,まるで光じゃ！拳が見えん！
大男,うがああ！！
僕,これはフック！
大男,うが！」家臣ら「いかにあの軌道を見よ、まるで獲物に飛び掛かる鳶！！
僕,これはボディー！！」家臣「まるで攻城槌がごとき重み！！。そして…アッパーだ！」大男「うがあああ！
家臣ら,な…なんという剛の者‥‥！
僕,ボクシングっていう技なんだよね。もしかして、この時代にはまだ開発されてませんでした？。その時、フリーザは念力でクリリンを持ち上げ、爆発させましたすると悟空が～
町人,なんという天才弁士じゃ！」「あんな面白い物語初めて聞くだ！」「野に溢れる才能、サイヤじゃ！
悪代官,奴が突如現れた神童か
手下,は！
悪代官,捕まえて来い！おもしろい、奴の力を試してやろう
町人,なんじゃあの絵は！？立体的に見える！
僕,？ただの二点透視図法ってやつですが‥‥俺またなんかやっちゃいました？。やめてー、ゆるしてください
悪代官,ならん！江戸を怪しき知恵でかき乱す不届き者が！
僕,お願いします、では将棋で勝負してください、それで僕が勝てば、介抱してください
手下ら,ひゃはは！代官さまは将棋のプロだぞ！お前自分で自分の首絞めたなァ！！」「代官さま、やっちゃってくださいよｗ
代官,ｗｗまあまあｗこやつの望み通り、将棋で裁いてやるとしようかｗ。２の５に角！
僕,ふうん？ここでコミ…と
代官,うわあ！
僕,４つの角を次々取って逃げ場を無くし…リーチ！
手下,そんな…代官さまが！？
僕,ここで王を挟んで、王手！
代官,あ…あ…
僕,チェスのテクを応用してみたんですが、上手くいったみたいですねｗ
代官,チ…チェスだと…！？それはいったい…
町人,火事だあああ！！」「うわあああ！ものすごい大火だああ！
僕,これは！江戸の大火ってやつか…！なんてことだ、町が完全に火に包まれている！
殿,僕どの！お願いじゃ！そなたの知恵で火を収めてくれ！
僕,ったく…やってやろうじゃない。江戸にあるものでこの日を消すには‥‥＿＿＿そうか…！この手があったか！。よし！行くぞ！当時の江戸湾は下水が流れ込み、リンやプテリジン、ケイ素の量が多い。そしてそれらは水より重いから沈殿している＿＿＿そこからカリウムを化合して石灰と交われば・・・即席の消火器の完成だ！
町民,カカオの空を消火器の器に！」「すげえ！
僕,馬鹿野郎、感心してる場合か!それを使って火を消すんだ！
町人,はい！
僕,終わった…町は救われた
殿,僕さん、あんたって御仁は…。どうしてもゆくのか？お主ならこの時代で名君となったであろうに
僕,いえ。思うんです、花屋の店先にならんだいろんな花を見ていた。ひとそれぞれ好みはあるけど、みんなきれいだね。僕らはどうして一番になりたがる？もともと特別なOnluONE。
殿,まったく…お主という男の器は…はかりしれぬわ
僕,時が来たようです、皆さん、この時代を頼みます。未来の日本へ続くこの時代を…
殿,僕どの！」「僕さん！」「僕さん！！！
僕,絆…か。明けない夜はないぜ
