トレジャーハンター,以下ハンター
ミミック娘,おおグッドアイディア！
ハンター,ピンクとイ工口ーのストライプにしたよ！
ミミック娘,え、いや、うん……。これ油性ペンキ……
ハンター,きっと置いてある場所が悪いんだよ
ミミック娘,まあ、もう探索され尽くしたダンジョンじゃね……
ハンター,もっと繁盛してるダンジョンに行こう！
ミミック娘,よっしゃ！
ハンター,
ミミック娘,
戦士lv78,なんだこの宝箱？
僧侶lv82,全然開きませんね……
武闘家lv79,なんか微妙に震えてないか？
ミミック娘,。もうあそこは嫌だよ…
ハンター,じゃ、すごいお宝をエサにしたらどうだろう！
ミミック娘,なるほど！
ハンター,ってことでこれ！
ミミック娘,！す、すごい剣！！
ハンター,これを入れておけば入れ食い間違いなし！
ミミック娘,やったぜ！
勇者,クソっ！どこに行った勇者の剣ドロボー！
戦士,見つけたら八つ裂きにしてやる！
僧侶,その後見せしめにさらし首です！
ミミック娘,
ハンター,ﾑｸﾞｰ！
ミミック娘,剣はもういいよ……返してきて
ハンター,じゃ、こっちはどう？
ミミック娘,！す、すごい宝石！
ハンター,へへーん！神の神殿っていう所の最深部にあった神像についてた目玉を取って来たんだ！
ミミック娘,返してきて！今すぐに！
冒険者少女,やった！こんなところに宝箱が！
ミミック娘,
冒険者少女,！？
ミミック娘,
冒険者少女,み、ミミミミミ、ミミック！？
ハンター,やった！
冒険者少女,！？誰！？
ミミック娘,やったよ！
ハンター,イエーイ！
冒険者少女,……。……あの……
ミミック娘,いやー、あなたは記念すべき犠牲者第一号だよー！
冒険者少女,は、はあ……。絶対馬鹿にしてる！。じ、じゃあ私はこれで……
ハンター,テンション高いね
冒険者少女,むしろこの人さっきまでのテンションがもう冷めてる！
ミミック娘,ふふふ、ミミックの得意技である不意打ち攻撃！とくと味わってもらうよ！。……。……。……
冒険者少女,あれ開けなきゃダメなんですか？
ハンター,え、アレ開けるつもりなの？
冒険者少女,いえ流石に……
ハンター,もう帰っちゃったよあの娘
ミミック娘,隙あり！
ハンター,甘い！
ミミック娘,ｷﾞｬｧｧ！？
冒険者少女,またある……
宝箱,
冒険者少女,流石にもう開けないよ
宝箱,
冒険者少女,……でも、もしかしたら本当に宝箱なんてことが……。うーん……
