先生,それでは日直の人、号令をお願いします
虫捕り少年,気をつけ、礼！
短パン小僧,ねえ後でポケモンバトルしよーよ！
少年,いいよ！じゃあ4時にトキワの森集合ね！
小僧,わかった！それじゃまた後でねー
少年,ただいまー！
母,おかえり、今日もトキワの森にいくの？
少年,うん、今日こそポケモンバトルで勝って見せるんだから！
母,あらあら、怪我には気をつけるんだよ？
少年,わかってるって、それじゃ行ってきます！
ラッキー,ﾗｯｷｰ!
少年,まだ早かったかなー？小僧くんも来てないし、ちょっと特訓でもしようかな。でてこい！キャタピー！。小僧くんのコラッタに勝つために特訓しなきゃ！。よし、じゃあいったん家に帰ってキャタピーを休ませようかな。！？なんだ今の音！ちょっと見てこよう・・・。これは・・・ポケモン？
父,でかい音がしたから駆けつけてみたら、お前もいたのか！怪我はないか？
少年,うん、大丈夫。だけど・・・これってポケモン？
父,これは・・・ミュウツー・・・？
少年,え、なにそれ？
父,ミュウツーというのは、人工的に作られたポケモンで、いろいろなポケモンを元に作られたポケモンらしいが、詳しくは父さんもわからない
少年,そうなんだ・・・。けどミュウツーすごい苦しそうだよ？助けなきゃ！
父,だめだ！ミュウツーはとても凶暴なポケモンで、人やポケモンを襲うポケモンだ、とにかく危ないから逃げよう、警察に電話するんだ
少年,う、うん・・・
父,とりあえず警察に連絡したから、お前は家でおとなしくしているんだぞ？
少年,わかった・・・。父さんは町のみんなに知らせに行ったみたい。いまからこっそりミュウツーのとこに行ってみよう。うわぁ、すごい怪我だよ・・・苦しそうだからこのモンスターボールに入れてお母さんに診てもらおう。よし、モンスターボールに入れれた！急いで家に帰らないと！にしてもこのミュウツーってポケモン、人間みたいな姿してるね・・・。ただいま！ってお母さんもお父さんと一緒に町に出かけたのか。じゃあ僕のベッドで休ませておこう、お母さんが帰ってくるまで大丈夫かな・・・。！気がついたの・・・？
ミュウツー,ここはどこだ・・・？
少年,よかった！ここは僕の家だよ！ポケモンセンターなんだ！
ミュウツー,ポケモンセンター・・・？それはなんだ？
少年,ポケモンセンターっていうのは、傷付いたポケモンを休ませたり、治してくれるところだよ！ミュウツーもひどい怪我してるから後でお母さんに診てもらおう！
ミュウツー,そうか・・・このモンスターボールは？
少年,このモンスターボールでここまで連れてきたんだよ！
ミュウツー,ということは、お前が私のマスターということか・・・
少年,マスター・・・？どういうこと？
ミュウツー,お前がこのボールを使って私を捕まえたのだ、なら私はお前のポケモンになるということだろう
少年,一応そうだけど・・・そういうつもりで捕まえた訳じゃないし、ミュウツーだって僕みたいなのに従うのはいやでしょ？
ミュウツー,マスターが誰であろうと、マスターの言うことには絶対遵守、私はそのために作られたのだ
少年,へんなの・・・って、ミュウツーが作られたポケモンってほんとのことなの？
ミュウツー,ああ、私はある研究所で作られ、そのまま戦闘用として鍛えられたポケモン、それが私が作られた理由だ
少年,そんな・・・
ミュウツー,それで、お前の望みはなんだ？カントー地方を征服することか？いろいろなポケモンを倒すことか？
少年,征服！？そんなことしたい訳ないじゃん！確かに僕はポケモントレーナーでポケモンバトルが好きだけど、そういうことじゃないよ！。それに、僕は虫ポケモン使いなんだ！ミュウツーは虫ポケモンに見えないし、ミュウツーをポケモンバトルに使うつもりはないよ！
ミュウツー,では、なんで私を・・・
少年,だって、すごく苦しそうだったし、助けなきゃ警察に連れて行かれそうな予感がしたから・・・父さんだってミュウツーが凶暴なポケモンだって言ってたし。それに、僕の将来の夢は医者になることなんだ！だから何も理由もなくポケモン達を倒したり、カントー地方を征服するだなんて全然考えてない！
ミュウツー,では、私がただ苦しそうにしていただけで、私を助けようとしたということか・・・？
少年,もちろん！目の前で困ってる人やポケモンを見つけたら助けてあげるのがあたりまえでしょ？
ミュウツー,まったく理解ができん、そもそも私は戦うために作られたポケモンであって・・・
少年,だからそんなの関係ないって！目の前でミュウツーが困っていたから助けた、それだけだよ。あ、そうだ！ミュウツーは僕の言うことはなんでも聞いてくれるんだよね？
ミュウツー,ああ、マスターであるお前の言うことは絶対だ、なんでも聞いてやろう
？？,よし・・・これでとうとう出来上がるぞ・・・！いろいろなポケモンのデータを使って作り上げた、最強のポケモン、ミュウツーが！。さまざまな戦闘データを元に完璧なポケモンに鍛えあげたのだ、こいつさえあれば・・・！
手下,大変です！ミュウツーが暴走してどこかへ逃げてしまいました！
？？,なんだと！今すぐ追え！絶対に逃がすんじゃないぞ！。くそッ・・・！あと少しですべて終わろうとしていたのに・・・！いったいなぜ・・・
ミュウツー,友達・・・？
少年,うん、友達！ミュウツーはすごく強いポケモンなんだよね？でも僕がいきなりミュウツーを使ってポケモンバトルして勝っても、相手の人はつまらないと思うし、僕だってそんな勝ち方はしたくないんだ。さっきも言ったように、僕は虫ポケモン使いなんだ！だからこのキャタピーとビードルでいつもポケモンバトルしているんだ！
ミュウツー,そうか・・・それで、友達とはなんだ？
少年,友達というのはね、一緒に遊んだりする人だよ！。だから、これから一緒に遊ぼうよ！
ミュウツー,理解できないが、それがお前の命令というなら、なってやろう、お前の友達に
少年,やった！あと、その命令とかマスターとかいうのやめようよ！友達なんだから！
ミュウツー,そ、そうか・・・それでは・・・ｯｸﾞ？！
少年,大丈夫！？さっきの怪我が・・・とりあえずモンスターボールの中にいれるね！父さんと母さんが帰ってくるまで待ってて！
ミュウツー,すまない・・・
母,ただいまー
少年,おかえりお母さん！お父さんは？
母,お父さんはまだ町よ、まだ町のほうが騒がしいからね。あと、ミュウツーは警察の人が着てくれたんだけど、到着したころにはもういなくなっていたみたい
少年,そのことなんだけど・・・実はこっそりミュウツーを連れて帰ってきちゃったんだ
母,そうなの・・・って、えぇ！？なんでそんなこと！もしミュウツーに襲われちゃったりしたらどうするの！？
少年,だって！すごい怪我していたし、助けるのはあたりまえでしょ！それより、ミュウツーのこと診てあげてよ！このモンスターボールの中にいるから！
母,わ、わかったわ・・・で、治ったらミュウツーはどうするつもりなの？
少年,友達になるんだ！さっきミュウツーもいいよって言ってくれたし！
母,友達に？だってミュウツーはポケモンよ？それにあのミュウツーだよ、何してくるかわかったもんじゃないわ・・・
少年,ミュウツーはそんな悪いポケモンじゃないよ！襲ったりなんて絶対しないんだから！って、とりあえずミュウツーの怪我を治してあげてよ！
母,そうね・・・でも、ミュウツーのことは、お父さんと話し合って決めましょうね？
少年,わかったよ・・・
母,終わったよ、これでミュウツーの怪我も完治したわ
少年,ありがとうお母さん！それじゃあミュウツーを出すね、ミュウツー！
母,ってここで！？ほんとに大丈夫なの？
少年,大丈夫だって！お母さんもミュウツーと話してみたいでしょ？
母,ま、まぁ・・・
少年,じゃあモンスターボールから出すよ
ミュウツー,怪我が治っている・・・治したのは誰だ？
母,私よ、トキワシティのポケモンセンターをやっているの
ミュウツー,そうか・・・礼を言う
母,！ど、どういたしまして・・・
少年,ミュウツー！大丈夫だった？
ミュウツー,ああ、平気だ。このように扱われるのは初めてだな
母,あなたが作られたってのは本当なの・・・？
ミュウツー,そうだ。どのポケモンにも負けないように作られた
母,では、戦うために作られたということなのかしら？
ミュウツー,そうだ、ポケモンはポケモン同士が戦うためにいるのと同じようにな
母,そうでもないわよ。あなたはポケモンは戦うために存在してると思っているけど、ポケモンにだっていろいろな生活があるし、ここにいるラッキーのように人と共存しているポケモンもいるわ。このラッキーはね、私が若い頃に捨てられていたのを預かって、ずっと世話をしていたのよ。そしてポケモンセンターを開いて夫と働いているうちに、ラッキーも仕事を手伝うようになってくれたの。だからポケモンが戦うために生きているってのは間違いよ
ミュウツー,そんなことが・・・
母,このラッキーだけじゃない。町に出てみればわかるけど、いろんなとこで人とポケモンが共存していることがわかるわ
少年,僕のキャタピーとビードルもポケモンバトルだけしてる訳じゃないよ！よく一緒に遊んでいるんだ！
母,あなたは戦うために作られたんだよね？確かにあなたが戦うために作られたのかもしれないけど、それは作った人がそうしたいだけ。そこからどう生きるかはあなた次第よ。それに、今はこの子のポケモンっていうことなのよね？友達になったって聞いたけど、私からもこの子の友達になってほしいって思うわ
ミュウツー,そうだ。私は少年の友達になったのだ。
母,なら、これからよろしくね？私はこの子の母親よ
ミュウツー,わかった。ではこの私、精一杯少年の友達として生きてみせよう
母,ふふ、かわいいところもあるんじゃない・・・ってお父さんが帰ってきたみたいね
父,ただいまーってミュウツー！？どういうことだこれは！
母,落ち着いて、この子が連れて帰ってきて、さっきまで治療していたのよ。今日からミュウツーはこの子の友達になったの
父,はぁ・・・？言っていることがわからないのだが・・・
少年,だから、今日からミュウツーは僕の友達なんだって！
父,あのミュウツーだぞ・・・？本気でいっているのか？
母,さっきまでミュウツーと話をしていたのだけれど、きっと大丈夫よ。きっといい子よ
少年,そうだよ！ミュウツーはすごい優しいんだから！
父,きっとって・・・じゃあ、とりあえずはお前がミュウツーを持ってていいぞ、でももし何かあったらすぐに警察に預けるからな？
少年,やったー！それじゃあミュウツーを家に住ませていいってことだよね！
父,ああ、ってお前ミュウツーをモンスターボールに入れないつもりか？
少年,うん！ミュウツーは特別だからね！
父,はいはい・・・でもさすがに外に出るときはモンスターボールに入れるんだぞ？
少年,はーい。よーし、学校も終わったし帰ってミュウツーと遊ぼう！。でも何して遊ぼうかなぁ？どうせならどこかに出かけたいなー・・・。そうだ！今度行く虫取り大会にミュウツーも出てみないか言ってみよう！。でもお父さんは外ではミュウツーを出すなと言っているし、どうしようかなぁ・・・？。あ、そうだ！いいこと思いついたぞ！。ってことなんだけど、お母さんお願い！
母,あらまぁ・・・そういうことならお母さんに任せて！明日にでも買いにいく？
少年,うん！ありがとう！
母,明日が楽しみねえ・・・
少年,こんなにたくさん、ありがとう！
母,いいのよ、お母さんもミュウツーのこんな姿見てみたいし、さっそくミュウツーをモンスターボールから出してみて？
少年,わかった！出てきてミュウツー！
ミュウツー,呼んだか？
少年,今日はね、ミュウツーにプレゼントがあるんだ！じゃじゃーん
ミュウツー,これは・・・？
少年,これはね、服だよ！人間が着ている服で、ミュウツーにもどうかな？って思ったんだけど・・・
ミュウツー,なるほど・・・これはなんだ？
少年,これは帽子！頭にかぶるものなんだ！
ミュウツー,そうか・・・でもなんで私に？
少年,ミュウツーはこのままじゃ外に出れないし、何かいい方法がないか考えていたんだ、それでね
ミュウツー,人間に化けるということか、でも大丈夫か？すぐばれると思うんだが・・・
少年,それは着てみないとわからないよ！じゃあ早速着てみようよ！
母,似合うとは思っていたけれども、まさかこれまで人間らしくなるとはねぇ・・・
少年,すごい！すごく似合っているよ！これで一緒に外に出られる！
ミュウツー,服というものはどうも・・・それに靴というのか？これはちょっと履き心地が悪い
少年,ミュウツーの足に合う靴が無くてね・・・我慢できる？
ミュウツー,ああ、問題ない。これも少年のためならな。で、なぜ一緒に外に出たいのだ？家の中ではダメなのか？
少年,遊ぶのには外がいいし、それに今度土曜日にジョウト地方のしぜんこうえんというところで虫取り大会が開かれるんだ！それで一緒にミュウツーと出たいなって思って・・・
ミュウツー,虫取り大会？それに出ればいいのか？
少年,別にいやならいいんだけど・・・ミュウツーはどうしたい？
