エリートトレーナー男,来週の日曜どこ行く？
エリートトレーナー女,あなたの家がいい。おいしいケーキ焼いてあげる
ガールスカウト,ボーイ君、今日もお弁当作ってきたんだけど……た、食べてくれる？
ボーイスカウト,う、うん！ありがとう、ガールちゃん！
アスナ,すごく、居づらい……。みんなお昼はどうするんだろ？。親睦を深めるべく、みんなとお昼たべたいなー、なんて
エリ女,男君、あーん
エリ男,あーん
アスナ,人目もはばからず食べ合いっこしてる……
ガール,あ、あーん///
ボーイ,あ、あーん///
アスナ,うわっ！こっちもか！。もういいや、一人で食べよ……コータスたち出ておいでー、ご飯だよー
コータス,コー
マグマッグ,マグマグ
バクーダ,バクー
アスナ,うんうん、今日もみんな元気だね。さーて、ポケモンたちにご飯もあげたし、私もご飯ご飯。いただきまーす。……。……あっ！。しまった！ジムリーダーになる上でのキャラ設定どうしよう！。今はジムリーダーにも個性を求められる時代だからなぁ。やっぱりガンピさんみたいに威厳溢れる感じがいいのかな？。わはは！よく来たな！さあ、正々堂々と闘おうぞ！。的な感じで。でもなぁ……
オカルト女,あのー、すいません
アスナ,ん？あ、はいっ！？
オカ女,ジムリーダーに挑戦したいんですけど
アスナ,えっ！？いつの間にジムの人たち倒したの！？
オカ女,いえ、皆さんそれぞれの入ってるみたいで……
アスナ,あいつらー！
オカ女,あ、ありがとうございましたー！
アスナ,勝った……けど怒りにまかせてバトルしたせいか、あの子を怖がらせちゃったみたい。今度来たら優しくしてあげよ。でも待てよ。怖がらせ系リーダーか……ヤンキー系リーダーなんてどうだろう？。確かまだヤンキー系はいなかったはずだし……。あっ、お腹鳴っちゃった。そういえばお弁当食べかけだった。ははは、お腹鳴らすなんてまるで食いしん坊……。！！！！。これだ！。大食いキャラのジムリーダーは確かまだいなかったはず！。よし！大食い健康ジムリーダーとしてデビューだ！。となると、常に食べ物を口に入れてなきゃいけないのか……。そう考えるとちょっときついかな？。いやいや！お菓子ならいけるはず！お菓子は別腹だし！。そうと決まったら、さっそく帰りにスーパーに行こう！。さあ、お菓子いっぱい買うぞー！。えーっと、まずはチョコ系からカゴにいれてくか。トッポとキットカット、どっちにしようか……。あっ、迷わなくていいのか。両方カゴにポイポイッと。こんだけじゃ全然足りないだろうから、どんどんいれてくか。いやー、お菓子の大人買いなんて子どもの時からの夢だったからなぁ……感無量だよ。あ、もうカゴいっぱいだ。カート持ってこよ。う～ん、楽しい！
店員,レジ応援お願いしまーす。レジ応援お願いしまーす
アスナ,ちょっと恥ずかしいな……
幼女,ママー
幼女母,こら、指差すんじゃないの
アスナ,ははは……。あ、ボーイ君、ガールちゃん、おはよー
ボーイ,おはようございます
ガール,おはようございます……って、どうしたんですか、その荷物？
ボーイ,両手にパンパンのバッグ、背中にもリュック背負って……まるでコミケ帰りの戦士みたいですよ？
アスナ,あはは……ちょっとね。あ、そうだ。二人とも、お菓子あげるよ。いっぱいあるからさ
ボーイ、ガール,あ、ありがとうございます
ボーイ,うわぁ……
ガール,バッグの中、お菓子みっちり詰まってた……
アスナ,あ、エリ男君とエリ女ちゃんにもあげなきゃ。じゃあね、二人とも
ボーイ,は、はい……
ガール,ありがとうございます……
アスナ,お菓子おいしいなー。しかもまだまだこんなにある。お菓子を好きなだけ食べるってのも子どもの時から夢だったし。いやー、大食いキャラは当たりだったなぁ。やばい……もうお腹が限界にきてる……。うわっ！お腹ポッコリ！。でもいまさらやめるのもなぁ……。まったく、誰だよ、お菓子は別腹だからいくらでも食べられるとか言ったバカは……。あ、私だ。あはははははは！。はぁ……
バトルガール,すみませーん、ジムリーダーに挑戦したいんですが
アスナ,は、はいはい、挑戦者ね
バトガル,うわっ、お菓子の空き袋が散乱してる……ジムリーダーさん、大食いなんですね
アスナ,ま、まあね
バトガル,では、挑戦させていただきます！いけ、コジョフー！
アスナ,い、いけ！コータス！。う、うっぷ……
バトガル,あ、あのー、顔色悪いようですけど、大丈夫ですか？
アスナ,へ、平気平気！うっぷ……
バトガル,……。負けちゃった……ありがとうございました
アスナ,う、うん
バトガル,それでは、これで
アスナ,勝った……うっ！でももう胃が限界だ……。っていうか、挑戦者が来たときだけお菓子食べればよかったんじゃなかろうか……。よし、明日からは……。いや、もう大食いキャラを演じるのはやめよう……当分お菓子見たくない……。あーあ、振り出しに戻っちゃった……ほかのジムリーダーさんに相談しようかな。あっ！そういえば爺ちゃんが昔四天王務めてたんだっけ！帰ったら聞いてみよう！。爺ちゃんいるー？
爺ちゃん,いるぞい
アスナ,よかった、いた。さっそくだけど、爺ちゃんに相談したいことがあるんだ
爺ちゃん,ワシに相談したいこと？
アスナ,実は……
爺ちゃん,なるほど。つまりジムリーダーとしてのキャラ作りに悩んどるわけじゃな？
アスナ,うん……爺ちゃん昔四天王やってたっていうし、その辺のところについて何かアドバイスして欲しいんだ
爺ちゃん,なるほどな。どれ、かわいい孫のためじゃ、ワシが一肌脱いでやろう
アスナ,ほんと！？ありがとう、じいちゃん！
爺ちゃん,なんのなんの。では、ワシが導いてやろう。そう……。導く以外ありえないｗｗｗ
アスナ,！！！！。んんｗｗｗエリ男君、エリ女ちゃんおはようございますですぞｗｗｗ
エリ男,お、おはよう……
エリ女,ございます……
アスナ,んんｗｗｗ元気がありませんぞｗｗｗ。そんなんじゃ、今日の役割を持てませんぞｗｗｗ
エリ男、女,は、はぁ……
アスナ,それではですぞｗｗｗ
エリ女,ど、どうしたんだろ、アスナさん
エリ男,さ、さあ……
ホープトレーナー女,あのー、ジムリーダーに挑戦したいのですが
アスナ,んんｗｗｗ挑戦者の方ですかなｗｗｗ
ホープ女,は、はい
アスナ,我がジムリーダーですぞｗｗｗさっそくバトルを始めますぞｗｗｗ
ホープ女,は、はぁ……では、いけ！ダグトリオ！
アスナ,んんｗｗｗｗｗボグトリオですかｗｗｗｗｗでは、いけｗｗｗｗヤャラドスｗｗｗｗｗ
ヤャラドス,ぺゃーｗｗｗｗｗ
ホープ女,ええっ！？。対戦ありがとうございました……
アスナ,んんｗｗｗこちらこそ対戦ありがとうですぞｗｗｗ
ホープ女,あの、でもこれじゃ炎ジムじゃないんじゃ……
アスナ,ですよねー。もー！爺ちゃんのアドバイス通りにしたら全然ダメだったよ！
爺ちゃん,す、すまん。爺ちゃんは昔あのキャラで通したものでな……
アスナ,初めてあげたバッジが私の反則負けってどうなのよ……
爺ちゃん,本当にすまんのお……
アスナ,ううん、爺ちゃんは悪くないよ。悪いのは私なんだから
爺ちゃん,しかしのう……
アスナ,爺ちゃんありがとう。やっぱりもうちょっと一人で考えてみるよ
爺ちゃん,そうか……がんばるじゃぞ、アスナ
アスナ,うん！。とは言ったものの……何も思いつかないや。あーあ、本当にどうしたものか……
メルヘン少女,あのー
アスナ,はいはい、挑戦者かな？
メルヘン,はい、ジムリーダーのお姉ちゃんに決闘を申し込みます
アスナ,よしきた！さっそくやろうか！
