のび太のママ,以下、たま子
ドラえもん,え、その、努力はしてるんですが・・・
たま子,いつまでも成績が上がらないようなら未来に帰ってもらいますからね
ドラえもん,はい・・・
のび太,・・・
ドラえもん,のび太君、まあ、気楽にいこうよ。君はコツコツゆっくりタイプだから
のび太,うん・・・。ああ、僕はどうしてこんなに馬鹿なんだ・・・
ドラえもん,どうしてあげたらいいんだろう・・・
たま子,・・・
のび太,・・・
ドラえもん,・・・
たま子,わかりました
ドラえもん,え？
たま子,ドラちゃん、、もうあなたには頼りません
ドラえもん,え、でも、僕は
たま子,あなたには未来に帰って頂きます
ドラえもん,！
たま子,きっとあなたにはのび太を教えるにはむいてないのよ
のび太,待ってよ、ママ！
たま子,待ちません。のび太、これはいつまでも成績を上げないあなたが悪いのよ
のび太,嫌だよ、ドラえもんがいないと僕は
たま子,駄目よ。ドラちゃん、未来に帰る支度をしなさい
ドラえもん,ママ・・・
のび太,ママ！これはなに！
たま子,それはスッポンの血と朝鮮人参、鹿の角を混ぜたものよ
のび太,こんなの、飲めないよ
たま子,飲みなさい。残したら許さないわよ！
のび助,しかし、ママ、これはのび太には朝からキツすぎるんじゃないか？
たま子,いいえ。これぐらいしなきゃだめよ。まずは体力が基本なんだから
ジャイアン,あ、のび太だ
スネ夫,のび太だ
ジャイアン,おい、のび太
のび太,あ、ジャイアンにスネ夫、おはよう
ジャイアン,へへへ、おい、のび太、俺達のかばんを持てよ
スネ夫,持てよー
のび太,え、なんで僕が
ジャイアン,うるせえ！いいからさっさと持て！
のび太,あれ、ジャイアンとスネ夫のかばん・・・。軽い
ジャイアン,おい、しっかり運べよな
のび太,あれ、身体が熱い
スネ夫,ね、ねえ、ジャイアン。のび太の様子が
ジャイアン,あん？のび太の様子？。お、おい、のび太！どうしたんだ！
のび太,熱い！熱い！じっとしていられない
ジャイアン,う、うわあ！。こ、こいつ！のび太のくせに！
のび太,身体が勝手に動く・・・。ジャイアンのこぶしがスローに見える・・・
スネ夫,あ、あ、あ・・・
のび太,はぁ、はぁ、はぁ
スネ夫,あ、あわ、あああ。なんなんだよあののび太。まるで狼かライオンみたいだった。怖いよ
先生,野比が起きとる・・・。感心だな。剛田も転んで怪我をしたとかで大人しいし、今日は授業がやりやすいな
たま子,おかえり、のびちゃん
のび太,ただいま
たま子,かばんを置いたらおやつよ
のび太,え、やったあ！。え、ママ、これは・・・
たま子,まぐろの目玉よ
のび太,こんなの・・・
たま子,ＤＨＡがたっぷりだから、残さず食べなさいね。あと、このカプセルを飲みなさい
のび太,ママ・・・このカプセルはなんなの？
たま子,サプリメントよ。海外からのびちゃんの為に個人輸入したのよ。頭にいいから食べなさいね。偉いわ。のびちゃん
教師,こんな問題がわからんのかああ！クズがああ！
生徒,すいません！すいません！許して下さい！
たま子,のびちゃん、入学手続きは終わったわ。明日からここに通うのよ
のび太,え、ママ、でも、僕、怖いよ
教師,勉強のできない奴は死ね！
生徒達,勉強のできない奴は死ね！
先生,今日ものび太は居眠りをせんな。感心だ。しかし、果たして授業を聞いておるのか。野比、今から書く問題をやってみろ
のび太,はい
先生,では、野比、前に出てやりなさい
のび太,８２１です
