谷口は目を細めて、俺を睨む。国木田が,やめなよ
俺は、たった今鶴屋さんから釘を刺されたばかりだというのに、どうしても朝比奈さん,大
毎日、気心の知れたやつらと、ああでもないこうでもないと試験問題を解きながら,もっともそんな低偏差値野郎は俺だけだったが
ハルヒは泣きそうな声を出した。俺はますますやりきれない気持ちになる。どうせなら傍若無人に怒ってくれればいいのに。,バカ
古泉は慣れた口調で答える。俺も適当に注文した。新川さん,仮
店を見回していると、たまたま森さん,仮
俺は溜息混じりに苦笑する。そのとき、音もなく近づいてきた森さん,仮
言って、古泉はグラスを煽り、三杯目を注文した。俺も同じく目の前の酒を飲み干す。新川さん,仮
新川さん,仮
そこで古泉ははっと我に返って、周囲を見回した。新川さん,仮
古泉は新川さん,仮
やっとハルヒのご到着だ。ハルヒはどういうわけかいたくご立腹のようである。その後ろから古泉の,おやおや
朝比奈さん,大
長門はある方向を指差す。そこにいるのは未来人トリオだった。指揮官は朝比奈さん,大
朝比奈さん,大
ルビつきの気取った台詞をのたまったのは、朝比奈さん,大
しかし、有難いことに、朝比奈さん,大
朝比奈さんはそう言って、ちらりと俺を見た。俺はいつか、朝比奈さん,大
古泉は心の準備をしていたのか、待ってましたとばかりに,はい、団長閣下
しかし――誰が何を考えているのかを表に出せない人間なんだよ聞いて呆れるぜ――込み上げてくる感情には逆らえなかったのだろう、,失礼
