家に帰った悟空は相変わらず修業→飯→風呂→寝る→修業の武道家,ニート
チチ,悟空さ～、ちょっと～
悟空,おう、なんだぁチチー
チチ,これわりーけど町までいって税金さ払ってきてくんろ
悟空,あ？税金？なんだそれ？
チチ,えー？わかっただ。いいからこの書類とお金を持って町の区役所に行って払ってきてくんろー
悟飯,あ、お父さん、すいませんけど、僕の分もお願いできませんか？
悟空,おめーにも税金あんのかー悟飯
悟飯,はい。所得があるので。天下一武道会の賞金なんかは引かれた状態で渡されるので、お父さんは気づかなかったんでしょうけど、支払ってるんですよ
悟空,へー、オラ、全然知らなかったぞ。オラが戦って獲得した金なのに勝手に持って行ったんかー
悟飯,ま、まあ、確かにそうなんですが、法律がそうですから
悟空,なんか世の中わからないなー。ま、とりあえず払ってくっぞ
悟飯,すいません、お父さん、お願いします
チチ,悟空さ、ほら、地図だ
悟空,おう、じゃ、いってくっぞ
男性,なぜですか、なぜ助けてくれないんですか！
職員,私達はＤＶの被害者を救う為の課ですので・・・
男性,そ、そんな、僕は妻から暴力を振るわれてるんです。骨折もしてるんです！
職員,いえ、ですから、私達はＤＶの相談なので・・・
悟空,おい、おめーどうしたんだ？泣きじゃくって
男性,あぁ、私は妻がいるんですが、その、情けない話なのですが、妻から暴力を受けていて
悟空,暴力？組み手や修業じゃねーのか？
男性,違うんです。やめてくれって頼むんですが、無理矢理・・・。それで行政に相談しにきたんです
悟空,そ、そうなんか・・・。で、だったらなんで泣いてんだ？
男性,そ、それが行政は何もしてくれないんです
悟空,ん？なんでだ？ぎょーせーってのはこいつのことか？
職員,はい、ですから何度もお伝えしているように私達はＤＶに関する相談にお答えする課なんです。ですから男性に来られても
男性,なぜですか、私は妻から殴られたり蹴られたりして
職員,ＤＶは男性から女性への暴力なんです。男性に来られても何もお答えできません。警察にでも
男性,そ、そんな、私は妻を愛してるし、警察なんて
悟空,お、おいおい、ちょっと待てよ。こいつが男だからって助けねーんか？
職員,そ、そういうわけでは。ただ私達はＤＶに関する相談を受け付ける所なので
悟空,そんなの暴力なんて強え奴がすることなんだから性別かんけーねーんじゃねーのか
職員,いえ、そう言われましても
女性,あ、あの、いいですか？
職員,あ、はい、どうぞ
女性,実は彼氏から殴られていて
職員,あ、ようこそ、相談にお越し頂きました。どうぞお話下さい。
女性,それで・・・それから・・・その後・・・
職員,はい・・・はい・・・お辛い経験をされましたね・・・行政としては
男性,うぅ・・・私も税金を払ってるのに
悟空,税金？ああ、そうだ、オラ、税金を払いにきたんだ。おめーも税金払ってんのか？
男性,はい、もちろんです。この区役所だってさっきの職員だって私達の税金で建てられ、給料が出てるんです
悟空,そうなんかー、それなのにおめー相談受けてくれなかったんだなー
男性,でも、もういいですよ。妻は愛していますが、警察にいきます。
悟空,あ、ああ、おめー、奥さんに負けねーように修業でもしたらどうだ？
男性,修業？・・・いえ、いいですよ、ありがとうございました
悟空,おう、オラ、税金を払いにきたんだけど
職員,あー、はいはい、で納税書類は？
悟空,おう、これだ。なんだ！？びっくりすんじゃねーか、普通に受け取ってくれよ
職員,はいはい、書類はあってますね。で、お金は？
悟空,金はこっちだ。いや、だから普通に受け取ってくれよ。そんな取り方しなくてもいいだろー
職員,はぁ？ﾎﾞｿｯ
悟空,な、なんだよ・・・
職員,はいはい、確かにね。これ領収書。あと銀行口座への振替依頼書ね。
悟空,領収書？なんだそれ？それに振替依頼書って？
職員,はぁ？ﾎﾞｿｯ
悟空,いや、オラ、税金払うの初めてでよくわかんねーんだ
職員,・・・無視
悟空,な、なあ、領収書ってなんだよ？それにチチと悟飯の税金何に使うんだ？
職員,あなたに言う義務はありません
悟空,お、おい、受け取るんだから教えてくれてもいーじゃねーか。おい、具体的に言えよ、市民の為って。
職員,はいはい。では次の方ー
悟空,感じわっるいなー。あいつもぎょーせーって奴ならチチや悟飯の税金で生きてんじゃねーのか。・・・なんか納得いかねーなー。オラよくわかんねーけどお金は大事じゃねーのかなー
警官,はやまるなー！まだ若いんだからよく考えろー！
女,黙って！それ以上きたらここから飛び下りる！
警官,や、やめろー！よく考えるんだ！
悟空,な、なんだ？おい、どーしたんだよ？
やじ馬,みてわかんねーのかよ？若い女が飛び降り自殺しようとしてんだよ！
悟空,自殺ぅ？なんで？
やじ馬,知るかよ！お前がきいてこいよ
悟空,それもそうだな。オラ、ちょっと行ってくるわ
やじ馬,はっ、マジかよ？って、あ、あわわわわ
女,あ、え、あわわわわ
悟空,おめー、自殺しかけてたのはなんでだー？何か悩みでもあんのかー？
女,あ、あわわわわ、いま、空飛んだ・・・
悟空,あ、そっか、空飛びのって珍しかったかー、オラ、空飛べんだ
女,そ、そうなの・・・って、えっ？空飛べる？
悟空,オラのことはいいからなんでおめー死のうとしたんだ？
女,私、実は妊娠して会社を辞めさせられたんです
悟空,妊娠！？良かったじゃねーか！
女,よくないですよ！いや、確かによかったですけど。でも、会社をクビになって・・・
悟空,おめーの妊娠とクビは何の関係があんだ？
女,私、妊娠したから産休を申請したんです。始めは受理してくれたんですが・・・その・・・。不景気を理由に人員整理するからって、解雇を・・・。
悟空,え、でもよー、不景気なんだから仕方ねーんじゃねーんか？。そうなんかー、でもだからって死ぬことはねーだろう
女,もう嫌なんです。私、努力してきたのに。誰よりも頑張ってきた。なのに女だから、妊娠したからって
悟空,お、落ち着けよ、家族や赤ちゃんの父親はなんて言ってんだよ？
女,彼氏は女の私が働くの反対でしたし、両親は・・・産休なんて会社の迷惑だろ！って
悟空,ま、待てよ！と、とにかく死ぬのはダメだ。はやまるなって！
女,・・・もういいの。ありがとう。少し泣いてすっきりしたわ。
悟空,え、そ、それはよかったな、は、はは・・・
女,さようなら。最後にあなたと話せてよかった
悟空,！！しまった！。こんなになるぐれーなんて・・・よっぽど悔しかったんだな。でも、おっかしーな。産休ってやつは法律で保障されてるって言ってたのに。会社は今まで働いてもらってたんだろー？なんで産休でクビにすんだ？。おっと、いけねぇ、オラ、あんま目立つのはきれーなんだ。じゃな！。まいったまいった。世の中わけわかんねーこといっぱいだな。空飛んだら目立つし、電車で帰るとすっか
ベジータ,きさまー！女性専用車両は任意だろうが！なぜ、俺様が乗ってはいかんのだ！
駅員,い、いえ、ですから私はお願いをしただけで
ベジータ,何がお願いだ！いま、乗れませんと断言しただろーが！
駅員,そ、そんな、お願いをしただけです
悟空,おう、ベジータ、おめーも電車か。何怒ってんだ
ベジータ,ふん、カカロットか。ちょうどいい、貴様も文句を言え
悟空,文句？何にだ？
ベジータ,俺が女性専用車両に乗っていたらこいつがここは女性専用車両だから乗れませんよと断言したんだ！
悟空,えっ？女性専用だったらおめー、乗れねーんじゃねーんか。おめー男だろ
ベジータ,バカヤロー！女性専用車両は任意だ！男性だろうがサイヤ人だろうが自由に乗れるんだ！
悟空,えっ、そうなんか！オラ、てっきり専用って書いてあっから。あのぎゅうぎゅうの中に乗るのは嫌だなぁ
駅員,いえ、私はお願いをしただけでして
悟空,落ち着けよベジータ。この人は間違えただけだろ？任意なんだったら乗ろうぜ
ベジータ,チッ、どこまでも甘いやつめ。裁判になると任意任意と裁判官に泣きつくくせに・・・くそったれぇ！！！
駅員,電車、発車しまーす
ベジータ,謝りもしやがらねぇ！
女性,じーーー。ちらっ・・・ちらっ・・・じーーー。じーーー。ﾋｿﾋｿ
悟空,？？？。おい、ベジータ。オラの顔になんかついてっか？
ベジータ,いや、何もついておらんぞ
悟空,そっかー。いや、なんか見られてる気が・・・。ま、気のせいか
ベジータ,気のせいなんかじゃない。こいつら女性専用車両に協力しない俺達が気に食わないんだ！
悟空,えっ！だっておめーさっき任意だって言ったじゃねーか？
ベジータ,ああ、任意だ。裁判で男性の任意協力の元なら運行していいとなっている！それなのにこいつら！
悟空,それにここ以外はぎゅうぎゅうで足場もねーし。ここはそんなに混んでねーじゃねーか
ベジータ,知らん！女どもに言え！
悟空,お、おい、言いてーことがあるなら言えよ。見られてたら感じわりーしよー
女性,じーーー。じーーー。キモﾎﾞｿｯ。・・・睨みつけてる
悟空,お、おい。え・・・、お、おい。ちょ、おい・・・オラ達他の車両が混んでるし、任意だから乗ってっから悪くねーぞ。なのになんなんだよー
ベジータ,無駄だ！カカロット。聞く耳等持たん。
悟空,でもよー・・・なあ、おめーさっきオラの方見てたろ。なあってば・・・なあ！
女性,キャアアアアアアアアアちかーん
悟空,え？いや、オラは
女性,痴漢よ！痴漢ーー
悟空,違うって。オラは・・・それに肩じゃねーか
女性,痴漢痴漢ちかーん、誰かー
悟空,お、おい、そもそもおめーがオラの方み見るから・・・
ベジータ,バ、バカヤロウ！女に少しでも触れたら男は終わりなんだ！もう間に合うんぞ！
悟空,ベ、ベジータ、だからオラは・・・
駅員,どうさないました？
女性,あの人が私の肩に触ったんです。痴漢です
悟空,オラはただ見られてたから話を聞こうとしただけなんだ
駅員,とりあえず事務所まで来て頂けますか？
悟空,そーだ。別にやましい気持ちはねーぞ。
駅員,とりあえず肩を叩いたのは間違いありませんね？
悟空,そ、そうだな。叩いたってーか手を置いたってーか
駅員,わかりました。こちらで少しお待ち下さい
悟空,どうなってんだ？オラはただ話を聞こうとしただけなのに
ベジータ,貴様・・・事態がわかっていないようだな
悟空,なんの話だ？
ベジータ,貴様はもう詰んでいるんだ。もはや助からん
悟空,え？なんでだ。オラなんも悪いことしてねーぞ
ベジータ,善悪の問題ではない！女に触ったのが問題なんだ！
悟空,な、何を言ってんだベジータ？だからオラは話を聞こうと
ベジータ,黙れぇ！貴様、知り合いに弁護士はいるか？いないならサタンに紹介してもらえ
悟空,べ、弁護士って・・・。落ち着けよベジータ。おめー変だぞ。・・・？
鉄道警察,孫悟空さんですね？
悟空,あ、ああ、いや、はい。
鉄道警察,とりあえずね、女性さんと話が食い違ってるんだ
悟空,えっ？いや、オラは話を聞こうとしただけで
鉄道警察,う～ん、いやね・・・女性さんは肩に手を置かれたあとにね、こうね・・・さすられたと言ってるんだわ
悟空,オ、オラそんなことしてねーぞ。本当にただ置いただけだ
鉄道警察,うん、うん。だろうね。ただね、向こうがそう言ってるんだわ。これね非常に面倒なの
悟空,お、おい、直接会わせてくれよ。オラさすってなんかいねーし。食い違うも何もオラなんも悪いことしてねーから
鉄道警察,やってない。つまり否認でいいの？
悟空,ああ、オラはやってない。
鉄道警察,そうかー。じゃあね、拘置所にいかなきゃいけないんだけどさ、いい？
悟空,ああ、なんかわかんねーけど本当のことが判明するんなら構わねーよ
鉄道警察,そう、じゃあ、行こうか
ベジータ,カカロット、貴様・・・
悟空,おう、どうした？真剣な顔して
ベジータ,サタンに弁護士を紹介してもらえよ。あと俺も応援してやるからな
悟空,お、おう、よくわかんねーけどありがとな
職員,ホラ、自分の番がくるまでおとなしくしとけよ
悟空,ちょ、ちょ、って待ってくれ。なんだよここ。まるで犯罪者じゃねーか
職員,ｸｽｯ
悟空,お、おい、女はどーなったんだよ？オラ何も悪いことしてねーぞ
男,無駄ですよ。もう僕達は
悟空,う、なんだおめーくせーぞ
男,あなたもすぐにそうなります。あなたは何をしたんですか？
悟空,オラ、なんもやってねぇ。電車乗ってたら女が痴漢って騒いだんだ
男,僕と同じですね
悟空,おめーもか。えっ、でもおめー、その手・・・
男,はい、小さい頃から脳の病気で動かないんです
悟空,だ、だったら痴漢しようがねーんじゃ
男,無駄ですよ。女がやったといえばやったことになるんです
悟空,そ、そんな！でもオラは。そんな！いや、あの女がきちんと肩に手を置かれただけって言ってくれたら
男,その女はどこにいますか？僕達がいるような場所にいると思いますか？
悟空,え・・・そういやオラだけ連れてこられたような・・・
男,今頃、自慢していますよ。痴漢捕まえたって
悟空,オ、オラは痴漢じゃない！やってない！
職員,２６番！でろ！。おい、お前だ！２６番！そこの武道着みたいなののお前！
悟空,え？オ、オラか？いやオラ孫悟空って名前が
職員,いいから来い。こっちだ。ふーん。女性の話と違うね。女性に確認するから。じゃ。今日はこれでいいね
悟空,ああ、女性にしっかり伝えてくれ
職員,はいはい。
悟空,じゃあ、オラはそろそろ帰るから
職員,は？いやいや、帰れないよwww
悟空,え、だってオラは・・・
職員,何言ってんのwww女性の話と食い違ってんだからwww
悟空,いや、その女が勘違いしてるだけでオラは
職員,勘違いwwwいいから今日から食い違いがなくなるまでここで過ごすんだよwww
悟空,おめー何がおかしいんだよ。オラなんもやってねーんだぞ
職員,いや、あなたねwwwwwwwwwwwwww
悟空,だいたい女はどうしたんだよ。そいつと話しができれば丸く解決すっぞ
職員,無理無理www女性は被害者なんだからwww
悟空,ひ、被害者？オラが被害者じゃねーんか。オラ何もしてないのにこんな
職員,被害者は女性wwwあんたは容疑者。女性もう帰ってもらってるよwww駅からねﾌﾟｯ
悟空,なん・・・だと？ﾋﾟｷﾋﾟｷ
職員,さあ、まだまだ話聞かなきゃいけないから、早くでてってくれ
悟空,お、おめーーーーーー
界王,やめるんじゃー、ごくーーう
悟空,！！！。界王様！でも、オラ我慢できねぇ！こんなことが許されていいんか。くっ、そんなこと言ったって
界王,悟空！！！ひとまず場を離れるんじゃ！
悟空,わ、わかったよ。悔しいけど界王様を信用するよ。
