・このSSは,静・ジョースターの奇妙な日常
仗助,――静、オメーいつまで寝てんだぁ？オイ……
静,……んー？……ムニャ……スースー……
仗助,起きろォォ～～ッ。遅刻すんぞッテメー。ヘソ出して寝てんじゃあねーよ。腹壊すぞ
静,んん……兄さん何言ってんのよ……あたしは夏休みだってのお……だから寝坊しても大丈夫なのらァァァ～～……ムニャ
仗助,……
静,ウゲエッ！まぶしっ！……うう、やめてよォ兄さん……
仗助,……静。……夏休みは明日からだぜ？
静,……
仗助,まだ成績表もらってねえだろうがよォ～～。今日が終業式のはずだろ？
静,…………。あ――ッッッ！！！。もうッ兄さんッ！！もっと早く起こしてよねーッ！！うわっ、今何時ッ！？
仗助,何回も起こしたぜ。起きないテメーが悪いだろ～～がよ～～
静,HOLYSHIT！マジにヤッベェーわッ！い、一応聞くけど……兄さん
仗助,あん？
静,あ……あたしを学校まで送ってくれたり……なんか、しないわよねェ～～？車で……
仗助,今日おれ大学の教授と飲み会あっからよォー。歩きで行くんだよ。悪ィなーッ
静,ググ、期待してなかったとはいえ……正面きって言われるとヘコむわね……
仗助,はやくスカート穿きやがれ
静,そ、それじゃあ行ってきまァーすッ！
仗助,おう、気をつけてなァ～～
