――普段なら、ロコちゃんが帰ってきて、僕に,ただいま
ハム太郎,様子がおかしいのだ……なんというか、空気が異様すぎるのだ。ロコちゃんに何かあったのか……？もしそうなら大変なのだ。しかし……もし何かあったとして、僕に何ができるのだ……たかがハムスターの僕に。考えても仕方がないのだ、とにかくハムちゃんずハウスへ行くのだ。ッ！？。ロコちゃん……？帰ってきているのか…？。まさか……もし帰ってきているのなら、まっすぐ部屋に上がってくるはずなのだ。僕はロコちゃんのことをよく知っているつもりなのだ。今すぐにでも一階へ行き調べるべきなのだろうか……。しかし……僕は果たして一階に行けるのだろうかッ！？。この小さな体でッ！果たして一階に行けるのだろうかッ！！？。できるわけがないッ！！
だからなのか………人からはよく愛玩動物として飼われている,野生のハムスターなんて有り得るのだろうか？
ハム太郎,もし自分を可愛がってくれる飼い主がいてよォー………。もしそいつがかなりヤバイピンチに陥っていたとするなら………。てめぇーそりゃ僕だったら助けるのだッ！！。ロコちゃんを助けるのだッ！！
未知なるものに恐怖しない生物なぞこの世………いや、この地球にはいないッ！！,宇宙空間に一人……人なのかは分からないがいるはずだ
ハム太郎,確かにもの凄く怖いのだ………一体一階な何があるのかを考えると足がすくむのだ………。しかし………！。ロコちゃんや………ハムちゃんずのみんなのことを考えると勇気がわく………
ノミのような小さな生物が人間に立ち向かう………これは,勇気
ハム太郎,一階に着いたのだ………！。………………。静かなのだ………。静かすぎる………間違いなく何かあった………。くんかくんか………。臭わないのだ………何も臭わない。しかしこの場合、何も臭わないことが異常なのだ。本来ならあるはずのロコちゃんの臭いがないということはッ！！！！。やはり何かあったのだッ！！。さっき二階にいた時………奇妙な物音が一階からしたのだ、やはり一階が怪しい………探索を始めるのだ………。！？。冷蔵庫………なのだ………。？………何かいる………？。何だ………？。――ッ！！！！？あ………あれ………は、あれはッ！？
ロコちゃん,ぅ………あ………………ぐ………………？
ハム太郎,ロコちゃんンンンーーーーーーーーッ！！！！！！！！！！！！！！！！！！！！？。何故ロコちゃんが冷蔵庫にッ！！。しかもなんだあの異様な感じはッ！？どろどろなのだ………まるであれじゃあ煮こごりなのだッ！！
ロコちゃん,ぁ………ぇ………
