ハンマーブロス,あ～マリオ来ねー
ブロス,暇～死ぬ～～。なぁクリボー？
クリボー,ちょ、今、行ったり来たりするので忙しいんですけど
ブロス,どーせ８面だし、しばらく来ねーって
クリボー,それどもちゃんとやりましょう、万が一って事もありますしね
ブロス,そんなんポリシーに合わねー。キラーも、そー思うだろ？
キラー,オレ、マリオ、タオス、クッパサマ、メイレイ
ブロス,筋肉馬鹿に聞ーても無駄か。なーんでこんな事してんのかな？
クリボー,それはピーチ姫が魔法を解く力が持っているからでしょう？
ブロス,そーじゃなくて
クリボー,どういう事でしょうか？
ブロス,どうなってこうなったか、って事
クリボー,もしかして理由を聞いてるんじゃなくて自分に存在価値があるかって事ですか？
ブロス,そー、そんなん
クリボー,この人にしては深い事考えるな
ブロス,なんか言った？
クリボー,いえ、なにも。つまりはここにいなくても影響無いのでは、もっと時間を有意義に使う方法があるんじゃないだろうか？って言いたいんじゃないですか？
ブロス,お前すげーな、超能力者になれんじゃねー
クリボー,…。言いたい事は解ります。先程先輩が申されたようにここは最終面ですし、今回はいつもより難易度も高めになってますしね
ブロス,ちょい待ち
クリボー,はい？
ブロス,前から思ってたんだけどなんでもっと難しくしねーのかな？
クリボー,どういう意味ですか？
ブロス,ぶっちゃけピーチ姫のすぐそばに全員集めりゃいいんじゃねーかな？
クリボー,…。やっぱり先輩もそう思いますか
ブロス,だろ！？俺間違ってねーよな？
クリボー,少しずつ難易度上げてマリオさ、マリオがクリア出来るように作ってるような気がします
ブロス,まぁ、つまり最初は簡単だけど最後のほうは難しくなってるって事だろ？
クリボー,そう、ですね
ブロス,無駄じゃね？
クリボー,おそらくですけど
ブロス,ん？
クリボー,楽しんでるんじゃ無いですか。マリオさ、マリオとのやり取りに
ブロス,おめぇさっきからマリオさんって言おうとしてねーか？
クリボー,ごめんなさい、つい
ブロス,まー俺はそういうの気にしねぇんだけどさ？するやつもいるから、な？
クリボー,クッパ様は意外にうるさく言いますからね
ブロス,えーっと、なんだっけ？
クリボー,クッパ様はマリオとのやりとりを楽しんでるんじゃないか、って話です
ブロス,は？つまり？
クリボー,スリルと言うんですか、今回もマリオは我輩の罠を潜り抜けるに違いない、あれほどの好敵手はそうはおるまい、ぐわっはっはっはっと思ってるのかもしれませんよ
ブロス,今のクッパ様の真似か？
クリボー,すいません。
ブロス,楽しんでる、かー
クリボー,はい。
ブロス,なぁ
クリボー,はい？
ブロス,今、楽しいか？
クリボー,そろそろ仕事に戻りませんか？
ブロス,質問に答えてくれ
クリボー,まぁ楽しくありませんよ、正直
ブロス,だよなぁ
クリボー,でも仕事ってそういうものじゃないですか？
ブロス,う～ん
キラー,チョット、イイカ
ブロス,ん？
キラー,ズット、キイテタ
ブロス,なんだお前聞いてたのか
キラー,クッパサマ、ヤトウ、タクサン、ホカナイ、オンガエシ
ブロス,確かに、この国もキノコ王国も不景気で財政難、こんなに沢山雇ってくれるとこ他に無いしな
クリボー,よくキラー先輩の言いたい事解るな、そういう所は憧れる
ブロス,憧れるとか言うなよ、照れるだろｷﾘｯ
クリボー,聞こえてた
ブロス,キラーの言いたい事は解ってんだよなー、でももっとスリルが欲しいんだよ。なぁクリボー知ってっか？
クリボー,なんでしょう？
ブロス,この世にはさ、俺らと同じ種族なのにこんなやり取りとは全く関わらないで、平和に暮らしたり、お前と同じクリボーなのにマリオと冒険したやつもいるらしいぜ？
クリボー,クリオさんやクリスチーヌさんですね、名前くらいは聞いたことあります
ブロス,お前らクリボー族って、もとはあっち側だっけ？
キラー,ブロス、シュゾクサベツ、ヨクナイ
クリボー,いえ、いいですよ。昔の話ですし、一部のクリボーがキノコ王国を裏切ったのは本当の話ですから。確かに先輩が言う通り、もとはキノコ王国の味方でしたね
ブロス,だからなんかなーマリオも抵抗ないのかね。いーよなー冒険って
クリボー,マリオはそういうの気にしなさそうですけどね
ブロス,仲間だから～、って？。仲間と言えばさ、毎回クッパ様の罠ってより複雑に、より敵キャラが多くなってるよな？あの人の懐どうなってんのかね？
クリボー,私も前回からの増員ですしね。確かにそれは、不思議です
ブロス,なんか大きな力を感じずにはいられねーよな
クリボー,キノコ王国との黒い噂、ですか
ブロス,お前も聞いたことあんのか
キラー,ソノハナシ、ゴハット
ブロス,わーってるよ。実際さ、キノコ王国もピーチ姫に魔法を解く力がある、ってなってから観光地として売れたじゃん？
クリボー,ピーチさんの関連グッズも沢山出てますしね
ブロス,ピーチ姫が嘘つくとは思わねぇけど、実際魔法解くの見た事ある？
クリボー,いえ…
ブロス,だよなぁ
クリボー,というか、まだ近くでお目にかかった事がありません
ブロス,あれ、そーなの？怪我、治した事ないか？
クリボー,ええ、他のクリボーは城に戻って治療した人も結構いますけど、私はまだですね
ブロス,キラーは？
キラー,イッカイ、ダケ
ブロス,俺まだなんだよなー。遠くで見ただけだけど、綺麗な人だよなー。噂に聞いたけど、ピーチ姫ったらわたしがやりますなーんて言って、自分の手で怪我の手当てしてくれちゃったりすんだろ？
クリボー,そうなんですか？キラーさんは？
キラー,オレモ、ソウ。ヤサシイシ、タブン、ヒマ
クリボー,そういう人なんですよ
ブロス,ほんっと、いい人だよなぁ…
クリボー,この顔は聞いてないな
キラー,キイテ、ナイ
クリボー,もしかしてピーチの事好きなんですか？
ブロス,ばっ、そんな訳ねーだろっ。何言ってんだよ！
クリボー,うわ、解りやすいな。そういえばさっき、ピーチさんって言ったとき指摘されなかったな。もしかして、この愚痴ってピーチに会いたいだけじゃないか、って気がしてきた
ブロス,ん？城側から誰か来るな
クリボー,誰でしょうか。ここからでは見えませんね
ブロス,俺のほうが高い所にいるしね。お、ボム兵じゃん、チーッス
ボム兵,………なに
ブロス,そんな露骨に嫌そうな顔すんなよ
クリボー,ボム兵さん、初めまして、クリボーと申します、こんにちは。今日はこちらですか？
ボム兵,ううん。ボク今日、うらだから
ブロス,裏かー、初めて？
ボム兵,ちがうけど
クリボー,裏ってなんですか？
ブロス,あれーお前、聞いたことねーか。裏方の事だよ。罠動かしたり、怪我人を運んだりすんだよ
クリボー,罠のスイッチを押したりするんですか？電気代節約のためですかね
ブロス,そーか、それも知らんのか
クリボー,え？
ボム兵,人力ですよ、人力！！！
クリボー,うわっ、ビックリしました。
ボム兵,信じられますか！人力ですよ、あのワナぜーんぶ、この電化せい品あふれる、げんだいに！人力って！！。
クリボー,そ、そうだったんですか
ブロス,まーまーゼンマイ巻いてやるから、落ち着けよ
ボム兵,あー、ごくらくごくらく
ブロス,落ち着いたか？
ボム兵,ごめんねクリボー。大きな声出しちゃって
クリボー,いえ、大丈夫です。急だったんで驚きましたけどね
ブロス,こいつ、癇癪もちだからさー。口調、子どもっぽいんだけどなー
クリボー,そうみたいですね
ブロス,今回、人力班か？ご苦労なこって
ボム兵,ううん、今日はカウント
クリボー,カウントって何ですか？
ブロス,あとでわかるって
クリボー,？
ボム兵,ワナもそうだけど、納得いかないことがもう一つあるんだよね
クリボー,なんですか？
ボム兵,なんで、みんなのウソに合わせなきゃいけないの？
クリボー,どういう意味ですか？
ブロス,そっかー、治療未経験だもんなー
クリボー,え？
ブロス,ぶっちゃけさ、上から踏まれたくらいで大怪我すると思う？
クリボー,思い、ませんね。
ブロス,キラーは硬えし、俺なんてヘルメット被ってるんだぜ？
クリボー,つまり、プロレスみたいなヤラセ…
ブロス,演出だって、マリオもそっちのほうが燃えるだろー？
ボム兵,うまく言うね。正直つまんない
ブロス,まー解るけどな
ボム兵,さいしょはワナも、むずかしくなかったし、地面の形がふくざつなだけだったよね
ブロス,マリオの奴も変わったからなー
クリボー,そうですか？。マリオはただただピーチ姫を助けるって事に必死なように見えます
