みさえ,風間君ならしっかりしてるし安心だわ～。ね、あなた
ひろし,そ、そうだな
ひまわり,よかったわね、トオルくん
風間,う、うん！
しんのすけ,これでオラと風間くんは兄弟だゾ
いつしか,風間先生の授業はわかりにくい
風間,いやあ～、今高校に教育実習にいっててさ、これがうまくいかないんだ
しんのすけ,ほうほう。どこの高校？
風間,春日部商業さ
しんのすけ,おお～、ひまが通ってる学校だゾ
風間,ひまって、ひまわりちゃんのことか？
しんのすけ,そうだゾ。忘れちゃったの～？風間くんの薄情者！
風間,覚えてるよ！そっか～、ひまわりちゃんももう高校生なのか
しんのすけ,そりゃオラたちが大学生なんだから当然だゾ
風間,で、ひまわりちゃんは何組？
しんのすけ,う～ん、忘れた。２年だゾ
風間,僕は２年を担当しているんだ。もしかしたら、その中にひまわりちゃんがいるかも
しんのすけ,ひまに手を出したらオラが許さないゾ
風間,生徒に手を出すわけないだろう。ましてやお前の妹に！。じゃあ、ここの和訳を・・・野原さん、やってみてください。よくできました。そのとおりです。僕を覚えているかな？君のお兄さんとは幼稚園のとき一緒だったんだ
ひまわり,昨日、兄から聞きました。風間先生とは大親友だって
風間,そ・・・そう。大親友・・・
ひまわり,はい
風間,じゃあ、次の授業があるのでこれで。ひまわりちゃん！
ひまわり,・・・
部長,風間先生？野原がどうかしましたか？
風間,い、いやなんでもない。続けて
部長,オイッチニーサンシー
部員,ゴーロクシチハチ
風間,今日はちょっと外を走ってくるよ
部長,えっ、では指導のほうは・・・
風間,僕が教えたことを活かして、君たちだけでやってくれないか
部長,はい・・・わかりました
風間,じゃあ、あとはよろしく。ひまわりちゃんはいつも外周なのかい？
ひまわり,あの・・・
風間,うん？。あっご、ごめん、でも僕の中ではひまわりちゃんはひまわりちゃんなんだ
ひまわり,野原、でいいですよ
風間,あはは・・・次からは気をつけるよ。それにしても本当に大きくなったね
ひまわり,そりゃもう１７歳ですから
風間,しんのすけとは仲良くやってるかい？
ひまわり,用具庫の鍵を返却しにきました
風間,あ、ありがとう
ひまわり,では、失礼します
風間,ひまわりちゃんはもう帰るのかい？
ひまわり,ええ、そうですが
