・,場所どこだよ
五郎,うーっ、寒っ
キマリ,おいしかった～♪
結月,寒い日の味噌ラーメン美味しいですね
日向,寒ければ旨いなら、南極でも食べたいよね
報瀬,南極で味噌ラーメン･･･いいかも
店員,らっしゃいませ～
小泉さん,･･･。すいません、味噌ラーメンを
五郎,味噌ラーメン、と･･･餃子を。後からでいいですよ。ふぅ
リン,･･･。･･･すいません、味噌を
店員,はい、味噌ラーメンお待たせ！
小泉さん,･･･。･･･っ！
店員,はい、こちらも味噌お待たせ！餃子少々お待ちください
さっちゃん,うんこーーーーっ
五郎,ﾌﾞﾌｯ！
琴葉,来るな斉藤
斉藤,待ちやがれガキども～っ
結衣,･･･みんな、･･･待、って･･･
五郎,！
店員,はい、こちらさんも味噌ラーメン！
リン,･･･。ん～～っ♪
あおい,えぇほんまに～？
千明,あの色のやつめっちゃ売れてるらしいぜ
なでしこ,え～絶対そうだもん。あっ！やっぱりリンちゃん！
リン,おっ
あおい,あ、ほんまやった
千明,何食べてんだ？
リン,味噌、ウマいよ
あおい,この店の味噌結構有名やしなぁ
なでしこ,そうなんだぁ～おいしそうっ
千明,テーブル空いてるしこっちにしようぜー
なでしこ,うん、じゃあねリンちゃん
リン,ん
あおい,で、なんにするん？私は味噌やけど
千明,じゃあ私はあえての醤油で。味比べてみようぜ
なでしこ,じゃ私は･･･味噌ラーメン大盛とネギチャーシューご飯の並で！
千明・あおい,食うねぇ～
なでしこ,お、お腹空いちゃって
店員,餃子お待たせしましたー！
五郎,っ！あふっ！
店員,お待たせしました、味噌と醤油、それから味噌の大盛とネギチャーシューご飯の並ですね
千明,お、来たな
なでしこ,おいしそう～！
な・あ・千,いただきま～～す
あおい,味噌めっちゃウマ～や
なでしこ,こってりスープに太めの麺が合うよぅ
千明,ん！醤油もめちゃめちゃうまいぞこれ！
小泉さん,･･･
あおい,え、ほんまに？どれどれ･･･うまっ！
なでしこ,味噌と違ってあっさりだけど、コクがあっておいしいねぇ。ん～～っ♪
なでしこｺﾞｸｺﾞｸ,ぷはっ！
なでしこ,ネギチャーヒューごふぁんもおいひいよぅ
五郎,すいません、ネギチャーシューご飯の並を
店員,はい！ネギチャ並ね
リン,ふぅ･･･ごちそうさま
店員,はーい、ありがとうございます
リン,じゃ
なでしこ,っ！(ﾓｸﾞﾓｸﾞｺﾞｯｸﾝ)じゃあね～リンちゃん
千明,ふあめ
あおい,バイクやろ？気ぃ付けてなぁ～
小泉さん,･･･。すいません、醤油ラーメンを
店員,えっ、あ、はい醤油ですね。はい、ネギチャーシューご飯の並お待たせしました
花名,はぁ～外寒かった
たまて,お、テーブル席空いてますよ
栄依子,じゃそっちにしよっか
店員,醤油ラーメンお待たせしましたー
小泉さん,･･･。はぁ～～～
たまて,ここは味噌がおいしいんですよう！
栄依子,へぇー、醤油ラーメンはどうなの？
たまて,え、知りません。味噌の事しか聞いて無いですねえ
栄依子,えー気になるんだけど
たまて,そう言うならちょうど醤油ラーメン食べてる方がいますから聞いて来たら良いじゃないですかね
栄依子,ん、それもそうね。すみませ～ん
花名,え、栄依子ちゃん行っちゃったよ
たまて,まさか本当に行くとは･･･なんかすごい話し掛けるなオーラを出してる方でしたけど
栄依子,
小泉さん,
花名,普通に話してるよ･･･
たまて,普通に話してますねえ･･･
冠,･･･
たまて,かむちゃんメニュー見詰めすぎですよう
花名,すごく真剣に見てる･･･
たまて,そういえば外に居た人何だったんでしょうねえ？
花名,看板に隠れてた人？なんか中をうかがってたみたいだったけど･･･
たまて,誰か待っているのでしょうか･･･あ、えーこちゃん帰って来ましたね
栄依子,ただいま、なんか味噌はこってり、醤油はあっさりだけどどっちもおいしいって
たまて,･･･さりげなく連絡先交換して来ましたねこの人は
栄依子,小泉さんいろいろラーメン食べ歩いてるみたいだから、また今度おすすめとか聞こうかと
たまて,こうしてえーこちゃんの攻略対象がまた一人増える訳ですな
栄依子,なによ攻略対象って
花名,栄依子ちゃんはすごいなぁ
冠,ん
栄依子,何で冠がドヤ顔？
たまて,で、注文はどうしますか？わたしとしては味噌は譲れませんが
栄依子,別に譲んなくていいわよ、私は聞いて来ちゃったし醤油かな
花名,わたしも醤油かなぁ、冠ちゃんは？
冠,･･･味噌ラーメン大盛とネギチャーシューご飯の大、それと餃子二皿
花名,わ、冠ちゃんすごい
冠,これくらい余裕、あと餃子はみんなで食べる
たまて,良いですね餃子･･･あ、でもえーこちゃんは今後の予定次第では食べない方がいいかもですねえ
栄依子,何いってんだかこの子は･･･今日は別に困らないわよ
花名,今考えてたよね
たまて,というか今日はというのが気になります
栄依子,アハハ
五郎,ごちそうさま～
店員,はい、ありがとうございます！
五郎,ふぅ
悠,っ！
ピピ美,おい出番がねーぞ
ポプ子,さてはアンチだなオメー
