まず,持ち株会
彡(ﾟ)(ﾟ),上場企業に受かったで！ワイも勝ち組や！
彡(^)(^),入社式も終わって今日から研修やで～
上司,では野糞証券のポジハメさん、お願いします
(＊^◯^＊),はいなんだ！
彡(ﾟ)(ﾟ),ん？なんで証券会社の社員が……？
(＊^◯^＊),入社おめでとうなんだ！早速だけど社会人は投資をした方がいいんだ！
彡(ﾟ)(ﾟ),まぁちーとは考えたことあるででも株とかようわからん……
(＊^◯^＊),投資がやりたいけどやり方がわからない……どこに投資すればいいのかわからない……。そんな人にはみなさんが入社する会社の持株会
(・`ω・´),みなさんの先輩の真弓です私も持ち株会に入っているんですが、とても助かっています最近子供が生まれたんですが、これのおかけで大分助かりました
(＊^◯^＊),自社株会に入ると、自動的に毎月の給料から規定の額が投資に回されるんだ！だらしない人にはとてもいいんだ！
(・`ω・´),俺みたいな給料すぐパチ〇コに使ってしまう人間にはとってもいいな！
彡(ﾟ)(ﾟ),確かにワイも貯金とかできんタイプや……
(＊^◯^＊),そして何よりいいのが、いちいち市場の値動きとか株価とかややこしいものを調べなくていいところなんだ！
(＊>◯<＊),投資ってのは大変なんだ！毎日新聞の経済欄を見たり、その会社の経済状況を意識しないといけないんだ……
(・`ω・´),新入社員の君たちには暫くそんな暇はないな！
新入社員s,ハ、ハハハ……
(＊^◯^＊),だからこそ、難しいことはプロに任せるといいんだ！こっちの勧める金融商品からみんなの好みで投資できるんだ！
(・`ω・´),しかも投資で得た配当なんかはまた次の投資に活かされるんだ！雪だるま式に金が増えていくな！
彡(ﾟ)(ﾟ),ほーん……
(＊^◯^＊),あっ、でもお金にする時は相談が必要だからそこはよろしくなんだ。説明は以上なんだ！みんな、自分の将来を考えて判断して欲しいんだ！いまならなんと、新規入会者には五千円のプレゼントや、あんなこんな会社からサービスがついてくるんだ！
(・`ω・´),入会の紙は明日の9時に提出だ！遅れるなよ！
彡(ﾟ)(ﾟ),明日の9時ィ？だいぶ急やな研修も終わりの方で疲れてるいうんに……。うーん取り敢えず毎月五千円でええか
同期,でも五千円じゃ10年目から差がつくぜ貰った資料のグラフ見ろよ
彡(^)(^),これでワイも投資家や！
一つのかごに卵を盛るな,至言
彡(ﾟ)(ﾟ),ワイもそろそろ戦力の一員やねええスーツでも買うたるかなでもまだまだ安月給でそんな余裕あらへん……
彡(^)(^),せや！こんな時は自分の株を金にしてそれで買うで！
大松,できないぞ
彡(ﾟ)(ﾟ),え……？。なんでや！ワイの金やぞ！
大松,説明会で説明された筈だぞ持株会で買った自社株は最低単元数からしか現金化することはできないぞ
彡(ﾟ)(ﾟ),最低単元？
大松,うちの場合は100株で、その数ずつしか取引できないってことだぞ
彡(ﾟ)(ﾟ),……なんやようわからんが、じゃあワイの場合はいつぐらいにその株を金にできるんや
大松,今のペースだとあと半年くらいだぞ
彡()(),は、半年……。くそっ、毎月結構持っていかれるから金が足りひん……。それに奨学金や年金なんかでめちゃくちゃ持ってかれる……これじゃ生活できひん……
彡(ﾟ)(ﾟ),でもストレスで金は使ってまう！気づいたらカードの額がやばいで！くそ、必要な時に金が無いってどういうことやねん！
あっ・・・,察し
彡(ﾟ)(ﾟ),ようやくこの日が来たで！遂に消費者金融に手だしてしまったんや！絶対に株を金にせな！
大松,駄目だぞ
彡(ﾟ)(ﾟ),は……？。なんでや！ワイの金やぞ！
大松,大きな声じゃ言えないが最近上が買収やらの話をしててキナ臭いぞというか先週から株取引の停止が社内広報で出てるぞちゃんと見ろ。こんなタイミングで株を売ったりしたらインサイダーになるぞ
彡(ﾟ)(ﾟ),インサイダー？
大松,会社の内部の人間をインサイダーって言うんだぞそいつ、もしくはそいつからの情報を使って株を利益を出すとインサイダー取引という違法行為になるんだぞ。だから会社の内部の人間が自分の会社の株持ってても、危なっかしくて早々取引なんてできないんだぞ
彡()(),な……そうだったんか……
大松,流石にこれくらいは説明会で話された筈だぞどうせ研修で疲れ切ったタイミングを狙ってやったんだと思うが
彡()(),でも雰囲気がみんな入る流れだったんや……
大松,まだ高校生の頃の奨学金はともかく、その言い訳は通用しないぞ
彡()(),くそ……とにかく金にでるようになったらすぐ金にするで
大松,あ、その際は手数料4000円かかるからよろしくだぞ
彡(ﾟ)(ﾟ),ファァ！？4000！？500円くらいじゃないんか？
大松,この手の会社を介した証券会社の手数料はかなりかかるぞ特に野糞証券は滅茶苦茶高いぞ
彡()(),くう……でもここは泣き寝入りや……ウン万払ったんやから4000えんなんて安いもんや……
彡(ﾟ)(ﾟ),と、とにかく解除されたら金にするで！そんじゃ！
大松,……。あっ、資材調達部の真弓さんをお願いするぞ
彡(ﾟ)(ﾟ),マッツの言った通り上で一悶着あったみたいやな……まぁさっさと終わったみたいやからワイにはどうでもええわ
彡(^)(^),はよ規制解除されんかな！
(・`ω・´),……。やきうくんあ、Yさん少しいいかな？
彡(ﾟ)(ﾟ),はい？。なんか要ですか？
(・`ω・´),いや、少し小耳に挟みましてねなんでも自社株の売買を検討しているとか……
彡(ﾟ)(ﾟ),……そうですけど……
(・`ω・´),う～んそうですかぁ～う～んそれはね～ちょっとね～。困りますよ
彡(ﾟ)(ﾟ),え？
(・`ω・´),やきうさんもご存知だと思いますがね今上が大変でして
彡(ﾟ)(ﾟ),はぁ……
(・`ω・´),確かに規制は解除されましたが、あれは一つの訓示でね、わかるでしょ？
彡(ﾟ)(ﾟ),え、ええ……まぁ
(^`ω^´),流石はやきうさんだ今度飲みに行きましょう社事感
彡(ﾟ)(ﾟ),なんやかんやで売れずじまいや……。なんやとんでもないことになっとる気がするが、忘れるで……というより仕事せな。ま、なんとか……なるやろ……
彡(●)(●),会社が……倒産？そんなこと有り得るんか……？。明日から給料ゼロ……でも……でも……ワイは……。ワイは投資家やから……
彡()(),引き出せないどころか資産価値すらないんか……
彡(●)(●),～の会社に勤めてまして
面接官,その会社のことしか知らんと
彡(●)(●),仕事しかしてへんからなもんないわ……でもここで賢いアピせな……
面接官,へぇ！！。じゃあ今は何処の何に目つけてます？あそこはうんで～
彡(●)(●),さっぱり話についていけへん……ワイも投資やってたのに……いや……。ワイは投資家やない……自分で研究もしてへん、調べもせん、本も読まへん……ただ会社の言われるがままになってただけや……
良い勉強になったんやろなぁ,白目
彡(●)(●),やる前から投資する気はあったんや……だから持株会に入ったんや……あれから随分時間がたったが……今のワイはなんや……。もしあの時……自分でネット証券でも使って……月二万を自分の考えで、自分の責任で、自分の会社じゃない会社に投資してたら……。少しは知識や……金が溜まってたんかな……
上司,持株会入るよな？
新入社員,ヒャイ！(ヒャイ！)
