志保P,以下P
志保,おはよう。ﾁｭｯ
P,サンキュー。あと改めて誕生日おめでとう
志保,ありがとう。……これで二人ともお仕事がなかったらいちゃいちゃできるんだけどねっ
P,俺は仕方がないが、志保はたしかCoolの聖來か？誕生日が一緒だからって企画があったみたいだが
志保,うん。だから、今日は同伴出勤できるね
P,……本当はダメなんだけどな。ごちそうさま。それじゃあ、いってくるよ
志保,あれ？同伴出勤はしてくれないの？
P,勘弁してくれよ。ただでさえパッションPはアイドルと付き合ってることで有名なんだから……
志保,ふふっ、冗談よ。それに昨日、あんなに愛してくれたからね
P,うん……とりあえず夜にお祝いに出掛けような
志保,なら季節のフルーツ盛りメガマックスパフェに連れてってね
P,よしきた。じゃあ
志保,あ、待って。んぅ……いってらっしゃい
P,あぁ
志保,じゃあ私も仕度しないとね。おはようございます
聖來,おはよう、今日の収録よろしくね
志保,こちらこそ。……で、あそこにスタンバイしているカメラさんは
聖來,うん、もう始まってるみたい……とりあえず、今日の活動を決めるくじがあるんだけど
志保,くじ？
聖來,うん。事務所のみんなが作ったみたいでｺﾞｿｺﾞｿ
志保,私、未成年なんですけど
聖來,まぁそういうのは私がやるんだろうな……じゃあ、先に引かせてもらうよ
志保,どうぞどうぞ
聖來,んーｺﾞｿｺﾞｿ。……かな子ちゃんかな？
志保,菜帆ちゃんや里美ちゃんかもしれませんよ
聖來,じゃあ、いってみようか
志保,はいっ
聖來,……で、指定されたお店に到着っと
志保,わぁ、ここって話題のカップケーキ屋さんですね
かな子,御名答です！本日の一軒目にようこそ
聖來,あー。……お店の品物全種類食べないと帰れないってことはないよね？
杏,あー、それは杏達が全力で阻止したから
智絵里,さ、最初は歳の数だけだったんですよ
聖來,なんでやねん！
杏,お、鋭いツッコミ。聖來さん、セラマリ辞めてウチにこない？杏ちょっと二人に任せて帰るから
かな子、智絵里,なんでやねん！
志保,あはは……なるほど、キャンディアイランドの紹介ね
聖來,はぁ……では覚悟を決めますか
志保,まだ一軒目ですからね
聖來,カップケーキって見た目は小さいのに、結構くるね
杏,四つも食べるからだよ……
智絵里,だ、大丈夫ですか？
かな子,もうちょっとしたら次のお店が……あ、普通の喫茶店ですから大丈夫だよ
志保,とりあえず放送事故は防がないとね
聖來,ふぅ……落ち着いたぁ
志保,大丈夫ですか？
聖來,うん。……自分では若いって思ってても、やっぱいあの子達みたいにはいかないんだなぁって
かな子,じゃあ闇のパフェに闇のカフェオレを……あと闇のプリンもいいかな
杏,お昼前だし、闇のサンドイッチに闇のアイスティーを
智絵里,二人ともよく入るね……
志保,あれは特殊すぎるケースです！！
聖來,……でも実際、ダンスやってアイドルやって……ブロードウェイにも行けたし、潮時かもね
志保,聖來さん……。杏ちゃん？
聖來,それって……
杏,杏もね、有名だとは思うけど、最初は印税だけ稼いだら辞めるつもりでいたんだ
かな子,杏ちゃん……
杏,二人だけじゃないよ。きらりだってそう。出逢いで生まれた絆って簡単には壊せないよ
聖來,……んっ、まったく年下に諭されるなんて私らしくないなぁ
杏,これでもアイドルやドラマにグラビアだけじゃなくて、お笑いとかもやって変な修羅場は潜ってきたからね
聖來,そうだね……なら私もまだまだやれるよね
志保,そうこなくっちゃ！
智絵里,で、でも無理は禁物ですよ……もうお昼ですし
聖來,ところで、志保って食べ過ぎた後とか運動したりしてるの？
志保,あはは……もしかするといつき先生のおかげで今のスタイルを維持できているのかなぁ？
聖來,なるほど、ダンスだけでなく走り込みも……わんこと散歩しているだけじゃ
かな子,あ、お昼の場所に到着しましたよ
杏,といってもテレビ局だけどね
志保,今日が金曜日だからカレーだと思ったんだけどなぁ
智絵里,あ、そうだった
聖來,おやまあ
かな子,ここのスタジオだったかな？
千枝,あ、いらっしゃいませ
唯,やっほー、お二人ともお誕生日おめでとー☆
聖來,うん、ありがとう
志保,あら？ってことは、二人が作ってくれるんだ
千枝,はい、千枝はチャンポンを
唯,ゆいは玉子汁うどんだよ♪
かな子,本当はもっとお肉を使った豪華なメニューだったんだけどね
智絵里,その分、来週の番組にお肉が回るから大丈夫です
杏,どっかの護衛艦くらま
聖來,ごちそうさま！
志保,お腹いっぱい！
千枝,お粗末様でした
唯,それじゃあ……
杏,後の片付けは二人に任せて旅の続きに行こうか
かな子,ごめん、杏ちゃん。ちょっと休憩……
智絵里,かな子ちゃんはさっきから食べ過ぎです！！
聖來,で、次はどこへ連れて行ってくれるのかな？
志保,３時のおやつには少し早いからね
聖來,ん？わんこ？どうして？いつ来たの？
わんこ,わふぅー……わん
聖來,あ……ちょっと、ど、どこへ？
志保,え？え？。だ、誰？
いつき,さぁ、おやつの時間はいつきセンセイのランニングレッスンだぞ♪
志保,そんなぁ、ちっとも甘くないじゃないですかぁ！
