彡(｡)(;),早く自分語りするんや！ワイの命を無駄にする気か！？
彡(ﾟ)(ﾟ),早く自分語りをするんや、でないとワイが死ぬで！。ワイにわかるか、ググレたわけ！。けどええ自分語りやで。わいもやで
彡(ﾟ)(^),うそやで
彡()(),あかん、自分語り少なすぎて死ぬ！
彡(ﾟ)(ﾟ),ええやん。その調子や。ええやないか、だかな、これだけじゃ足りんのや。もっと自分語りせぇへんと、ワイの自分語り玉の威力が上がらんのや、やないと魔人ブウと高木ブーを超えられんぞ！！。ワイはそんな性欲高くないで、気のせいやろ。なかなかええ自分語りやないか、くっ、いまので肋骨２本折れた、流石巨〇や、だが……まだやれる！早く自分語りを！。健康には気ぃつけな、アイなんて油断して折れた肋骨全部心臓にささってもうたが………まだや！まだ隙は作れるはず！。平和やな、食い物の事、家の崩壊、免許でもそれも魔人ブウと高木ブーを超えなそれも終わっちまうんや。くっ、10連釘パンチをくらってもうたが……まだや、わいには目の前にある頂を超えなぁあかんのや、だから……だからはよ自分語りを！。食べ盛りでええな……ん？。なんや、惑星保護機構だかなんだか知らんが、実物見ちまうとクトゥルー神話が軽薄な羅列が並ぶ紙束になっちまうやないか。バールのようなものが270本以上的確に脳みそと心臓にぶっささったがまだイケるはずや、早く自分語りを！。なに言うてんや、この窮地を脱するには優等民族おんJ民が必要なんや！なんJ民やない、おんJ民が必要なんや！。はよ自分語りをッッ！
彡()(),あかん、世界が……vip民に……飲まれる……
彡(ﾟ)(ﾟ),よう言うた、それでこそ男や！。もっと自分語りじゃんじゃんもってこい！！
彡(ﾟ)(^),体調も自分語りの内や、お前のおかげで助けられる人物がおるんやで、きのこもうまいよな……ん？
彡(ﾟ)(ﾟ),くっ、さっきのクトゥルー神話の近くにいた美少年のお尻ナデナデしただけやのに、0フレームの無数のフォークでぶっさされてワイの身体が雲散霧消してもうた
彡(ﾟ)(^),だがワイの性欲は生きとるで！お前達は安心安全で自分語りするんや！
彡(ﾟ)(ﾟ),じゃあここで蛇べレバいいじゃない、ここで語れば皆兄弟！クズ、馬鹿、エリート、己の語りをみせてやれ！。嘘だって後から真実にしちまえ、捏造だってゴリ押せば通るんや、朝日新聞がよくやってるやろ！。はよ語るんじゃ、己の武勇伝！自分語りを！。一分以上女子と話せばいっちょまえ、実質童貞卒業や！ポジハメの出番はまだや！。ん？キンタマでかい見知らぬ猿にあっちむいてホイされたと思ったらワイの首が数十回回ってすっとんだけどワイは元気です。というわけだ、戦況は圧倒的不利である事はわかるやろ、だが可能性はまだある、わかるやろ、すべきこと。自分語りを早くせぇッッ！！。女でも友達止まりなら意味あらへんぞ、それに引きこもりは冬眠期間や、爪保存してる人は森に帰ってください。……くっ、しまった。油断して本能的に肉欲系ショタをペロペロしたらこいつの彼女と思われる戦乙女っぽい銀髪貧乳女に刺されてもうた！。だが、ワイはお前等の気持ちに答えなあかん、誓ったんや、自分語りさせるって
