ＱＢ,
華代,ん、何だこりゃ？
奈子,華代さん？
霊,どうしたんすか華代様！？
華代,ハエがたかって来たからはたいたんだが
霊,うおっ、マジだ。でかすぎだろこのハエ！
奈子,これどう見てもハエじゃないわよ！
霊,うおっ！何だ急に空が暗く！何か結界みたいな異空間の中に巻き込まれたぞ！
奈子,説明くさいセリフですね！
ＱＢ２,まずいよ！魔女の結界の中に取りゴバァッ！？
華代,今日はハエが多いな
魔女,アアアアアアアアアアアアアアアアア！！
霊,何だ……コイツは
奈子,敵……なのかしら？
ＱＢ３,魔女は常に結界の奥に隠れ潜んで、決して人前には姿をぎゅほほほぅ！？
華代,しつけえ
魔女,アアアアアアアアアアアアアアアアア！！
霊,来るぞ！
奈子,くっ！変身して戦いたいけど、こんなときにモンちゃんがいないなんて！
霊,あぶねえ！
奈子,きゃっ
魔女,アアアアアアアアアアアアアアアアア！！
霊,大丈夫かデカパイ！
奈子,あ、ありがと……ってだからその呼び方やめ
ＱＢ４,もう結界が閉じているから君たちは逃げられない！魔女と戦うしかないよ！早く僕と契約
華代,おい壁に穴開いたぞ
ＱＢ４,ファッ！？
奈子,何とか結界の中から出られたわね
霊,さすが華代様！俺たちが出来ないことを平然とやってのける！
ＱＢ４,わけがわからないよ
華代,おい、あいつついてくるぞ
魔女,アアアアアアアアアアアアアアアアア！！
奈子,なんてしつこいの！
霊,ここは学校だ！テメーの好き勝手にはさせねぇ！
ＱＢ４,そうさ！早く魔女を倒すために僕と
華代,くたばれハエがァ！
ＱＢ４,って僕かぁ！！？
ミュ,強力な魔力の匂いがするっす！華代さゴホバァ！？
華代,おせえよカス
ＱＢ５,こ、この知的生命体は一体……？
ミュ,と、とにかく早く変身して戦わないと大変なことに！
華代,火
ミュ,はっ！
ＱＢ５,手なづけられている！？
華代,あぁ～生き返るわぁ～
ＱＢ５,そんなことより魔女が！
魔女,ギャアアアアアア！！？
ＱＢ５,えぇ……
奈子,ふう……倒せたようね
モン,でかい図体してる割にはたいしたことなかったぜ
ＱＢ５,もう変身してるし！ていうか衣装がきわど過ぎる！
華代,ゴキブリ並みに多いハエだな
霊,そーっすね
ＱＢ５,
ＱＢ６,やれやれ……まさか先約があったとはね
ミュ,いあやー、魔法少女の勧誘とは……お互い骨が折れるミュ
ＱＢ６,でもかえって安心したよ。間違ってもあんな子を魔法少女にしていたらと思うと……。君には同情を禁じ得ない
ミュ,ははは……はぁ。これからどうするんだミュ？この町に留まるミュ？
ＱＢ６,その選択はないね。魔法少女の素質がある女の子は他の地域にもいる。次は朝霧彩という少女を勧誘に行くつもりだ。なかなかいい素材だよ
ミュ,そうかミュ。まあ、競業他社に先越されないように頑張ってくれミュ
ＱＢ６,ああ。それじゃ
ミュ,またミュ
