ＦＷＤ,ｱｻﾙﾄｺｱｱｻﾙﾄｺｱｱｻﾙﾄｺｱｱｻﾙﾄｺｱｱｻﾙﾄｺｱｱｻﾙﾄｺｱｱｻﾙﾄｺｱあばばばばばば
草薙,何とかしろ、遊作！
ＡＩ,どうすんだよプレイメーカー！
遊作,(サイバース・クロック・ドラゴンに)切り替えていく
ＡＩ,無視かよ！？
ホーネットビット,列強国(他デッキ)に出張させて貰います！
レイ,うわーん！私の居ない所で機体が好き放題使われるー！私の機体返してよー！
ビット,ん？
デスガイド,ヒャッハー！新鮮なビット捕まえたデスよー！このビットは貰っていくデス！！これで私も環境に殴り込みデス！！
レイ,やめてー！ビット返してー！
デスガイド,残念ながらそれは無理な相談デスね！このビットはギルティデス！出張し過ぎデス！！アバヨーデス！
レイ,だったら追い付くまで！閃刀起動－エンゲージ！閃刀姫－カガリ、出撃します！！
デスガイド,そのクソアドムーブやめろデス！！！！！。オギャアアアアアァァァァ！？！？。こんなん絶対ヤバいデスよ！！何リメイクして戻って来てんデスか！？。爆アドイラストから漂う殺意マシマシの風格！！これは環境を染め上げるデス！！。またKONMAIは過ちを繰り返そうとしてるんデスね分かります！！。…………。……うん。…………。別の意味でふぁっきゅーKONMAIだったデスね。ダークネスメタルは呼ぶ範囲が違うとはいえ完全に効果が去勢されたサモンソーサレスデスよね、どう考えてもサモソの方が強いデス、下準備無しのデッキから出るし。トリシューラに至っては何で盤面に干渉出来なくなってんデスか。ここまで素材消費させられるならデッキ除外とかいらないデスからもっとエクストラに干渉させて欲しかったデス。ぶっちゃけると、ドラグニティナイト－トライデントを見習えデス。欲を言うなら切腹帝を。カオス・エンペラーだけは認めるデス。去勢本家同様に基本手軽に出るバニラ3000運用にP効果がくっ付いた的な挙動になりそうデスけど、強そうデス。ダークアームドは何でこれ攻撃出来なくなってんデスかジャッジメントとダークアームドに至っては明らかにリメイク前の方が強いデスよね？
ｱｰﾑﾄﾞ･ﾄﾞﾗｺﾞﾝ,マジで！？
デスガイド,そこまで行くと退化し過ぎデス。というかそうだったデスねダムドってお前の闇堕ちだったデスね。何デスかこの圧倒的イラストアドから放たれる残念効果。こいつ等上手く使ってやれるようなデッキなんて存在するんデスか？？変態デッキでも無い限り共存不可能なデッキしか見当たらない気がするんデスけど
？？？,待たせたな！！
デスガイド,誰デスか！？
征竜's,ドラゴン族に除外と聞いては黙っ
デスガイド,帰れデス。あれ？でも確かに征竜が一番ピッタリ噛み合ってるような気が……征竜釈放フラグ……？。去勢されない限りそれは無いデスね
デスポリス,おーん
デスガイド,蓋を開いてみれば効果の発動条件に闇属性が絡んでるだけで効果自体は特に闇属性何も関係無いというオチだったデスね。圧倒的煽り文句から放たれる微妙効果……。いっそどこぞの金鼠レベルなら失笑も出来るんデスけどね。びみょーに使えなくもない辺りがまた哀愁を誘うデスね
デスポリス,大々的に煽らないでそっとしておいて欲しかった……上げて落とすを食らった気分デース
金鼠,金鼠進撃。必殺のＮｏ．
デスガイド,アレと比べればマシデスよ
デスポリス,比較対象が酷過ぎるデース……
デスガイド,今日の天気は晴れ時々ホーネットビット。初めての方は初めまして。既に御存知の方は、主人公バリアに守られたまま周りのカードを次々に禁止牢へと叩き込みつつ無限ループを引き起こしておきながら自分だけは鉄壁のしょごりゅうとして君臨し続けるいつぞやの巻き込みパねぇ４属性ドラゴンを彷彿させる禁止カード量産カードと化した百害あって一利無しのにっくきあんちくしょうをどうやったら禁止牢にぶち込めるのかその方法を教えて欲しいデス。こんばんわ。皆のアイドル、魔界発現世行きデスガイドデス
ルチアーノ,そして僕がサブリーダーのルチアーノ、あそこで千切れてるのが下っ端のプラシド
プラ/,
デスガイド,帰れデス。今回も、禁止カードをビシバシとぶち込んで行くデスよー。今回、準制限へ規制強化された半端なカードは無いのでとっとと制限エリアへ行くデスよー。はい、今回は５枚デスね
ホーネットビット,もくじもくじもくじ
