シャニP,以下、P
有栖川夏葉,以下、夏葉
小宮果穂,以下、果穂
P,い、いや……
夏葉,ちょっと、プロデューサー？
P,俺は無実だ！
夏葉,話は警察で聞いてもらったらいいわ
P,本当に誤解なんだって！。果穂、大人のデートなんて言葉、誰から聞いたんだ！？
果穂,えっと、チョコ先輩です！
P,アイツ……
夏葉,……後できっちり叱っておくわ
P,任せた
果穂,プロデューサーさん？夏葉さん？
夏葉,ああ、なんでもないわよ果穂
P,……ところで、なんでそんな事を急に言い始めたんだ？
果穂,デートって、男の人と女の人が仲良くなる為にやるんですよね！？
P,……まぁ、確かにそれはそうだけども
果穂,あたし、プロデューサーさんともっと仲良くなりたいんです！
P,こんないい子になにを吹き込んでるんだ智代子……
果穂,えへへ……くすぐったいです
夏葉,でも果穂？それなら、大人って言葉は必要ないんじゃないかしら
果穂,え？デートって大人じゃないとできないんじゃないんですか？
P,いや、そういう訳じゃ……まぁ、良いか。でもなぁ……アイドルとデートするのは
夏葉,あら、良いじゃない！お願い聞いて上げたら？
P,夏葉、反対しないのか？
夏葉,そりゃ、他の子だったら止めるかもしれないけど。でも、果穂に変な事はしないでしょう？
P,俺がやらかす前提なのか……
夏葉,ふふ、冗談よ
果穂,あの……ダメ、ですか？
P,いいや、そういう事なら二人で遊びに行こうか
果穂,良いんですか！やったーっ！！
夏葉,良かったわね、果穂
果穂,はい、ありがとうございます！。えへへっ……プロデューサーさんとのデート、楽しみです！
夏葉,……本当に、何もしないわよね？
P,しねぇよ！！。さて、ちょっと早めに来てみたけど……
果穂,ぷ、プロデューサーさーん！
P,果穂、おはよう
果穂,ご、ごめんなさい……遅れちゃいました
P,大丈夫だよ、まだ時間前だか、ら……
果穂,？どうかしたんですか？
P,いや、その髪飾り初めて見たなって思ってさ
果穂,お母さんが買ってくれたんです！男の人と出かける時に使いなさいって！
P,そうか……お母さんが
果穂,に、似合ってますか……？
P,良く似合ってるよ、とても可愛いと思う
果穂,ホントですか！？やったー！。えへへっ、早速褒めてもらっちゃいました！
P,それじゃ、早速出発するか
果穂,はい！あ、でも……
P,どうした？
果穂,あたし、デートってどういう事したらいいのか分かりません……
P,そうだなぁ……果穂でも楽しめそうな施設、少しぶらついて探してみようか
果穂,わぁ……！デート、なんだかワクワクしますね！
P,あんまりエスコートの期待はしないでくれよ……
果穂,……そうだ、プロデューサーさん！一つお願いがあるんですけど……
P,どうした？
果穂,手、繋いでみても良いですか……？
P,そうだな、はぐれると困るし繋いでおくか。ほら、果穂
果穂,はいっ！
P,……あの、果穂？
果穂,なんですか？
P,なんで恋人繋ぎなんだ？
果穂,チョコ先輩が、デートではこうした方が良いよって教えてくれたんです！
P,智代子……
果穂,……えへへっ、なんだか胸のあたりがポカポカします！
P,……そうか
果穂,さぁ行きましょう！プロデューサーさん！
P,……俺捕まらないよね？
夏葉,…………
西城樹里,以下、樹里
夏葉,何かしら、樹里
樹里,果穂が心配なのは分かるぜ？けどよ……
園田智代子,以下、智代子
夏葉,ゴメンなさい樹里、今大事なところだから
智代子,そうだよ樹里ちゃん！プロデューサーさんが変な事しないか見張ってなきゃいけないんだから！
樹里,いや、今のお前らには言われたくねーだろ！？
夏葉,失礼ね、樹里
智代子,こういうのは雰囲気だよ？
樹里,お前ら、どの口で……
夏葉,これは果穂を守るためよ、仕方ないわ
智代子,そうだね！……もきゅ
樹里,流石にプロデューサーが可哀そうに思えて来るぜ……。……それによチョコ、そのパンと牛乳はなんだよ？
智代子,そんなの、チョコパンと牛乳に決まってるじゃん！
樹里,……わりぃ、何が言いたいのか分からないんだけど
智代子,だって、張り込みだよ！？張り込みって言ったらこのセットでしょ！
樹里,……それを言うならあんぱんじゃねえの？
智代子,ちょ、チョコも甘いもん……一緒みたいなもんじゃん
樹里,はぁ……おい凛世、凛世からも何か言ってやって
杜野凛世,以下、凛世
樹里,……り、凛世？
凛世,すみません樹里さん、用事が出来ましたので
樹里,ってオイ！そっち行ったらダメだって！
凛世,離してください、プロデューサー様の元へ参らなくては……
樹里,落ち着け相手は果穂だから！な？
凛世,……それならば、仕方――
智代子,わぁ、恋人繋ぎしてる……！
夏葉,果穂、やるわね……！
凛世,…………
樹里,お前らちょっと黙ってろ！
P,…………
果穂,どうかしたんですか、プロデューサーさん？
P,いや、何でもないよ。アイツら、折角のオフなのに何やってんだ……？。……おっ、ゲームセンターがあるな
果穂,ゲームセンター、ですか？
P,ああ、デートには定番だと思うし悪くないだろ。果穂はゲーセン来たことあるのか？
果穂,はい！クライマックスガールズの皆で来ました！。……でも、大人のデートでゲームセンターに入っても良いんでしょうか？
P,大人かどうかは別としてだな……ほら、アレ見てみな
果穂,アレ……？。わぁっ、男の人と女の人が、仲良くUFOキャッチャーしてます！
P,ゲーセンだったらああいう風に二人で楽しめるしな。それにプリクラもある
果穂,プリクラ……！
P,果穂は俺とプリクラ撮りたいか？
果穂,はい、撮りたいです！
P,よし来た！。……さて、何から遊びたい？
果穂,えっと……あ、アレがやってみたいです！
P,あれは……ガンシューティングか？
果穂,この前、みんなで来た時は出来なくて……
P,ん、時間がなかったのか？
果穂,いえ、時間はありました！。でも、樹里ちゃんと夏葉さんがやめとこう！って……
P,……ああ、納得した。じゃ、まず操作説明から……。……どうだ、分かったか？
果穂,大丈夫、だと思います！
P,よし。それじゃ、やってみるか
果穂,はい！あたし、初めてだから楽しみです！
P,よーし……
果穂,……き、来ましたっ！
P,甜花の教えを思い出して……
果穂,えい、えいっ！。あ、当たらないです……
P,果穂？
果穂,プロデューサーさん、どうすればうまく当たるんですか？
P,そうだな……まずは、ちゃんと脇をしめること！
果穂,脇を……しめる
P,それで、しっかり狙って……！
果穂,狙って……！
P,撃つ！
果穂,っ！。わぁっ！やりました、プロデューサーさん！
P,よし、よくやった果穂！。……カチリ？
大崎甜花,以下、甜花
P,……あっ、やべっ！？
果穂,プロデューサーさん！
P,果穂！？
果穂,えへへ、間に合いました！
P,危ない所だった……ありがとな、果穂！
