市ヶ谷有咲,話って？
奥沢美咲,罪悪感がヤバい
有咲,はぁ？
美咲,こころにキレちゃって罪悪感がヤバい
有咲,……奥沢さんが弦巻さんにキレるってよっぽどだな。何かあったのか？
美咲,うん、アレね、今日のお昼休みのことなんだけどさ。知ってると思うけど、あたし、よくこころと２人でお昼ご飯食べてるんだ。でさ、ここ１ヵ月はこころが毎日お弁当を作って来てくれてて。それがまた美味しくてさ、あたしもそれを楽しみに日々を生きているって部分があるんだよね
有咲,ふーん。なんだいつものノロケか。話半分に聞こ
美咲,でも今日は違ったんだよ。あろうことかね、お弁当にパクチーが入ってたんだ。もうキレたね。久しぶりにキレちゃったよ。あたしがパクチー嫌いだって知ってるのに入ってるんだもん
有咲,……それ、好き嫌いする奥沢さんが悪いんじゃね？
美咲,いや、まぁね？そういう一面もあるよ？。悪いことをしたとは思ってるよ？でもさ、本当にパクチーだけはＮＧなんだよね……
有咲,つか、弦巻さんって料理出来るんだな
美咲,天才だからね。基本的にこころは何でも出来るよ
有咲,なんでそんなに奥沢さんが得意げになるんだよ
美咲,それにエプロン付けて楽しそうに鼻歌歌いながら料理するこころ、可愛いんだ
有咲,聞いてねーよ
美咲,はぁ～……どうしよ……。あんなにシュンとしたこころ、初めて見たよ……
有咲,私からしたら弦巻さんが落ち込んでる姿なんてまったく想像つかねーけどなぁ
美咲,どんな感じだったか気になる？
有咲,……まぁ、ちょっとだけ
美咲,市ヶ谷さんにそこまで言われたんじゃ話さない訳にもいかないなぁ、やれやれ……
有咲,そこまでの範囲狭すぎねーか
美咲,あれは中庭でのことだったんだけど……
弦巻こころ,美咲！今日もお弁当を作ってきたわよ！
美咲,あー、いつもありがとね、こころ
こころ,気にしないで！美咲が笑顔になってくれるって思うと、あたしもとーってもドキドキして楽しい気持ちになるから！
美咲,そう言ってくれるとあたしも嬉しいよ
こころ,それじゃあ、今日もたくさん召し上がれ♪
美咲,うん、いただきま……あれ、この匂い……
こころ,……？
美咲,…………
こころ,どうしたの、美咲？無言で固まって
美咲,こころ、もしかしてだけどさ、このお弁当……パクチー使ってない？
こころ,使ってるわよ。それがどうかしたかしら？
美咲,どうかしたかしら、じゃないよ！。こころ、あたしがパクチー嫌いって知らなかったの！？
こころ,美咲のことなら何でも知ってるわよ？
美咲,じゃあどうして！？どうしてパクチー使ったのさ！？
こころ,嫌いな食べ物があるのってもったいないもの。美咲には色々なものを食べてもらいたいから、今日はパクチーを使ってみたの！。さぁ、どうぞ召し上がれ！
美咲,召し上がれ、じゃないってば！あたしはそれ、食べないよ！
こころ,えっ……
美咲,こころには分からないかもしれないけど、人にはどうしても駄目なものがあるの！。克服できる嫌いと生涯無理な嫌いがあるの！。パクチーは人が口にしていいものじゃないんだよっ、それを食べるくらいなら、あたしは断食に挑戦するよ！！。生理的にもう絶対無理な嫌いなものを食べさせられたら、みんな不幸になるってば！！。いくらこころでもそれだけはホント許せないって！！
こころ,あ、ご、ごめんなさい……
美咲,って感じで、こころのガチトーン謝罪、初めて聞いたよ
有咲,へー。やっぱりノロケ話の類だなこれ。ポテト食お
美咲,それからさ、結局こころのお弁当は食べないで、２人で食堂行ったんだけど
有咲,うん
美咲,ずっとさ、あたしの半歩後ろをしおらしくついてきてさ
有咲,ポテトうめー
美咲,いつもならこころの方からベタベタ甘えてくるのに、今日は不安そうな顔で、ご飯食べてる時もチラチラこっちのことを窺ってきてさ。あたしが何か身動きするたびにちょっとびっくりするような反応されたんだよね
有咲,うん、そりゃ１００％奥沢さんが悪いな。弦巻さんに一切の非がねーよ
美咲,やっぱそうだよねぇ……
有咲,自覚あるなら謝ればいいんじゃね？
美咲,それが出来たら苦労はしないよ……本当にパクチーだけは許せないんだよ……。大体アレ、コリアンダーって呼ばれることもあるけどさ、それって古代ギリシャ語でカメムシじゃん。人間の食べるものじゃないよ。流石にこころにあーんされても……いや、それなら……？いけ……いや、うーん……いける……？……いや、やっぱ駄目かなぁ
有咲,もうさっさと謝ってこいよ
美咲,だからそれが出来たら苦労しないって。それにさ、ちょっと、こう言っちゃなんだけどさ
有咲,うん
美咲,本当に申し訳ないと思ってるんだよ？でもね、それでもね、思うんだ
有咲,うん
美咲,こころが小動物みたいに怯えてる姿、正直ちょっとそそる
有咲,…………
美咲,…………
有咲,……うわ
美咲,いやいやいや！引かないで、違うから！
有咲,い、いえ、人には色々な趣味がありますから、平気ですよ。例え奥沢さんがどんな趣味をしていようと私たちはただのクラスメートですから、気にしないで下さい
美咲,やめて！その他人行儀やめて！ホント違うから！
有咲,何が違うんだよ、もう奥沢さんがそういう人にしか見えねーって……
美咲,だから誤解だってば！。それにほら、市ヶ谷さんだっていつも元気な戸山さんがシュンと落ち込んでたら、こう、なんかあるでしょ！？
有咲,…………
美咲,……ね？
有咲,ノーコメントで
美咲,分かってくれて嬉しいよ、あたしは
有咲,それもノーコメントで。握手求めてくんな、応じねーぞ
美咲,市ヶ谷さん、最近あたしに対して遠慮なくなってきてない？
有咲,気のせいだな
美咲,気のせいかなぁ
有咲,一緒に寄り道する度ノロケられるこっちの身にもなってくれよ。……まぁ、それでも香澄たちとはまた違った居心地の良さがあるからいいんだけどさ
