大崎甘奈,以下、甘奈
シャニP,以下、P
P,ま、もうお昼なんだけどな
甘奈,……あれ、お弁当？珍しいね？
P,そうか？
甘奈,うん、いっつも外で食べてるよね？
P,ああ……まぁ、出先はな。ただ、今日は恋鐘が作ってくれたのがあったからさ
甘奈,へー……あれ？。じゃ、こっちのお弁当箱は？もう食べられてるみたいだけど
P,灯織が作ってくれた弁当だよ
甘奈,……プロデューサーさん、お弁当二つ食べるの？
P,まぁ、折角作ってもらった訳だしな。残したらバチが当たるよ……むぐ
甘奈,ふーん……そっか。……それじゃ、甘奈が作ってきたら食べてくれる？
P,……流石に三つは厳しいから、止めておいてくれると助かる
甘奈,…………
P,いてっ！何するんだよ甘奈！
甘奈,…………
P,怒らなくたって良いじゃないか……
甘奈,いーもん……甘奈は甜花ちゃんのお弁当だけ作るから。後で、食べたいって言っても分けてあげないからね！
P,え、甜花の弁当甘奈が作ってるのか？
甘奈,そうだけど？
P,それなら、俺この前食べたぞ
甘奈,……ふぇっ？
P,甜花から分けてもらってな、卵焼き
甘奈,……ど、どうだった？
P,美味かったよ、甘い卵焼き
甘奈,良かったー……。プロデューサーさん、卵焼きどっちが好きなの？
P,どっちも好きだけど、どっちかと言われると……そうだな。……うん、出汁巻きかな
甘奈,そっか……覚えとくね☆
P,……もしかして、作ってくれるのか？
甘奈,えー、どうしよっかなー？
P,……分かった、３つ頑張るから
甘奈,よろしい♪。えっへへ、それじゃ楽しみにしてね☆
P,明日から朝は少なめにしておかなきゃな……。……よし、ご馳走様
甘奈,もう出発する？お昼から営業だよね？
P,うーん……時間も、まだ大丈夫だし。もう少し事務所でのんびりしてても良いかな。……さて、それじゃ食後にコーヒーでも
甘奈,あっ、それじゃ甘奈入れてくるよ！
P,それじゃ、お願いしても良いか？
甘奈,もっちー☆任せて！
P,あぁ、マグは手前に仕舞ってあるクマの奴で頼む
甘奈,？うん、分かった！。おっまたせー☆
P,ありがとう、甘奈
甘奈,マグ、それで良いんだよね？
P,ああ、合ってるよ……どれ。……うん、良い感じに熱くて落ち着くな
甘奈,…………
P,……どうかしたのか？
甘奈,そのマグカップ、棚に二つなかった？
P,ああ、もう一つのは千雪のだよ
甘奈,お揃い、だよね？
P,この前オープンした雑貨屋にな、二人で買いに行ったんだ。持ち手も握りやすいし、それに飲みやすいし……良いマグだよ
甘奈,……千雪さん、良いなぁ
P,甘奈もマグカップ欲しかったのか？
甘奈,……うーん、そういう訳じゃないかも
P,？
甘奈,いーのいーの！プロデューサーさんは気にしなくて！
P,なんか引っかかるけど……まぁ、そこまで言うなら良いか。……よし、一服も済んだしそろそろ出るか
甘奈,…………！。ねぇねぇ、プロデューサーさん！今から営業なんだよね？
P,ああ、そうだけど……
甘奈,それなら、ちゃんと歯、磨いた方が良いんじゃない？
P,それも……そうだな。分かった、ちょっと行ってくる
甘奈,いってらっしゃーい☆。……行った、よね？。確か、この辺に……。……よし！
P,…………。……こんなもんか
甘奈,…………
P,甘奈？どうしたんだ、わざわざ洗面台の方まで来て
甘奈,ふっふーん……実はねー？。じゃーん☆
P,これは……ネクタイか？
甘奈,そ！甘奈からのプレゼント！
P,赤のネクタイか……
甘奈,プロデューサーさん、いっつも青い奴ばっかりでしょ？。たまにはこういうのも良いかなーって
P,…………
甘奈,……き、気に入らなかった？
P,……いいや、俺が選ぶより立派なネクタイだ。このネクタイ、今日の営業で使わせてもらっても良いか？
甘奈,！うん！
P,……でも、なんでわざわざネクタイなんだ？。俺の誕生日、別に今日じゃないぞ？
甘奈,それは……その。……この前一緒に買いに行った服、全然着てくれないから
P,そりゃ、仕事はスーツなんだし仕方ないだろ？
甘奈,それは、そうかもだけど……。折角、甘奈好みのプロデューサーさんに出来たと思ったのに……
P,ん、何か言ったか？
甘奈,何でもない！ほら、締めてあげるから上向いて！
P,わ、分かった……
甘奈,…………
P,……ネクタイ締めるのに上向く必要あったか？
甘奈,……だって、見られるの恥ずかしいじゃん
P,恥ずかしいってそんな大した事じゃ
甘奈,大した事あるの！ほら、出来たよ！
P,…………
甘奈,……ど、どうかな？
P,甘奈、結ぶの上手いなぁ……俺が自分でやるよりよっぽど上手く結べてるよ
甘奈,そ、そっか……良かったぁ
P,これなら、今日の営業は上手くいきそうだ
甘奈,いーっぱいお仕事、取ってきてね☆
P,ああ、任せてくれ。甘奈がトップアイドルになれるよう、もっとデッカイ仕事取ってきてみせるよ
甘奈,……そっか♪。……あっ、頭のとこにゴミ付いてるよ？
P,ホントか？見えないな……
甘奈,甘奈がやるから、プロデューサーさんは目つぶってて！
P,ああ、すまん。…………
甘奈,…………
P,……？。なぁ、あま――。――っ！？
甘奈,えっへへ……。……お仕事頑張ろうね、プロデューサーさん☆
