みんながウナギを楽しむ,一部例外あり
優花里,西住殿、西住殿！！
みほ,優花里さん？どうしたの？
沙織,今日のゆかりん、なんかすっごい嬉しそうだね
華,なにかいいことでもあったのでしょうか？
優花里,今日は何の日だか知ってますか？
みほ,今日？
沙織,何の日だっけ？
麻子,土用の丑の日ではあるが・・・
優花里,そうです！その丑の日です！！
沙織,それがどうかしたの、ゆかりん？
優花里,丑の日といえば、うなぎですよ、うなぎ！
華,あら、そういえばそうでしたね。確かに、今日の朝はテレビでもうなぎの話をしていました
沙織,おお！商店街でもいっぱい幟が立ってたよ！
みほ,うなぎかぁ・・・。昔、お姉ちゃんによく連れてってもらったっけ。わたしもうなぎ好きだよ、優花里さん！
麻子,わたしも好きだ。・・・まあ、丑の日は平賀源内が始めたキャンペーンに過ぎないがな
沙織,もー！そういう無粋なこと言わないの、麻子！
麻子,すまん。だが、うなぎはいいものだ
優花里,というわけで、今日はみんなでうなぎを食べに行きませんか？
沙織,おー！・・・と、言いたいところだけど、高くて手が出せないよ～
みほ,わたしも、今月ボコグッズを買いすぎちゃって・・・
華,あれ以上どんなボコグッズが存在するというのでしょうか・・・
優花里,ふっふっふ・・・。そう言われると思いましたが、お金の心配はいりませんよ
華,どういうことなのでしょうか？
優花里,じゃーん！！これを見てください！！
沙織,宝くじ・・・？ゆかりん、まさか
優花里,そのまさかです！この間、皆さんと一緒に買った宝くじが見事当選したんですよ！！
華,まあ！それはおめでとうございます！！
麻子,その前に初めてみんなで買った宝くじは全員分外れたが、今回は当たったのか・・・。すごいな、秋山さん
沙織,で、で！いくら当たってたの、ゆかりん！
優花里,二万円です。宝くじの当選金としては決して多くはありませんが、うなぎを食べるにはちょうどいいかと思いまして・・・
みほ,でも、いいの？
優花里,？なにがですか？
みほ,だって、その宝くじは優花里さんの宝くじだし・・・
麻子,その通りだな。なにもみんなで買ったものだからってみんなで使う必要はないんじゃないか？
優花里,いえ、確かにこれはたまたまわたしが買ったものですが、みなさんと一緒でなければ買いませんでしたし・・・
沙織,それはそうだけど・・・、さすがに悪いよ～！
優花里,気にしないでください！わたしがうなぎを食べたいだけなので！一人で食べるのも寂しいですから、せっかくなのでみなさんで行きましょう！！
華,本当によろしいのでしょうか・・・？
優花里,はい！ささ、早く行かないと売り切れちゃいますよ！！行きましょう！
みほ,うん・・・、ありがとう、優花里さん！
優花里,わわ！西住殿にお礼を言われちゃいました～！！
沙織,・・・まあ、なんだかゆかりん嬉しそうだからいっか。ありがと！
麻子,ありがとう
華,ありがとうございます、優花里さん！
優花里,いえ！ささ、行きましょう！
みほ,うん！
沙織,すみませーん、5人なんですけどー・・・
華,空いてるみたいですね
麻子,すぐに座れそうだな
杏,あれ？おーい、西住ちゃーん
みほ,え？あ、会長！
桃,なんだ、お前らも食べに来たのか
柚子,丑の日だもん。みんな考えることは同じだね、桃ちゃん
沙織,柚子先輩に桃ちゃん先輩！？
桃,お前ら、揃いも揃って桃ちゃん言うな！！
華,旧生徒会の方々も、食べに来られてたんですね
優花里,えへへ、みなさんもうなぎがお好きなんですね！
杏,まぁね～。ここのうなぎ、絶品だからさ
柚子,みんな、隣のお席あいてるみたいだから隣に座る？
沙織,いいんですか？じゃあ・・・。すみませーん！ここの席にしてもらっていいですかー？。やったあ！じゃあ、おじゃましまーす！
みほ,皆さんはよくこのお店に来られるんですか？
杏,いやいや、さすがに丑の日以外は来れないよ～
柚子,毎年丑の日にはこうしてみんなで来てるんだけどね
優花里,夏の大変な時期にこうして喝を入れなおす・・・、その姿勢が、生徒会の秘訣なんですね！勉強になります！
華,そうなのでしょうか？
麻子,それで、注文はどうするんだ？
優花里,おっとと、そうでした。すみませーん！特上5つでお願いします！！
杏,おおっ、豪勢だねぇ
沙織,なんと、ゆかりんが宝くじを当てたんです！
柚子,そうなの？おめでとう、秋山さん！
優花里,えへへ、ありがとうございます
桃,まったく、宝くじが当たったのならばわが校の戦車道に寄付すればよいものを・・・
みほ,あはは・・・、それはちょっと
沙織,だけど1憶とか当たれば、自分用の戦車買いそうだよね、ゆかりん・・・
優花里,おお！その手があったとは、盲点でした！
麻子,買うのか・・・
華,たしかに、シャーマンぐらいなら買えるかもしれませんね
杏,M4は量産されてるからねぇ
優花里,戦車道用に改造されたものも多数ありますからね！あと、CV33なんかもねらい目です！
華,まあ、CV33ですか！とてもかわいらしくて、よろしいかと思います！
沙織,そういう問題！？
柚子,あはは、やっぱり戦車の話になっちゃうね
みほ,ええ。みんな、戦車道が大好きですから！
沙織,お、来た来た。待ってました！
桃,なんだ、同時か。我々の方が先だったのに・・・
