月山シノブは子供たち,と一部の大きなお友達
この作品で活躍するロボット、“シンカリオン”の運転士,パイロット
その中性的でかわいらしいビジュアルを見た一部の視聴者たちから,実は女の子なのでは？
ハヤト,この間のブラックシンカリオンとの戦いが原因かな…？鉄博の方は大丈夫みたいだけど…。あぁ～…早いとこ修理終わらないかなぁ…
アキタ,仕方ない。暫くはこの扇風機で凌ぐしかないか…
ツラヌキ,このクソ暑い日に扇風機だけとか…全くもって涼めないんだよォ～…！
ｼｬｼｮｯﾄ,皆々様…修理が終わるまでの今少しの辛抱でありま～す…
ツラヌキ,……そういえば、今日はシノブのヤツここ大宮支部
アキタ,ああ、アイツは俺たちと違ってこっちに住んでる訳じゃないからな
ハヤト,何時でも大宮支部に来れるって訳でもないんだろうね
ツラヌキ,……なぁ…オレ、前々から気になってたんだけどよォ…
アキタ,んっ？
ハヤト,なに？
ツラヌキ,……シノブって、本当に“男”なンかな…？
ハヤト,……は…はぁっ！？
アキタ,お前…この暑さでついに頭までやられたか…？
ツラヌキ,い…いや！だってよー！シノブって男の割りには体つき細いし、色白だし！女って言われても違和感ないっつーか！
アキタ,………
ハヤト,いやいや…それは流石に無理あるでしょ…
アキタ,……いや、確かにツラヌキの言うことにも一理あるな…
ハヤト,えっ！？。あ…アキタまでシノブのこと女の子だと思ってんの！？
アキタ,別にそうとは言ってない。ただ、数パーセントの可能性であれ、可能性がある以上それは完全に否定しきれないことだ
ハヤト,もう、アキタまでそんなこと…
ｼｬｼｮｯﾄ,御二人とも、この暑さで頭がオーバーヒート状態でありまーす…
フタバ,みんなごめんね！空調もう少しで直るって！
ハヤト,本当ですか！？良かった～！
ツラヌキ,フタバの姉ちゃん！聞きたいことがある！
フタバ,えっ？
ツラヌキ,シノブってよ！本当は“女”なんじゃねーの！？
フタバ,は…はぁッ！？。な、成る程……それでシノブくんのことを女の子だと…
ツラヌキ,おうッ！
フタバ,想像力が豊かというか…何というか…
ツラヌキ,で、実際のとこどうなんだよ！
フタバ,どうって…シノブくんは正真正銘男の子よ
ツラヌキ,本当か～？姉ちゃん、ちゃんとアイツのチ〇チ〇見たことあんのかよ？
フタバ,ちんち…って！見るわけないでしょ！///
ツラヌキ,じゃあ本当は分かってねェんじゃねーか！全くもって話にならん！
フタバ,……えぇ…
ツラヌキ,クソ～！こうなったら直接本人に聞いてやる！
アキタ,それは止めておけ。もし借りにお前のいう通りシノブが女なのだとしたら、何か訳があって男と偽っているということになる。性別を偽るなどよっぽどの理由の筈だ。本人を問い詰めたところで、大人しく口を割るとは考えられん
ツラヌキ,じゃあどうすんだよ？
アキタ,どうって…シノブに悟られないようにこっそり調べるしかないだろう
ツラヌキ,悟られないようにって…どうやって！？
アキタ,……それは…そうだな…
ハヤト,……二人とも…本当に頭大丈夫…？
