羽沢つぐみ,どうですか、私が淹れた珈琲……
若宮イヴ,…………
松原花音,…………
つぐみ,…………
イヴ,……とても美味しいと思います！
つぐみ,ほんと！？
花音,うん。香りも良いし、あんまり珈琲は飲まない私でもすごく飲みやすいな。つぐみちゃん、上手になったね
つぐみ,え、えへへ……そう言ってもらえると毎日お母さんと頑張った甲斐があります
イヴ,これぞ日々の鍛錬のタマモノ、ですね！
花音,ふふっ。そうだね、イヴちゃん
氷川紗夜,…………
白鷺千聖,…………
紗夜,……どうも、白鷺さん
千聖,……ええ、紗夜ちゃん
紗夜,…………
千聖,…………
紗夜,相席の相手が白鷺さんだとは思いませんでした
千聖,私もよ。というか、どうして今日はこんなに混んでるのかしらね
紗夜,見て分かりませんか？
千聖,……まぁ、分かるわ
紗夜,白鷺さんが話の分かる方で良かった
千聖,その言葉はそっくりそのまま紗夜ちゃんにも返すわよ
紗夜,…………
千聖,…………
紗夜,逆に聞きたいのですが、あの３人がふわふわと会話をしているのを見たくない人間がどれくらいいるんでしょうか
千聖,１万人に聞けば１人くらいはいるんじゃないかしらね
紗夜,そうですね
千聖,……まぁ、つまり、あの３人が目当てでここにいる人が多いってこと、よね
紗夜,ええ。若宮さんは流石アイドル、といったように、とても可愛らしい方ですし
千聖,そうね。パスパレでもいつもニコニコしているわ
紗夜,つぐみさんはいつも通り天使ですし
千聖,……そうね。でも花音の方が天使じゃないかしらね
紗夜,そうでしょうか？
千聖,私は、そうだと思うわよ
紗夜,…………
千聖,…………
つぐみ,あ、そうだ！珈琲の味見に付き合ってもらいましたし、ケーキをお出ししますね！
花音,あ、どうぞお構いなく……
イヴ,そうですよ、ツグミさん！こんなに美味しい珈琲を頂いたんですから、それは過ぎたるは猶及ばざるがごとし、です！
花音,イヴちゃん、それは多分誤用だと思うな……
イヴ,ゴヨウ？岡っ引きさんですか？
つぐみ,え、えーっと、御用だ御用だ！っていう時代劇のセリフじゃなくて、間違った使い方っていう意味の誤用……じゃないかな？
イヴ,なるほど！また新しい言葉を知りました！ありがとうございます、ツグミさん、カノンさん！
紗夜,つぐみさんの御用だ御用だボイス、可愛い
