河上源一,４４
テロップ,新英市立新英中学校。河上源一４４
黒板には,ヘルマン・ヘッセ少年の日の思い出
河上,主人公の僕は、蝶の標本を集めるのが好きな少年でした……
男子生徒,でさー……
女子生徒,ウッソー！
テロップ,水谷悟志３６
水谷,最近、複数のクラスで学級崩壊が起きています。恥ずかしながら……、私のクラスもそうなんです
河上,実は……、私のクラスもそうです。授業中に何の意味もなく教室を出る生徒もいるんです
テロップ,山中進３９
山中,私は少年時代、進学校にいましたから……。まさか教師になって学級崩壊を目にするとは夢にも思いませんでした
テロップ,秋山賢治４９
秋山,今の子供は生まれた時から消費者として育っていますから。だから自分中心で当然だと思っているんです
テロップ,加藤敏子５２
加藤,だからと言って、頭ごなしに叱るのはどうかと思いますよ。この子たちにも個性があるんですから
テロップ,永原善彦５５
永原,それに、あまりきつく叱れば親からクレームが来るかもしれません。私たちにはどうすることもできまい
テロップ,那須良人５７
那須,我々ができることはただ一つ。要するに、放っておくしかないということです
テロップ,河上敦子４２
敦子,ちょっとぉー！日曜なのに何ゴロゴロしてるのよぉ！
河上,俺は毎日、夜中までの残業で疲れてるんだ……。日曜なんだからゆっくり休ませてくれ……
敦子,私だって同じよ……！私も一応教師で、共稼ぎなんだから！でも、私は家事も担当しているのに、あなたは……
河上,わ、分かったよ……。しばらく、外でゆっくり過ごすからさ……
テレビ,千葉県で……、16歳の少年が振り込め詐欺の受け子をした容疑で警察に逮捕されました
喪黒,16歳の少年がこんなことをするとは……。ある意味、教育の失敗がもたらしたとしか言いようがありませんなぁ
河上,ええ、全く……。お恥ずかしい話ですがね……
喪黒,お恥ずかしい話とは……、一体どういうことなんです？。そうですか……。河上さんは中学校の教師なのですか
河上,はい。私はしがない教師ですよ
喪黒,教師の仕事は何かと辛いですからねぇ……。だからこの日曜日、風呂でゆっくり疲れをとるに限りますよ
河上,ええ、まあ……
喪黒,自己紹介が遅れましたな。私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
河上,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
河上,へえ……。今の時代、そういう仕事があるのですか……
喪黒,見たところ、河上先生の心にもスキマがおありのはずです。何なら、相談に乗りましょうか？
BAR,魔の巣
河上,新英中では、複数の教室で学級崩壊が相次いでいるんです。私が受け持つクラスも例外ではありません
喪黒,学校でそんなことが起きていたのですか……。大変ですなぁ……
河上,授業中の私語を注意しても、生徒たちは私の言うことを一向に聞きません
喪黒,だとすると……、あなたにとってはたまったもんじゃないでしょう
河上,ええ……。でも、それは私の指導力のなさのせいですから……
喪黒,まあ、そう自分を責めることはありませんよ。河上先生も精一杯やっているんでしょうから……
河上,いろいろ、やってはいるんですけどね……
喪黒,でも、やっていない手段がどこかにあるかもしれませんよ
河上,それは……
喪黒,荒れた生徒たちをガツンと叱ることです！
河上,それができればいいのですがねぇ……
喪黒,そんなことを言っていてはダメです
河上,それができないから、困っているのですよ。ですが……、今の学校の惨状はあまりにも……
喪黒,お気持ち、よーく分かりました……。先生、あなたは学級崩壊を克服したいでしょう！？
河上,はい……。でも、そんなことが……
喪黒,できますよ。あるものを使えば……ね。この箱を開けてください
河上,これは……？
喪黒,見ての通り、指輪ですよ。名前はカリスマリングです
河上,カリスマリング！？
喪黒,そうです。カリスマリングを右手の人差指に差すと、特殊な効果を発揮します
河上,ハハハ、バカバカしい……。そんな話、まるで夢物語で非現実的じゃないですか
喪黒,いいえ、カリスマリングの効果は本物ですよ。さあ、河上先生……。カリスマリングを使用するのです！！
河上,うわああああああああああ！！！
授業の題材は、ヘルマン・ヘッセの,少年の日の思い出
河上,エミールは、主人公の僕に対し……。静かにしろ！！！。私語は慎めと言っているだろう！！一体、何度言えば分かるんだ！！！。君たちは何のために学校に通っているんだ？だらだら時間を潰すためか！？。学校は勉強をするための場所だ。だがな、もっと重要な意味があるんだぞ……
男子生徒A,それにしても、今日の河上先生、メッチャ怖かったよなぁー
男子生徒B,ああ。河上先生があんなに怒ったとこ、今まで見たことがなかったよ
女性生徒A,でも、河上先生が言いたいことは分かる気がする
女子生徒B,だって今までのあたしら、授業中の私語がうるさかったんだし
生徒たち,河上先生って怒ると怖いんだなぁー
喪黒,久しぶりですなぁ、河上先生
河上,やぁ、喪黒さん。喪黒さん……。カリスマリングの効果はやはり本物でしたよ
喪黒,……どうやら、学級崩壊は克服できたようですなぁ
河上,おかげで、生徒たちは真面目に授業を受けるようになりました
喪黒,それはよかったですねぇ
河上,喪黒さんには本当に感謝していますよ
喪黒,こうやって先生のお役に立てて、実に何よりです……
河上,どういうことですか！？
喪黒,カリスマリングの効果が本物であることは、先生もご存じでしょう？
河上,ええ、当然気を付けてますよ。あの指輪を使用しているのは、あくまでも学校内にとどまっていますから
喪黒,そうですか。ならば心配いらないのですがねぇ……。今のところは……
河上,は、はあ……
喪黒,約束です。カリスマリングの効果は本物ですから、くれぐれも濫用は控えてください
河上,わ、分かりました。喪黒さん。ただいまー
敦子,あ、もう帰ったの？言っとくけど、夕食まだ作ってないからね
河上,亭主に向かって、そんな言い方ないだろう……
敦子,だって、あなた頼りない人間なんだからしょうがないじゃん……
河上,敦子、てめえ……！！毎日毎日俺のことを……、馬鹿にしやがって……！！！
敦子,やめてぇ！！！
河上,はっきり言って、お前らはクズだ！！生きる価値なんてないよ！！。いつもいつも、もたもた練習しやがって……！！
テロップ,佐伯麗斗１４
佐伯,ご、ごめんなさい……！！
河上,お、おはようございます……。喪黒さん。いやぁ、お久しぶり……
喪黒,河上先生……。あなた約束を破りましたね
河上,えっ……！？
喪黒,私は言ったはずです。カリスマリングの効果は本物だから、くれぐれも濫用は控えろ……と
河上,わ……、私は使い方に気をつけているはずですよ……！！
喪黒,とぼけないでください。以前の河上先生は、家の中では奥様に頭が上がりませんでしたよねぇ……
河上,な、なぜそのことを……
喪黒,それをきっかけに、あなたはカリスマリングの効果にのみ込まれていき……
河上,あ、あああ……
喪黒,ですが……。カリスマリングの効果で生徒たちは河上先生にすっかり服従しています。そのおかげで……
河上,わ、私が悪かった！！許してくれ！！
喪黒,いいえ、ダメです。約束を破った以上、あなたには罰を受けて貰わなくてはなりません！！。ドーーーーーーーーーーーン！！！
河上,ギャアアアアアアアアア！！！。今から朝礼を行います。今日は、佐伯君がまだ姿を見せていませんが……
佐伯,先生、俺ならここにいますよ。今日の俺は違う……。なぜなら、あんたを全く怖いと感じなくなったから……
河上,そ……、それは……！！
佐伯,実は……、俺もカリスマリング持ってるんだ。今朝、登校中に喪黒とかいう人から貰ったんだよ……
河上,あ、あわわわわ……
佐伯,河上源一……。俺はお前のことをこの世で最も憎んでいる……。なぜならお前は……
テレビ,……事件が起きたのは、新英中学校です。今朝、この学校の教室で……
喪黒,子供がまともに育つためには、大人たちが頼りになる存在となり、手本となる姿を見せる必要があります
