矢島治,７５
数々の大型店舗の一つには、大手家電量販店,ヤジマ電機
男性パートたち,くれぐれも失礼のないようにしろよ
支店長,今日は特別な日だ。なぜなら、本社社長がここをご視察に訪れる日だからだ
テロップ,矢島治７５
記者,日本最大の家電量販店であるヤジマ電機が、今後、進む方向というのは――
矢島,そうですね。一つは、住宅事業の展開です。省エネ住宅やリフォームサービスの推進など……
東京都内のあるホテル。会議室の前には、,ヤジマ電機株主総会
株主,ヤジマ電機はここ数年、業績が低迷しています。なぜなら……
矢島,決算の減益と……、業績の低迷は……、間違いなく私に責任があります……
喪黒,まあまあ、少しは落ち着いてくださいよ
矢島,わ、私はそれどころじゃありません！！話しかけないでください！！
喪黒,当てよう、当てようと意識しすぎているから、当てることができなくなっているのですよ
矢島,くっ……
喪黒,まずは、肩の力を抜いてください。そして、頭の中をいったん空にしてから……
矢島,こ……、こうすればいいんですか……
喪黒,ナイスショット！！
矢島,いやあ、あなたのアドバイスのおかげで調子を取り戻すことができました
喪黒,どういたしまして……
矢島,何しろ……。いろいろ頭の中に雑念があったもので、どうしても集中力を欠いてしまって……
喪黒,もしかすると、その雑念というのは会社の経営に関することでしょう！？
矢島,そ、そうですよ……
喪黒,何なら、私が社長のお力になりたいところですけどねぇ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
矢島,この名刺はウォータープルーフですか……。それにしてもココロのスキマ、お埋めしますというのは……！？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
矢島,は、はあ……
BAR,魔の巣
喪黒,矢島社長……。あなたはまさに立志伝中の人物ですなぁ
矢島,しかしですね……。ここ数年……、肝心の経営がどうもはかばかしくないんです……
喪黒,とはいえ、矢島社長は一代で日本最大の家電量販店グループを築き上げたお方……
矢島,とんでもありません……。2010年代になってからの私による戦略の誤りが、今の低迷をもたらしたのですから
喪黒,どういうことです！？
矢島,きっかけは、2010年の中国進出でした。ヤジマ電機は中国大陸での大規模な市場獲得を目指しましたが……
喪黒,中国撤退の後……。日本国内でも、ヤジマ電機は経営で徐々に行き詰まっていきましたねぇ
矢島,はい。ヤジマ電機は、地方都市への新規店舗の進出によってグループを拡大してきました
喪黒,要するにそれは……。借金をしては新規店舗を開店させる……、これの繰り返しですよね！？
矢島,あなたの言う通りです。借金をしては新規店舗を開店させるやり方を繰り返すことで……
喪黒,まさに、悪循環以外の何ものでもありませんなぁ
矢島,あと、何よりも厄介なのは……。ヤジマ電機に強力なライバルが出現したということです
喪黒,アメリカに本社を持つインターネット通販サイトのアムザン
矢島,そうですよ、それ！！アムザンによるネット通販の広がりと価格競争で、ヤジマ電機は苦戦に追い込まれています
喪黒,いやはや……。今のあなたの置かれた苦境、察するに余りあります
矢島,そこで、ヤジマ電機は経営難を打開すべく、住宅事業の展開に打って出ることにしました
喪黒,その肝心の住宅事業が赤字続きですからねぇ……
矢島,ええ、全く……。八方ふさがりとはこのことですよ……
喪黒,矢島社長……。行き詰まった企業を何とかして立て直したいでしょう！？
矢島,言うまでもありませんよ！ですが……、このまま業績の悪化に何も手を打つことができなかったら……
喪黒,ヤジマ電機が倒産したら……。正社員やパートの人たちは大勢、路頭に迷うことになりますよ
矢島,倒産だけは何が何でも避けたいですよ！！でも……、今のままでは為すすべがありません！！
喪黒,ほら……、矢島社長。今日のゴルフの様子を思い出してください
矢島,えっ！？
喪黒,昼間の時のゴルフで、あなたは空振りを何度も繰り返していましたね
矢島,ええ……。ですが、喪黒さんのアドバイスのおかげで私は調子を取り戻すことができました
喪黒,それと同じですよ。あなたは自分一人で背負い込み過ぎています。何でもかんでも自分一人で解決しようと……ね
矢島,言われてみれば、そうかもしれませんなぁ……
喪黒,そういうことです。だから、周囲の人たちのアドバイスにもしっかり耳を傾けるべきなのです
矢島,ですよね……。私は、ワンマン経営のせいで周りが見えなくなっていたんでしょうな
喪黒,ワンマン体質の経営を改めるためには、外部からの人材が必要でしょう
矢島,ええ……、そうしますよ……
喪黒,彼は、経営コンサルタントの小山勝彦さんです
小山,よろしくお願いします
矢島,矢島です。経営立て直しのため……、あなたの貴重な知恵を是非お借りしたい
小山,ええ。喜んで
喪黒,小山さんは企業の軍師です。戦いというものは、どんな名将も側に名軍師がいてこそ本領を発揮できるのですよ
矢島,は、はあ……
喪黒,彼を紹介した私の立場もありますからねぇ……。だから、約束はきちんと守ってください
矢島,そ……、そりゃあ、もちろん……
喪黒,約束です。小山さんはプロの経営コンサルタントですから、彼のアドバイスにはしっかり耳を傾けてください
矢島,わ、分かりました……。喪黒さん……。な……、何だこれは……！！！
小山,拡大経営路線をやめて、店舗の数を再編することにより……。赤字を大幅に減らすことができます
矢島,だ……、だがな……。私は拡大経営路線をとることで、グループをここまでの規模に育て上げたんだ！！
小山,拡大経営路線がすでに成功モデルでなくなっているのは、あなたなら誰よりもご存じのはずですよ。社長
矢島,そ……、そうだったな。それと……だ。わが社が現在進めている住宅事業も全部やめろというのか！？
小山,無理もありません。住宅事業は赤字続きで全く採算がとれていませんからね……
矢島,あ、ああ……。君の言いたいことはよく分かる……
小山,矢島社長は辞任して会長となり、次期社長が経営の実権を握ります。これによって新体制を確立します
矢島,とはいえ……だ。よりによって、反主流派の専務を次期社長にしろというのか……
小山,異なる意見も取り入れてこそ、組織は機能します。これくらい、思い切った改革が必要です
