悠貴,あはははっ！置いていっちゃいますよ！。えへへ。これ、初めて一人で買いに行ったんですよ。どうですか？似合いますか？。えっと……その……。あ……あまりじっと見ないでください……恥ずかしいですよ。初めて見せる人が……その…あなたですけど……その。も、もう！あそこの岩場まで先にいっちゃいますからね！。ふーんだ！えっちな人は置いていっちゃいますよーだ！。おにさんこちらですよー！
モバP,以下P
千枝,わぁぁ……大人です
ありす,なるほど……こういったパフォーマンスも必要と
桃華,わ、私はこのようなﾁﾗｯ
梨沙,はいはい。気になるなら、なるって言いなさいよ
桃華,わ、私はそんな……Pちゃまなら喜んで見せますのに
舞,……。よかった……元気そうで
由愛,どうかしたのかな？
舞,ううん、なんでもないですよ
P,とはいったものの……海水浴場はとっくに終わってるし、プールはもう取れないところばかりだからな
ありす,あ、あの……Pさん
P,どうした？佐藤亜美菜さんの誕生日なら来月だぞ
ありす,そっちじゃなくて……これ。これに行きたいです
P,どれどれ……。Oh……いくらなんでもアダルト過ぎるだろう
千枝,わぁ……大人のプールですね
桃華,こ、こういったのが人気なんですの？
由愛,でもすごいです……神秘的
舞,……。…プールは……あの時に……
梨沙,どうしたの？大丈夫？
P,大丈夫か？季節の変わり目だからな。風邪を引いたらいけないし、舞は今回は辞退しておくか？
舞,え、えっと……。……すみません
P,気にするな。しかしナイトプールはさすがに……なぁ。主に予算の関係があるし……チッヒが許さないだろうなぁ。ぽくぽくぽく。ちーん。よ、よし。本格的なナイトプールは無理だが、今日すぐにも撮影可能なとこなら知ってるぞ
千枝,わぁ、本当ですか？
由愛,でもそんなところが……？
梨沙,怪しいわね
桃華,ですわね
P,そんなことはないぞ！暗くてムードのある空間。少しアダルトなスポットは確保できるからな
梨沙,じー
桃華,じー
ありす,とりあえず、Pさんにダマされたと思って水着の準備でもしましょうか
千枝,じゃ、じゃあ、こないだの海水浴で着た水着を
P,いや、撮影もあるし、みんないるからスク水でいいぞ
梨沙,スク水？……ますます怪しいわね
ありす,今更ですが、イヤな予感がしてきました
P,とりあえず準備するから、着替えてまたここに集合だ！
梨沙,結局、舞は帰ったのね
ありす,大丈夫なのでしょうか……
由愛,最近、暑かったり涼しかったりしたからね
千枝,心配だなぁ……
P,よぉ、お待たせ！じゃあ行こうか
桃華,……この恰好で行きますの？
P,あぁ、二階だから誰かに見つかっても大丈夫だ
ありす,二階というと……たしかお風呂…………え？
梨沙,……嫌な予感的中かしら。おじゃましました！
桃華,さすがにこれはないですわ！
ありす,Pさん……やるならもう少し頑張ってください
P,おお……痛ぇ……
千枝,ぴ、Pさん。大丈夫ですか？
由愛,い、今、すごい大きい音がしましたが……
P,大丈夫、大丈夫。それより二人はいいのか？こんな風呂を暗くして、クリスマスツリーのライトをつけたような場所で
由愛,えっと……暗くて…ちょっとムードがありますから
千枝,それにPさんと一緒なら……千枝、どんな所でも……
P,あー、二人ともええ娘やわぁ……。よーし、今日は三人で朝まで遊びまくるぞ！
由愛,よ、よろしくお願いします……
千枝,はいっ！千枝、頑張ります！
P,また、いつか本物のナイトプールに連れていってやるからな
二人,わーい！
千枝,ということがあったのを覚えてますか？
P,うわ……まだ覚えていたのか
千枝,もう！あれから二人でプールへ遊びに行く機会がまったくないんですからね
P,すまんすまん。よかったら、今度の休みに行くか？
千枝,もう……今度はダマされませんよ！
P,とほほ……。そういえば急にどうしたんだ？。たしかに夏は終わるが、温水プールとか行けないことも
千枝,それがですね
P,タブレット？まさか何か高い何かを買ったとかか！？
千枝,違いますよ……えっと。あった
P,えっと……
千枝,この二つの丸に赤紫の色の棒が出ていると……その
P,そっか……そっか……。……初めて見たから何て言ったらいいかわからなくて
千枝,えへへ。頑張ってくださいね。パパさん
P,おぅ。千枝も頑張れよ。ママさん
千枝,えへへ……
P,しかし……なるほどな……たしかに冷たい水には入らない方がいいからなぁ
千枝,ちょっと残念です
P,ま、千枝や俺だけの身体じゃないからな。俺も全力を尽くすからな
千枝,はいっ！千枝、頑張ります！
P,おっ、久しぶりだな。千枝が自分を名前で呼ぶのは
千枝,えへへ……あれから16年ぐらい経ちますからね。旧姓佐々木千枝。Pさんの二人目、しっかり育てます！！。あ、はーい
由愛,こんにちは、千枝さん
千枝,あ、由愛さん。いらっしゃ……あ、また妊娠したんですか？
由愛,えへへ……もう5人目ですよ
千枝,……実は私も二人目を授かって
由愛,わぁ……おめでとうございます
千枝,はい、千枝の旦那様は世界で一番のプロデューサーですからね
舞,わぁ……プールです。よいしょっと……プールサイドから入り。え？。え……私……。水の中……何……。……。……私。……どうして。何……胸が……。っ！？。や……だ……知らない人に……。だ、大丈夫です！。あ……や……
