ピッコロ,人造人間が3年後にくる。言っておくが自信のないやつは来るな！足手まといになるような者にいられちゃかなわんからな
ヤムチャ,そ…そうだ来るなよ
クリリン,は…はは…
プーアル,ヤムチャ様すごいです！
神龍,さぁ願いを言え、どんな願いも一つだけ叶えてやろう
ヤムチャ,俺をこの世で1番強くしてくれ！
神龍,それはできない、1番強い者は私の力を大きく超えているのだ、他の願いを言え
ヤムチャ,くそっ…いい考えだと思ったのに…そうだ！地球人としては限界でもサイヤ人になればいいんだ！
プーアル,ヤムチャ様すごいです！
ヤムチャ,おーい、神龍、俺をサイヤ人にしてくれ！
神龍,それならば可能だ、力の差とは無関係だからな…よし、サイヤ人にしたぞ、ではさらばだ
ヤムチャ,し、尻尾が！すごい！サイヤ人になったぞ！
プーアル,ヤムチャ様すごいです！
ヤムチャ,まずスーパーサイヤ人にならなくちゃいけないな。よし…確か穏やかな心を持ちながら怒らなくちゃいけないんだな。しかし、怒ると言っても…そうだ！プーアルを◯してもらおう！
プーアル,ヤムチャ様すごいです！
ヤムチャ,天津飯に頼もう
天津飯,急に何の用だ…お、おい！ヤムチャ、どうしたんだその尻尾は！
ヤムチャ,すまんな。実はサイヤ人だってこと隠してたんだ。ところで、頼みたいことがある
天津飯,俺も自分を鍛えることで必死だ、さっさといえ
ヤムチャ,プーアルを◯してくれないか
天津飯,ヤムチャ、貴様何を言っているかわかっているのか！？
ヤムチャ,当然だ。だがな、怒りでスーパーサイヤ人にならなくちゃいけないんだ。今は1人でも強い戦士が必要だろ？
プーアル,ヤムチャ様すごいです！
天津飯,そこまでの覚悟があるなら何も言うまい…
ヤムチャ,すまんな、やさしくやってくれ
天津飯,やるぞ！新気功砲！
プーアル,ヤムチャ様すご…
チャオズ,天さ…
ヤムチャ,天津飯、きさま！………………やっぱり駄目だな。すまん、やっぱり頼んで殺してもらっては怒れないわ
天津飯,残念だったな
ヤムチャ,しかし、どうすればいいんだ。なぁプーア…あ、いないか。ブルマにでも相談しにいくか…。おーい、ブルマ、いるかー？
ベジータ,おい！ブルマっ！中にだすぞ！
ブルマ,ヤムチャのよりいいっ！出して！
ヤムチャ,べ、ベジータ！ブルマ！。…はっ！これがスーパーサイヤ人か！しまった、気づかれる！気を消さなくちゃ
ベジータ,なんだ…急にデカイ気がでて消えやがった
ヤムチャ,…もういい。後は修行だな
カリン様,お前のことは見ておった、何が望みじゃ
ヤムチャ,カリン様。俺は圧倒的な力を手に入れにきたんだ
カリン様,超神水のことを言っておるのか？おぬしはかなりの力を持っておる。今更飲んだところでパワーアップはそれほどのぞめん
ヤムチャ,そんな物はいらない。サイヤ人は死の淵から蘇ると強くなる、ありったけの仙豆をくれ！なくなれば作ってくれ。そしてヤジロベー、俺を半殺しにし続けてくれ
ヤジロベー,とんでもねーやろーだな。わかった、やってやる
18号,なんだ、たいしたことないんだね、どっちも
ベジータ,なんだと！！！
ヤムチャ,手をやいているようだな、ベジータ。きてやったぜ
ベジータ,なにしにきやがった！お前程度でどうにかなる相手だと思っているのか！
ヤムチャ,ふん…
ベジータ,な…なんだと…なぜ貴様がサイヤ人に…なんなんだその気と姿は！
ヤムチャ,話は後だ、まず人造人間を片付ける
17号,ふざけるな！
ヤムチャ,後悔するがいい
クリリン,ヤムチャさんの気が！地球が！宇宙が震えてる！
ヤムチャ,狼牙風風拳！
ベジータ,なぜ貴様がサイヤ人になっているんだ。説明しろ、くそったれが
ヤムチャ,説明しろだと…？俺のブルマを…プーアルを返せ
ベジータ,なんのことだ！
ヤムチャ,…死ね！
ベジータ,く、くそ！ファイナルフラーーーシュッ！！
ヤムチャ,足元がお留守だぜ！
ベジータ,こ、この俺様が…
ヤムチャ,サイヤ人の王子ともあろうものが無様だな。これで全てを終わらせる…繰気弾
クリリン,な、なんだ、あのバカでかい繰気弾は！
天津飯,地球よりデカイぞ！
ヤムチャ,この星に未練はない！これで地球は終わりだ！
