今井リサ,左手でクラッチレバーを握る。左足でシフトペダルを踏み込む
リサ,カコ、と軽い音がしてギアが１速に入った。ぼんやりと見上げていた信号が青になるのを確認してから、軽く右手のアクセルを捻って、クラッチを繋げる。アタシがまたがる１２５ＣＣのバイクがエンジンから軽い音を立ててタイヤを転がした。ゆるゆると加速するバイクとアタシ。秋の夕風を切って、見慣れない街の情景が次々と過ぎていく。夕陽に長い影を作る歩道橋、寂しげにささめく木々、そして往来を歩くまばらな人影。被ったジェットヘルメットからそれらを自然と目で追っている。そうしているうちに次の信号に引っかかり、シフトを落として減速して、列を成す車の最後尾に停車した。そしてまた、飽きもせず凝りもせずに、アタシはキョロキョロと辺りを見回している。……こんなことをしていて何になるんだろう。そんな思いを抱えながら。辿る道は数あれど、辿る記憶はただひとつ。やがて薄れて捨て行くであろう感傷を、アタシは後生大事に抱えて生きている。あの日。ロゼリアがロゼリアでなくなって、そして、大切な幼馴染を傷付け、遠ざけてしまったあの日からずっと。……全部がきっと上手くいくんだと思っていた。人と人とのことだから時にはすれ違いもあって当然だし、そういう積み重ねがまた絆という不明瞭で不確かなものを確固たる存在にしてくれるんだ……なんて、そんなことを思っていた。だからこそアタシは頷いたんだ。変わらなければいけない、という言葉に。……けど、アタシたちは選択肢をどこかで間違えてしまった。変わろう。変わらないとダメなんだ。ただその思いだけが空回りして、友希那に別れを告げた。距離を置こうって、これも必要な痛みなんだって無理矢理自分を納得させて。その結果は惨憺たるものだった。アタシのその行動は、大切な人を傷付けて、そしてロゼリアというバンドに修復不能な亀裂を生じさせるだけだった。……まだロゼリアの――元ロゼリアのみんなとは親交がある。取り留めないことで連絡を取り合ったり、一緒にどこかへ行ったりなんだりと。ただひとり、行き先を告げずにどこか遠くへ行ってしまった友希那を除いて。変わらなければいけない。アタシたちがそれに返したのは誰が悪いとか、そういう話じゃないよ。そう、誰のせいとか、誰が悪いとか、そういう話じゃないんだ。きっとなるべくしてなってしまったことなんだ。そうやって、みんながみんな、自分自身に言い聞かせるようにその言葉を吐き出していたのを酷く鮮明に覚えている。出会いがあれば、いつか別れも訪れて当然だ。物語には終わりがあるから美しくて、命が永遠に潰えないのであれば、きっと感動的な歌やドラマもこの世には存在しないんだ。……けど。でも。だけど。そうだとしても。アタシはその世の中の常識に、何度も何度も否定の言葉を付けて、友希那の影を探している。高校を卒業する前にバイクの免許を取って、中古の１２５ＣＣのバイクを買ったのもそのためだ。遠くへ行ってみたいあれば便利だからそういうのってちょっとカッコいいじゃん？。上辺に被せた言葉を捲れば、出てくる本音は友希那と会いたい。自分勝手に別れを告げたくせに、大切だった幼馴染の影を未練がましく探している。遠い街のどこかに友希那のカケラがあるんじゃないか、ふとした瞬間にそれに触れることができるんじゃないか、なんて思いながら。普通に考えれば会えるわけなんてないのに、もしかしたら、という気持ちが捨てられないんだ。大学では軽音楽サークルに入って万年人手不足のベーシストを続けているし、ひとりの部屋でつま弾くのはいつか友希那が作った曲ばかり。バイクだってそうだ。あまり詳しくはないけど、ただ音楽メーカーとして聞いたことがあるメーカーのものを、深い青色をしたボディーにどこか友希那の面影を感じて買った。そしてそのバイクで休みの日にやることは、どこかに友希那との繋がりが落ちていないか探すことだけ。いつまでもいつまでも、そんな情けない未練を引きずって歩き続けているんだ。……あの日からずっと変わらず、今井リサの２０歳の秋はそうやって虚しく過ぎている。ただいま……。行く先もなく、目的も達成されないツーリングを終えて、アタシは自分の部屋に帰り着く。もうすっかり夜の帳が降りていた。ジャケットを脱いで、軽く手入れをしてからハンガーにかける。それから窓の外、真向かいの幼馴染の部屋に目を移した。…………。友希那の部屋はカーテンが閉じられている。もう２年、それが開かれたところを見ていない。それに寂しさと後悔が入り混じった感傷が掻き立てられ、胸の中にジクリとした痛みがやってくる。誰が悪いとかそういう話じゃない。言い聞かせるように吐き出した言葉があったけど、結局のところ一番悪いのはアタシなんだろう。間違った正解を友希那に押し付けて、そして全部をふいにしてしまった。取り返しのつかない未来は今さらどうすることも出来ない。全て願えば報われる。そんな甘い考えは、明けない夜をアタシへもたらした。何が本当の正解だったんだろう。何度考えても分からないし、分かったところでどうしようもない自問自答。もう一番大切だった人は遠く、音信不通で、この胸の痛みも感傷もそういうものだ。けど……。頭で理解はしているけれど、やっぱりアタシの口から出るのは否定の言葉。こんなことをしていて何になるんだ。見つかるはずがないし、そもそも万が一にも友希那を見つけたとしてどうするんだ。自分から別れを告げたくせに、何を都合のいいことを考えているんだ。……分かってる。分かってるんだ、そんなこと。でも、だけど、そうだとしても、アタシは諦めたくなかった。これが本当に無為なことで、何も生み出さないことで、ただただ罪悪感から逃れるためにやっていることだとしても……。…………。暗い方向にどんどん落ちていく思考を放り出すために、アタシは頭を振る。そして窓辺に寄ってカーテンに手をかける。ふと見上げた秋の夜空には満月が輝いていたから、しばらくそのまま窓越しの月を見据える。……友希那。呟いて、影も形も見えない幼馴染へ向けて、胸中で言葉を紡ぐ。今、なにしてる？アタシは今日も色んなところに行ったよ。明日は友希那の誕生日だね。もうアタシも友希那も２０歳だってさ、お酒が飲める歳だよ。みんなと……ロゼリアのみんなと、そういうこともしてみたいね。あこはあと２年待たなきゃだけど、その頃にはまた、笑い合えるのかな。……なんて、こんなこと言うのはらしくないかもね。話を逸らすわけじゃないけどさ、ところで今夜は月が綺麗。こんな満月の夜に出会えたら……友希那は自分勝手なアタシを許してくれるかな……？。……ううん、許さなくてもいいからさ……。会いたいよ、友希那……。漏らした言葉は震えていて、頬を伝う一筋の寂しい雫は月光に焼かれてすぐに蒸発していった。人生は些細な出来事の積み重ねだ。こんなはずじゃない。その間違ってしまった軌跡を今さら悔やんだところでどうにもならない。後悔も失敗も恥も情けも不名誉も、全部を抱えて、あるいは忘れた振りをして、見ない振りをして、重い足を引きずって歩いて行くしかない。大切な人を失うことだってその類の話だろう。ぽっかりと空いた胸の風穴。その喪失と欠落の空白を埋める為に選ぶ何か。代わりを探して埋め立てて、これでいいんだって自分を納得させて、ふとした時に蘇る淡い思い出に寂寥感にも似た小さな幸せじみたものを感じる。きっと大人になるってそういうことなんだろう。だからアタシはまだまだ子供なんだと思う。些細な積み重ねの一つだって捨てたくはないし、大切なモノの代わりの何かなんていらないし、重たい足を動かすこともなくただ過去に縋り続けている。笑いあった長い月日も、確かに分かり合えていたはずの何かも、全部嘘だとは言い切れない。それを捨てるくらいなら、動けなくなったっていい。生きるために捨てなければいけないなら、この思い出と一緒にずっと眠り続けたっていい。……どれもみっともない子供のワガママだ。いつまでも駄々をこね、欲しい欲しいと泣き喚く子供。いい加減、アタシも前を見なければいけないんだ。それは分かってる。分かってる、けれど……。そんな堂々巡りの思考を飽きもせずに重ね続けている、１１月初頭の日曜日。日中でもすっかり冷たくなった秋風に身を震えさせながら、現実逃避をするようにアタシはバイクを走らせていた。今日も今日とて行く当てのないツーリングだ。気付けば関東の片田舎の街を走っていた。そこそこ大きな一車線道路には車も少なく、色づき始めた銀杏並木が綺麗な道だ。その走りやすい道をただトコトコと走り続け、時折景色を楽しむ振りをして辺りを窺う。しばらくすると、青看板の右手方面に公園入口という案内が見えた。なるほど、この銀杏並木は大きな公園に植えられたものらしい。アタシは休憩がてら少しその公園に寄って行こうと思い、右ウィンカーを点灯させた。ふぅ……。駐車場にバイクを停めて、道路に面した広場に備えられたベンチへ腰掛ける。東京の実家から東の方に２時間以上走りづめだった。そんなに急いでアタシはどこへ行くつもりなんだろうか。尽きない自問自答をため息で吹き消して、スマートフォンのマップアプリを開く。特に名所もない田舎街。だけどどこか懐かしい情緒の風景があるし、走りやすい道が多い。アプリでこの公園をピン付けしておく。またこの場所に来ることはないだろうけど、少しだけ気に入ったから。それから広場を見回す。道路に面した広場の外周には銀杏が、それ以外の場所には違う種類の木々が植えられているようだ。アタシの背後に幹を構える木々にはまだ緑色の葉がついていた。周辺の木々から、今度は広場のまばらな人影に視線を移す。老夫婦が離れたベンチに座ってぼんやりと佇んでいたり、数人の子供たちが鬼ごっこか何かをして遊んでいた。それとカップルらしき男女が手を繋ぎながら広場を横切っていく。アタシはなんとはなしにそれを視線で追いながら、自分がしている行為の虚しさがただ身に染みていた。こんなことをしていて何になるんだろう。目的地のない旅程。真っ暗な中で友希那の影を探して、闇雲に走り続けるルーチンワーク。前を見ずいつも辺りをキョロキョロと窺って、どちらに進めばいいのか分からないまま動き続ける。迷子とはこういうことを言うんだろう。それに気付いていながらそうし続けているんだから尚のこと性質が悪い。あの恋人たちのように、きちんとしたゴールがあればいいのに。迷うことがあっても目的地が見えていればちゃんと前に進めるのに。……はぁ。そんな八つ当たりの恨み言じみたものが胸中で渦巻く。ほんと……どうしようもない人間だ、アタシは。せめて何かの道しるべにでもなってくれないかな、と思い、そのカップルの姿を視線で追い続ける。２人は広場から道路に出ると、右の方向へ歩みを進めていった。さっきマップで確認したけど、そちらの方には駅がある。現在時刻は昼下がり。きっとこれからどこかへ遊びに行くんだろう。それに何とも言えない気持ちを抱いて、視線を動かせなくなる。どこかへ急いで行かなきゃいけないような焦燥感と、足がすくんで動けなくなるような途方のなさ。これはどういう風に表現すればいい気持ちなんだろう。そんなことを考え続けていると、いつの間にか時計の長針が２つ先の数字を指していた。カップルの姿はとっくに見えなくなっている。……そろそろ行かなきゃ。そう呟いて、すぐにどこへ行くつもりなの？と自問が浮かぶ。するとやっぱり足が強張って、この場から動けなくなってしまう。……え？。ああ、本当にどうしようもないな……と思った直後のことだった。視界の端に映った人影に全身の感覚が引き寄せられる。途方もなさも焦燥感も、寂しさも虚しさも全部、何もかもを忘れてしまう。友、希那……？。恋人たちが歩いて行った方、駅の方から、もう２年も顔を合わせていない幼馴染が歩いてくる姿を見つけてしまったから。…………。言葉が出ない。思考も止まり、どうすればいいのかまったく分からなくなってしまう。嬉しいのか、驚いているのか、全然自分の心が分からない。友希那はアタシに気付かず、道を歩き続ける。声をかけるべきか。声をかけていいのか。友希那は今なにを思っているのか。記憶より少し痩せた姿。思い出の中よりどこか柔らかい雰囲気をまとった姿。それが視界の端、顔を動かすだけでは見えなくなるところまで過ぎたところで、慌ててアタシは立ち上がる。かけるべき言葉も分からないけれど、でも、何度も夢に見て、諦められなかった邂逅をただ見過ごすことなんて出来なかった。空回りしてもつれそうになる足に鞭入れて、アタシは広場から道路に躍り出る。左手の方向に視線をやれば、友希那の後ろ姿が遠くに見えた。…………。普通に声をかけられたら良かったんだけど、残念ながらアタシにその勇気はなかった。胸中でごめん。友希那はただまっすぐ前を見て歩いていた。記憶の中と変わらない長いストレートの髪の毛が歩調に合わせて揺れている。そうして大体１０分ほど経ったろうか。ある交差点に差し掛かったところで、友希那に横から声をかける女の子が現れた。高校生くらい、だろうか。アタシたちとは少し歳が離れているような幼げな雰囲気の子だった。遠目に見たその子の横顔には楽しそう笑顔が浮かんでいて、こちらに背を向けている友希那の表情はうかがえないけど、決して嫌な顔をしていないだろうことはなんとなく読み取れる。２人は並んで歩を進める。そして交差点を曲がってすぐの、駐車場の大きなコンビニに入っていった。……流石にお店の中に入るのはな。その様子を見届けてから、アタシはポツリと呟く。そして道路に沿った塀に背をあずけ、しばらく人を待っている振りをしながら、コンビニに視線を送り続ける。友希那もあの子もお店からは出てこなかった。コンビニにそんな長い用事がある訳ないし、きっとあそこでバイトをしているんだろう。そう思って、アタシは踵を返して来た道を戻る。足を交互に動かしながら、色々なことを考えていた。公園について、自分のバイクにキーを差して跨ってからも、色々なことを考えていた。秋風を切って、ただ前だけを見据えながら辿る家路にも、色々なことを考え続けていた。……友希那は、幸せそうだった。少し痩せたような気がしたけど、それでも記憶の中の姿よりも柔らかい空気をまとって、息災に過ごしていた。それに感じた心の機微はきっと嬉しい。そう。もう会えないと思っていた姿を見れて、元気そうにやっているのであれば、それはとても良いことの……はずなんだ。じゃあ……アタシの心に突っかかるこの寂しさと切なさは、一体なに？。大切な幼馴染は元気そうだった。アタシが自分勝手に傷つけたことも引きずっていなさそうだし、バイト先の後輩に慕われるくらいにしっかりとやっていけてるんだろう。よかった。よかった。よかった……んだよね？。ジェットヘルメットの中で漏れた呟きは風切り音に潰される。胸の中で、様々な色がぐちゃぐちゃに混ざり合った気持ちが行き場をなくして、その気持ちを吐き出そうと口を開けるけど、何も出てこない。ただただ息苦しい。向かい風が強すぎて、上手に息が出来ない。どうしてだろう。その答えは分かっていたけれど、少なくともバイクを運転する間だけは否定することにした。違う。違うよ。絶対に違う。アタシはそんなことを思っていない。友希那が幸せそうで……残念だなんて。脳裏に描く思い出は、昔のものほど綺麗なものだ。頭を掻きむしりたい羞恥の記憶だって時を経れば笑い話の類だし、深く頭を悩ませ続けていた憂鬱だって過ぎ去れば悲劇ではなく喜劇の一幕だ。それなら奇跡的に友希那を見つけて抱えたこの憂鬱も、いつかは笑い話になってくれるんだろうか。自分の醜さを、利己的な部分を、今さら本当の本当に理解したアタシの憂鬱も。自室に帰り着いて、重い足取りでベッドに腰かけたアタシは、公園でのことを考える。幸せそうな友希那がいたこと。アタシの知らない場所で、前を向いて歩いている友希那がいたこと。アタシがいなくたって、ロゼリアのみんながいなくたって、友希那はひとりでもやっていけるんだ。元気だといいな、笑ってくれていたらいいな……という気持ち。それを取っ払った先にあった思考……友希那を目にして浮かべた思考はじゃあ、アタシが今までしてきたことってなに？というものだった。今までアタシは友希那のために、友希那が笑ってくれればそれでいいって、そう思い続けてきた。だから今日見かけた友希那の姿は理想の姿そのもので、アタシは嬉しいと思えど寂しさややるせなさを感じることなんてないはずだ。それなのにそう思ってしまうのは……今までのアタシが全部否定されてしまったから。友希那はひとりでも大丈夫だった。しっかりしてて、後輩に慕われてて、ちゃんと笑っていてくれる。アタシがあれこれ口を出さなくたって、友希那はひとりでも平気だったんだ。じゃあ……アタシって、最初から必要なかったんじゃないの？。むしろ、いない方が良かったんじゃないの？。小さな親切大きなお世話。よく聞く言葉だ。まさにその通りなんじゃないだろうか。友希那に鬱陶しいくらいに世話を焼いて、そのせいで友希那は友希那らしくいられなかったんじゃないか。友希那のため。それが友希那の足を引っ張って、縛り付けていただけなんじゃないか。……いや、違う。そうだ。そうなんだ。思い返してみれば簡単な話だ。全部、最初から違ったんだ。友希那のため。友希那が笑っていてくれたらいい。そうじゃないんだ。友希那のためじゃなくて、アタシが友希那に必要とされていたかったんだ。友希那が笑ってくれたらいいんじゃなくて、アタシが友希那に満たされたかったんだ。友希那のためなんて綺麗な言葉を並べて、その実本当はアタシのために友希那に接していたんだ。ロゼリアがロゼリアでなくなってしまった時に選択肢を間違えた……と思っていたけど、そうじゃなかったんだ。最初から、出会った時から全部間違えてたんだ。はは……そっか……。ひとりの部屋で打ちひしがれる。今さら気付いたことに、もうどうやったって直せないことに、震えた言葉が漏れる。導き出された最初からいない方がよかったという回答。大切な幼馴染の、親友の幸せすら素直に喜べない、矮小な今井リサという存在。ああ、そうか。アタシが一番必要なかったんだ。友希那にとっても、きっとロゼリアにとっても。そう思った途端、身体中から力が抜けていき、ジャケットを着たまま崩れるようにベッドへ倒れ込む。胸中にはどうしようもない後悔と罪悪感とが去来する。ロゼリアがなくなったことも、友希那が離れていったことも、全部アタシのせい。全部、何もかも、アタシのせい。今井リサのせい。そんな思考を繰り返すうちに、現実から目を逸らすように、いつの間にか意識は闇の中へ落ちていった。寝起きはひどいものだった。バイクのジャケットを着たまま、ロクに化粧も落とさずに絶望の淵で眠りこけ、目を覚ましたのは午前４時。嫌な汗にまみれた肌が気持ち悪い。気分は吐きそうな程度に最悪だし、頭の中に鉛でも詰め込まれたみたいな重たい頭痛がやまない。この世界から逃げたくなって瞼を閉じる。けど、暗い視界にはどうやったって友希那の顔が浮かんでくる。大切な幼馴染は何ともない顔をしている。恨むでもなく笑うでもなく、人形のように無表情で冷たい目がアタシを射抜く。ヒビの入った心を容赦なく打ちのめす。ごめん。ごめんなさい。謝れど謝れど、友希那は表情を変えない。何の感情も持たない顔で、アタシを見つめるだけ。それが一番アタシに傷を負わせるんだと分かっているかのように。耐え切れなくなって、瞼を開いた。途端に点けっぱなしにしていた照明がズキズキと痛む眼の奥に刺さる。頭痛が増していく。目を瞑れば友希那が、目を開けばこの世界がアタシを責める。“ただそこにいるだけ”という最も効率的にダメージを与える方法で、責め立ててくる。何もかもから逃げ出したかった。今井リサという存在をなかったことにして欲しかった。アタシがいなければ、友希那は今もロゼリアのみんなと笑えていたかもしれない。無駄なことだと分かっていても、そんな思考ばかりが痛む頭をめぐり続ける。身体を起こす気力もなく、身動きすら取れない状況で、下手な絵空事を想像する。アタシがいない世界。きっとアタシ以外のみんなが幸せに笑っている世界。それはとても綺麗な世界だった。アタシが寂しいと感じてしまう以外、何もかもが丸く収まった綺麗な絵空事の世界だった。…………。バカなことを考えているという自覚はあった。けど、それでもそんな世界があったらいいとも思った。その世界であればアタシもこんな気持ちを抱えることなく、何も感じず、何も喋らず、無為に過ごせていただろうから。大学をサボったのは初めてだった。頭の鈍い痛みもいつの間にか動けるくらいにはマシになったし、身体の重たさも気力を振り絞れば無視できるものだったけど、どうしても大学へ向かう気になれなかった。時刻は午前１１時。下らない絵空事を描き続けているうちに太陽は天高く昇っていた。シャワーを浴びてかなりの惨状だった顔も洗って、服を着替えたアタシは窓からぼんやりと友希那の部屋を眺めていた。いつまでも開かないカーテン。朝も昼も夜も、世界を閉じてしまった真っ暗な空間。あの部屋がああなってしまったのもアタシが全部悪いんだ。そう思うと居ても立ってもいられない気持ちになって、でも身体を動かすことが億劫で仕方なくて、自分でも何をどうしたいのかが分からなくなる。そうしているうちにお腹の虫が小さく鳴いた。こんな時にでも食欲が尽きないことに自嘲の息を吐き出して、のろのろとキッチンに向かう。お父さんは仕事。お母さんは昔の友達と会うとかなんとかで留守だった。食材はあるけど、出来合いのものは何もない。料理をすることとコンビニに行くことを天秤にかけてから、部屋に戻ったアタシはお財布だけもって家を出る。足取りは重い。歩き慣れた街のそこかしこに友希那の残像があって、それがアタシを見つめてくるような錯覚を覚えて竦みそうになる。どこか遠くへ逃げたくなる。……ああ、ちょっと前まであれだけ友希那の影を追い求めてたのにね。コンビニに行こうと思って家を出たけど、そこへ行ってしまったらまた昔のことと昨日のことを思い出してしまう気がしたから、フラフラと商店街の方へ足を向ける。平日の街は侘しく佇んでいた。行き交う人もいないし、車も少ない。まるでこの街にはアタシ以外誰もいないみたいだ。そうならきっと楽なのにな。そんな空想と足を引きずり、ただ俯いたまま、頼りない足取りで商店街を目指す。その道すがら、頭上から聞き慣れた声が聞こえた。のったりと顔を起こす。驚いたような顔をする紗夜が目の前にいた。ああ、やっほー、紗夜……
氷川紗夜,ええ、こんにちは。……いえ、そうではなく、大丈夫ですか？
リサ,……何が？
紗夜,ずいぶん酷い顔をしているわよ
リサ,ああ……ヘーキだよ、ヘーキ
紗夜,……聞いた私が間違っていたわね。それで平気ならこの世に医療施設は必要ないわ
リサ,きっぱりとそう言い切って、紗夜はアタシの額に手を当てる。ひんやりとしたその感触が少しだけ気持ちよかった
紗夜,熱はないみたいね……
リサ,だから、平気だってば
紗夜,土気色の顔をした人間の大丈夫なんて言葉を誰が信用すると？
