北条加蓮,こっちはオッケー、っと。あとはモバＰ以下Ｐ
加蓮,……。……はー、緊張する。こーいうの、やっぱり慣れないなぁ。あんまり分かんない人と話するのって――。ん？
高森藍子,加蓮ちゃんっ。連絡、終わりましたか？
加蓮,終わったよー。……メッセ飛ばしてただけだから入り口のところで待ってなくてよかったんだよ？藍子
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと
藍子,ううん。加蓮ちゃんの邪魔を、しちゃいけなさそうだったから……。加蓮ちゃん、お仕事モードでしたよね
加蓮,ちょっとは意識してたけどメッセ飛ばしてただけだって……。まぁいっか。すみませーん
藍子,注文――あっ、もうしてくれていたんですね
加蓮,そ。店員さんもナイスタイミング
藍子,こんにちはっ。いつもありがとうございます。加蓮ちゃんも、ありがとうっ
加蓮,どーいたしましてー
藍子,ホットコーヒーとストレートティー……。どっちにしましょう
加蓮,あれ、ストレートティー即決かと思ってたけど。なんか最近ハマってるんでしょ。お茶
藍子,はい。でも、こうして並べられると悩んじゃう～……
加蓮,じゃ私ストレートティーで
藍子,早いっ。こういうのって、私が選ぶまで待ってくれたりしても――
加蓮,アンタを待ってたら飲むまで１時間くらいかかるでしょ
藍子,……そ、そんなことありませんよ～？
加蓮,そんなことあるでしょ。それに、私もコーヒーの気分だったんだけどさー。最近藍子ちゃんがハマってる物を試してみたくなった。……、……うん、普通のお茶だ
藍子,いつものメニューですからね……。コーヒー、いただきますね
加蓮,はいはい。……んー、やっぱり普通のお茶だ。藍子の味がしない
藍子,ごくごく……。……私の味？
加蓮,藍子の味
藍子,私の味
加蓮,藍子ちゃんの持ち味と言えば！
藍子,え、えっ？え～～～っと……、……え～っと……
加蓮,……
藍子,……か、加蓮ちゃんっ
加蓮,…………
藍子,何ですかその目～っ
加蓮,テキトーでも答えられるようにしときなさいよ。……そういえばＰさんから聞いたよ？次のカフェコラム、遅れてるんだってね？
藍子,うぐ……。じ、実は今日は、そのことで加蓮ちゃんにご相談が――
加蓮,見張り役ならやってあげるー
藍子,……み、みはりやくだけ？
加蓮,だからその頼み方したら断れる人いないってのやめなさいよっ。まぁ今日は断るけど
藍子,手厳しいっ
加蓮,どーしても手が止まってたらアドバイスくらいはしてあげる。だから、ね？見ててあげるから、頑張りなさい
藍子,は～いっ。……ふふ
加蓮,？
藍子,ううん。一緒にやってくれないのは、ちょっぴり寂しいですけれど……。加蓮ちゃんが見てくれてたら、やる気になれそうって思ったら……うふふっ
加蓮,いいから早くやれ
藍子,痛いっ。そのカフェに行く途中、ピエロの方と出会って……。近くの劇団の方々が、いつも打ち上げの時に――
加蓮,ふわ……。ヤバイ、眠い……
藍子,打ち上げの時だけ、出してもらえるメニューが……
加蓮,……。……ふっつーに順調だし。縋ってくるなら手伝ってあげよう、とか思ってたのにさー。まぁいっか
藍子,その後、色々なお話をして……。……う～ん……。お話……したけれど……。そんなこと書いても――
加蓮,……藍子ー
誤：藍子,お話……したけれど……。そんなこと書いても――
正：藍子,お話……したけれど……。私とお話したことなんて、書いても――
