本SS中では,ドイツ人にとって耳掃除とは医療行為であり、病院で医者にしてもらう事という認識
提督,……
ビスマルク,……
提督,……うーん……
ビスマルク,……
提督,……
ビスマルク,……？……
提督,……
ビスマルク,……？……？？…………
提督,……
ビスマルク,…………あぁもぅ！！
提督,どうしたんだ、急に
ビスマルク,何で日本語で書かないといけないの！読めるでしょドイツ語くらい！
提督,まぁ確かに俺も大本営も読めるし、よしんば読めなくてもドイツ艦の1隻や2隻向こうにもいるが
ビスマルク,だったら良いじゃない！
提督,でもここ日本だし
ビスマルク,うっ……
提督,読めてもぱっと見で何が書いてあるか分からんから解読しなきゃいけない分手間がかかるし
ビスマルク,……
提督,俺がドイツに行く様な事があったら会話も読み書きもちゃんとドイツ語でしてやるから。日本に居る内は日本語を使ってくれ
ビスマルク,……仕方ないわね……
提督,……
ビスマルク,……
提督,……うーん？
ビスマルク,……提督
提督,うん？
ビスマルク,さっきから何をしているの？
提督,何って？
ビスマルク,さっきから首をグルグル振ったり回したりしているけど
提督,え……あぁ。何か、耳の奥からゴロゴロ音がするんだ。
ビスマルク,ゴロゴロ？
提督,小石が転がる様な……気持ち良い感じではないな
ビスマルク,ふーん……。……提督
提督,ん？
ビスマルク,耳かきしてあげても良いわよ？
提督,えっ？耳かき？
ビスマルク,えぇ。ありがたく思いなさい？
提督,耳かきね……全く、仕方ないな。……お、あったあった。よし、良いぞ
ビスマルク,……何をしているの……？
提督,えっ？
ビスマルク,えっ？
提督,だって……耳かきでしょ？
ビスマルク,えぇそうよ
提督,だったら良いじゃないか。ほれ
ビスマルク,えっ？
提督,えっ？
ビスマルク,……ちょっと待って。提督、私が何て言ったか分かってる？
提督,あぁ。耳かきしてくれても良いだろ？まったくしてほしいなら素直にしてほしいと……
ビスマルク,それよ！私は耳かきしてあげても良いって言ったの！
提督,……え？
ビスマルク,私が！提督を！耳かきしてあ・げ・て・！良いって言ってるのよ！
提督,……えっ……えっ？……天津風じゃないけど、どういう風の吹き回し……？
ビスマルク,い、良いでしょ別に！気まぐれよ気まぐれ！ほら、耳かき貸しなさい！
提督,ああっ、ちょっ……引っ張るなって…………お、おい…………。逆にビスマルクに引っ張り込まれて……膝枕までされてしまった……
ビスマルク,……ふぅん、多少は綺麗にしているみたいね
提督,そりゃ、まぁな。他人に見える所は綺麗にしてないと
ビスマルク,でも奥にはいっぱい残っているみたいよ。きっとこれが原因だわ。全部掻き出してやれば静かになるはず……
提督,もうこの際だから抵抗はしないが、くれぐれも気を付けてくれよな？
ビスマルク,あら、私じゃ不安だって言うの？
提督,当たり前だろう。毎日三食におやつまで俺に作らせる奴が耳かきできるとは思えん。……というか、ビスマルクが竹の耳かきで自分の耳掃除している所はなんか想像したくない……
ビスマルク,うるさいわね。まぁ私の耳掃除はオイゲンがやってくれるけど
提督,だろうと思った
ビスマルク,いつもそろそろ……と思ったら丁度良く出て来るのよねあの子……って私の耳は良いのよ
提督,耳かきが……中に……
ビスマルク,ここからはもうおふざけは無しよ。勝手に動いたら鼓膜破っても知らないわよ
提督,はいはい……。っ……。硬い音と手応え……少し触れただけでも、しつこく固まっているのが分かるな……
ビスマルク,どう？痛くない？
提督,いや……丁度いい……
ビスマルク,なら良かったわ。このまま続けるわね。耳たぶと穴の周りは綺麗だったけど……奥の方はやってなかったのかしら？。多いし……凄く硬い……
提督,頑固に固まった耳垢をしっかり捉えつつ……しかし決して乱暴ではない、絶妙な力加減……。普段の態度からは全く想像できない、優し気な指使いだな……。気持ち良い……
ビスマルク,やっと一つ取れたわ……こんなしつこいのがいっぱいあるわよ
提督,広げたティッシュの上に乗せられたのは、見た目にも硬そうな薄黄色の塊。大きさこそ大したことは無いが、カサブタの様な厚みがある……。こんなのが、まだまだあるというのか……。また別の耳垢に触れた……へらで、引っ搔いている……。これも……かなり硬いみたいだな
ビスマルク,しつこいわね、全くもう……全然剥がれないじゃない……
提督,おぉっ……
ビスマルク,ふぅ、やっと……後はこのまま少しずつ剥がして行って……
提督,剥がれて……出て行った…………剥がれた跡が、じんじんする……でも、心地いい……
ビスマルク,たった2つ掻き出すただけでこんなに苦労させられるとは思わなかったわ……
提督,……疲れたからここでお終いなんて言わないでくれよ……？
ビスマルク,言わないわよ。大人しく耳かきされてなさい
提督,ぅおっ……！！
ビスマルク,あぁもう！言ってるそばから！動かないでって！
提督,す、すまん……多分今、耳の中の音の原因に当たった……
ビスマルク,…………これ、かしら
提督,耳の中で、石が転げ回る様な音……。あぁ、きっと、それだ……
ビスマルク,……ちょっと待ちなさい……
提督,なんだか、大物の予感……さっきまでと違って、剥がすというより、掻き出す感じ……
ビスマルク,……ふぅ、出て来たわ。頑固に張り付いてるのを剥がすよりは楽だったわ
提督,例の音の正体は剥がれて壁に引っかかっていた耳垢だったらしい。しかしサイズはかなり大物だ。潰した米粒と同じくらい……こんなのが耳の中でゴソゴソしていたら確かに耳の中がうるさくもなるだろう
ビスマルク,こっちは……もうこれで大丈夫そうね
提督,梵天が耳の中を……さっきまでと違って、ふわふわとした優しい刺激……。……っ……
ビスマルク,こっちはお終いよ。さぁ、逆を見せなさい
提督,あぁ……
ビスマルク,ちょ、ちょっと……！何やってるのよ！
提督,何って……言われた通り逆を向いただけだが
ビスマルク,……まぁ良いわ
提督,…………わぁお……黒いパンツが間近に見える
ビスマルク,……っ！！！やっぱり向こう向きなさい！！
提督,今更その恰好で気にする事か？
ビスマルク,うるさいわね！ほら、さっさと向こう向く！
提督,でも耳かきはしてくれるんだな。おっ……！？
ビスマルク,今度は何！
提督,……またさっきの、小石みたいな音がした……
ビスマルク,さっきのじゃなかった……？というかまだ残ってたのね……どれだけ溜めてるのよ本当に……。利き手側じゃないだけあって、こっちは余計に汚いわね……
提督,こっちも……相当みたいだな……さっきよりも硬そうな音……。もはや……塊……。大物が次々と……やっぱり、大きい耳垢は大きいまま掻き出してくれると余計にすっきり感があって良いな……
ビスマルク,まだある……最後にしたのいつよ……
提督,……奥の方は先々月まではやった覚えはないな
ビスマルク,やり過ぎも耳に悪いけど、これはちょっと……
提督,……これからは気を付けよう
ビスマルク,やっと綺麗になって来たわ……
提督,そうだな…………あぁっ……！
ビスマルク,どうしたの？痛かった？。何でよ。もう耳垢は無いけど
提督,その辺が……その……気持ち良かったから……
ビスマルク,……この辺かしら……？
提督,お……おぉ……。耳垢が貼り付いていた訳ではない……ただの耳の中の壁……。なのに……こんなにも気持ち良いものなのか……。耳の中のツボとでもいうのか……こんなの……自分で掻いている時には感じなかったのに……
ビスマルク,まだ奥に残ってるんだけど……そろそろ続きに戻っても良い？
