【ポケモンhgss】イブキ,ありがとう
ゴールド,今日は数少ないジムの休業日。それを利用して、ぼくとイブキはコガネ百貨店を訪れていた。買い物はこれで全部？
イブキ,まだあるわ。とりあえず、フスベに戻りましょ
ゴールド,わかった。ボーマンダ、チルタリス！そらをとぶ！
ボーマンダ,ｷﾞｬｰｵ
チルタリス,ﾋﾟｷﾞｮｵ!
ゴールド,ありがとう、ボーマンダ。もどれ！
イブキ,チルタリスも、ありがとう
ゴールド,それで、残りの買い物は？
イブキ,新しいマントが必要なの
ゴールド,言われてみれば、少しくたびれていた気がするね
イブキ,普段着ならいいけれど、ジムで羽織るものがボロボロだったら、ジムリーダーの沽券に関わるわ
ゴールド,確かに……
イブキ,あなたに選んで欲しいのだけど……お願いできるかしら？
ゴールド,ぼくで良ければ
イブキ,……ありがとう。さ、行きましょ
マント職人,いらっしゃい……おお、イブキちゃんか
イブキ,おばさま、こんにちは
マント職人,今日は、彼氏さんといっしょかえ
ゴールド,はじめまして、ゴールドです……
マント職人,長老さんから聞いとるよ……いっつも、らぶらぶで、うらやましいのう
イブキ,もう！おばさま！からかわないで下さい！
マント職人,おほほ、何かあったら、呼んでくれな～
ゴールド,何というか、陽気な人だね
イブキ,困ったものね……それより、どのマントがいいかしら？。今使っているのは、黒とアズキ色のマントだけれど……
ゴールド,思い切って白いマントとか、どう？
イブキ,いいわね……この紺色のはどうかしら？
ゴールド,うん、似合うと思うよ！とりあえず、両方とも試してみたら？
イブキ,そうするわ。どうかしら？
ゴールド,似合ってるよ！白いマントが、ドラゴンポケモンの神聖なイメージとマッチしていて良いと思う
イブキ,こっちはどうかしら？
ゴールド,紺色も似合う……イブキの凛々しいところが引き立つ気がするよ
イブキ,あまり褒められると……照れるわ///
ゴールド,奥のほうも見てみようよ
イブキ,そうね。それから決めましょ。あら、あのマント……
ゴールド,イブキー！このマントはどうー？
イブキ,今行くわ！
マント職人,はい、じゃあ、マント3枚で600万円
イブキ,6万円ね
ゴールド,あ、ぼくが出すよ
マント職人,つれないねぇ
イブキ,おばさまの冗談が古いからですわ
ゴールド,ここのマントは素晴らしいですね。マントには詳しくないですが、そう感じます
マント職人,おほほ、彼氏さんは素直だねぇ。イブキちゃんも、こんくらい素直になれればねぇ……
イブキ,余計なお世話ですわ。マントのお直しが終わったらまた来ます。さ、帰るわよ
マント職人,おお、また来てなぁ
ゴールド,ありがとうございましたー！
イブキ,……。でも……そういう話は聞いていないのに……。誰のマントかしら……？。少し、気になるわね
ゴールド,必要なわざマシンは買ったし、道具の補充もしたし、あとは……。この声は……ワタルさん！
ワタル,久し振りだね！元気にしてたかい？
ゴールド,本当にお久しぶりです！
ワタル,前回会ったのはいつだったか……
ゴールド,せっかく会ったんですし、バトルしますか？
ワタル,いや、今は手持ちがないからまた今度ね。まあ、休憩がてら、世間話でもしないか？。はい、サイコソーダ
ゴールド,ありがとうございます
ワタル,しかし、きみがカントーまで足を延ばしてくるなんて、珍しいじゃないか
ゴールド,コガネでは売っていないわざマシンを買いに来たんです。ワタルさんは？
ワタル,おれは、頼んでいたマントを受け取りに来たんだ
ゴールド,マントを？
ワタル,そう。おれはいつもここで自分のマントを特注しているんだ。マントには、自分なりのこだわりがあるからね！
ゴールド,そうなんですか！。……そういえば、常々気になっていたことなんですけれど
ワタル,なんだい？
ゴールド,ドラゴンつかいの方々って、マントを神聖視していますよね？
ワタル,そうだね
ゴールド,何か、特別なマントだったりするんですか？
ワタル,いや、大抵のトレーナーは、市販のものを使っていると聞いているよ。あとは、おれのように特注する人もいるね
ゴールド,そんな普通のマントなんですね
ワタル,もちろん、需要はそんなに多くないし、最近の若いドラゴンつかいたちは、マントを嫌がる人も多いからね……限られた店にしか置かれていないよ
ゴールド,ジムリーダークラスのドラゴン使いでも、マントは羽織らない人もいますしね
ワタル,よく知っているね。でも、フスベにはいくつかのマント専門店があるから、入手しやすいというのは知っているよね
ゴールド,はい。この前イブキと行きました
ワタル,あとは、フスベでしか手に入らないマントというのもある
ゴールド,フスベでしか手に入らないマント？
ワタル,儀礼用、いわゆる冠婚葬祭で使うためのマントさ
ゴールド,冠婚葬祭……
ワタル,伝統的に、ドラゴン使いは普段着のマントの他に結婚式やお葬式で使うための特別なマントを作るんだ
ゴールド,へ～！初めて知りました！
ワタル,まあ、知らないのも無理はないさ。マントが高額だというのもあるし、さっき言った通り、最近はマントを使わず、タキシードなどで済ませてしまう人も多いからな
ゴールド,伝統が廃れていくのは悲しいですね……
ワタル,特に慶事のためのマントはすごいぞ！見事な刺繍がされているのさ。大昔のものは文化財として今でも大切に受け継がれている
ゴールド,どんな刺繍なんですか？
ワタル,ドラゴンポケモン……そのトレーナーに最もなついているドラゴンポケモンの刺繍さ。おれならカイリュー、ゴールドくんだったらボーマンダだろう
ゴールド,ボーマンダの刺繍ですか……
ボーマンダ,ｷﾞｬｵ?
ゴールド,イブキならキングドラかなぁ……
ワタル,もしかしたら、きみも……
ゴールド,イブキと、結婚……///
ワタル,……ほう。まあ、こういうことは、おれよりも、イブキのほうが詳しいだろう。いろいろ聞いてみるといい
ゴールド,……！そ、そうですね
ワタル,久し振りに話せて楽しかったよ。イブキによろしくな
ゴールド,今日はありがとうございました
ワタル,じゃあ、また会おう。カイリュー、そらをとぶ！
カイリュー,ｷﾞｬｰｳｰ!
