前回→咲,宮永咲のお先におやすみなさい
咲,皆さんこんばんは！。宮永咲のお先におやすみなさい。弾ける楽器……？り、リコーダー！。メインパーソナリティの宮永咲です。本日5月15日日曜日！りゅーもんスタジオさんから、週末最後の癒しの時間をお届けします♪。うーん、リコーダーは弾くというよりは吹くって感じですかね…。弾く……弾くかぁ。弾くとなると中々……。あ！ピアニカとかなら、小学校の時授業で弾いてましたかね！。え、ピアニカ知らない？。口で息を吹きながら指で弾く、ピアノみたいなやつなんだけど。ハーモニカじゃなくてピアニカだよ！。ハーモニ……うん？ピアニカ……？。…………。…………。うんっと……？え、ピアニカってハーモニカだったの？どちらかと言えばピアノ科だと思うんだけど…。あ、ピアノ科とピアニカってなんか似てるね…えへへ。音響さん、ベタですね。その笑いの音声。んふ……。あ、そうなんだね……ていうか、ピラルクとかピラニアとかとも似てるね！ピアニカ！。マクドナルドをマックって呼ぶかマクドって呼ぶか……みたいな感じ？。へぇ…。そういえば少し前に大阪の愛宕洋榎さんと話した時、マクドナルドをマックって言ったら。……って言われたことあったなぁ。マクド派閥ってなんやねんっ！。んふっ……乗ってくれてありがと！。と、いう訳で！意外な所から話が広がりましたね。リスナーの皆さんが知っている、地域によって呼び方が違う物がありましたら、是非教えてください♪。さてさて！。先週はこの番組がお休みで、もうゴールデンウィークも明けてしまいましたね。皆さんしっかりと休息が取れたでしょうか？。次の長期休暇は夏休みまでお預けなので、寂しいですね…。まあ、長期休暇が終わってしまった時のこの感覚も、私は嫌いではないんですけどね。そんな私は和ちゃんと2人で、日本横断してきました！。……と言うのは冗談なんですけど。私、昔から四国に興味があったので、和ちゃんと2人で四国巡りしてきました！。４と言えばカンだからねっ。飛行機もあったんですけど、せっかくなのでドライブも兼ねて和ちゃんに車で乗せていってもらいました！。すごく久しぶりに船にも乗って、転覆しちゃわないか凄く不安でした……。車の中でタイタニックを見てたのがいけなかった…。あと、和ちゃんのファンの人がとても多くて！。凄いいっぱい声かけられてたよね。このラジオを聴いてくださってる方もいて、とても嬉しかったです！。今も聴いてくれていたら嬉しいです♪。あぁ……。じゃあ最後はその話をしようか…。リスナーさんの高校がどうだったかは分からないんですけど。清澄では、ゴールデンウィーク明けにスポーツテストがあるんです。50ｍ走やったり、握力測ったり、反復横跳びやったりするアレですね。私、運動は不得意ではないんですけど、体力が無くて……。もう、それらの競技をやるだけで体力の限界なんですけど。1つですね…あるんです、ボス的な存在が…。リスナーさんも多分やったことあるんじゃないかと思うんですけど。20ｍシャトルランって知ってますか？。うっ……思い出しただけで辛くなってくる…。体育館の端から端を何往復もするやつ……知ってますよね？。私、アレだけが本当に無理で、ゴールデンウィーク明けが憂鬱で仕方ありませんでした。一応、自分か止めたい時に止めても良いって感じの測定なんですけど。こー……なんて言いますかね……あるんですよね、高校生特有の空気感が……。ホントに嫌でしたよ……まったく！。あんなの要らないので撤廃してください！！。そうそう、それと！。あれやる時って、ピアノのドレミファソラシドが流れていて…。往復数が増えるにつれて、段々スピードが早くなって行くんです！。それがまた忌々しくて……。今でも、あの音を聞くとビクってなっちゃいます。ここの音響さんイジワルで、そういう事言うと本当にやりそうだから辞めて！？。……と、いう訳で。最後が私のトラウマ話で申し訳ありませんっ。今日のゲストは……今日会ってみて改めて思いました…本当に同い年……？。大人っぽくて羨ましい人です！。宮永咲のお先におやすみなさい、深夜11時から45分間！是非、お付き合いくださいね♪。この番組は、りゅーもんスタジオと。全国麻雀協会さん。親愛なるリスナーの皆さんの提供でお送りします！。お送りしています、宮永咲のお先におやすみなさい。改めまして、こんばんは！メインパーソナリティの宮永咲です！。さてさて、前回はゲスト無しでの放送でしたが、本日はビックなゲストが来てくれていますよ。あははっ、という訳で今夜のゲスト！。先日行われました、全日本U-25鳴き麻雀坏では惜しくも２位！しかし、とても素晴らしい闘牌を見せてくれました。現在、東東京のプロチームで活躍しています、私と同い年！。新子憧ちゃんです♪。ようこそ！。あはは…実は、さっき紹介の時に言った大会には私も出場してたんですけど。運良く優勝出来ちゃきまして。あ、ありがとうございます/////。んふっ……。はっ！！あ、憧ちゃんも準優勝おめでとー！。どうすれば！？。むー……憧ちゃんのイジワル。ちなみに全日本U-25鳴き麻雀坏っていうのは、25歳以下の雀士なら誰でも参加できる大会で。必ず和了りまでに1度は鳴かないと、和了る事ができないルールの大会です。ふふっ、楽しみにしてるね！。という訳で、今回は憧ちゃんと一緒にお送りしていきます♪。えっ、今更！？。もー！何それ！。そ、そんなことないもん！。世界の滅亡を疑うよ。私の成長、世界の滅亡レベルなの！？。むむむ……。って言うか！憧ちゃんだって更に大人っぽく成長して……羨ましいよ！。ぐぬぬ……その余裕がまた大人っぽいよ…。そんな！？。えー……なんか納得いかないなぁ…。え？うんっ、肩の辺りまでねっ。に、似合ってないかな？。なぜ和ちゃんが！？。憧ちゃん？何を？。？？？。わわっ。す、凄い……けど恥ずかしい/////。ちょっ！何撮ってるの！？。あぅあぅ…。あ、これは少し小さい頃を思い出すかも…。お礼言って良いのか微妙な発言だよ、今のは
憧,せっかくだし、今日はその髪型で収録ね
咲,す、少し恥ずかしいけど……/////。頑張りますっっ……そして、今撮られた写真がホームページに掲載されるようなので、興味のある方は見てみてくださいねっ。ではでは、この辺りで1曲お届けします♪憧ちゃん紹介よろしくっ。わっ……凄い発音良い…さすが偏差値70超え…。この曲良いですね…盛り上がります！。んー、人並みかな！。ひ、人前で歌うのは恥ずかしいよ///。〜〜っっ////知りませんっ！！。はい！この番組では、リスナーの皆さんからのお便りを随時募集しています！。今回もたくさんのお便り、ありがとうございます♪。うん、ほとんどはゲストの人に関するお便りだよ？。あははっ、私も未だに照れちゃうよっ。じゃあ、憧ちゃんはこっち読んでくれる？。では最初のお便りです♪。ラジオネーム"猫派"さんから頂きました！。おっ？ありそうで無かった感じのお便りだ！。犬派か猫派かー……私は犬派かな！。なんて言うんだっけ……えっと……。そう、つんでれ！憧ちゃんつんでれだもん！
憧,それにツンデレじゃないし
咲,じゃあ、ツンツン？。憧ちゃん……。ごめんね？(上目遣い)。憧ちゃんと話してるとどうしても緊張しちゃって……こんな憧ちゃんを弄るような雰囲気にしちゃって……。…………んふふ…。まるで台本でもあるかの様に速攻でデレましたが、台本にはありません！。憧ちゃん可愛い。はい、という事で1通目のお便りでした！。憧ちゃんのつんでれで、きっとラジオを聞いているリスナーさんの顔も綻んでいる事でしょうねっ。あははっ、ごめんごめん♪でも幸先いいスタートになったよっ。お願いしますっ！。というか、成立してても気付かない…とかありそうだよね。苦労してやれても満貫だからね…せめて倍満、流し倍満とかなら狙うのに。こんばんは♪。あ、そういえば前回マンガン電池って何？って話題になったんだっけ。安い電池がマンガン電池なんですか。やかましいよ。流し満貫が苦労の割に安いっていう話と、マンガン電池が安いっていう話を掛けたんだよ、今のは。別に嬉しくないですっ！。えへ……お陰様で////。ふふっ……シャープシューターだからか…。えと、漫画のイベントに来て下さった方ありがとうございました♪。うん！。いやぁ……本当に驚いたよ…対局できなかった方、ごめんなさいっ。小学生の子もいたなぁ。何で？？。まあ……そうなるのかな？。でも私、この前の鳴き大会は縛り無しみたいな物だったから本気だったよ？。あと、以外にも淡ちゃんが参加してたよね…何回かダブリーからの暗槓ツモで、ルール違反の罰符払ってたけど。ルールくらい見てから出なよ……。という訳で、２通目でしたっ！。どんどん行きます！。えっと、ラジオネーム"清老頭はロマン"さんから頂きました！。まあそうだけど、清老頭って特にそんな感じするよね。そういえば、結構前にお姉ちゃんが一索待ちで清老頭張ってたんだけど。張った次巡に私が一索ポンしちゃったみたいで、ずっと……。ってしつこく言ってきたの思い出したよ。うん…ふふっ……言われた通りポン取り消したら、今度はそれを切ってって言ってくるし……可愛かったなぁお姉ちゃん。まさか。安手で流したよ。点棒もオヤツもゲットできて一石二鳥でした♪。まあ、役満のロマンさはお姉ちゃんをもポンコツにしてしまって言う事ですね！。あー、私も初めて知った時驚いたなぁ…まさか、永水の人達以外に神社関係者がいたなんて。実は私も1回だけ着たことあるんだよね。……別に気にしてないもん。２年生の時、個人戦で神代さんと戦った後に仲良くなって。その流れで、神代さんのお家？というか、霧島神宮にお邪魔した時に着せてもらったんだ。あの時も神代さんの服を借りたから、胸の辺りがスカスカだったな……。あ、別に気にしてないんですけどね？ホントですよ？。えっ、そうかな/////ありがと////。憧ちゃんとのツーショットは、実現したらホームページに載せますね♪。楽しみですっ！。というか、憧ちゃんって巫女服みたいな和服も似合うし洋服も似合うよね。うんうん！羨ましいよ。ほんと！！嬉しいかも。4通目です。ありがとうございます♪麻雀はリーチする時が一番楽しいですよね。ありがとうございます！。私とは対照的でって……私、昔風っていう事になるのかな……。んふふっ……和ちゃん怒られるよ……くふっ…。どのような仲なのか……かぁ。そうだねっ！。うわぁ、懐かしい！団体1位の清澄と、2位の阿知賀で特集……みたいなのやってもらったんだよね！。怖いって……ちょっとショックかも。も、もー！何なの今日は！２人とも褒めすぎっ////。次のお便りいきますっ！！。あーーーー！！/////。ラジオネーム"黙聴は邪道"さんからです！。黙聴といえば、岩手県宮守女子の鹿倉胡桃さんの牌譜、凄いよ。さすがに公式戦だけだとは思うけど、見つけた時ビックリしちゃった。5通目です。んふっ……なんか今日こういうお便り多いな……あははっ。わー！可愛い！。……確かに、そっくりだ…。っていうか、憧ちゃんの小学生時代と高校生時代の優希ちゃんがそっくりって……色々おかしい気がするよ。ゆ、優希ちゃんもあと数年したら今の憧ちゃんみたいになるのかな……？。そ、そんなこと無いよっ。6通目ですっ。いつもこんな感じだよ……りょーかい！。またまたありがとうございます♪。私もですっ
憧,だって
咲,あんまり無かったけど、大会とかの時補欠に人を割けれなかったから、体調とかは絶対に崩せなかったかな。あはは、穏乃ちゃんらしいね。でも後輩が入ってくれないと人数が足らなくなっちゃうから、勧誘は大切だよね…。まあ、人数が少ないとその分、雀卓とかの備品の必要数が少なくて済むし、練習もスムーズにできるから、その辺りは良かったのかな。それは本当に思う！私の場合、迷子になっても迷惑かかる人が少ないから……。搜索って……。やめて！？。ラジオネーム"匿名希望"さんからです！。憧ちゃん、前回も聴いてくれてたんだ。あ、改めて言われるとなんか恥ずかしい……////。こんばんは！。共通の……。清澄と阿知賀以外の高校での、共通の友人だと…。同学年だし
憧,淡とは何となく気が合うのよね
咲,淡ちゃん天然だからありすぎて困るよ。そんな！？。まあ今日は仕方ないか……。な、なんでもないよ！。んふっ……(みたらし団子みたい)。あははははっ！！。み、みたらし団子みたいって思ったらこの内容……ズルイよ……ふふっ…。私は三色団子が好きだな。何が！？。つ、次のお便りです！。ラジオネーム"トッポをストロー代わりにするもの"さんからです。出ましたね……あなたは早く、なぜチョコ関係のお菓子ばかりチョイスしてるのか答えてくださいっ！。今度やってみ……いやいや、私はやりませんよ。プリッツでやります。こんばんはー！ごめん、ちょっとお水飲むから代わりに読んで？。んぐっ！！！！？？。げほっ……んふふ…けほっけほっ…あはは！！。ふふっ……ご、ごめんね？あははっ……！！。すこっ……健夜さんに……ふふっ……ご教授してっ……あははははっ！！。すぅ〜はぁ〜……前回、女子力のある人を健夜さんに送ったらどうか、というお便りも貰ったので、良いかもしれませんね。ずばり、大人っぽさの秘訣！。そんな、大きくなるためじゃないんだから。次のお便り！。ラジオネーム"ミニスカナース"さんからです。確かにミニスカナースだね…。こんばんは♪。だって！。あー、それは私も分かるかも。こっちは連荘を自重しなきゃならないし、渋谷さんの連荘も止めなきゃいけないしね。白糸台が優勝した年だね。ラス親で二連続大三元……。ハーベストタイムっていう名前がまたカッコいいよね。え？
憧,ラジオネーム"メゲるわん"さんからです
