高森藍子,加蓮ちゃん、加蓮ちゃん
北条加蓮,なにー？
藍子,髪の、ほら、ここのところ。桜の花びらが、ついちゃってますよ？
加蓮,花びら？どこ？
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と。藍子と
藍子,こっち側の……。ううん、私が取ってあげますね。……はいっ、取れました♪ほら、これ
加蓮,ありがと、藍子
藍子,どういたしましてっ。それにしても……どこでついたんでしょう。この花びら
加蓮,どこだろ。最近もうほとんど散っちゃったもんね、桜
藍子,はい。この前の、お花見LIVEが終わった頃――……お花見LIVE……。……、。えへっ
加蓮,…………
藍子,いたっ。も～、はたかないでくださいよ
加蓮,はいはい分かった分かった。その話はもう何十回も聞いたって
藍子,だって、何十回でも思い出したら嬉しくなっちゃいますもん。加蓮ちゃんと、響子ちゃんとのステージ……。楽しかったなぁ……♪えへへっ
加蓮,……、まあ、そう言ってもらえて悪い気はしないけどさ
藍子,帰ったら、また写真を見返さなきゃ。加蓮ちゃんも一緒にどうですか？
加蓮,私も？……おっ、これは藍子ちゃんなりのお誘いの言葉なのかな？
藍子,え？
加蓮,ほら、誘う建前って言うかさ。とりあえず理由を作っとこーみたいな
藍子,う～ん。あんまりそういうつもりはなかったんですけれど……。確かに、そうなるのかな？
加蓮,受け売りだけど可愛いペットがいるっていうのが常套で、次が新しい家具を買ったから。趣味が合うなら録画したドラマを見るとか、その辺？。誘い文句ってヤツ？ふわっとしてる藍子ちゃんはすぐ騙されそうだねー。気をつけなさいよ？
藍子,は～いっ。でも、今回は私が誘う番ですね。ペットはいませんけれど……
加蓮,おっ、これは藍子ちゃんなりの"私に似合う動物の耳をつけてください"ってお誘いの言葉なのかな？
藍子,……はい？
加蓮,いやほら、ペットを飼ってみたいけど自分の家にはいないから藍子が代わりに的な
藍子,それはさすがに……。つけるなら、加蓮ちゃんがつけてください。きっと似合いますよ
加蓮,似合わないって
藍子,似合いますっ。狐とか好きでしたよね？
加蓮,好きだけどそれは私のキャラじゃないよ。藍子がつけてよ
藍子,私のキャラでもありませんっ。それに、私の家のお話なのですから、私がペットになったらおかしいじゃないですか
