【艦これ】提督,最高練度に達した艦娘が、ことごとく無気力になっている
提督,ん･･･。すぅー。えっほ！うえっほ！えほっえほっえほっ！！。ひぃー、ひぃー･･･、あーくそ･･･
叢雲は,仕方ないわね
提督,くだらねーよなー･･･
朧,身長差ハグです！。提督！こちらでしたか！
提督,ごめん、探したよね
朧,いいえ、大丈夫です。報告が、。タバコ･･･、ですか？
提督,ああ、うん、ちょっとね。ごめんね、臭うよね
朧,･･･。いいですよ
提督,ん？
朧,タバコ、吸ってください
提督,･･･
朧,朧、見ていますから。ね
提督,･･･うん。うう･･･やっぱりきついな
朧,厳しい顔。提督、辛そう･･･。なんだか、どきどきする･･･
提督,むせる、むせる！煙が目に染みる！
朧,遠くを見て･･･、あ、涙･･･。なにか、思い出してる･･･のかな。提督と、あたし、ふたりだけの空。しあわせ。えいっ
提督,とと、危ないよ。臭い、うつっちゃうよ
朧,･･･
提督,いいの？
朧,･･･
提督,そっか。･･･朧は、小さいなあ
朧,･･･むー。朧だって、キスくらいできるんですよ！。朧が背伸びして、提督が屈んでくれれば･･･。ひゃああああ！。んんん･･･！
提督,あ、ごめん、ごめん苦しい
朧,もう！
提督,タバコの臭い、うつっちゃったでしょ？
朧,いいんです！。提督と、朧だけですから！。他の子には、うつしちゃダメですよ？。みんなの、ために
提督,朝潮たちとの演習、見事だったね
朧,いいえ、あれが実戦なら、戦闘が継続されたなら、私たちの負けです。だから。勝つために、何でもします。最善のために、最悪を選ぶことも、
提督,でも、朧はそれを選んだ
朧,･･･はい
提督,朧は、皆を信じてるんだね
朧,･･･っ
提督,その選択が出来たのは、信頼の証だ
朧,･･･
提督,それは、朧の、七駆の誇りだと思う
朧,う～～～
提督,皆も、一生懸命で頑張り屋さんの朧を信じている。もちろん、私も
朧,･･･
提督,ありがとう
朧,う、う、う～～
曙,くんくん･･･
朧,え、えへへ･･･？
曙,タバコのにおい･･･？
漣,なんと！朧ちゃんが不良に！？
朧,ち、違うよ！提督に･･･はっ
漣,かかったなアホがっ！
曙,なんで、クソ提督のにおいが、朧に、ついてるの？
潮,曙ちゃん、おちついて･･･
朧,違うの、待って
漣,イチャイチャでスリスリですか～？
朧,･･･
漣,黙秘キタコレ！
朧,違うのー！。って、あれ？曙は
漣,曙ちゃんなら、とっくに出て行ったよ
朧,あああ･･･
潮をひきずったままの曙の飛び蹴り,手加減
提督,あー･･･、まっず。ま、いいんだけど。遠征が戻るまで、あと1時間ちょっとか
こうやって、,ひとり考える時間
提督,この前の演習･･･、霧島怒ってたよなぁ。あれは怖かったなぁ･･･。曙はどう思ってるのかな
曙,ひざまくらよ！し、仕方ないわね。こらクソ提督！
提督,うぇっ！？
曙,はあ？ちゃんと定刻に戻ったわよ
提督,うわー、時間が吹っ飛んだみたいな気分
曙,出迎えが無いから、みんな心配してたわよ
提督,あー･･･、しまったなぁ
曙,どうせここだと思ったから、皆は解散させといたわ。寝てたの？
提督,そうみたいだね。気付いたら今、みたいな？。うわー、手の中でタバコが燃え尽きてるわ
曙,はあ！？それは寝たんじゃなくて、気・絶・！っていうのよ！。ちゃんと、夜寝てる？
提督,･･･そういえば
曙,寝てないのね
提督,･･･
曙,まったく、だからクソ提督って言われんのよ
提督,そう呼ぶのは曙だけで･･･
曙,なに？
提督,なんでもないです
曙,もう･･･、ほら！。頭、こっち貸して
提督,･･･。いや、今ちょっと寝たし
曙,それは気絶！ちゃんと横になりなさい。横になって、休んで、･･･お願いよ
提督,･･･わかったよ
曙,どう？全然違うでしょ？
提督,そうだね･･･。ありがとう･･･、ぼのちゃん
曙,ぼのちゃん言わないの
提督,すやぁ･･･
曙,･･･もう寝ちゃった？。子守唄を唄う暇も、なかったわね。クソ提督がこんなに近いのって、いつ以来だっけ。･･･。だめじゃん。そうだ、初めて会ったときはどうだっけ。･･･。こっちもだめだった。よくもまぁ、こんなのに指輪を渡そうなんて思ったもんね。ふふ･･･。あんたはクソだけど。一番マシなクソよ。みんなの、ために
提督,この前の演習、どう思う？
曙,どうって？
提督,霧島も怒ってたし･･･
曙,ああ･･･
提督,曙は、不満は無いのかな
曙,勝ったから、いいじゃない
提督,それは、そうだけど
曙,はぁ･･･。朧が全責任は自分にあります！とか言うから黙ってたけど
提督,･･･うん？
曙,言いたいことが、三つあるわ。まずひとつ、あの作戦を提案したのは、あたしよ
提督,へっ？
曙,危険だと渋る朧を、説き伏せたのも、あたし。だから、納得するとか、不満があるなんて話じゃないのよ
提督,･･･そうか
曙,そして、ふたつめ。霧島さんはああ言ったけど。あたしは、必要だと思ったら、もう一度、やる。何度でも、やる
提督,･･･
曙,あたしは、みんなを、守る。みっつめ。これは、提督も霧島さんも、朧も勘違いしてるんだけど。あたしは、誰も犠牲になんかしないわよ
提督,あ･･･
曙,そりゃ、今回はちょっと食らい過ぎたけど。でもね、被害の判定は”自力航行は不可だが、沈没の恐れなし”よ
提督,･･･そうか、そうなんだな
曙,次は、もっとうまくやってみせるわ
提督,はは、はははは
曙,な、なによ急に
提督,曙！お前はなんてすごいんだ！
曙,ひゃああ！高い！高い！
提督,ぼのちゃんサイコー！
曙,だからぼのちゃん言うなって高い怖い振り回すなー！
漣,ふーんふんふー
提督,良いなぁ
漣,ふふんふーにゃーふーふふにゃふー
漣は,余計な被害を受けたドジ
提督を,ご主人様
提督,やっぱり、演じてるのかなぁ･･･
手始めに、未熟で甘えた自分を戒めるため、自分を,私
提督,もし、そうだとすれば。会ってみたいな
漣,壁ドンキタコレ！。ご主人様、タバコっておいしいですか？
提督,ダメだよ
漣,むぅー。いいですか、ご主人様は子ども扱いされてますけどね！私たちは酒もタバコも禁止されてないんですよ！
提督,前にお酒をなめた時、漣はどうなってたっけ
漣,おぼえてません！
提督,即座に寝ちゃったんだよ
漣,た、たまたまでは
提督,朧も、曙も、潮も寝ちゃったよ
漣,ぐぬぬぅ
提督,きっと体に合わないよ。はい、あーん
漣,あーん
提督,みんなには、こっちのほうが似合うよ
漣,んー
提督,あーん
漣,あー･･･、ん。ふぉっふぃーふぇーふっふぇふぃっふぇふぁふふぁ
提督,･･･食べてから喋ろうね
漣,んー･･･、ん。ポッキーゲームって知ってますか？
提督,･･･いや、知らないなぁ
漣,こう、チョコのついてない部分をくわえて。ふぉふぉのふいふぇふぁ
提督,食べてから喋ろうね
漣,んー。もう一人が、チョコの部分を食べるんです。チョコがより少なくなるように食べたチームが、勝ちです
提督,･･･なんでそんなことするの
漣,ギリギリを楽しむんです！
提督,ギリギリ
漣,ちゅーしちゃう？あと２センチ！ちゅーしちゃうの！？
提督,おー･･･
漣,というハラハラドキドキを楽しむギリギリです
提督,なるほどなー
漣,それを踏まえて。やってみますか？
提督,･･･いや、私は
漣,んー
提督,･･･あ。たしか、こう、壁際で･･･
漣,ふおっ。かかかか壁ドン！？
提督,動くなよ
漣,んんんん！
提督,･･･お前は、俺の、女モノ
漣,ふぁ･･･。･･･ふぁい。近･･･。ふおおおおお。鼻が触れ･･･！。―――
提督,ふー
漣,･･･････････････なんも言えねえ
提督,ほら、漣。チョコは全部食べたよ
漣,うう･･･
提督,しかしこれ、恥ずかしいな
漣,なんだとう！。ううう～～～！！
提督,はっはっは、どすこいどすこい
漣,うううう～～～！！
提督,ぐふっちょ待って待って
漣,ううううう～～～！！
提督,待っぐっうっがっ･･･きゅう
漣,･･･あ。やっちまった
提督,やら･･･れて、ない、･･･がくり
漣,ご主人様ーー！。みんなの、ために
提督,演習のこと、なんだけどさ
漣,あー、漣がミスったことですかー
提督,･･･
漣,あれがなかったらもっとかっこよく勝利宣言出来たんですけどねー、ほら漣ってドジだから
提督,･･･やっぱり、わざとなんだね
漣,･･･なんで
提督,私はわからなかったよ。でも、霧島がね
漣,あー、霧島さんかぁー･･･、うまく出来たと思ったんですけど
提督,どうして
漣,提督。私たちは、勝つために、何でもします。朧は辛い作戦を選び、曙はその身を盾にして、潮は全てを捨てて一瞬を狙う。その皆の選択を活かすため、漣に出来ることを、します。やられたフリ、死んだフリ、逃げるフリ、何だって。何だって、します
提督,でも、それじゃ
漣,提督だって、言ってたじゃないですか。肝心なところでポカする、なんて評価は。望む所です！
提督,･･･そうか。･･･よし。漣
漣,なんですか、ご主人様
提督,提督、って呼んでほしい
漣,！！
演じる自分のキーワード、,ご主人様
漣,で、でも
提督,ふたりで居る時だけでも、いいから
漣,･･･いいん、ですか
提督,うん
漣,朧ちゃんより頑固かも
提督,うん
漣,潮ちゃんより内気かも
提督,うん
漣,曙ちゃんよりツンツンしてるかも
提督,･･････うん
漣,いまは、まだ、むりです
提督,うん
漣,でも、いつか
提督,うん
漣,まって、くれますか
提督,待つよ。これから、ずっと、一緒だしね
漣,あ･･･、はい！。提督にソレを無理やりくわえさせられて～。それで、壁ドンされて～
朧,･･･
漣,ご主人様に迫られて
曙,･･･
漣,ああ、私はこの人の女モノ
潮,はわー･･･
漣,お？。んふふ～。頑張ってね。･･･てい、とく
愛宕の持ち込んだ,全チョコポッキー
提督,助かったよ
愛宕,あらー、私は別にこれでもいいのよ？
高雄,だ、め、で、す！
漣,提督。ご主人様。提督だって、言ってたじゃないですか。ご主人様だって、言ってたじゃないですか
提督,助かったよ
