パンケーキを巡る血肉わけた戦い,ウソ
みちる,♪～紙の袋を膨らまし片手で叩けば。パンっと……あれ？ちょっと生地を作り過ぎましたか？。まっ、いいですか。事務所に保存しておけばいつでもパンが食べられます。では。おはようございます！
ちひろ,おはようございます、みちるちゃん
みちる,あれっ？皆さんはまだ来ていないのですか？
ライラ,ライラさんはここにいますよ
みちる,あぁ、ライラさん。よろしかったらおすそ分けです
ライラ,これはありがとうございます。ではいただきます
ちひろ,ライラちゃん、よく噛んで食べてね。そうそう、みんななら隣でテレビを見ているみたいですよ
みちる,わかりました。それでは
ライラ,フゴフゴフゴ
ちひろ,ライラちゃん……それ、みちるちゃんのアイデンティティよ
みちる,フゴフゴ、おはようございます～
千枝,千枝もです。あ、運動会のあと、みんな日焼けとかすごかったです。――千枝は、夏には海とかは行かなかったからなぁ…
唯,ゆいは行ったけど、やっぱりアイドルだから、あまり焼けなかったからね
千枝,でも未央さんや茜さんと一緒に遊んだって聞きましたが？
唯,あははは、あんときは夕美さんがパンツ忘れて大騒動だったよ☆
夕美,……ってテレビの前で言っちゃうのかなぁ？
唯,あはは……夕美さん、ごめんして
夕美,ふふふっ、今からお花見に行こうかっ
唯,
夕美,逃げても無駄だよ……絶対に逃がさないからね
唯,いやぁー！桃華ママぁ！千枝ちゃん！助けてぇ―！！
比奈,masherのリスペクトっスか？
由里子,案外BadNameをおパクリ遊ばせたのかもしれないじぇ
奈緒,あっちも唯だもんなぁ
みちる,フゴフゴ……あのー？
杏,あぁ、みちるか。おはよう……あれ？唯がちょっと、失言しただけだよ
奈緒,我が杏は、詩人の心をお持ちのようで
モバP,以下P
未央,よーし、海が私たちを待っているぞー！
茜,この瞬間を待っていましたー！！
友紀,わーい、海だ海だー！
拓海,お、おいっ！プロデューサーもいるんだぞ！
唯,心配ないよー♪
莉嘉,ちゃんと水着を着てきたもんねー☆
未央,どうだー！
早苗,まったく……用意周到とは言ったものね。じゃあ、夕美ちゃんに愛梨ちゃんは更衣s
夕美,えっ！
P,おまえもか……
夕美,えへへー
愛梨,ずるいーっ！私も―
P,ちょっと待った
早苗,そうね。愛梨ちゃんは待ちなさい。そしてPくんは、目隠ししていなさい
拓海,ほらっ、スイカ割りの目隠しだ
P,すまんな
愛梨,えぇー、どうしてですかー？！
夕美,愛梨ちゃん……今、下着……だけなんだよ
愛梨,暑いから大丈夫だよ
友紀,あぁ！楽しかったぁ
莉嘉,ねぇ、ねぇ！また行きたいねっ！
茜,毎日でもおっけーですっ！
唯,でも、休みがないからね
拓海,まったく、お前らは……
夕美,
早苗,どうしたの？夕美ちゃん？
夕美,……ﾜｽﾚﾀ
友紀,ん？
夕美,ｼﾀｷﾞ……ﾊﾟﾝﾂ……ﾜｽﾚﾀ
拓海,
早苗,
唯,心配ないよっ！こういうトコは、必ずどっかであるって♪
莉嘉,そうそう、リカ達が付いてって上げるから、スグにいこー！
夕美,う、うん
早苗,すぐ帰ってくるのよ。寄り道はダメだからね
唯,わかってるってー☆
未央,じゃあ、私たちは先に帰ってるねー
夕美,……ふぅ、よかった
莉嘉,というか、お店でそのまま履いちゃえばよかったのに
唯,まぁ、こんなとこに知り合いはいなi
P,よぉ、お前達も夕食の前の散歩か？
莉嘉,ぴぴぴ、Pくんっ！
唯,どどど、どーしてここにぃ！
P,どうしてって、街の風景のイメージで今度の配役をだな……つかお前ら夕食前に買い食いか？
夕美,どどど、どーしよ。私、ノーパンだよ！
唯,とりあえずプロデューサーちゃんに話を合わせよう
莉嘉,え、えへへー。ちょっとねー
P,まったく、夕美まで。その袋か？どれ、持って行ってやるよ
夕美,えええーっ！いいよいいよ、これは人に見せられるものじゃ
ﾌﾜｰ,スカートがめくれる音
夕美,
P,
唯,
莉嘉,
P,……すまん
夕美,…………プロデューサー
唯,ゆゆゆ夕美ちゃん！これはフカコーリョクだよ！
莉嘉,そそそ、そーだよ！おねーちゃんもよくプロデューサーにくっついて自爆してるし
P,結婚してください
夕美,……幸せにしてね
唯、莉嘉,……はい？。はいー―っ！？
比奈,ということがあって、パッションの間ではエライ問題になっているっスっと
奈緒,で、唯が思わず口を滑らせたわけか
杏,でも、パッションのプロデューサーは何人もいるから……うちは武内Pだけだから、専務に楓さんにと争奪戦が激しくてさー
由里子,いやー、あそこにもー
藍子,もぅ、プロデューサーさんのばかぁ……でも大好きですよっ(///)
別のP,……
みりあ,あー、またプロデューサーが血を吐いて倒れたよ
柚,今日だけで四回目だねぇ
芳乃,とりあえず医務室へ運ぶのでしてー
裕子,ではここはサイキックで。むむむーん
輝子,ふひ……とりあえず担いでいこう
きらり,えっほ、えっほ
奈緒,あそこまで目立つ、かつみんなから容認されているのはあのバカップルぐらいだけどなー
比奈,幸せにはなって欲しいっスけどね
杏,そういえば、みちるはどうしたの？またパンが無くなったんじゃ？
みちる,いえいえ、今日はパンの生地を持ってきましたので、これでみんなでパン作りでもと
比奈,
由里子,
みちる,えへへー
奈緒,こんなにたくさん、どーするんだよ！
杏,むしろよく持ち込めたね……
かな子,こんにちはー
愛梨,大分涼しくなってきましたが暑いですねー
志保,こらっ、またプロデューサーに怒られるよ
法子,そんな時はドーナツでゴキゲン間違いなしだよっ
杏,ちょうどいいとこにスイーツ屋さんが
奈緒,だな
四人,？
かな子,そういうことでしたら使いますね
志保,あ、この生地ってどこまでいってるのかな？
みちる,一次発酵は済ませてから冷蔵庫に入れました
愛梨,んー、残念だけどパン以外だとスコーンやドーナツに流用するしかないかなぁ？
杏,何、その一次発酵って？
かな子,パンを作る際に、イースト菌を入れて膨らませるのですが、形を整える前に一度発酵させてガス抜きをしておくんです
みちる,簡単にいうとウォーミングアップみたいなもので、これをやらないとふんわりしたパンにならなくて、ただの小麦粉の塊になるのですよ
志保,それに発酵させ過ぎると酸っぱくなったりするから、作る種類によってタイミングも異なるの
奈緒,へぇー、パン作りって手間がかかるんだな
比奈,今のそれは漫画でいえば下書きが終わっているとこっスかな？
愛梨,んー？多分そうかな？とりあえずアップルソースとコーヒーがあるから、これでおいしいパンを作りますね
法子,ドーナツはお任せください
杏,うわぁ、恐ろしい勢いでドーナツの型が量産されていく……
由里子,まさに、ジオン驚異のメカニズムだじぇ
藍子,甘いにおいがしますね
茜,ちょうどおやつの時間ですね！
未央,おっ、今日は我等が精鋭、スイーツファイブによる手作りおやつが楽しめるのかな？
莉嘉,……ドーナツばかりかもしれないよ
きらり,それはそれでぇ、どーんと食べちゃうぞ
みりあ,わーい
裕子,なんにせよ、サイキック楽しみです
唯,ｵﾊﾅｳﾂｸｼｲ、ｵﾊﾅｷﾚｲ、ｵﾊﾅﾓｲｷﾃｲﾙ
夕美,あれっ？お花見させ過ぎちゃったかな？
かな子,こうやってｶﾎﾟｯ
友紀,とけたバニラアイスと、苦め目のコーヒーロールがマッチしたまさに攻防一体の一打だね
愛梨,アップルロールも焼きたてのうちにどうぞ
芳乃,フゴフゴフゴフゴ……でしてー
奈緒,おいおい、口にものを入れたまましゃべるなよ
法子,ドーナツも揚げたてだよ
みりあ,わーい、熱々だよー
志保,スコーンはシンプルなだけに、ジャムでもメープルシロップでもなんでも合いますよ
藍子,ならハチミツをいただきますね
夕美,リコッタチーズもあるんだね
みちる,フゴフゴ…そういえば…フゴフゴ
唯,とりあえずパンを食べ終わってからだね☆
きらり,おぎょーぎが悪いのはメッ！だぞ
みちる,フゴフゴ……ゴクン。えっと
かな子,えっと、鍋パン
みちる,はい、最近両親から聞きまして。今、藍子さんと夕美さんが話しているのを聞いて思い出したのです
藍子,私たち……？
夕美,何かあった……？
未央,おやおやぁ？お二人とも、もうお忘れですかぁ？
裕子,♪好きなチョイス、ハチミツとパンケーキ～
茜,♪この庭に来ればリフレッシュ、リコッタチーズパンケーキ～
藍子,あ、なるほど
夕美,私たちの歌だったんだ
きらり,もぅ～、Pちゃんとラブラブだからって、歌詞を忘れちゃダメだにぃ☆
藍子,そ、それは(///)
夕美,また、ベ、別の話で(///)
杏,はいはい、アイスが熔けちゃうから食べちゃうよ
比奈,今、すごい表現だったスね
