で書いています。,話の都合で６人目が少しだけ出演しています
未来,校門を抜けるとそこは一面の砂浜でした！。すっごーい！本当にビーチしかない！さすがビーチバレーの超名門76高！緊張してきた……大丈夫かな、この水着似合ってるかな
恵美,おんやぁ～、こんなに新鮮な反応をしてるってことは高校からの外部組かな？
未来,あ、はい！初めまして、今日入学する新入生の春日未来です！もしかして先パイですか？
恵美,いんや、アタシも同学年だよ？ま、内部進学だけど。アタシ所恵美、よろしくね未来！
未来,よろしく恵美ちゃん！うわぁ、高校生ともなると同学年の子でも大人びてるなあ、水着もなんだかセクシーだし
恵美,ちょっとぉ、じっと見られると恥ずいって～
未来,ふふ……ねえ恵美ちゃん、７６高は日本で一番ビーチバレーが強いんだよね？
恵美,え、そだよ。なんせここではすべてがビーチバレー中心で回ってるからね。プロ志望の人間もたくさん集まってるし。まあ……人口が多い分アタシみたいにたいして上手くない人間も混ざってるんだけどさ。アタシは選手のデータ収集のほうが得意なんだ。未来もプロ志望じゃないの？ここに入るくらいだし
未来,うーん、私は……わかんない！中学ではテニス部と陸上部とソフト部と生物部だったから
恵美,４つ掛け持ちしてたってこと？やるぅ～
未来,だからプロとか実感がわかないけど、目標はあるんだ。７６高で一番の選手になるの！それでそれを友達に連絡する！。お、こんなところに丁度ボールが落ちてる。よーっし、じゃあ７６高のてっぺん目指しての第一サーブ！打っちゃいますか！いくぞー！せーの
紗代子,ちょっとそこのあなた！
未来,うわっとと……。どうしよう、私かな
紗代子,そうよ、今まさにサーブを打とうとしていたあなた！見ない顔だけどどういうつもり、そのボールは
未来,え？
紗代子,汚れたまま手入れもしていないし、ガムまで付いて！
未来,えと……あー、本当ですね、裏にガムが付いてました
紗代子,気づかないくらい普段からそんな状態で使っているっていうの？呆れてものも言えないわ
恵美,あちゃー、面倒な人に見つかっちゃったかもよ。未来、耳貸して
未来,恵美ちゃん
恵美,この人は３年の高山紗代子先輩。第５ビーチバレー部の部長やってる人。校内でも実力は指折りなんだけど、指導もマナーも厳しくて有名なんだ。熱血指導に耐えられなくて次々と部員たちが辞めていっちゃってさ。今では第５の部員は部長一人だけってウワサ。最近はその熱血のやり場がなくてさらに荒れてるって聞くから、勘違いって説明してもなかなか放してくれないかもよ
未来,えー⁉
紗代子,２人とも、なにをこそこそ話しているの！ボールの乱れは心の乱れ、やっぱりボールの扱いが悪い子は心まで濁っていくのね
未来,高山先パイ、違うんです私たち
紗代子,言い訳までするつもり？私そういうの許せない！いいわ、ここでまとめて私が指導しなおしてあげる！。いい！？私がサーブを打ち込むからあなたたちはレシーブ、トス、アタックでこちらに返すのよ。10球中1球でも返せたら合格よ。第5ビーチバレー部に入れてあげるわ！。そして！もし1球も返せなかったら第5ビーチバレー部に入れて性根から叩き直してあげる！
恵美,えーん、どっちにしても入部させる気じゃん～……。高山先輩、正気なのか正気じゃないのかぜんっぜん分からないいいいい
未来,私ももうわけがわからないよー！。……でも、この試練も通れないようじゃ７６高のトップなんて目指せないよね。受けて立ちます、高山先パイ！
紗代子,その意気やよし！いくよ！”サマートリップゴールデンフィッシュ”！！
未来,っ！サーブされたボールが炎をまとって真っ赤な金魚のように……！しかも軌道が……途中で跳ねる⁉。そんな……一歩も動けなかった
恵美,出たァー！＃高山熱血ビーチバレー紗代子先輩の”サマートリップゴールデンフィッシュ”!!。瑠璃色金魚がなんぼのもんじゃいミリオンの初代金魚アイドルは私じゃ私じゃ！と言わんばかりの気合を感じるよー！
紗代子,どう？これが私の一つ目の必殺サーブよ。そしてこれがふたつ目！”マイフェイバリットアニマルハリコ”!!
未来,こ、これは……！ボールがトゲ付き鉄球のようなスピードと威力に⁉軌道は読めるけど……止められない！
恵美,たっはー！これが高山先輩の”マイフェイバリットアニマルハリコ”！自分のペットの名前を叫んでいるだけと見せて威力は強烈ゥー！そのギャップがたまらない！
未来,恵美ちゃん、大丈夫？
恵美,あ、うんごめん
紗代子,その程度なの？あまりがっかりさせないで頂戴。緊張感を上げるためにルールを変えましょう。次の1球で最後よ。これで決めなさい！。”サマートリップゴールデンフィッシュ”!!
恵美,来た！どうするの⁉
未来,そんなの。拾うしかない！。手はあるよ。高山先パイの球は金魚のように跳ねる弾道を描く。つまり金魚すくいの要領で動けばレシーブできる！
恵美,なるほど！
未来,右か左か……跳ねた方向に合わせてみせる！。お母さんが天ぷらを揚げるときを思い出して……大丈夫、天ぷらを揚げるのもレシーブを上げるのも大した違いはないはず。曲がった！右……今だ！。”天ぷらレシーバー”！！
恵美,レシーブが揚がった、じゃない上がった！。と、トス……！変な方向に……ごめん来ると思ってなかったから！
未来,任せて！テニス部で鍛えたダッシュで追いついて……アタック！
紗代子,“バーニングファイアーブロック”！！
未来・恵美,ええー⁉
紗代子,決まったわね
未来,なんでブロックするんですか！
紗代子,ブロックしないなんて言ってないわよ。現実のバレーでブロックがないとでも思うの？
未来,そうですけど～
恵美,高山先輩、変な理屈つけてるけどぜったい負けたくないだけだよー……
紗代子,言い訳は聞きたくないわ。さあ、２人とも第５ビーチバレー部に入部するのよ！
未来・恵美,はーい……
