理事長,音ノ木坂を廃校にします
穂乃果,そんなぁ～！。ってことで！穂乃果たちで音ノ木坂の廃校を阻止しよう！海未ちゃん、ことりちゃん、なんかいいアイデアないかなぁ？
海未,アイデア、ですか。そうですね…生徒の手で学校の知名度を上げるには、やはり部活動で好成績を残すのが一番、だと思いますが…
ことり,えーっと、音ノ木坂で最近活躍した部活は珠算部に合唱部に…
穂乃果,う、うーん……微妙？
海未,どちらも全国優勝、というわけでもありませんし…正直、強く注目を集められるタイプの部活動ではないですね
穂乃果,あっ、じゃあこんなのどうかな！私たち３人でアイドルやるの。現役女子高生スクールアイドルですー！とか言ってさ！♪だって～可能性
海未,ダメです
穂乃果,えーっ
海未,学生の本分は勉学。アイドルだなんて、そんな浮ついたものが部活動として認めてもらえるはずがありません
ことり,うーん…ことりも無理だと思うなぁ。楽しそうだけどね？穂乃果ちゃんと海未ちゃんがかわい～い衣装を着てるのも見てみたいし！
海未,き、着ません！そんなものは天地がひっくり返っても着るつもりはありません！
穂乃果,やっぱ無理かぁ…だと思ったけどさー。あーあ、スクールアイドル！なんてのが存在する世界だったらなぁ…。っダメだぁ～！一日ずっと色々考えてみたけど全然いい案が浮かばないよー！
ことり,うーん、やっぱり…いきなり始めた部活動でアピールするのは無理かなぁ？
海未,運動部が華々しい成績を残せれば一番なのですが…。私も弓道で努力してみます。けれど、世間へのアピール力で言えば、本当は団体競技の方が好ましいですね…
ことり,でも、団体スポーツでってなると私たちじゃどうしようもない話になっちゃうね。そういうスポーツの経験なんてほとんどないし
穂乃果,ううーん…今から始めても勝てる可能性があって、世間から知られてる有名なスポーツかあ。うーんうーん……うん？
海未,……はぁ、いいですか穂乃果、そのような都合のいい競技、あるはずがないでしょう
穂乃果,……。いや、あるよ
海未、ことり,えっ？
穂乃果,野球……野球だよ！
海未,野球…ですか？
ことり,確かに野球はとっても人気のあるスポーツだけど、でも私たち、女子だよ？
海未,いえ、案外…悪い考えではないかもしれません。実は、女子の高校野球にも全国大会があるんです
穂乃果,そう！最近ね、雑誌で見たの！前までは女子野球って全国で２０校もやってないぐらいのマイナー競技だったんだけど、ここ数年で一気に加盟校が増えて人気が高まってきてるんだって！
ことり,へぇ～！そうなんだね！……で、でもことり、野球なんてルールもちゃんと知らないし、やれる自信ないなぁ…
海未,もちろん、いきなり始めて勝つのは簡単な事ではないでしょう。ですが競技の知名度、加盟校の少なさ…わずかな可能性ですが、賭けてみる価値はあるかもしれません…！
穂乃果,よーし、決めたよ！私たちで野球部を立ち上げよう！そして全国大会で優勝する！やるったらやる！。ええと……で、野球部を始めるには何からすればいいのかな？
海未,そうですね、練習をしないことには話になりませんから、まずは練習場所の確保でしょう。バットやグラブ、ボールも用意しなくてはいけません
穂乃果,そ、そういえば、バットとかって結構高かったよね？うわぁ、どうしよう…穂乃果、今月のお小遣いほとんど残ってないよ…！
海未,もうお小遣いがないのですか！？今月はまだ半ばですよ？
穂乃果,あ、あはは…今日もパンが美味いっ！
海未,そのパンが原因です！買い食いをしすぎなのです！
穂乃果,ひいっ！
ことり,うーん、道具だけど、体育倉庫に古いやつが一式あったはずだよ。お母さんに使っていいか聞いてみるね
穂乃果,本当！？ことりちゃん大好きっ！
ことり,えへへ～、私も穂乃果ちゃん大好き！
海未,ふむ、とりあえず道具は大丈夫ですかね。あとは練習場所…それと何よりも、野球ですから最低でも9人の部員を確保しなくてはいけませんね
穂乃果,よーしっ、私ヒデコたちとかに声かけてくるね！善は急げ！行ってきますっ！
海未,あっ、穂乃果！もう行ってしまいました…夢中になると人の話を聞かなくなるんですから…
ことり,そうだね～。でも海未ちゃん、なんだかワクワクするよね？
海未,ふふ、そうですね。ああなった穂乃果は、いつも私たちを強引に引っ張って、新しい景色を見せてくれますから…
ことり,ねっ！。それで穂乃果ちゃん、勧誘はどうだった？
穂乃果,ダメでした…全滅だったよ～。ヒデコとフミコとミカも、試合の時に人数埋めでベンチに入るぐらいはしてもいいけど、正式な部員になるのはなしかなー…だって。みんなもっと野球に興味持ってくれてもいいのに！
海未,まあ、女子校ですからね。私はよく父のテレビ観戦を横で見ていたので、かなり野球好きな方ですが
ことり,日焼けもしちゃうしね…、部員集めは、知り合いに声を掛けるよりはポスターとかを貼って野球好きの生徒に見てもらった方が早いかもしれないね～
穂乃果,ことりちゃんナイスアイデア！よーしポスター作ろう！
海未,穂乃果、ポスターは勝手には貼れませんよ。生徒会に許可を貰わなくてはいけないんです
穂乃果,げっ、生徒会に！？
ことり,あー…生徒会長、ちょっと怖い印象あるよね…？
海未,気持ちはわからないではないですが…どの道グラウンドの使用申請もしなければいけませんからね。丁寧に話せばきっとわかってくれるはずですよ…多分
絵里,それで？部活動の勧誘ポスターを貼りたいのと、グラウンドを使わせて欲しいですって？
穂乃果,はい！えっと、グラウンドを…
絵里,…………
穂乃果,ち、沈黙が痛い…！
ことり,は、端っこの方とか、すみっこの方で、全然大丈夫です…
海未,ことり…！そ、そうもいかないでしょう。その、野球ですので、可能な限り広めにスペースを頂ければと…
穂乃果,お、お願いしますっ！
絵里,…………
穂乃果,ヒイッ睨まれたぁっ！
絵里,……野球部ってね、学校にとっては意外と色々面倒なの。バットの打球音が響いたり、ボールが校外に出たりするでしょう？近隣住民から苦情が出やすい競技なのよ
海未,うっ……。そ、それでは…駄目、ということですか…？
絵里,はいそうですか、と許可を出せるものではないわね
穂乃果,でも…でも！私たちは野球をしなきゃいけないんです！
絵里,………それは何のために？
