モバＰ,以降Ｐ表記にゃ
ありす,さておかないで欲しいですが、食事会ですか？どこかのデイレクターさんと？
Ｐ,いやいや仕事抜きで。ほら最近蒸し暑くなっただろ？それでアイドル達があんまり食事を取らなくなってるんだとさ
ありす,…そう言えば、私も最近食欲が出ないのでついイチゴで済ませてしまってます
Ｐ,若いうちからそんな食生活でどうすんの。ってな訳でスケジュールの都合の良い娘を集めて食事会させようって事になってな。橘さん今日はもう上がりだろ？
ありす,ありすです。確かにこの後は何も予定はありませんが
Ｐ,なら、良かったら参加しないか？強制はしないけど
ありす,そうですね…折角ですし参加してみます。自分でも最近ちゃんと食べていないな、とは思っていましたので
Ｐ,沢山食べないと育たないもんなぁ。目指せ雫ボディ
ありす,くっ…！ハードルが高すぎて潜ったほうが早い！
Ｐ,要するに事務所の仲間達と集まってワイワイ楽しく飯食えば箸も進むだろうって魂胆だ。あ、これプリント。場所や時間はこれ見てな
ありす,各自一品…ですか？
Ｐ,まあ、それも強制じゃないから別に手ぶらでも構わんよ。単に第１回の時何が一番ご飯が進むオカズか
ありす,なるほど…
Ｐ,アレは白熱したなぁ…こずえの推すなめ茸と礼子さんの推すミートボールの好カード
ありす,色々な意味でその光景が想像出来ません
アッキー,そしてその日の夜だ
ありす,お邪魔します…
Ｐ,お邪魔しなさい
ありす,事務所の食堂で行うんですね…
Ｐ,女子寮でやればいいじゃん、って言ったんだけどな。女子寮だと俺が入れない、だってさ。オッサンいないほうが華やかでいいのになぁ？
ありす,そうですね、朴念仁
Ｐ,謂れのない罵りなんですけど！
ありす,あれ、まだ私だけなんですか？
Ｐ,そうだな、橘さんが一番乗りだな
ありす,ありすです。呼んでもらえるまで諦めません、ありすです
Ｐ,お、そう言ってる傍から早速誰かが
文香,…や、やっはろー…
ありす,あ、文香さんっ
文香,あ…ありすちゃん…。……。お、おっはー…
Ｐ,何故やり直した。まぁいいや。いらっしゃい文香。適当に空いてる席にどうぞ
文香,はい…お招き頂き、ありがとうございます
ありす,文香さんがいて下さると思うと安心しますね
Ｐ,あれ、俺不安材料？
文香,私も…ありすちゃんがいてくれて良かった。…もし、ヘレンさんと１対１だったらどうしよう、ってずっと心配してたから…
ありす,流石になかなかそんな機会は無いですよ
文香,あ、プロデューサーさんこれ、私の持ち込みです…
Ｐ,おー、ありがとなって重っ！そして熱！何？何これ！？
文香,か、カジカのオハゥ鍋物
Ｐ,まさかの鍋そのものを持ち込み！
ありす,流石は文香さん。私なんてイチゴしか思いつきませんでした
Ｐ,そしてありすは何か文香に対して評価甘くない？。んでもってありすは結局イチゴかい…ご飯が進むモノ
ありす,えっ、進みますよ？
Ｐ,お、おう？
文香,せ、せやな
Ｐ,…まぁ、このイチゴは食後のデザートにするとしよう
ありす,いや、ご飯と一緒に…
文香,あ…、だれか来ました…
Ｐ,留守でーす
幸子,いるじゃないですか！
ありす,こんばんは、幸子さん
文香,さ、幸子ちゃん…おはらっきー…
幸子,ありすさんと文香さんもこんばんわ。全米どころか全世界が待ち望んだワールドオブカワイイ、ボクの登場ですよ！
Ｐ,どこでもいいからさっさと席つけや輿水
幸子,ちょっ、何でそんな扱い！？
Ｐ,冗談だよ。幸子はカワイイカワイイカワウソカワイイ
幸子,んにゅにゅっ
ありす,今さり気無くカワウソって
文香,カワウソって…
Ｐ,さてと、じゃあ５人揃ったところで早速始めるか
ありす,５人？私と文香さんと幸子さんとプロデューサーさんで４人じゃないですか
Ｐ,いや何で俺を入れるのよ。あくまでアイドル達にちゃんと飯食わせようぜイベントなんだから
幸子,だとすると３人じゃないですか。どうしたんですかプロデューサーさん。ボケてしまうにはまだ数年早いのでは？
Ｐ,若いつもりはねーけどまだそこまで歳くってねーわい。ほれ、足元
ありす,あし？
幸子,もと？
乃々,…み、見つかったんですけど…
ありす,いつの間に！
Ｐ,幸子がさっきドア開けた時に一緒にシュンッってテーブルの下に滑り込んでったぞ
文香,しかも…ご丁寧に持参した手羽先をちゃんとここに置いてあります…
幸子,プロデューサーさんはまだしも文香さんまで目で追えたんですか！？
Ｐ,ハハッ、流石元ゴーカイイエ
芳乃,はいなっ
ありす,わわっ！
幸子,今度は芳乃さんがどこからともなく！
乃々,ど、どこからと言うか…プロデューサーさんのポケットから出てきたように見えたんですけど…
Ｐ,ハハッ、何をこれぐらいで驚いてるんだ
ありす,普通は驚きます！
Ｐ,卯月なんてヘリから飛び降りて鍵縄投げて窓から飛び込んだりするぞ？
幸子,あの人ちょっと前まで普通
芳乃,まあまあー。あ、これはわたくしの差し入れですー
文香,歌舞伎揚げ…ですか？
芳乃,いえいえー。カジカのオハゥ鍋物
Ｐ,そのチョイスがカブるとかロト６より奇跡的な確率じゃね？
芳乃,では仕方ありませんー、偶然、たまたま持っていたこの歌舞伎揚げで代用をー
Ｐ,お前さん、歌舞伎揚げ出したいための免罪符に鍋カブらせたな？
芳乃,あやー
乃々,も、森久保からはこの通り…手羽先です
幸子,フフーン！ボクの持ち込みはちょっとレベルが違いますよ？
文香,世界レベル…ですか？
こずえ,へーい
幸子,そ、そこまででは無いかもしれませんけど…、でもほら！ご飯が進むと言えばコレしか考えられませんよね！
Ｐ,とか言って山梨名物モツ煮だったりしてな
幸子,
文香,それは…いくら何でも安直かと…
乃々,カジカのお鍋は確かに安直ではありませんけども…
ありす,まぁまぁ、幸子さんがあれだけ自信満々なんです。きっと誰も思いもつかないような一品を披露してくださるに決まってますよ。ねぇ幸子さん
幸子,…そ、そうですよ！決まってるじゃにゃいですか！
芳乃,噛みましたー
Ｐ,ってか、もう既にモツ煮の匂いがふんわか漂ってるんだけどね
凛,今頃プロデューサーは他の娘達と食事会かな
未央,いやー残念だよねぇ。私達も予定入ってなかったら参加したかったんだけど
卯月,生憎こちらが先約です！
みく,いーやーにゃあー！ロシアン餃子とか勘弁にゃー！みくもフツーの食事会行きたいにゃー！
まゆ,Ｐさぁーん！まゆ、絶対生き残って貴方に会いに行きますからぁ！
Ｐ,結局モツ煮か
ありす,５人中３人が鍋持ち込みって凄いですね
幸子,い、いいじゃないですか！モツ煮美味しいじゃないですか！ご飯すごく進みますし！
乃々,も、もりくぼも水炊きにすればよかったでしょうか…ごめんなさい、空気の読めないもりくぼで…
Ｐ,鍋パじゃないんですけど。仕方ない、家から適当な惣菜持ってくるか
文香,…今から、戻るのですか？
Ｐ,大丈夫、すぐ戻るよ。芳乃ー
芳乃,はいなー。むむむむー
幸子,ひぃっ！突然空間に黒い穴が！
ありす,空が……割れた！？
Ｐ,んじゃ行ってくるなー
幸子,何の躊躇もなく入っていきましたよ！？
Ｐ,ただいま
ありす,大量のタッパーを持って戻ってきました！
Ｐ,ありがとな芳乃。ワームホール閉じていいぞ
芳乃,はいー
文香,…アイドルって凄いんですね…
乃々,アイドルがみんなこんな事出来たら世界征服できますけど
ありす,こんな便利な力があれば仕事の移動とか便利じゃないですか
Ｐ,いやいや、慣れない人が通ると肋骨にヒビ入るからオススメ出来ない
幸子,対価が地味に切実！
文香,……幸子ちゃんなら、いけそうな気がします…
幸子,ちょっ！
ありす,ああ、それは確かに
芳乃,入りますかー？
幸子,入りません！わざわざ開けないでいいですから！
乃々,さり気なく鬼畜ふみふみなんですけど…
文香,ひどいです…
乃々,ひぃぃっ！
Ｐ,じゃ、そろそろ始めるか
幸子,テーブルの上に熱々のお鍋が３つとか凄い光景ですね…
Ｐ,まともにご飯のお供持ってきたのは結局森久保だけか
乃々,む、虚しい勝利なんですけど…
ありす,ですから私もちゃんとイチゴを持ってきました！
Ｐ,イチゴはデザートです
ありす,ご飯にも合いますよ！ねぇ文香さん？
文香,………あ、ごめんなさい…寝てました
乃々,そんな馬鹿ななんですけど！
ありす,お疲れですか？無理はしないでくださいね
乃々,信じたんですけど！
Ｐ,ご飯配るぞー。大盛り少な目の希望は先に言えよー
文香,あ、では…少な目で…
乃々,もりくぼも少な目で…
Ｐ,無視して大盛りにするなー
文香,聞いた意味は…
芳乃,お茶の用意が出来ましたー
Ｐ,こっちもご飯よそい終わったぞー
ありす,何ですか、その凄まじいサイズの炊飯器は
Ｐ,いや、みんなどれだけ食べるかわからないから。とりあえず茜が５人いても大丈夫な量炊けるぐらいのを用意てみた
こずえ,ぼんばー
幸子,このメンツじゃどう考えても食べきれませんよ
乃々,き、気のせいですか…？さっきからちょいちょいこずえちゃんの声が聞こえるんですけど…
こずえ,きのせいー
Ｐ,だってさ
乃々,ほらまた聞こえたんですけどぉ！？
Ｐ,ご飯とお茶は各自行き届いたかー？
芳乃,お箸も万全ですー
Ｐ,えー、それでは長らくお待たせしました。第４回３４６プロお前ら揃いも揃って痩せすぎなんだよ肉つけさせてるわ食事会
幸子,初耳です！
ありす,しかも何て直球なタイトル！
芳乃,はーじーまーりーですー
文香,わー…
Ｐ,ご覧の通り米がアホみたいにあるので沢山食べられるようにご飯のお供を各種用意させて頂きました。定番の鮭フレーク、明太子、のりたま、高菜、海苔の佃煮、キムチ、ニシン漬け、甘辛そぼろ等々。どれでも好きなだけご自由に
ありす,お鍋もありますし、ちょっとしたビュッフェみたいになっちゃいましたね
文香,…びゅっぷぇ
幸子,デザートにイチゴも用意されてますしね
ありす,だからイチゴはご飯のお供ですって！ですよね文香さんっ
文香,………あ、ごめんなさい…意識だけタイムスリップしていました…
Ｐ,ほれ森久保。ご飯だからテーブルの下から出てきなさい
乃々,あうっ、あ、足で押し出さないで欲しいんですけど…女の子にする仕打ちじゃないんですけど…
Ｐ,ほんのり嬉しそうな顔で言われてもなぁ
乃々,あ…で、でも……もう少し強くされても
Ｐ,出てこいやっ！
乃々,あひゃん
芳乃,あー、ずるいですー。そなたーわたくしもー。それわたくしにもー
Ｐ,高い高ーい
芳乃,ほわわあー
ありす,もう、ご飯を食べるんじゃないんですか？子供じゃないんですから次は私もお願いします
文香,あ、ではその次で…お願いします
幸子,致命的にツッコミが足りません！
ありす,それにしても、このお茶碗に盛られたご飯の量は何なんですか
乃々,うぅ…も、持ち上げられないんですけど…
Ｐ,育ち盛りだから大丈夫だろ
幸子,男子ならいざ知らず、ボクみたいな可憐でか弱い乙女に大量の白米詰め込もうなんてデリカシーの無い…
芳乃,美味しいですー
Ｐ,ほら芳乃を見ろ。こんな健康的に食べてるじゃないか
