夢見りあむ,……は？
P,だから、仕事だよ
りあむ,いや、そこは聞こえてるけど……内容が……え、正気なの？バカなの？
P,俺に言うなよ。持ち込んだ企画じゃないんだから
りあむ,お、お悩み相談……！？よりにもよってぼくが！？むしろ相談したい側なのに！？
P,例えば？
りあむ,え……楽な死にかたとか……
P,重いわ。イヤか？
りあむ,い、イヤとかじゃ……なくて…
P,いいか、りあむ、よく聞け
りあむ,へ？
P,前提として、お前はクズだ。そしてザコメンタルだ。努力もせずにちやほやされたいという姿勢。炎上してもいいという向こう見ずさ。他人への配慮なんてまるでなく、思ったことを言ってしまう短絡さ
りあむ,前提の共有だけでオーバーキルだよ？Pサマはぼくをどうしたいの？ミンチ？
P,まあ聞け
りあむ,うん……
P,そんなお前だからこそ、悩みを打ち明けたいと思う人は多いんだ。周りの大人に聞いてキレイ事ばっかりで、人生の本質に踏み込んだ助言なんて誰もしてくれない。それならいっそ、お前のようなクズに一刀両断してもらった方がスッキリするかもしれないし、安心できるかもしれない。そう考えている人がいるんだ。お前のようなクズに！
りあむ,なんで2回言ったの？？？褒めてる？？？
P,わかったか？
りあむ,うーん……
P,腑に落ちないか……なら、このフレーズを出すしかないな……
りあむ,ま、まさか、脅し……！？く、クビだけは！見捨てないでPサマ！
P,りあむ、お前は……
りあむ,お前は……？
P,必要とされているんだ！
りあむ,！！！！！。……。……。……し、しょうがないなぁ
P,お前マジどうやって19年生きてきたんだ？
りあむ,普通やる気になった瞬間に潰すかあ！？
P,まあいい、やる気を出してくれたようで何よりだ
りあむ,どうなっても知らないけど……
P,というわけで……よいしょ
りあむ,ふぇっ！？な、なにこのダンボールいっぱいの……
P,何って……お前に届いた悩み相談のお便りだよ
りあむ,こ、こんなにあるの！？っていうかいつの間に募集してたの！？実質ぼくに断る権利なかったじゃん！
P,この中からランダムで1枚引いて、それに答えていく形になる
りあむ,なんで無視して進めるの！？めっちゃやむ！！！
P,質問は？
りあむ,質問しかないよう！！！
P,1人1つまでな
りあむ,ぼくしかいないのに制限するなし！アタマおかしいのか！
P,はいはい、それで？
りあむ,えっと……な、なんで今やるの？ここ事務所だよ？ラジオのお仕事って言ってたよね？
P,もちろん、当初はその予定だった。その場でランダムに引いたお悩みに答える流れだったんだが……
りあむ,だが？
P,その場で答えるとお前の失言が怖すぎるから、事前に相談の内容は選ぶことになった
りあむ,つら……
P,スタッフ満場一致で決まった
りあむ,なんで追撃するの……
P,むしろ最初の流れを考えた人に罰則でも科そうかという話すら出た
りあむ,もういいから！！！
P,まあ、習うより燃えろ、だ
りあむ,慣れろでしょ！？燃やすことを解決策として提示しないでよ！魔女狩りか！
P,答えにくかったらパスしても大丈夫だ。とりあえず1枚引いてくれ
りあむ,……わかった……じゃあ……これ！。もうイヤだ帰る！！！！！。ちょっとやる気になったらすぐこれだよ！！！
P,これはひどいな……笑
りあむ,なにわろとんねん！！！！！
P,でも、おかしいな……募集要項にはしっかり本人への誹謗・中傷、その他公序良俗に反する内容は固くお断りします。絶対に、絶対に送らないでください。絶対にダメです。とでっかく赤字で５箇所くらいに書いておいたのに……
りあむ,それはもはやフリって言うんだよ！！！Pサマのばか！！！。ってかこういう、アイドルが読むかもしれないモノって検閲みたいな、一回確認とかしないの？
P,てへぺろだな
りあむ,開き直んないでよ！！！
P,大丈夫だ。俺の直感だと、次はまともな悩みが来るはず
りあむ,適当なこと言わないでよPサマ……。……これで。情緒が行方不明だよぅ……！！！！！。重いよ……重すぎるよ……。明らかに納棺の時に入れる服を買おうとしてるじゃん……話は重いし荷も重いよぅ……。ぱ、パスしちゃダメかな……Pサマ？
P,……
りあむ,Pサマ……
P,……
りあむ,涙、あったんだね……
P,なんだと
りあむ,血も涙も無いのかと……
P,うるさいな。まあ、これはパスしよう……後で、個別で返信するよ
りあむ,お願い……
P,気を取り直して、次を頼む。軽いやつな
りあむ,そう思うなら検閲とかしてよ！
P,てへぺろだな
りあむ,それ全然可愛くないしむしろムカつくからね！？。早まるな！！！！！！。燃えるつもりなのか燃やすつもりなのかわかんないけど！
P,その2択もキツいな
りあむ,ぼくだって明日起きたら学校燃えてないかなとかよく思うけど！やっちゃダメ！ぼくがやってないんだから耐えろバカ！
P,さすがりあむだ。説得力が違う
りあむ,うるさいよぅ……
P,こういうのをファンは求めてるんだよ
りあむ,ファンか？？？
P,次だ
りあむ,どうにでもなれ……。……これ。なんなんだよ！！！！！。なんで２通も送ってるんだよ！ヒマか！ヒマ人なのか！！バカって言った方がバカなんだぞバーカ！！！
P,りあむ、落ち着け
りあむ,落ち着いてられないよ！！！
P,さっきとは違う人だ
りあむ,もっとつら！！！！！。言わなくていいよ！！！薄々感づいてはいたけどさあ！！！！
P,大丈夫だ、俺の直感だと次こそは
りあむ,よくそんな自信満々で言えるねそれ！うらやましいよもはや！！！
P,ほらほら、騙されたと思って
りあむ,現在進行形で騙されてるよぅ……。……はい
P,ほら、ちゃんとした相談だ
りあむ,学校……いじめとかそういうアレならサボれ！勉強めんどいとかなんかかったるいとかならとりあえず行っとけ！どうせ大人は将来のために真面目に勉強しろとかいうけど、そういう奴はお前……あー、キミが大人になった時にどうなってもそこにいないんだから気にすんな！聞いてるか！ぼくに説教してきた教師！おい！お前だよお前！
P,抑えろ抑えろ。最後、私情じゃないか
りあむ,クズになっても自己責任！好きに生きなきゃ後悔すると思うよ！ぼくは好きに生きたけど後悔してるよ！誰か助けて！！！
P,お前が悩みを投げてどうするんだ
りあむ,でも今のはいい答えじゃない？Pサマ的にはどう？
P,いや、良かったと思う。やっぱり共感してくれる相手からの答えは受け入れやすいだろうし。流石だな。調子に乗るなよ
りあむ,別にクギ刺さないでいいじゃん！！！なんなの！！！
P,ほら、次のお便りを読むぞ
りあむ,りあむ使いが荒い……やむ……。これにしよ……。しとけ！！！ぼくはもうこの名前が良くも悪くも知れ渡ったから手遅れだ！！！ぼくの無念を晴らすつもりで！！！
P,他人に無念を託すな
りあむ,実際、親のセンスで一生振り回されるなんてごめんだよ！
P,最近は改名したい人向けの相談サイトも珍しくないからな
りあむ,よく”親からもらった大事な〜”とか言うけど誰もこんな変化球を寄越せなんて言ってないから！ストレートのありがたみがわかる人間になるだけだよ！
P,名前でさえ変化球なのに本人の性格は大暴投なんだからデッドボールだよな
りあむ,上手いこと言ったみたいな表情やめろ！！！回りくどいよ！！！
P,じゃ、危険球退場になる前に次を
りあむ,好き放題言われてる……。なんかサイコパスがお便り出してるよう〜〜〜〜〜。ストレス発散とか以前にしかるべき医療機関の門を叩けよ！
P,まあまあ、で、回答は？
りあむ,そりゃもちろん、現場参戦でしょ！！推しは栄養！！推しは特効薬！！顔の良さの暴力の前にはストレスなんて吹っ飛ぶよ！！
P,アイドル、好きなんだな
りあむ,こんなぼくの唯一と言っていい趣味だし……うぅ……この事務所のみんなも顔がいい……
P,お前もアイドルだろ？
りあむ,ぼくがオタクならぼくなんて推さないし！アイドルは頑張ってるから尊いんだよ！ぼくは……
P,ま、とにかく仕事とレッスンをこなして、その”推せる”存在に近づけるようにな
りあむ,うん……
P,まあどちらにせよ頑張らなきゃクビにするだけだし
りあむ,さらっと脅すよねPサマは！！！
