ミリＰ,以下、Ｐ
青羽美咲,以下、美咲
音無小鳥,以下、小鳥
美咲,？あ、あの……何か？
Ｐ,こら、音無さん。青羽さん、嫌がってるじゃないですか
小鳥,あ、ごめんなさい……履歴書でも見てたけど、ホント可愛いなあって思ったの
美咲,そ、そんな……ほめ過ぎですよ
小鳥,いや！カワイイわ、私が保証する！
Ｐ,音無さんの保証とか何の役にも立たないんですが……？青羽さん、これからよろしくお願いします
美咲,は、はい！よ、宜しくお願いしますプロデューサーさん！
Ｐ,困ったことがあったら、あそこのお姉さん……。……は頼りないから、俺に何でも聞いてください。精一杯フォローしますから！
美咲,あ、ありがとうございます！
小鳥,…………
Ｐ,……なんですか、音無さん。何か言いたそうな目でこっち見てますけど
小鳥,いやぁ、なんか仲良いなあと思って
美咲,わ、私なにかまずい事を……
Ｐ,音無さん、早速新人の子をいびるのは辞めてくださいよ
美咲,い、いえプロデューサーさん……私が悪かったのかもしれませんから
Ｐ,大丈夫だよ。もし悪かったとしても、新人がミスをするのは当然なんですから。ああやってイジめられそうになったら俺に言ってください。いいですね？
美咲,は、はい！
小鳥,……まずいピヨ。プロデューサーさんと美咲ちゃんの距離が近くなってるピヨ……。こ、このままいったら……プロデューサーさん取られる！？ど、どうすれば
伊吹翼,以下、翼
最上静香,以下、静香
翼,……ねぇ、静香ちゃん。自然とプロデューサーさんに構ってもらうにはどうすればいいと思う？
静香,いつもみたいに、積極的に声をかけに行けばいいじゃない
翼,そーいうのじゃないの！
静香,？
翼,……プロデューサーさんって、いつもわたしに対しては近づいてこないでしょ？
静香,まあ、翼は積極的に話しに行くから……プロデューサーとしては、あまり話せてないアイドルを優先するのかもね。でも、それがどうしたのよ？
翼,わたしだって、プロデューサーさんに構って欲しいなぁって……
静香,構ってもらうって、そんなに良いものじゃないと思うけど
翼,静香ちゃんだって、この前プロデューサーさんと二人きりでレッスンしてたでしょ～？
静香,！み、見てたの！？
翼,ニッコニコしてたの、わたし見てたもんね～
静香,に、ニコニコなんてしてないわよ！。……で、結局自然に声かけてもらいたいって事なのね？
翼,そう！流石静香ちゃん、話が早い！。じゃ、わたし行ってくるね～
静香,……えっ？ちょ、ちょっと待ちなさいよ！
美咲,えっと、プロデューサーさん……この書類って、どう仕分けておけばいいでしょうか
P,ああ、これは俺に一度回して下さい。その後、判子押して社長まで
美咲,は、はい！ありがとうございます！
P,でも、驚いたな……青羽さん、手馴れててそんな教える事ないや
美咲,そ、そんな事ないじゃないですか！今だって聞かなきゃ分かりませんでしたし！
P,いやぁ、あれは特別な奴だから……普通にお仕事がもうできる時点で胸張って良いと思いますよ
美咲,そ、そうですか？
小鳥,…………。まずい、まずいピヨ……二人の仲が急速に近くなってる……。あの真正の女ったらしめぇ……
美咲,……お、音無さん。何か私、まずい事を……？
小鳥,あっ、ごめんなさい……そういう訳じゃないのよ
P,……まさか、若さに嫉妬してるだけなんじゃぐはぁッ！？
小鳥,言ってはならない事を……ッ！
美咲,ぷ、プロデューサーさーん！
P,だ、大丈夫……いつもの事ですから
翼,……いつもより楽しそう
静香,青羽さんの面倒見てあげてるんだから仕方ないでしょ
翼,それでも羨ましい……わたしにも同じくらい教えてくれないかなぁ
P,ぐぅ……あれ、今何時ですか青羽さん
美咲,へっ？えと、もうすぐ一時になりますね
P,やべっ、今日レッスン見るって約束してたんだ……。すいません、すぐに行ってきます！
小鳥,……もう
美咲,ご、ごめんなさい音無さん……
小鳥,……くすっ、小鳥で良いわよ。さ、仕事終わらせちゃいましょうか！
美咲,は、はい！小鳥さん、宜しくお願いします！
小鳥,さ、小鳥のちょっといいトコ、見せちゃうわよー！
P,ごめん、遅れた！
所恵美,以下、恵美
P,悪い、ちょっと音無さんとな……
島原エレナ,以下、エレナ
P,仲良さそうに見えるか？
エレナ,だってスッゴク楽しそうだよ？
P,そうか……？っと、琴葉もごめんな。レッスン遅れちゃって
琴葉,い、いえ……気にしないでください、プロデューサー
P,……琴葉、今日気分が良くないのか？
琴葉,そ、そんな事ないです……
P,……恵美、理由分かるか？
恵美,プロデューサーが来るの遅かったからでしょー？
エレナ,コトハ、スッゴク楽しみにしてたもんネ！
琴葉,そ、そんな事ないから！
P,……違うのか？
琴葉,あ、ええっと……
恵美,あはは、照れない照れない！
琴葉,もう、恵美！。エレナもニヤつかないで！さ、レッスン始めるわよ！
恵美,はーい……んじゃ、プロデューサー！しっかり見ててよね！
P,おう、任せとけ！
翼,レッスン……面倒かも……
静香,妥当な所よね、プロデューサーは大体ついてきてくれるし
翼,えっ？静香ちゃん、ついてきてもらってるの？
静香,ま、まあね……一応、居てくれた方が身に付くし
翼,ふーん……？
静香,……何よ
翼,べっつにぃ～♪
恵美,……っと
エレナ,こんなもんだよネ！
P,そうだな、これで終わりにしようか
琴葉,プロデューサー、どうでしたか？
P,良くなってたぞ、三人とも前より動きにキレがあった！
琴葉,そうですか！
恵美,良かったね、琴葉！
P,それにしてもよくあそこまでやれたな……何か特訓でもしたのか？
恵美,何かやったっけ？
