マクギリスの孤独メシ番外編,というかこれも本編
マクギリス,インフルエンザもすっかり治って職場も復帰開始…と思ったがオルガから休暇を言い渡された…。有給がかなり余っていたらしく使ってほしいと…。俺は彼らに恩義を感じている。だからサービス残業だって喜んでするし、何よりも三日月やオルガ、ガエリオ達と働く事が好きなのだ
三日月,すごく嬉しいけどマクギリスが頑張りすぎちゃうと労働基準監督署に目をつけられちゃうから
マクギリス,うっ…それもそうか…すまない
ガエリオ,お前のぶんの仕事は俺たちでなんとかする。お前はたまには休め！
マクギリス,ありがとうガエリオ…
ガエリオ,こうして俺の休日が1日増えてしまったのだ
マクギリス,せっかくオルガがくれた休日だ…アルミリアとまた出かけるか…なぁ？アルミリア。って…あぁそうか。アトラさんと今日もママ友交流会か…革命の乙女が結婚できないとかで相談があるとかなんとか？。我が子も一緒に行ってしまったしすることがないぞ。すまん、女性陣の中に一人男が混じるのもあれだ、アルミリア達だけで楽しんでおいで
アトラ,うぅ…次は一緒にいきましょうね♪
マクギリス,はは、ついていけばよかったかな？。あーこーつぶやいていたら腹が減ってしまった…考えていても仕方がない…昼食を取ろう…。そうだ。久々にコンビニへ行こう。初めて俺がマーボー丼を食べたあの場所へ！。久々に初心に戻ってコンビニで豪遊も悪くなかろう。そ、そんなバカな…私の思い出のコンビニが…閉店したというのか…見たことのない飲食店に変わっている…。どうなっているんだ…
通行人,コンビニ？あぁ、なんか契約更新の時にオーナーさんが隣町に立地を移したらしいよ…移転したんだって！
マクギリス,うぅ…。グス…俺の…俺の新たな出発地点だった思い出の場所が…まさかの移転…。ここにあったコンビニのおかげで俺は変わる事ができた…。バエルが霞んで見えるほどの喜びを与えてくれた麻婆丼…ピリ辛チキン…うぅ…グス…ヒグ…
通行人,に、兄ちゃん大丈夫かい？
マクギリス,…。チェーン店だしそこまで悲しむ必要もない！前向きに人生を生きる事が大事だな！家から歩いて5分だったが、もう1店舗歩いて10分の所もあるし問題ない！。あっはっはっは！それより台湾料理の店か！ここはどんな店なのだ？食に飢えた俺を満足させてくれるのだろうか？とりあえず入ってみようか！
店員,イラッシャイマセー
マクギリス,ふむ…以前のコンビニの面影がないな…こじんまりとした中華料理の店のようだ…
店員,スキナセキ、ドウゾー
マクギリス,ふむ、失礼する。異国の文化を取り入れた飲食店と言うのも斬新だな。中華料理とどうちがうのか…。私…いやここも俺に奇跡を見せてくれるのか？鉄華団のように…。っていまや俺もその一員だな…ふふふ…メニューはと。炒飯とラーメンセットが700円！？なんだこの安さは！？。ホイコーロー丼とラーメンセットも700円！？！？！？。チンジャオロースー丼+ラーメンセットも700円！？。から揚げ山盛り定食+ラーメンセットで700円！？。大喰らいにとって天国ではないか！！！！！。ん…四川風麻婆丼+ラーメンセットだと…？700円…！？。四川風麻婆丼とラーメンセットを所望する
店員,カシコマリマシター！デザートにアイスがつきますが味はバニライチゴチョコドレニシマスカ？
マクギリス,チョコを所望する
店員,カシコマリマシタ！
マクギリス,ん…？。四川風麻婆…？台湾じゃなくて中華料理じゃないか…。台湾的な要素が微塵も感じられないが…うーん…。台湾で中華ブームでも起こってるのか…。ん…？何だこのメニュー…野菜炒め長大盛り定食…？まったく台湾と関係ないな…。だがしかし。ここまで開き直ってくれたほうが帰って清々しいな！矛盾を隠そうとせず真っ向から消費者と向き合うか！。気に入った！今日はここで堪能するとしよう！禁忌の力を！
店員,オマタセシマシター！
マクギリス,700円のセットメニュー…量は少ないだろうがバリエーションが豊富で楽しめそうだ…どれどれ…。なんだこれ。す〇家の牛丼特盛りレベルの麻婆丼が出てきたぞ…。俺は夢でも見てるのだろうか…？。さらにラーメンも…。なんだこのラーメン…量も半ラーメンでなく立派に1人前のラーメン…。さらにおかずに海草サラダと豚バラチャーシュー……そしてデザートにアイス…。コスパがよすぎる…どうなってるんだこれ。まさかのセットメニューで本気盛りの丼と本気盛りのラーメン容赦のないおかずを出してくるか…。台湾料理の店の闇の深さ…まさに禁忌の所業だな…だが俺も空腹が臨界点だ…全力で挑ませてもらおう！。おっ！麻婆丼！山椒のスパイスと豆腐の熱さが俺の舌で暴れる…美味い…うまぁぁぁぁいいいい！！！。はふはふ…がつがつっ！ぷっはぁ！。店員さん！ビールを！
店員,カシコマリマシター！
マクギリス,食べても食べても浮上してくる豆腐とひき肉のブロック！そしてしびれるような辛さの山椒の味わい・・・！たまらん！！！。大盛りの麻婆丼…このままでは飽きてしまう…そんな逃げ道をこのラーメンに…。台湾風ラーメンか…これもまたピリ辛か…いただきますっ！。うんまぁああああい！。そして辛ぁい！！！。そしてそれをビールで流し込む！！！！。ぷっはぁ！何なのだこのボリュームは！こんなボリュームで毎日飲食店を堪能できるのならぜひ三日月達も誘いたいな！。700円で2,5人分くらいの料理が出てくるとは…台湾料理の店…禁忌の力だな…。正直台湾料理のたの字もなかった気がするが…。電話…三日月からか。かまわんよ。仲間の連絡だからな
三日月,ありがと。えっとね、マクギリスの持ち場、従業員不足してるっしょ？
マクギリス,あぁ、定年退職した先輩方が居るからな。今の俺にそんな人脈はない筈だがな…
三日月,うーん。とりあえずオルガは採用するみたいだよ？
マクギリス,ほう、オルガが選ぶ人材ならぜひ俺の部署で腕を振るって貰いたいものだ
三日月,二人とも採用だってさ。これから仲間になるんだ。一緒に頑張ってな
？？,はい！。かならずみんなの役にたってみせます！勇者部ファイト！
友奈,私ユウナ・ユウキって言います！よろしくお願いします！
三日月,うんよろしく。マクギリスの知り合いなの？
友奈,はい！うどんを愛してくれた恩人です！三日月さんもどうですか？
三日月,あぁ、凄く美味しかったよ前四国で食べたんだ、マクギリスが進めてくれて
友奈,おぉ！
東郷,鉄華団…消して枯れない鉄の華…素晴らしい名前です…マクギリスさん達の役に立てるようにがんばります！
三日月,あーうん。今は鉄華団じゃないけど…まあがんばってよ！
東郷,はい！
