第１話,賢いあなたは大好きよ
さやか,残念だよね、ほむら。私たち、もしかしたら友達になれるかもしれなかったのに
ほむら,ええ本当に残念。こんなところ、あの子が見たらどれだけ悲しむのかしら
さやか,・・・一ヶ月くらい前から、見滝原に全く魔獣が沸かなくなった
ほむら,いいことじゃない。いえ、あなたたちにとっては悪いことなのかしら
さやか,魔獣の役目は、私たち魔法少女がいずれ振りまく呪いを肩代わりすること
ほむら,そうね、魔法少女とはなんとも業が深い存在ね。・・・
さやか,魔獣が沸かず、魔獣を狩るために戦う必要もない。まるで魔法少女の役目を奪っているような現象よね。正直に答えてよ、ほむら。あんたの目的は・・・。まどかを解任リコール
ほむら,だったら？
さやか,だったら、って・・・！。・・・っ！
ほむら,一人の女の子として、そう後悔したことが無いとは言わせない
杏子,つまり何か？あんたはあたし達を魔法少女から人間に戻してくれるってか？
ほむら,そうよ。もちろんそれ相応の犠牲が必要だし、それが出来るのかどうかはあなた達次第だけれど
杏子,あー、そうかい。素敵なアイディアだね、ついでにその犠牲はアンタがなってくれよ
ほむら,もちろん、然るべき時が来たらちゃんと私が贄になるわ
杏子,・・・それはいつだ？
ほむら,魔法少女が全滅して、円環の理が必要なくなった日
杏子,もういいや、それ以上アンタの話は聞きたくねぇ
マミ,暁美さん、悪いけれど。今、私の胸にあるのは後悔じゃなくて誇りよ
ほむら,それは強がりではないの？。そう、じゃあやっぱり私達は分かり合えないわね
さやか,そーいうこった！あたし達は戦うよ、ほむら！
ほむら,四対一・・・。いいえ、四対四よ
さやか,は・・・？
ほむら,あなた達は気づいていないようだけれど――
なぎさ,！！みんな、すぐに離れてください！
ほむら,悪魔はあと3人いる
マミ,ぐっ・・・！。飛んでいる訳じゃない、私と同じタイプの魔法で空中を飛び回っている！
？？？,！！
マミ,すごい魔法だけれど・・・、経験の差が出たわね。あなた、真面目に戦ったことないでしょう？。聞きたいことはたくさんあるけど・・・、とりあえず――
？？？,帳トバリ
マミ,！
？？？,残念だったな。私が魔法少女のままだったら、お前に躊躇無く引き金を引ける残酷さがあったなら。勝っていたのはお前だったのに
杏子,間違いねー、これは幻覚系の魔法だ・・・。だけど！。どんな祈りで契約すればこんな魔法が使えるようになるんだよ！！。そこだろ！。！？。っ！！
？？？,あっは、この手に限るねぇ
杏子,・・・。アンタ、悪魔か何かだろ・・・
？？？,うんっ！
なぎさ,な、なぎさは・・・！
ほむら,私だって新しいお友達くらい作れるわ
さやか,・・・っ。大したお友達だね・・・、世界をめちゃめちゃにする悪魔を増やして何がしたいんだよアンタ・・・！
ほむら,悪魔はどうしても必要なのよ。まどかだけではなく、あなた達魔法少女全ての為に
さやか,アンタ・・・、まさか・・・
ほむら,察したようね、賢いあなたは大好きよ
さやか,正気かよ！そんなのまどかが一番望んでなかった結末じゃんか！。・・・っ
ほむら,魔女？そんなのと一緒にしないでくれる？。私たちは悪魔、絶望よりも魔なる者たちよ。使ったダークオーブはあくまで試供品レプリカ。でも、私にはその一時で十分。これでまどかの正体を知るものは、私以外存在しなくなった。あなた達こそ、約束をちゃんと守る気はあるの？
QB,もちろんだよ。元より僕たちに逆らうことなどできないけれどね。本当に、残念だなぁ・・・。希望も絶望を超越した真なる魔法少女システムが、完成と同時にお役御免だなんてね。実にもったいないよ
第２話,私の生きる意味を知りたい
織莉子,ええ、それじゃあ今日はこの辺で終わりにしましょう。後はお願いしますね
アサギ,はーい
織莉子,・・・そういえばアサギさん、簿記の試験勉強をしているって本当？
アサギと呼ばれた魔法少女は慌てて,いや、その・・・
織莉子,そうかもしれないわね
アサギ,そこは否定して欲しかったなー・・・。はー・・・、なんか織莉子さんの言うことは尊いですねぇ。私と同年代の少女っぽくないって言うか・・・
織莉子,あら、この答えじゃ不満だったかしら？
アサギ,いえいえ、大満足ですよ。力の続く限りやってみます。ありがとう織莉子さん
織莉子,ええ、がんばってね。あら、小巻さん。わざわざ待っていてくれたの？
小巻,バ、バッカ！違うわよ！汚職議員の娘と会計を二人きりになんてしておいたら、何をするかわかったもんじゃないでしょ！！
織莉子,・・・
小巻,あっ・・・
小巻は,しまった
織莉子,小巻さん
小巻,な、なに・・・？
織莉子,頭使ったら甘いものが食べたくなっちゃった。一緒にケーキ屋さんに寄ってくれない？
