乃木若葉は勇者であるの内容も含むためそこまで把握されている方は多くないかもしれませんが、お付き合いいだけましたら幸いに思います,ゆゆゆいでもOKです
郡千景,私の家庭環境は最悪だった
千景,だけれど、逃げ道は潜在的な恐怖により塞がれ、ゴミクズのような日々は私を縫い付けていく。あいつらが存在する限り、私の地獄は終わらない。その日もいつもと変わらない陰鬱な気持ちで帰路に着いていた。切っ掛けは覚えていない。気付けば私は建物と建物の間にある薄汚れた路地裏で座り込んでいた。動けないと思った。おそらく動きたくないのだと思った。限界は疾うに超えていた。体育座りのまま時間は過ぎていき、辺りは闇に包まれていく。こうしてじっとしていればいつかは死ねるのだろうか、と考えた。同時に、あいつらが今にも現れることを想像して恐怖に身体が凍えた。最低の行為ばかりするあいつらであっても世間の体裁は整えようとする。自然、私はあの家へ帰ることになるのだろう。あいつらの手によってか、私の脚か、の違いだけで後者のほうが余程マシに思えた。辺りに積もる夕闇は一層濃くなり、自身のこれまでとこれからをあたかも示しているかのようだ。絶望がいつも以上に胸を黒く塗りつぶしていく。だから、もう私に残された手段は自発的な■だけしかなくて、そうすることが唯一の救いなのだと──
少女,大丈夫？
千景,闇よりも深い私の内部に、正反対のひだまりのような声が聞こえてきた。表情のない私の顔は無意識に声の方向を向き──そこには、山桜のような可愛らしい少女の、少し困った表情があって──
少女,もし行くところがないんだったら、良ければなんだけど……うちに来る？
千景,──それが、彼女との出会いだった。2014年の夏もいつの間にか終わり、気が付けば暦の上では冬の時期。体感的にはまだまだ秋物の洋服で十分なくらいのよくある移り変わりの季節
少女,ぐんちゃーん！何見てるの？
千景,録画していた深夜アニメよ、高嶋さん。同居人である彼女、正しくは私が居候であるのだが──高嶋友奈さんに偽りなくそう答えた。嘘のような汚いもので高嶋さんを汚してしまってはならないから、私は必要悪以外の嘘は彼女につかないようにしている
友奈,え？アニメって深夜にも放送しているの？
千景,ええ、私たちが生まれた頃には多くのアニメが深夜帯で放送されるようになっていたらしいわ。深夜に行っている海外ドラマと同じような感覚と言っても良いかしら
友奈,あはは、私深夜まで起きていたことってほとんどないから、深夜ドラマとかも分からないや
千景,ふふっ、高嶋さんは十時にはぐっすりだものね
友奈,寝る子はよく育つんだよ、ぐんちゃん
千景,はいはい、そうね。自分でも驚くほど自然に笑顔が出てきた。やはり高嶋さんとの会話は私を穏やかなひだまりへと運んでくれる。あの日、私は高嶋さんの手を取り、このアパートへと連れて来られた。後に知るのだが彼女にも"理由"があり、中学生にしてほとんど一人暮らしに近い生活をしていたらしい。そのおかげでこの半年間、私は居候をすることが出来ているので状況に感謝するべきなのだろう。……思い出したくもないが、あいつらとはその間で一度だけ顔を合わせた。そこでも私は高嶋さんに救われ、自身の人生を全て捧げても足りないくらいの恩を受けた。少しずつでも返していきたくはあるのだが、日々恩が膨らみ続けていくばかりで人生が十度あっても足りないくらいなのである
友奈,どんなアニメなのぐんちゃん？
千景,無邪気に高嶋さんが訊ねてくるが、返答に関しては少しだけ困ってしまう。何と言うかこのアニメを見始めたきっかけがきっかけであり、何と言うか気恥ずかしさがあった。今日もこっそり一人で見ようとしていた理由はそれである。だけれど、聞かれたからには答えないわけにもいかないだろう。……は……である
友奈,あ、ごめんね。よく聞き取れなかったかな？
千景,……覚悟を決めよう。ゆ、結城友奈は勇者であるよ。照れくささから声が上擦るのを痛いくらいに自覚した。……消えてなくなりたい心地とはこういうものなのね……。切り替えよう。視聴のきっかけはネットでこのアニメのタイトルを目にする機会があったから、これに尽きる。元々私はゲームがメインでアニメをそこまで見るタイプではなかったのだが、これだけは別であった。高嶋さんと同じ名前のタイトルである以上、郡千景がチェックしないはずはないのである。驚くことにこのアニメ、ゆゆゆとファンの間で呼ばれているのでゆゆゆと呼ぶが、ゆゆゆの主人公結城友奈は高嶋さんと瓜二つの容姿をしていた。もちろん二次元と三次元の違いはあるのだが、全ての特徴がとにかく高嶋さんに似ていたのだ。舞台を四国にしていることからも製作スタッフが高嶋さんをモデルにした可能性は十二分にあると私は見ている。高嶋さんの愛くるしい容姿が人目を惹かないはずはないので仕方がないと言えば仕方がないのだが、高嶋さんは正式にモデル料を貰う権利があるだろう。高嶋さんという世界の宝に無許可は決して許されないのだ。でも、高嶋さんのことだから許してしまうに違いない。それを分かっていたからこそこんな風に私は今日まで行動に移していなかったくらいなのだ。いえ、たった一つだけ行った行動はあるわね。何かのモデルになったことはないかと高嶋さんに聞きモデル！？わ、私じゃそんな大役務まらないよぉ……！と答えてくれた様子は今でも脳内再生が余裕である。控え目な高嶋さんも可愛い
友奈,同じ名前がアニメのタイトルって少し不思議な感じかも
千景,何となく分かるわ、その気持ち。でも、高嶋友奈は勇者であるというタイトルも悪くないと思うの
友奈,えぇ！？それは流石に恥ずかしいよ。あ！アニメの名前が恥ずかしいんじゃないよ？自分のフルネームが恥ずかしいんだからね？
千景,もちろん冗談よ、高嶋さん。私も自分のフルネームが入ったアニメなんて見たくないもの。想像すればすぐに分かることだった。郡千景という別の人間が活躍するアニメなんてゾッとするどころの話ではなかった
友奈,結城さんが勇者であるってどんなお話なのかな？今から見ても私ついていける？
千景,ふふっ、結城さんは良いわね。内容は普通の中学生の女の子たちが勇者と呼ばれる姿に変身して敵と戦うお話よ。戦闘シーンは女の子向けのアニメというよりは男子が好きそうだけれど、日常にも力が入れられているから女性でも楽しく視聴できると思うわ。ただ──。今視聴していたのは八話冒頭。前回の七話はまさに日常系というお話だったけれど、どうにも六話から不穏なものを随所に感じるのだ。五話で最終決戦だったのも気になるし、風先輩が先ほどバーテックスの生き残りと言っていたところも気になる。もしかしたらこの後の展開は──
友奈,ごめんね、困らせちゃったよね。やっぱり物語は一番最初からちゃんと見ていかないと駄目だもんね……
千景,いけない！高嶋さんに気を遣わせてしまっている！。いえ、高嶋さんが良ければ一緒に見ましょう！私が隣で補足するから何とかなるはずよ
友奈,良いの？
千景,当然よ。私も本当は高嶋さんと一緒に見たかったもの
友奈,やったー！
千景,高嶋さんのその笑顔が私を狂わせる。この日常にすっかり馴染んでしまった私が証左だ。本当の私はこんな風であってはいけないはずなのに、いつの頃からか私は──。……頭を振って思考を打ち切る。そんなことより、高嶋さんと一緒に今はゆゆゆを楽しもう
友奈,凄かったね！勇者キック！流石に私も炎までは出せないや
千景,炎以外はできるのね……。武術の経験がある高嶋さんだから戦闘シーンを楽しんで見てくれていたものの、アニメに漂う不穏な空気は一層濃いものとなっていた
友奈,あれ？結城ちゃんと東郷さんが居ないような……
千景,──そして、ゆゆゆの本質が語られていく。私と高嶋さんは発することも忘れて、その光景を見ていた。あまりにも残酷な真相に、少女たちの悲惨な未来に、物語をほとんど把握できていないはずの高嶋さんが涙をこぼす。その姿があまりにも痛ましかったからか、自身が熱中し過ぎていたからなのか、ただ茫然と目の前のモニターを見つめている私が居た。三好夏凜を除く勇者部全員は五感のいずれかを失ってしまっている。特に主人公の結城友奈の味覚に関しては痛いくらいに分かるため、私はアニメでの出来事を我が事のように思ってしまっていたのだろう。……ああ、そうだ。認めなければならない。私がこのアニメに魅せられたのはただ友奈の名を冠するからだけではない。精神的な苦悶が、肉体的な苦悶が自分に重なるから勝手に共感して、まだ私に訪れていない結末を敏感に感じ取り、彼女たちを通して行く末を模範解答のように見れると、どこかで期待している私が確かに居たのだ──
友奈,ぐんちゃん！届いたよ！
千景,……噂のコノザマをまさか私が味わうことになるなんてね
友奈,で、でも！楽しみに待っている時間が増えてお得だったんじゃない、かな……？
