オレンジペコ,本日はお招きありがとうございます
小梅,いえいえ。それではこちらに
あゆみ,あ、こんにちは
ペコ,ごきげんよう。大洗の方もいらしてるんですね
あゆみ,あ、大洗からはわたしと梓だけです
小梅,あとは黒森峰からですね。艦が近かったのがこの3校だったので
直下,あ、どうも
脇居,あ、こっちです。この席に
III号子,勉強会の後に交流会だから
ペコ,わざわざありがとうございます
あゆみ,あれ？梓がいない......どこに行ったんだろ
小梅,はーい、もう隊長も来られたので始めます。全員席に着いてください
あゆみ,あれ？梓がいないのに席の数がぴったり......
直下,え？席足りなかった？
ペコ,どうしましょう？本人の姿も見えませんが......
脇居,やば、隊長来てる
III号子,とりあえず座って！それから隊長に話そう
まほ,うむ。これで全員だな
直下,あの、隊長
あゆみ,すいません、ウチの梓がまだ.....
まほ,全員動くなっ！
全員,
まほ,みほ警察だ！！！
小梅,ピーッ！
ペコあゆみ,え、えぇっ？？！！
まほ,お前達、こんなところで勉強会と言う名のお楽しみ会にうつつを抜かしている場合ではない
ペコ,はぁ.......
あゆみ,あの、梓が
梓,ごめんねあゆみ、少し遅れちゃって
あゆみ,あ、梓やっとき.......た.......?
梓,今日はわたしもみほ警察だから
あゆみ,よくわかんないけどもう帰りたい
ペコ,あの...これは一体どういうことでしょうか？
直下,あー、聖グ口にはいないのかぁ
脇居,羨ましい......
III号子,とりあえず、聞き流していいからね
ペコ,え？
あゆみ,黒森峰の人達の言う通りだよ。コレめんどくさいときの梓だから......
ペコ,え、えぇっ.......
まほ,どうした？話を続けるぞ？
小梅,ピッ！
まほ,今回集まってもらったのは他でもない
ペコ,あの、勉強会、ですよね？
まほ,いや、みほについてだ
ペコ,は？
まほ,戦車道の勉強など実践あるのみ。どうせ座学をするならばみほについて学ぶべきだ
あゆみ,あの！意味がわかりません！
梓,え？分からないの？
あゆみ,分かんないよ！
小梅,ピッ！
あゆみ,あ、すいません......ってあれ？
まほ,と、言うわけで君たちにはみほについて学んでもらう
小梅,ピッ！
梓,あ、これテキストです
ペコ,思ってたより本格的ですね.......
あゆみ,あ、ありがとう.......すごい。本当に教科書見たい.......
まほ,では、まずテキストのみほページから
あゆみ,みほページ
ペコ,ページ番号全部みほになってる......
直下,あ、たぶんこのページだから
あゆみ,え？分かるんですか？
梓,分からないの？
あゆみ,分かんないよ！
小梅,ピーッ！
あゆみ,あ、ごめんなさ.....そのイエローカードなんなんですか？
小梅,たくさん出ると良くないです
あゆみ,説明アバウトすぎません？！
脇居,大丈夫。特に意味ないから
あゆみ,意味ないのっ！
小梅,ピーッ！
あゆみ,えぇっ.......
まほ,いいか？続けるぞ。これは小学生のときのみほだ
ペコ,小学生
III号子,ってことはあの話かなぁ
あゆみ,これ、西住隊長のアルバムなんじゃ.....
まほ,この頃はみほには友達がいなくてな。大変心配したんだが、次のページ
あゆみ,あれ？IV号？
まほ,そう、このIV号戦車がみほと小学生の頃の友人を結びつけたんだ
ペコ,......ん？あれ？これってベルウォールの
あゆみ,本当だ。あ、そっか、あの時の......
まほ,つまり、戦車道とは人と人の絆を結ぶんだ。そしてみほはかわいい
あゆみ,は、はい......
まほ,それで、中学生に上がるとみほは.......
ペコ,戦車道の話をしているようで西住さんの自慢というか、魅力についてばかりで話が進んでいますね.......
あゆみ,IV号と三突の対決とか重要っぽい話してたのに西住隊長のかわいいところしか頭に入ってこなかった.......。なんか、後半になるにつれて写真が盗撮っぽくなってるし......
ペコ,西住さんこんな下着を着けられるんですね......
脇居,ほんと、好きなボコの遍歴とかどうやって調べたんだろ.....
直下,全部同じに見える......
まほ,さて、以上を持ってみほについての授業を終わる。質問は？
ペコ,戦車道に絡めて話されたせいで戦車を見るたび西住さんの事を考えそう......
あゆみ,なんで警察なんだろう......
直下,聞いちゃダメだよ
脇居,みほ講師だ！とか言い出しそうだし
III号子,エリカさんの心労を増やさないであげて......
まほ,なんだ？質問はないのか？
梓,はい！小学生の頃の隊長についてですが
あゆみ,あ、梓が質問するんだ
まほ,さて、質問も一通り済んだところで
あゆみ,お、終わった？
直下,と、思うじゃん......
まほ,改めて、みほ警察だ！！！
小梅,ピーッ！ピッ！
あゆみ,えぇっ.......
ペコ,今までのは一体.....
脇居,考えちゃダメだよ
III号子,感じてもダメだよ
あゆみ,わたしどうすればいいんだろ......
まほ,君たちははたして、みほに負けない個性があるだろうか？。みほには授業を行えるほどの魅力があるが、それに比べお前たちはどうだ？。オレンジペコ、お前はいつもダージリンのお茶汲みで、巷では腹黒で実はいつも午後ティーを出して溜飲を下げているという噂が流れる始末
ペコ,えぇっ？そ、そんな噂が！
あゆみ,あの、オレンジペコさんまさか......
ペコ,やってませんよ！
まほ,あと名前が長い！
ペコ,え？えぇっ.......
まほ,大洗、山郷あゆみ。お前に至っては劣化版華さんなどとひどい言われようだ。うさぎさんチームで一番お姉さんっぽいのにそのポジションすら澤梓に奪われつつある
あゆみ,ひどい！
梓,ごめんね、あゆみ
あゆみ,謝らないでよ！
まほ,あと、黒森峰組の3人については特になし。何もなさすぎて
黒森峰生,ありがとうございます！
まほ,喜んでいる場合ではない！。そこで、このみほ教科書が役立つ。澤梓
梓,はい！皆さんがこの教科書を読むことで、西住隊長の個性を掴み、自身の魅力に昇華し、戦車道においても西住隊長のように優れた能力を発揮できるようになります！
あゆみ,ならないよ......
梓,なります！
ペコ,山郷さん、ここはもう折れましょう
まほ,それでは、諸君のますますの成長を期待する
小梅,ピーッ！
梓,皆さん頑張ってください！
あゆみ,.......行っちゃった
ペコ,終わったんですよね？
直下,終わりかなぁ
脇居,わたしお菓子とってくるね
III号子,お疲れ様。じゃあ、ここからは普通に茶話会って感じで
ペコ,あ、よろしければ紅茶を淹れますよ
あゆみ,梓.....
まほ,みほ警察だ！！！
小梅,ピーッ！
ミカ,.......
まほ,継続高校のミカだな
ミカ,帰ってくれないかな？
まほ,みほ授業にも出ず、こんなところでカンテレの演奏をしながら哲学的思考に耽っている場合ではない
ミカ,あの、本当にもう帰って.......
まほ,今君が考えるべきこと、それは
ミカ,.......。.......どうやってヘッドホンから声を?
まほ,違う。考えるべきはそこじゃない。進路のことだ
ミカ,余計なお世話だと思わないかい？あと帰って........
まほ,このまま就職するのか、それとも進学するのか。どちらにせよ、戦車道は続けて欲しい。君の能力は素晴らしい。人間性はともかくとして
ミカ,.......(早く帰らないかなぁ？)
まほ,そこで、みほだ
ミカ,？！
まほ,みほも一度は戦車道を離れ大洗へと転校してしまった。しかし、そこで良き仲間とみほの戦車道を見つけた
ミカ,それはいいことだね。満足したかな？帰って
まほ,君も君の戦車道を見つけて欲しい。流浪もいいが、一所に落ち着いてこそ得られるものもある
ミカ,そうだろうか？
まほ,そうだ。それでは、君にも良き仲間と安息の場所があるように
ミカ,......やっと帰ってくれた
アキ,ミカー？
ミカ,......探し物が遠くにあるとは限らない。多くは近くにあって目に見えていないだけなのさ
まほ,みほ警察だ！！！
小梅,ピーッ！
絹代,わぁっ！なんだ！敵襲か？！
まほ,戦時中でもあるまいし、そんなわけないだろう
小梅,ピッ！
絹代,あぁ、まぁ、確かに......
まほ,まったく。西絹代だな。君は休日の昼間に趣味のバイクをいじっている場合ではない
小梅,ピッ！
絹代,え？ウラヌスの手入れはわたしの休日の習慣のようなもので.......
まほ,君が弄るべきはバイクではなく......
絹代,せ、戦車でしょうか？
小梅,ピッ！
まほ,違う！みほだ！！
絹代,え？みほ、とは一体どのような.....
まほ,みほと言ったら西住みほに決まっているだろう！
小梅,ピーッ！
絹代,え？あ、はぁ......大洗の隊長の西住殿でしょうか？
まほ,君は物分かりが悪いな。他に何がある？
絹代,え？いや、他に？いや、そもそも西住殿を弄るというのがよくわからないというか......
まほ,......はぁ。君は突撃吶喊特攻玉砕の知波単でも優秀な方だと思っていたんだがな......他の学校の隊長など、わたしが来た途端に趣旨を理解していたぞ
絹代,あの、なんと言ってよいものか......
まほ,とにかく、君が今弄るべきはバイクではない！みほだ！！
絹代,え、はい。そうでありますか......
まほ,とは言え、弄るといっても何をすべきか全くわからないときている
絹代,はい、勉強不足で面目ない......
まほ,まずはみほ入門の本を渡そう
絹代,みほ入門
まほ,これには、みほの基本的な情報が書かれている
絹代,はい......わ、カラーだ。無駄に凝って.....黒森峰出版？
まほ,敵を知り己を知れば百戦危うからず。それをよく読んで自分自身をもっと知れ
絹代,え？西住殿ではなく？
まほ,何を言っているんだ？みほのことは知っていて当たり前の常識だろう
絹代,えぇっ！そうだったのでありますか！。なにぶん箱入りだったもので常識というのが人とずれているとは思ってはいたのですが......
まほ,無知の知、か。最初の言葉は取り消そう。君は優秀な隊長だったようだ
絹代,いえ、そんなもったいないお言葉！ありがとうございます！！
まほ,これからはみほのことを知り戦車道に役立てて欲しい。それでは！
小梅,ピーッ！
絹代,......行ってしまわれた。はっ！最初のお言葉、西住殿を弄れと言うのはひょっとして、西住殿を試合で翻弄してみせろ、という事では？。つまりは、戦車道の秘訣がこの本に.....あの黒森峰の出している本だ。きっと大切なことが書いてあるに違いない！新生知波単としてさらに躍進する幸機ではないか！。そうと決まれば、さっそく西住殿の研究だ！吶喊！
まほ,みほ警察だ！！！
ミカ,......また来たんだね
まほ,来るぞ！みほを求めるものがいる限り何度でも！
ミカ,キミは少し過去を振り返るべきだね
まほ,そう、それなんだよ。実は過去を振り返って気づいたことがあった
ミカ,うん、まほを求めてる人はいなかっただろう？
まほ,はぁっ？いないわけがないだろう
ミカ,......人は人の主観でしかものを見れないものだね
まほ,それで、気づいてしまった。最近迷走していたな、と
ミカ,大丈夫。人は誰しも本当に正しい道を選べていないものさ。特にキミは
まほ,みほ警察って一体なんなのだろう......
ミカ,なんだろうね。はた迷惑なものかな？
まほ,なんというか、仮にも警察を名乗っているのに警察らしいことなんて何一つやっていない
ミカ,そもそも警察じゃないからね
まほ,授業をしてみたり、イエローカードを出したり、あと何故か化粧品の販売も始めた
ミカ,思った以上の迷走ぶりだね
まほ,そもそも何故警察なのか、もっと別なもので良かったのではと思ってしまうんだ......。わたしは何故みほ警察をやっているんだろう
ミカ,その答えを知っている人はきっといないよ。いつだって答えのない問題にぶつかるものさ
まほ,答えはない、か
ミカ,そもそも行動が意味不明すぎてわたしではとても適切なアドバイスをできそうにないよ。だから帰って
まほ,そうか。答えなどないんだな
ミカ,唯一言えることは、みほ警察、それって本当にやらなくてはいけないものなのかな？
まほ,......そうだな。もう潮時なのかもしれないな
？？？,まっ↓たー↑
まほ,この声はっ！？
愛里寿,西住まほ。あなたは本当にそれでいいの？
まほ,愛里寿！一体どういうことだ？
愛里寿,思い出して欲しい。みほ警察をはじめたあの頃を
まほ,みほ警察をはじめた頃......
愛里寿,あなたはみほさんの姉として正しくみほさんを愛してもらおうと、みほ道を誤りそうな人達の元へ現れていたはずよ
まほ,そうだ、わたしはみほの可愛さを、そして可愛さを皆に広めるためみほ警察になったんだ！
愛里寿,悪を取り締まるだけが警察ではないわ。道に迷う人に道を教え、善良な人を見守ることも大切なはず
まほ,すまない愛里寿、わたしは大切なことを忘れていたようだ。......みほを愛し、そして志を同じくする人達とともに進むということを
愛里寿,もう大丈夫みたいね
ミカ,いや、大丈夫じゃないと思うな
まほ,行こう。皆がみほを愛し、そして仲良く歩む未来へ。それがわたしのみほ道。そして。みほ警察だ！！！
ミカ,......立ち止まって思い直すことも必要じゃないかな？
