本田未央,ただいま～疲れたよ～
島村卯月,ただいまです。今日もお仕事頑張りました！
モバＰ,おう、お疲れ。……久しぶりだな
未央,……え？ぷろ……でゅーさー？
卯月,……！……っほんもの……ですかっ？
モバＰ,あぁ……あぁ！会いたかったぞっ！
未央,わ、私だって！いつだってプロデューサーのことっ！
卯月,未央ちゃん泣かないでっ嬉しい……ときは、え、笑顔でっ……えが……お……で、ふぇぇふぁぁぁあぁぁぁ
モバＰ,おまえら……馬鹿っ！そんな泣かれたら俺だって、俺だっ……んぐ、んんぁぁぁ
未央,えへへ……プロデューサーもしまむーもひどい顔してる
卯月,ふぐぅ……すんっふぅ。……ふふ、そうだね。未央ちゃんだって……あれ？綺麗な顔だ
モバＰ,んんっ仕方ないだろ。それだけ……
未央,うれしかった？
モバＰ,……知らんな
未央,……えへへ
卯月,未央ちゃん、泣き方ずるいよ。もっとこう……
森久保乃々,茶番が始まったと思ったら、なんでいい雰囲気になってるんですか……
未央,わっ！びっくりした！机の下好きだねぇ。気付かなかったよ
モバＰ,こいつ茶番とか言ってるけどな、さっき久しぶりに会った時泣きながら……
乃々,わぁ！わぁ！やめてくださいっ！……ぁ、……ﾔﾒﾃｸﾀﾞｻｲ……ｳｳ､ﾊｽﾞｶｼｲ
卯月,漢泣きに近かった私もだいぶ恥ずかしいよ？未央ちゃんずるいよ？
未央,うはぁ！かわいいなぁ！照れてる照れてるっ！
乃々,あぅあぅ……
卯月,聞いて？
モバＰ,しかし、お前ら演技上手くなったな
未央,結構しごかれたからねぇ……プロデューサーも無駄に上手くなったね！
モバＰ,お前らの寸劇に付き合ってたら、多少はな
未央,付き合い良いよね。察してすぐ乗ってくれるし、だからプロデューサー大好きっ
モバＰ,よせやい。ふははは
卯月,んっ！んっ！今は、演技が上手くなったとかっ！付き合いがいいとかっ！プロデューサー大好きとかっ！そんなんじゃないでしょっ！未央ちゃんがずるいって事を追求するとこでしょうが！
乃々,島村さんが故障したんですけど……
未央,そういえば他に誰もいないの？
モバＰ,あっちのソファでくるみと杏が寝てるぞ。久しぶりに会うなりくるみ大泣きしてなぁ、泣き疲れて寝てるとこを杏が抱き枕にしやがった
卯月,無視なんですけど。しまむらいぢめなんですけど……
乃々,！？
未央,んふふ、ごめんごめん！しまむーが必死でかわいかったからつい
モバＰ,ふはは、あの泣き顔もグッときたぞ。ああいうストレートな泣き方好きだぞ？
卯月,む～、私だって綺麗って思われたいんですっ
モバＰ,そうか、なら……ダブルピースだ！
卯月,あ、はい！えへっ
モバＰ,やっぱかわいすぎるだろ、これ
卯月,綺麗がいいんですっ！む～！む～！！
未央,かわいいなぁ。それにしても長かったね。出張って２・３日で帰ってくるイメージだったのに、一ヶ月は行ってたよね？
モバＰ,あぁ、そんぐらいか。出張にもいろいろあるからな
卯月,それでどこに行ってたんですか？社長もちひろさんも先輩Ｐも教えてくれなかったんですよ
モバＰ,それなぁ、実は元々俺が入る予定だったジュニアアイドルの事務所
未央,え！？近っ！言ってくれてもいいのに
モバＰ,そうなんだけど、お前らが押しかけて来て、あっちの事務所に迷惑かけかねんって先輩達がな
未央,……あ～。否定できない
モバＰ,そこは否定してくれよ。お前らもそんな暇ないだろうに
乃々,……それで、もりくぼ達を放っておいて何をしていたんですか？
モバＰ,人聞きの悪い……何って仕事だよ。いい加減机の下から出ような
乃々,やです。納得もできてませんし……
モバＰ,えぇ……まぁいいか。来年中学生になる子がこっちの事務所に移るからその引継ぎやらなんやらだよ
卯月,へぇ！どんな子ですか？
モバＰ,どんな子？う～ん……ボーイッシュな子と、背伸びしてるいちごちゃん
卯月,お？流行のゆるキャラですね
モバＰ,いや、すまん。それはそれで面白そうだけど、大人ぶってる子でいちごが好きなんだ。凛に少し似てるかな？
未央,大人ぶってる子かぁ。これはまたキュンキュンしそうな逸材ですな
モバＰ,一応言っとくけど、お前も十分子供だからな
未央,あっ！こんなナイスバディをつかまえて子供扱いって！
モバＰ,年齢の問題だっつーの。スタイルだけでくるみを大人扱いできるか？
未央,考え方次第で……
モバＰ,未央
未央,やり方次第でも……
モバＰ,未央
未央,……
モバＰ,……
卯月,未央ちゃん顔赤いね。なんでかな？
未央,……っ！
卯月,ん？なんで？
未央,……っっ！
乃々,すごい詰めてるんですけど……
モバＰ,卯月は本当にわかってないんだろうけどな
卯月,ん？ん？ん？
未央,……っっっ！
モバＰ,変に突っかかって慣れない下ネタなんか言うから……言いながら何を想像してたんですかねぇ
未央,あー！あー！知らない知らない知らなーい！プロデューサーのゲス顔！！
モバＰ,それ割りとダイレクトなディスになってる。意外と刺さる
前川みく,お疲れさまなのにゃ～、おなかすい……ぁ、Ｐ……チャン？
モバＰ,お疲れ。元気だったか？
みく,Ｐチャ……Ｐチャン！
モバＰ,よっ
みく,んにゃ！？なんで避けるのにゃ！
モバＰ,いや同じようなこと、もう二回ほどやってるし、長くなるかなって
みく,ひどいにゃっ！もっと構うのにゃ！差別ダメ、絶対！！
モバＰ,わかったわかった。お～よしよし
みく,雑っ！
モバＰ,んはは。今日はピンで仕事だったのか？
みく,凛チャンとレッスンに行ってたのにゃ。さっき凛チャンに電話かかってきて、みくだけ先に入ってきたのにゃ
モバＰ,じゃあ、すぐ……
渋谷凛,おつか！？っ
モバＰ,んっふ！
凛,プロデューサープロデューサープロデューサー
みく,……え？
卯月,ドアが開いたと思ったら凛ちゃんがプロデューサーに抱きついてた……超スピードだね
未央,みくにゃん……抱きつきたいと心の中で思ったなら、その時すでに行動は終わっているんだよ
みく,……にゃあ
神谷奈緒・北条加蓮,ただい！？っ
モバＰ,ごっはぁ！
奈緒・加蓮,ＰさんＰさんＰさん
みく,今度はＰチャンが押し倒されたにゃあ……ラグビーにゃあ……
卯月,奈緒ちゃんがハイタックル、加蓮ちゃんがスティファームタックルで反則だね
乃々,島村さんって何者なんですか……
卯月,ニュージェネレーションだよ？
乃々,ち、近っ！ニュージェネレーション怖っ！
未央,……とんだとばっちりだよ
城ヶ崎美嘉,二人が急に消えたと思ったら、何この状況
卯月,横たわるプロデューサーのトライアドプリムス盛りだよ。机の下に乃々ちゃんをそっと添えて
美嘉,あ、うん。カオスだね。プロデューサー帰ってきてたんだ
モバＰ,んごあぁ、後頭部がぁ……
美嘉,ほら、TP達。プロデューサーが苦しんでるよ、離れて離れて
トライアド,！？ご、ごめん！
美嘉,大丈夫？怪我してない？
モバＰ,美嘉……死ぬかと思った……
美嘉,へへへ★もう怖くないよ
モバＰ,あぁ、やわこい……いいにおい……おちつく……
美嘉,あはっ★子供みたいだ。…………おかえり、プロデューサー。この一ヶ月寂しかったよ。またこうして触れ合えてうれしいな
モバＰ,おう……ってダメダメ！すまん、頭打ってちょっとバグってた。ほら、怒られるから
美嘉,え～まだいいじゃん。先輩Ｐもちひろさんも今いないし
モバＰ,そういう問題でもなくて、駄目だって
美嘉,う～ん……やだ★
モバＰ,おま……や、やめ
未央,……美嘉ねーが全部持ってったね。TPはちょっと我を忘れすぎたね
トライアド,ぐぬぬ……
ちひろ,ただ今もどりました。プロデューサーさん三人拾ってきましたよ……って人口密度すごいですね
モバＰ,おかえりなさい。すいません、衣装合わせにこんな時間掛かるとは思ってなくて。ここで急ぎの仕事があったので、ちひろさんが近くにいてくれて助かりました
ちひろ,いえいえ、デビューもうすぐですもんね。三人とも綺麗でしたよ
財前時子,貴方、衣装のセンスは悪くなかったけど、この時子様をおいて帰るとはいい度胸ね
モバＰ,あ、お疲れ様です。気に入ってくれたようで良かったです。それでなんとかチャラにしてください
時子,ふんっ。まあいいわ。この鞭……ゾクゾクするわね……クックック♪
向井拓海,おいおい、大丈夫かよ……なんか目、イっちゃってねぇか？
モバＰ,おぅ、お疲れ。衣装どうだったよ？
拓海,着物なんて初めてだけどよォ……まともにダンスできんのか？
モバＰ,じゃあ、ばっちぐー☆って感じの衣装でいこうか
拓海,……キレを落とさずダンスってやるよ
村上巴,ダンスってやるってなんか耳に残るのぉ……しかし、よいよ疲れたわ。拓海の姉御の着付け手伝ったんじゃけど、乳がのう……
モバＰ,はは、お疲れ。巴も着物だけど大丈夫か？
巴,うちは和装に慣れとるけぇ、心配いらん。ただ、衣装関係なく本番で下手扱かんか不安じゃ。姉御の足引っ張りそうでのう
拓海,なんだ巴らしくもねぇな！ユニットなんだからそんなこたぁお互い様なんだよ！仲間ってのは支えあっていくもんだ！だからアタシがミスっても許せよな！
モバＰ,そうだぞ、巴。それにお前らあんなにレッスン頑張ったんだ。例えミスしても胸張れ。なにも恥じる事はないよ
凛,………………あれ？その口ぶりだと、レッスン一緒に？……え？
モバＰ,ん？そりゃ、デビュー前だし。時子さんのソロと拓海と巴のユニットでレッスン内容違うから、大変だったよ
加蓮,でも、出張……
モバＰ,あ～……未央、お願い
未央,え～……私も三人とは会ってたことに、モヤってきてるのに～
卯月,じゃあ、私が！プロデューサーさんの出張先、ここから走って五分、歩いて十分のジュニアアイドル事務所だったのです！やったね！
モバＰ,やったぜ！
奈緒,……何が、やったなんだ？なぁ……なぁ！なぁ！！寂しかったんだぞっ！
加蓮,そうだよっ！ずるいよ！ずるいずるい！！
凛,少しだけでも顔見せるくらいできたんじゃないかな……それだけでも全然違うんだよ。安心するんだよ
モバＰ,え、えぇぇ……なんか依存度上がってるんですけど……ちひろさん、そろそろ吊り橋効果も冷めてくるころかと思ってたんですが……
ちひろ,会えない時間がいい感じに乙女心を刺激したんじゃないんですかー
モバＰ,やだ、おざなり……
先輩Ｐ,お疲、メスくせぇ！！
モバＰ,ひっでぇあいさつだなぁ。お疲れッス。俺がいない間、杏達の面倒どうもです
先輩Ｐ,馬っ鹿、私とお前の仲じゃないか。困ったときは助け合いっ！えへっ！
モバＰ,うわ気持ち悪っ！なんスか、絶望的にかわいくないですよ
