魔王,ぐぅ……。ぎゃあああ……
勇者,終わりだぜ
聖剣士,逃げる気かっ！
勇者,待てっ聖剣士！追うなっ戻ってこれなくなっちまうぞ！
聖剣士,これは俺の役割なんだ！キミは帰って！
勇者,ふざけんなッ！おめーも帰んだよっ！
聖剣士,もし“彼女”に会えたら伝えてくれ……信じてと
勇者,ぐあああぁッ……聖剣士ぃぃ！。ふざけんな…………どう考えても俺様の役目だろ。ふざけんな……聖剣士。ふわぁああ……zzz。退屈だ……。戦争が終わっちまったら、やることねぇな。散歩でもすっか…なんか面白いことねぇかな
貴族嬢,あ！勇者様ぁ！何してるんですか？
勇者,うげっ
貴族嬢,旅の話聞かせてくださいよー。どうですか？今晩
勇者,前にも言ったけどよ、旅の話は聞いて楽しいもんじゃねぇよ。痛ッ…………最近頭痛がひでぇ、酒飲み過ぎてるからな
貴族嬢,勇者様？今晩……どうですか？
勇者,女も抱き飽きたな。わりぃ、予定あるんだ
貴族嬢,そうですか……
王,おう、勇者君。元気かい？
勇者,おかげさまで……暇で死にそうだが
王,あはは、平和な証拠だ
勇者,痛ッ……
王,勇者君？大丈夫かい？
勇者,二日酔いの頭痛だ。問題ねぇよ、俺様になんか仕事とかねぇか？
王,ええ？？！いつも何お願いしてもやってくれないのに…よっぽど暇なんだね。………ふむふむ
勇者,みんなが困るような強力な魔物とかいねぇ？？
王,いや、魔王がいなくなって魔物は大人しくなったよ
勇者,兵士に剣の指導とか
王,いや、魔族との戦争のおかげで、各国との平和協定は結ばれたまま。あまり兵力を必要としてないなー
勇者,捕まえたい凶悪犯罪者とか？
王,戦争に出払っていた兵を警備に戻したから、治安はいいんだよねー
勇者,平和って退屈だな
王,平和な世界では“剣”より“学問”が武器になる。勉強でもしたらどうよ？
勇者,うげぇ……俺様が勉強？そりゃ催眠魔法かけられてるのと同じだ
王,キミには強いままでいて欲しいんだよね……ふむふむ……そだ
勇者,あ？
王,魔族の残党狩りをお願いしようかね
勇者,残党狩り？魔王いねぇのに、魔族がまだいんのか
王,うにゃ、我が中央大陸の王都軍が専門のパーティを組んで狩りをしている。そこに入ってもらうかな
勇者,ハハッー！俺様にピッタリの仕事あんじゃねーか
王,まあ、キミほどの強さは必要ないんだけどね……
魔族A,ぎゃああ
魔族B,ぐおおおっ
魔族C,ああああぁぁっ
魔族D,びゃああああああああっ
勇者,ふぅ……たまには何か斬らねぇとな
衛生兵,あいかわらず半端じゃない強さッスね…
女兵士M,あぅ……さすが勇者様
隊長,ふぇぇ……とんでもねぇ
勇者,おめーら……王都直属の魔族狩り精鋭部隊？
隊長,そ、そうであります！
女兵士,は、はい
衛生兵,足手まといにならないよう頑張るッス
勇者,すっげー弱ぇな
衛生兵,僕らが、この作戦で一番弱いパーティッス…だから勇者様が配属されたんでしょうけど
勇者,他にも魔族狩りの部隊がいるってわけか、負けてらんねぇぜ
隊長,勝ち負けの問題じゃない気が……
女兵士M,私達の担当は終わったし帰ろー
勇者,何言ってんだ、山頂付近も探索すんぞ
隊長,あ、あの……そっちは他の部隊が……
勇者,他の奴らに負けてぇのか？獲物渡してたまるか。ハハッー
衛生兵,……
女兵士M,……
隊長,……
王,さっすが勇者くん。魔族討伐数46……全部隊でダントツだ
勇者,ったりめーだ。へへ
王,まったく強さが衰えてなくて安心したよ
勇者,次の作戦ではもっと殺すぜ。くらええええっ！！
魔族達,ぎぁああああああっ
勇者,ふん、なかなか骨がある奴らだったな
衛生兵,これを無双って言うんスね
勇者,……懐かしい
女兵士,勇者様？どうしたんですか？
勇者,ここは俺様の故郷なんだよ、すっかり廃墟だけどな
隊長,そうでしたか……少し思い出の地を見て回りますか
勇者,いーや、未練はねぇ。俺様が俺であった頃には戻れねぇよ
女兵士,故郷の思い出は？
勇者,穏やかな日常からの悲劇、そして戦いの始まりだな
