城ヶ崎美嘉,お疲れさまでーす！
スタッフ,お疲れさま！
アイドル,おつかれー！
美嘉,ん、あれ、プロデューサー！
モバP,以下P
美嘉,お疲れさま。楽屋来てたんだ
P,どうだった、初のステージライブ
美嘉,緊張したよ。でも、めっちゃ楽しかった
P,いい返事だ。初めての店舗ライブでガチガチだったときより、だいぶ慣れたな
美嘉,い、いつの時の話してんのさ。アタシだってちゃんと成長してるんだから。……って言ったけど、ちょっと嘘。お客さんが目の前に、あんなにたくさんいるなんて初めてだった。ステージに立っているとね、照明が自分に当たるから、顔とかほとんど見えないじゃん？。でも、見えた。サイリウムが波のように揺れているのが、あのひとつひとつがいま私を見てくれている光なんだって、はっきりわかった。イントロくるまでちょっと意識飛んじゃってたよ
P,おいおい
美嘉,ジョーダンジョーダン★やり切ったの見ててくれたでしょ
P,まあな
美嘉,……すごかったぁ。完璧……じゃなかったかもしれないけど、今できることをやってきたと思うな
P,それでいい、いまはそれで十分だ。この調子で、これからも頑張っていってくれよ
美嘉,うん。……プロデューサー
P,ん？ああ
美嘉,へへ……ちょっと手のひら痛い
P,えっ、あっ、すまん！
美嘉,大丈夫。プロデューサーもテンションアゲちゃったカンジ？★
P,そんな……いや、そうかもな
美嘉,あははっ、プロデューサーも楽しんでくれたなら嬉しいよ。ま、アタシに目ぇつけたプロデューサーだもん。アタシの輝くところ、一番近くで見ててよね
P,ああ。やっぱり、パッションにして正解だったな。……
美嘉,？
P,なんでもない。打ち上げはするのか？
美嘉,うん。他の子何人かと……
P,今日のステージのか
美嘉,そう。年近い子たちで
P,ん、それじゃあ気を付けてな
美嘉,あ。あのさ、プロデューサーは？
P,え？
美嘉,えと……打ち上げ
P,ああ、裏方組のやつ行くけど
美嘉,そっか
P,未成年組が来てもいいけど、ちょっとお酒は飲ませらんないな
美嘉,そこはキチンとしてるし！でも、んー……
P,なんだ
美嘉,ううん、プロデューサーとも打ち上げしたかったかなーとか
P,んー……担当ばかりが固まっているってんなら考えるけどさ……その集まり、俺の担当美嘉だけじゃないか。アウェーすぎるよ
美嘉,あはは、だよねー。仕方ない、諦めるか
P,まぁ、ライブ成功で何か連れてってやるくらいは
美嘉,ほんとっ？
P,行きたい店あったら教えといてな
美嘉,うん！
P,じゃあな。お疲れ、美嘉
美嘉,お疲れさま、プロデューサー
P,城ヶ崎美嘉は、割と最初から優秀なアイドルだった。宣材写真で城ヶ崎美嘉らしく。自分らしく、なんて普通なら難しい要求なのに。元読者モデルとしての場慣れはプラスの方向に働いたし、派手な見た目はファンの目を惹いた。なにより彼女の一番の才能だと思ったのは、その見た目に反して地道な努力というものを知っていることだった。お陰で彼女を育てるのに苦労はしなかったし、表に出せばすぐに人気が出ていった。カリスマって言うが、本当、その通りだよな
美嘉,え、何々？いきなり褒められたけど？
P,いや、別に。次でデザートだな
美嘉,ん～、なんだろ。楽しみ♪
P,定番ならジェラートとかか
美嘉,いいね～。メインのパスタも、普段うちで作るのと全然違うし、美味しかったなぁ
P,それはなにより。そんな高級ってわけじゃないイタリアンだけど
美嘉,いーよいーよ。フレンチとか堅苦しそうだし。緊張しないで食べられる方が美味しいじゃん
P,一理ある
美嘉,それにー、プロデューサーのお財布にも優しいし？★
P,ありがたいけど心配されるほどじゃないよ
美嘉,ふふ……お願い聞いてくれてありがとうね、プロデューサー
P,まあ、約束だったしな
美嘉,……こうしてゆっくり話せたのも嬉しかったな
P,話くらいなら、事務所でいつも聞くぞ
美嘉,んー、そういうんじゃなくて
P,どういう？
美嘉,んと……んー……
店員,お待たせしました。シチリアレモンのジェラートです
P,あ、はい
美嘉,やっぱりジェラートだった
P,定番だよな
美嘉,わっ、なにこれ。レモンの皮入ってる
P,おー……噛み潰すと香りが広がるな。市販のアイスでも似たようなのあるけど、全然違う
美嘉,触感にも違い出て面白いねー
P,えーと、それで何の話をしたいんだったっけ
美嘉,んっ……そんな話してたっけ★
P,そうか？まあいいや
美嘉,ん～、さっぱりしてるのに満足感あるってイイね
P,ああ
店員,ありがとうございました
美嘉,ごちそうさまでした
P,ごちそうさま
美嘉,プロデューサーにも、ごちになりまーす
P,おー、良きにはからえ
美嘉,……じゃあ
P,駅まで歩くか
美嘉,うん。陽が落ちても暑いよねー
P,嫌んなるよな
美嘉,歩いているだけで汗出るし、そのくせ電車は寒いし
P,家でのクーラーもな、かけっぱなしにすると朝だるくなるし
美嘉,だよね！朝起きるの辛くてびっくりしたよ
P,かけっぱなしは喉にもよくないぞ
美嘉,うん、それ以降はやってない
P,喉によくないといえば……レストランの水が炭酸だったな。ガス無しにしてもらえばよかったか
美嘉,そこまではいいよ。明日ライブがあるわけじゃないんだし
P,まあ、炭酸なにも飲めないのも辛いか
美嘉,そうそう。あ、でも甘くない炭酸って新鮮だったなー
P,あー、慣れると悪くはないけど、やっぱり味がないと寂しく感じるよな
美嘉,だよねー。せめてちょっとくらいね。あ……。……ふぅん
P,この先の通りから人増えるな。なんか、髪隠せないか
美嘉,あ、うん。帽子持ってるから……オッケー
P,おう
美嘉,あーあ、せっかく髪セットしてきたのに
P,すまないが、目立つからなぁ……
美嘉,あっ、でもめっちゃ芸能人っぽいねコレ★
P,芸能人だけどな……しかし、それでも見た目気にするっていうのはさすがだよ
美嘉,そりゃもう。見た目で業界わたっていくわけだし？。それに、レッスンの最初の頃に言われたんだ。見られることが仕事なんだから、常に見られているという意識を持てって
P,何人かのアイドルに聞かせてやりたい
美嘉,あはは★まあ、それはそれでそういうトコが魅力だったりするじゃん
P,そうかもしれないけど。やっぱりそういうところはポイント高いだろ
美嘉,ふふふ、ありがと。……プロデューサーもね
P,ん？
美嘉,ちゃんと歩調合せてくれてるの、ポイント高いよー？
P,……
