原田美世,おっはよークラリスちゃん！
クラリス,おはようございます、美世さん
美世,まーおはようって言ってもまだ暗いんだけどね。ごめんね、オフなのにこんな早起きさせて
クラリス,いえいえ。教会のお勤めで慣れていますから、どうか気にしないでください
美世,そう言ってくれると助かるよ。さ、それじゃ助手席に乗って！
クラリス,はい。お邪魔しますね
美世,はーい。ちょっと車高が低い車だから乗り辛かったらごめんね？あ、あと荷物は後ろの席に置いちゃってね
クラリス,これくらいなら大丈夫ですよ
美世,それからちょっとサスが硬くて跳ねるかもだけど……でもシートは完全なバケットじゃなくてセミバケットだから安心して！
クラリス,さす……せみばけっと……？
美世,ああえっと……ちょっと乗り心地が悪いけどシートは完全なスポーツタイプのものじゃないから安心してねって事で！
クラリス,なるほど、分かりました。美世さんの腕を信頼致します
美世,うんうん、どーんと信頼しちゃってね。今日は安全運転するから……多分
クラリス,ふふ、ハンドルを握ると熱くなりますもんね、美世さんは
美世,あーいやー、あはは……。でも今日はクラリスちゃんが初めて乗ってくれるからね！ちゃんと安全運転するよ！
クラリス,はい。それではそれを信じて、この身、ひと時貴方に預けますね
美世,よーし、それじゃあ温泉までしゅっぱーつ！
クラリス,ええ。運転、よろしくお願い致しますね。それにしても随分早くに出発するのですね
美世,うん。山梨の温泉なんだけどね、日の出から営業してるんだ。都内からなら中央道通って2時間もかかんないし、せっかくだから日の出も拝もうかなって思ったんだ。そこの温泉、関東有数の絶景露天風呂で有名なんだよ。ただちょっと露天風呂の温度が低いんだけどね……
クラリス,美世さんは何回か言った事があるんですね？
美世,あるよー。下道で行くとね、甲州街道をずっとまっすぐ走っていくんだけど、高尾山辺りからちょっとした峠道になってて走ると楽しいんだ。だからドライブがてらちょこっと甲府辺りまで出て帰りは雁坂トンネルを抜けて秩父方面から帰るもよし、もしくは大月から南下して御殿場まで行って東名使うもよしで、気軽に使えるドライブコースなんだよね
クラリス,へぇ……それもこの車で行くのですか？
美世,うん！愛車のエボＸ！色はもちろんレッドメタリック！やっぱり車は赤だよね！
クラリス,ふふ、美世さんは本当に赤が好きですね
美世,子供のころに見た赤いスポーツカーに心を奪われたからね！情熱の赤だよやっぱり！。でも……運転してるあたしはすごく楽しいんだけど、ちょこちょこイジってるから乗り心地は悪いかもしれないんだけどね……クラリスちゃん、大丈夫？酔ってない？
クラリス,大丈夫ですよ。この振動も慣れてくれば心地よくも感じます。それに楽しそうな美世さんが隣にいますから、私もなんだか楽しい気分になりますね
美世,ほんとー！？そう言ってくれると嬉しいな！アクセル思いっきり踏み込みたくなってきちゃった！
クラリス,……美世さん、プロデューサー様に言われましたよね？
美世,う……
クラリス,プライベートの趣味にはとやかく言いたくないけど調子に乗って事故や違反は絶対起こさないように……と
美世,はい……安全運転に徹します……
クラリス,はい。そうしてくださいね
美世,もうすぐ高井戸だね～。ここから高速に乗っていくよ
クラリス,？何をしていらっしゃるのですか、美世さん？
美世,ん？ＥＴＣカードがちゃんと挿さってたかの確認だよ。エンジンかけた時に音声で挿さってるのは確認してるんだけどね……いつも高速乗る前にもう一回確認しちゃうんだ。なんか癖になっちゃってるんだよね、お恥ずかしい事に……
クラリス,そうだったんですね。ですが、そのＥＴＣカードというのが挿さっていないと大変な事になるのでしょう？
美世,あーうん、ちょっと面倒な事になるかなぁ
クラリス,であればそれは恥じ入る必要などないと思いますよ
美世,あはは、そう言ってくれると嬉しいな
クラリス,美世さんは忘れた事があるんですか、そのＥＴＣカードを挿すというのを
美世,ううん、直接的には忘れた事はないんだ。だけど整備士の頃にね、ラジエーター……あーっと、エンジンを冷やすための部品がちょっと調子悪くなった車を運転してたんだけど……前の車がＥＴＣカードの挿し忘れで立ち往生しちゃって……。エンジンを冷やすための部品が調子悪いとね、走行風を当ててないとオーバーヒートして車が壊れちゃうんだ。ラジエーターも軽傷だったし、信号がない高速を使ってササっとウチの工場まで持っていこうって考えてたのに思わぬところで止まっちゃって……焦ったなぁあの時は……。ジリジリと上がっていく水温計の針に冷や汗が止まらなかったよ……
クラリス,ふふ、大変な思いをしたんですね
美世,うん……いまでこそ笑える話だけど大変だったなぁ……
クラリス,美世さんはその整備士をしている時にプロデューサー様からスカウトされたんですよね？
美世,そうだよ。プライベートでドライブしてたプロデューサーさんの車がパンクしちゃってね、最寄りの整備工場だったウチでタイヤ交換してる時にアイドルに興味はありませんか？って名刺渡されたんだ
クラリス,プロデューサー様も運転がお好きでしたものね
美世,そうそう。いやー、その時はいきなりだったから言葉の意味が全然分からなかったよ。クラリスちゃんは教会でスカウトされたんだよね？
クラリス,ええ、そうですね。教会の庭園で聖歌隊の子供たちと合唱してるところを……
美世,プロデューサーさんって妙なところで度胸あるよね。教会で歌ってるシスターさんをスカウトしようだなんてなんだかバチが当たりそうだし……
クラリス,そんな事はありませんよ。主はいかなる人も受け入れます。……流石に狼藉を働こうという方は拒みますが……プロデューサー様はまっすぐな目をしていらっしゃいましたので。それに私どもの教会は些か財政難でもありましたし。神父様もそのスカウトは神の思し召しと仰ってくださりましたので、ファンの皆様はもちろん、教会を必要として頂いている多くの方々のため、私はアイドルとしての道を歩もうと心に決めたのです
美世,うーん、やっぱりクラリスちゃんてすごく優しくて立派だよね！
クラリス,いえ、私などまだまだ未熟者です
美世,そんな事ないよー！あたしなんか車に関われたらいいかな、ってくらいの軽い感じでアイドルやってるし、それに比べたらね？
クラリス,それこそ、そんな事はありませんよ。人の夢の動機はそれぞれに尊いものですし、比べるものでもありません
美世,…………
クラリス,…………
美世,……くすっ、何回目だろうね、このやり取りするのって
クラリス,私も憶えていませんね……ふふ
美世,朝の高速道路の料金所の雰囲気ってすごく好きなんだよね
クラリス,そうなのですか？
